Date,PriceA,PriceB,ZScore,Sharpe,Beta,PnL,Equity,Window Size
2024-09-16,107.12,117.514,-1.27828,0,0.0354826,0,100000,7
2024-09-17,108.517,119.1,-0.661816,0,0.0278109,0,100000,7
2024-09-18,108.897,119.1,-0.471406,11.225,0.0181803,0,100000,7
2024-09-19,110.247,120.449,0.113134,13.1539,0.014279,0,100000,7
2024-09-20,109.553,117.232,-0.168346,17.8528,0.00553355,1410.88,101411,7
2024-09-23,111.539,117.359,0.681944,14.2612,-0.00219754,1410.88,101411,7
2024-09-24,111.244,118.07,0.532674,12.2937,-0.00430597,1410.88,101411,7
2024-09-25,109.078,119.884,-0.411447,10.992,-0.00455184,1410.88,101411,6
2024-09-26,107.205,121.543,-1.18653,10.0434,-0.00406288,1410.88,101411,7
2024-09-27,110.076,122.391,0.0448296,9.31019,-0.00500763,1410.88,101411,6
2024-09-30,111.406,124.287,0.587735,8.72034,-0.00283971,1410.88,101411,6
2024-10-01,113.982,121.489,1.63303,8.23188,-0.00241597,1410.88,101411,6
2024-10-02,115.493,121.252,2.15704,7.81843,-0.00864082,1410.88,101411,6
2024-10-03,116.5,119.164,2.37675,7.46235,-0.0187802,1410.88,101411,8
2024-10-04,118.639,119.647,2.9184,7.15139,-0.0307842,1410.88,101411,11
2024-10-07,119.152,119.602,2.80566,6.87667,-0.0449259,1410.88,101411,15
2024-10-08,115.987,119.383,1.60381,6.63162,-0.0629893,1410.88,101411,10
2024-10-09,116.035,121.243,1.59703,6.41121,-0.0771375,1410.88,101411,10
2024-10-10,117.032,121.097,1.85613,6.21155,-0.102424,1410.88,101411,11
2024-10-11,117.479,122.701,1.94688,6.02957,-0.115596,1410.88,101411,14
2024-10-14,117.926,122.674,1.96379,5.86277,-0.120818,1410.88,101411,16
2024-10-15,114.381,121.972,0.807017,5.70916,-0.119153,1410.88,101411,11
2024-10-16,114.675,123.832,0.897264,5.56708,-0.104399,1410.88,101411,11
2024-10-17,114.381,123.44,0.744242,5.43514,-0.0910958,1410.88,101411,12
2024-10-18,114.058,123.914,0.616983,5.31219,-0.0803614,1410.88,101411,12
2024-10-21,114.124,119.72,0.498993,5.19726,-0.0803002,1410.88,101411,12
2024-10-22,114.713,119.72,0.647124,5.0895,-0.0782739,1410.88,101411,12
2024-10-23,114.305,119.793,0.510653,4.98819,-0.0819183,1410.88,101411,12
2024-10-24,113.659,126.12,0.413406,4.89272,-0.0652508,1410.88,101411,12
2024-10-25,113.563,125.281,0.31585,4.80254,-0.0513997,1410.88,101411,12
2024-10-28,113.003,123.376,0.0757546,4.71718,-0.0404203,1410.88,101411,12
2024-10-29,111.463,122.437,-0.423679,4.63623,-0.034154,1410.88,101411,12
2024-10-30,110.902,121.972,-0.60894,4.55932,-0.0263802,1410.88,101411,13
2024-10-31,110.988,122.209,-0.583275,4.48611,-0.0187761,1410.88,101411,13
2024-11-01,109.249,122.2,-1.08597,4.41633,-0.0118808,1410.88,101411,14
2024-11-04,112.727,121.243,-0.0664861,4.34972,-0.002466,1410.88,101411,11
2024-11-05,113.06,122.008,0.0045866,4.28603,0.00496977,1410.88,101411,12
2024-11-06,114.999,122.081,0.540216,4.22507,0.0176972,1410.88,101411,12
2024-11-07,115.141,122.291,0.534257,4.16664,0.0325727,1410.88,101411,11
2024-11-08,115.103,120.732,0.498894,4.11057,0.0371277,1410.88,101411,12
2024-11-11,114.495,119.975,0.299752,4.05671,0.0460048,1410.88,101411,11
2024-11-12,114.381,118.635,0.241277,4.00492,0.0535159,1410.88,101411,12
2024-11-13,115.445,121.862,0.456687,3.95506,0.067,1410.88,101411,12
2024-11-14,115.522,120.914,0.456561,3.90702,0.0710037,1410.88,101411,12
2024-11-15,114.324,122.218,0.0321727,3.86069,0.082842,1410.88,101411,13
2024-11-18,115.282,124.7,0.224295,3.81598,0.0957637,1410.88,101411,13
2024-11-19,113.673,122.919,-0.230449,3.77278,0.104155,1410.88,101411,13
2024-11-20,115.292,121.895,0.258587,3.73102,0.112035,1410.88,101411,13
2024-11-21,116.835,121.231,0.706445,3.69062,0.118716,1410.88,101411,13
2024-11-22,116.701,124.414,0.49822,3.6515,0.133365,1410.88,101411,13
2024-11-25,114.957,126.924,-0.192992,3.6136,0.149158,1410.88,101411,12
2024-11-26,113.04,124.544,-0.708169,3.57686,0.157039,1410.88,101411,12
2024-11-27,112.743,125.208,-0.875018,3.54122,0.160735,1410.88,101411,12
2024-11-29,113.031,125.245,-0.84537,3.50662,0.1684,1410.88,101411,11
2024-12-02,112.925,123.676,-0.830709,3.47302,0.181555,1410.88,101411,12
2024-12-03,112.753,119.699,-0.728899,3.44037,0.208082,1410.88,101411,10
2024-12-04,109.504,118.84,-1.78144,3.40862,0.236944,1410.88,101411,10
2024-12-05,109.983,117.742,-1.55641,3.37774,0.279606,1410.88,101411,10
2024-12-06,108.824,115.915,-1.75773,3.34768,0.32258,1410.88,101411,10
2024-12-09,108.182,118.61,-2.20817,3.31841,0.349385,1410.88,101411,13
2024-12-10,107.962,120.169,-2.36521,3.28989,0.400762,1410.88,101411,19
2024-12-11,107.243,119.154,-2.34492,3.2621,0.474365,1410.88,101411,22
2024-12-12,107.147,119.025,-2.22071,3.235,0.464842,1410.88,101411,27
2024-12-13,106.208,118.822,-2.31819,3.20857,0.461723,1410.88,101411,35
2025-04-16,100.729,88.1737,-0.741998,3.18277,0.302096,1410.88,101411,14
2025-04-17,103.368,90.261,-0.231867,3.15759,0.298531,1410.88,101411,13
2025-04-21,101.85,90.0925,-0.62231,3.13299,0.297985,1410.88,101411,13
2025-04-22,104.703,90.6448,0.0344644,3.10896,0.292807,1410.88,101411,12
2025-04-23,103.803,90.9911,-0.254352,3.08548,0.28947,1410.88,101411,13
2025-04-24,105.022,92.5917,-0.0756859,3.06252,0.285816,1410.88,101411,13
2025-04-25,104.964,91.6463,-0.0323629,3.04006,0.281992,1410.88,101411,13
2025-04-28,105.022,90.8788,0.0300252,3.0181,0.278026,1410.88,101411,13
2025-04-29,104.761,90.5418,-0.0192458,2.9966,0.27448,1410.88,101411,12
