Date,PriceA,PriceB,ZScore,Sharpe,Beta,PnL,Equity,Window Size
2025-04-30,102.121,89.2033,-0.617775,2.97555,0.274392,1410.88,101411,10
2025-05-01,102.266,88.5481,-0.502651,2.95495,0.273657,1410.88,101411,9
2025-05-02,102.682,90.2329,-0.490591,2.93476,0.273086,1410.88,101411,11
2025-05-05,99.8396,89.4467,-1.20776,2.91499,0.275911,1410.88,101411,11
2025-05-06,101.232,87.8086,-0.622595,2.8956,0.276082,1410.88,101411,9
2025-05-07,101.135,87.949,-0.632054,2.8766,0.276326,1410.88,101411,8
2025-05-08,102.547,90.7477,-0.401536,2.85797,0.275441,1410.88,101411,7
2025-05-09,103.745,89.7556,0.0938904,2.8397,0.272951,1410.88,101411,9
2025-05-12,105.534,94.7352,0.249527,2.82177,0.270446,1410.88,101411,8
2025-05-13,105.824,93.4248,0.470125,2.80418,0.26822,1410.88,101411,8
2025-05-14,104.877,93.275,0.159065,2.78691,0.266912,1410.88,101411,8
2025-05-15,105.94,93.9302,0.468412,2.76996,0.264792,1410.88,101411,8
2025-05-16,105.56,94.8382,0.256909,2.75332,0.263063,1410.88,101411,8
2025-05-19,103.881,94.2959,-0.277352,2.73697,0.261895,1410.88,101411,7
2025-05-20,102.398,92.8116,-0.64512,2.7209,0.261907,1410.88,101411,7
2025-05-21,101.14,91.1942,-0.907585,2.70512,0.26288,1410.88,101411,7
2025-05-22,100.466,92.2598,-1.19585,2.68961,0.264203,1410.88,101411,8
2025-05-23,100.525,90.7375,-0.982586,2.67437,0.265135,1410.88,101411,8
2025-05-27,101.003,92.8116,-0.970233,2.65938,0.266423,1410.88,101411,8
2025-05-28,99.6273,92.041,-1.32607,2.64463,0.268993,1410.88,101411,9
2025-05-29,100.193,93.3349,-1.20937,2.63014,0.271222,1410.88,101411,9
2025-05-30,99.8127,92.8021,-1.23087,2.61587,0.273733,1410.88,101411,10
2025-06-02,100.544,92.6309,-0.916517,2.60184,0.275255,1410.88,101411,10
2025-06-03,101.276,93.3159,-0.693332,2.58803,0.277597,1410.88,101411,9
2025-06-04,99.8127,93.7631,-1.19781,2.57444,0.280869,1410.88,101411,9
2025-06-05,99.3541,92.1647,-1.1472,2.56106,0.283901,1410.88,101411,9
2025-06-06,101.735,93.4776,-0.40687,2.54789,0.285308,1410.88,101411,8
2025-06-09,102.418,94.4862,-0.240383,2.53492,0.286361,1410.88,101411,8
2025-06-10,104.613,97.4832,0.271628,2.52214,0.286575,1410.88,101411,7
2025-06-11,106.652,96.2463,1.17193,2.50956,0.285476,1410.88,101411,7
2025-06-12,107.062,96.018,1.32732,2.49716,0.283842,1410.88,101411,8
2025-06-13,109.394,95.1426,2.19462,2.48494,0.280721,1410.88,101411,9
2025-06-16,109.745,96.1797,2.09601,2.4729,0.277309,1410.88,101411,10
2025-06-17,111.228,94.8287,2.57501,2.46104,0.272825,1410.88,101411,12
2025-06-18,110.438,94.391,2.26374,2.44934,0.26961,1410.88,101411,11
2025-06-20,111.911,94.4481,2.58243,2.43781,0.266882,1410.88,101411,14
2025-06-23,109.023,95.5232,1.51428,2.42644,0.264921,1410.88,101411,12
2025-06-24,105.706,95.7325,0.446191,2.41523,0.264207,1410.88,101411,10
2025-06-25,105.735,94.5432,0.533983,2.40417,0.261707,1410.88,101411,10
2025-06-26,107.316,95.7135,0.898296,2.39327,0.258006,1410.88,101411,10
2025-06-27,106.721,96.2653,0.65027,2.38251,0.254423,1410.88,101411,10
2025-06-30,105.179,96.037,0.190069,2.37189,0.250475,1410.88,101411,10
2025-07-01,106.584,99.3955,0.347841,2.36141,0.2462,1410.88,101411,10
2025-07-02,108.35,100.414,0.789751,2.35108,0.242863,1410.88,101411,11
2025-07-03,109.472,99.072,1.18627,2.34087,0.238669,1410.88,101411,11
2025-07-07,108.409,95.9513,1.04039,2.3308,0.233592,1410.88,101411,10
2025-07-08,111.414,97.407,1.77261,2.32086,0.227267,1410.88,101411,11
2025-07-09,111.033,97.1882,1.60115,2.31104,0.220699,1410.88,101411,10
2025-07-10,112.136,97.9208,1.80674,2.30135,0.215943,1410.88,101411,10
2025-07-11,112.623,96.351,1.97165,2.29178,0.210197,1410.88,101411,10
2025-07-14,111.15,95.2568,1.5693,2.28232,0.204831,1410.88,101411,8
2025-07-15,110.165,94.6955,1.22302,2.27299,0.199883,1410.88,101411,16
2025-07-16,109.501,94.7906,0.963217,2.26376,0.195387,1410.88,101411,16
2025-07-17,108.945,94.6669,0.755905,2.25465,0.190798,1410.88,101411,16
2025-07-18,105.15,94.4005,-0.415816,2.24565,0.188001,1410.88,101411,14
2025-07-21,105.423,94.0961,-0.314101,2.23675,0.185154,1410.88,101411,14
2025-07-22,105.901,96.2273,-0.284949,2.22796,0.182325,1410.88,101411,14
2025-07-23,107.257,98.5012,0.0103694,2.21927,0.179629,1410.88,101411,14
2025-07-24,108.096,97.5497,0.31963,2.21068,0.177492,1410.88,101411,14
2025-07-25,107.716,98.5297,0.140559,2.2022,0.175937,1410.88,101411,14
2025-07-28,108.73,96.6459,0.535754,2.1938,0.173683,1410.88,101411,15
2025-07-29,110.135,86.4276,1.43879,2.18551,0.168786,1410.88,101411,16
2025-07-30,109.179,82.9454,1.22472,2.17731,0.161142,1410.88,101411,16
2025-07-31,108.926,81.9749,1.10027,2.16919,0.153286,1410.88,101411,14
2025-08-01,106.974,80.3955,0.499895,2.16117,0.145537,1410.88,101411,14
2025-08-04,104.759,80.8903,-0.250035,2.15324,0.139884,1410.88,101411,13
2025-08-05,104.633,82.5648,-0.391819,2.14539,0.134891,1410.88,101411,14
2025-08-06,103.92,82.0605,-0.601603,2.13763,0.130882,1410.88,101411,14
2025-08-07,103.374,82.2889,-0.775623,2.12996,0.127584,1410.88,101411,15
2025-08-08,104.203,82.4601,-0.537225,2.12236,0.122425,1410.88,101411,15
2025-08-11,103.257,82.1176,-0.815863,2.11485,0.118024,1410.88,101411,15
2025-08-12,103.55,83.1832,-0.760543,2.10741,0.113996,1410.88,101411,15
2025-08-13,104.984,83.8968,-0.369658,2.10005,0.107811,1410.88,101411,15
2025-08-14,104.769,84.2488,-0.46618,2.09277,0.103188,1410.88,101411,15
2025-08-15,104.868,84.1822,-0.464811,2.08557,0.0973697,1410.88,101411,14
2025-08-18,105.094,83.8623,-0.428203,2.07844,0.0903067,1410.88,101411,13
2025-08-19,105.784,85.1128,-0.30555,2.07138,0.081987,1410.88,101411,12
2025-08-20,106.877,84.2791,-0.00140695,2.06439,0.0735547,1410.88,101411,12
2025-08-21,107.566,83.5133,0.176734,2.05747,0.0664775,1410.88,101411,12
2025-08-22,109.585,86.1016,0.712591,2.05062,0.0586013,1410.88,101411,11
2025-08-25,110.038,85.0547,0.811729,2.04384,0.0497198,1410.88,101411,10
2025-08-26,109.791,84.7832,0.663521,2.03713,0.0411174,1410.88,101411,9
2025-08-27,111.032,85.171,1.01871,2.03048,0.0326899,1410.88,101411,10
2025-08-28,111.623,84.599,1.15949,2.0239,0.0262317,1410.88,101411,10
2025-08-29,112.549,84.7638,1.42241,2.01738,0.0190525,1410.88,101411,9
2025-09-02,112.943,82.6215,1.50893,2.01092,0.0120024,1410.88,101411,8
2025-09-03,110.205,82.6796,0.398251,2.00453,0.00709903,1410.88,101411,8
2025-09-04,110.688,81.8944,0.520458,1.99819,0.00175835,1410.88,101411,7
2025-09-05,107.566,82.4373,-0.762289,1.99192,-0.000687362,1410.88,101411,7
2025-09-08,108.176,81.7393,-0.532824,1.9857,-0.00354035,1410.88,101411,8
2025-09-09,108.964,81.8169,-0.236653,1.97954,-0.00617968,1410.88,101411,8
2025-09-10,110.786,81.2837,0.476479,1.97344,-0.0083405,1410.88,101411,8
2025-09-11,110.432,82.0592,0.323614,1.9674,-0.00975715,1410.88,101411,8
2025-09-12,110.451,81.7684,0.338115,1.96141,-0.0104315,1410.88,101411,7
2025-09-15,110.638,81.4485,0.414677,1.95547,-0.0108041,1410.88,101411,7
2025-09-16,112.933,82.5924,1.39775,1.94959,-0.0120276,1410.88,101411,6
2025-09-17,113.534,81.6036,1.56794,1.94376,-0.0140401,1410.88,101411,9
2025-09-18,112.194,82.447,0.944021,1.93798,-0.0148225,1410.88,101411,9
2025-09-19,111.101,81.4873,0.435141,1.93225,-0.0150166,1410.88,101411,8
2025-09-22,110.313,81.6521,0.0816207,1.92658,-0.0145663,1410.88,101411,9
2025-09-23,112.214,81.8266,0.839417,1.92095,-0.0147536,1410.88,101411,9
2025-09-24,112.815,81.3322,1.02324,1.91538,-0.0165373,1410.88,101411,8
2025-09-25,113.829,80.0526,1.35125,1.90985,-0.0192493,1410.88,101411,9
2025-09-26,115.434,81.1577,1.88844,1.90437,-0.0229217,1410.88,101411,11
2025-09-29,112.48,81.9138,0.650971,1.89893,-0.0242754,1410.88,101411,9
2025-09-30,111.032,80.9735,0.0311064,1.89354,-0.025493,1410.88,101411,8
2025-10-01,110.284,81.7975,-0.254102,1.8882,-0.0244226,1410.88,101411,8
2025-10-02,109.595,82.9511,-0.510933,1.8829,-0.0228466,1410.88,101411,8
2025-10-03,111.535,84.124,0.306775,1.87765,-0.0239577,1410.88,101411,8
2025-10-06,112.46,83.9689,0.702876,1.87244,-0.0258344,1410.88,101411,7
2025-10-07,112.519,83.3485,0.705812,1.86728,-0.0294838,1410.88,101411,8
2025-10-08,112.283,83.6103,0.584219,1.86215,-0.0329552,1410.88,101411,8
2025-10-09,111.19,82.67,0.0750327,1.85707,-0.0371537,1410.88,101411,8
2025-10-10,109.043,80.3337,-0.890528,1.85203,-0.0397384,1410.88,101411,8
2025-10-13,110.53,80.6342,-0.280281,1.84703,-0.0408998,1410.88,101411,8
2025-10-14,110.579,81.4776,-0.28254,1.84207,-0.042851,1410.88,101411,8
2025-10-15,109.91,81.5164,-0.603853,1.83715,-0.042263,1410.88,101411,7
2025-10-16,108.954,83.0189,-1.00875,1.83227,-0.0432728,1410.88,101411,8
2025-10-17,110.53,83.7654,-0.294166,1.82743,-0.041465,1410.88,101411,8
2025-10-20,110.983,84.2501,-0.101297,1.82263,-0.0406636,1410.88,101411,7
2025-10-21,110.993,85.3649,-0.0914242,1.81786,-0.0413058,1410.88,101411,8
2025-10-22,112.962,84.4149,0.771074,1.81313,-0.0412073,1410.88,101411,8
2025-10-23,114.213,84.3664,1.29667,1.80844,-0.042421,1410.88,101411,8
2025-10-24,113.632,84.5506,1.00664,1.80379,-0.0447364,1410.88,101411,8
2025-10-27,114.174,86.4894,1.22919,1.79917,-0.0464481,1410.88,101411,9
2025-10-28,113.278,93.4108,0.919216,1.79458,-0.044202,1410.88,101411,9
2025-10-29,114.676,94.419,1.4833,1.79003,-0.0416934,1410.88,101411,9
2025-10-30,112.943,92.1506,0.630314,1.78552,-0.0415103,1410.88,101411,8
2025-10-31,112.618,93.469,0.469047,1.78104,-0.0413763,1410.88,101411,7
2025-11-03,112.027,91.2103,0.101997,1.77659,-0.0392306,1410.88,101411,7
2025-11-04,112.401,90.396,0.216784,1.77217,-0.0377183,1410.88,101411,6
2025-11-05,111.948,90.0664,-0.0763064,1.76779,-0.036152,1410.88,101411,5
2025-11-06,112.756,90.7353,0.319892,1.76344,-0.0361821,1410.88,101411,5
2025-11-07,115.434,93.0134,1.75488,1.75912,-0.0353561,1410.88,101411,5
2025-11-10,116.419,90.2118,2.14707,1.75484,-0.0379838,1410.88,101411,5
2025-11-11,117.955,92.1215,2.8251,1.75058,-0.0378867,1410.88,101411,6
2025-11-12,116.32,93.2364,1.88733,1.74636,-0.0376585,1410.88,101411,5
2025-11-13,116.98,93.0328,2.09825,1.74217,-0.0354797,1410.88,101411,6
2025-11-14,118.5,93.0425,2.64601,1.738,-0.0325777,1410.88,101411,7
2025-11-17,116.901,92.8945,1.74066,1.73387,-0.030545,1410.88,101411,7
2025-11-18,118.242,91.5532,2.20353,1.72977,-0.0309738,1410.88,101411,8
2025-11-19,116.573,91.139,1.34691,1.72569,-0.0258185,1410.88,101411,7
2025-11-20,116.245,89.6202,1.12463,1.72164,-0.0214079,1410.88,101411,7
2025-11-21,116.305,93.3581,1.11744,1.71763,-0.00961598,1410.88,101411,8
2025-11-24,115.202,92.2732,0.591238,1.71363,-0.000979612,1410.88,101411,7
2025-11-25,113.752,93.2397,-0.0702379,1.70967,0.00648795,1410.88,101411,7
2025-11-26,114.01,94.3542,0.0158224,1.70574,0.00931667,1410.88,101411,8
2025-11-28,115.152,94.4725,0.478925,1.70183,0.0175383,1410.88,101411,8
2025-12-01,115.858,93.9104,0.736516,1.69795,0.0259636,1410.88,101411,7
2025-12-02,114.616,94.2654,0.0948816,1.69409,0.0357118,1410.88,101411,7
2025-12-03,117.02,96.8592,1.09473,1.69026,0.0438109,1410.88,101411,7
2025-12-04,116.364,93.4567,0.811153,1.68646,0.0452565,1410.88,101411,8
2025-12-05,115.768,93.5652,0.49046,1.68268,0.0472343,1410.88,101411,7
2025-12-08,115.212,94.2358,0.192035,1.67893,0.0453299,1410.88,101411,7
2025-12-09,117.467,95.6363,1.16953,1.6752,0.0450283,1410.88,101411,7
2025-12-10,118.748,98.2696,1.61415,1.6715,0.0507865,1410.88,101411,8
2025-12-11,118.748,99.098,1.50632,1.66782,0.0573146,1410.88,101411,9
2025-12-12,118.033,99.532,1.10127,1.66417,0.0634971,1410.88,101411,9
2025-12-15,116.98,98.6937,0.626933,1.66054,0.0636928,1410.88,101411,8
2025-12-16,113.921,98.7331,-0.733314,1.65693,0.0606114,1410.88,101411,7
2025-12-17,116.633,99.5714,0.427243,1.65335,0.0630687,1410.88,101411,7
2025-12-18,115.768,100.676,0.00925698,1.64979,0.0627173,1410.88,101411,7
2025-12-19,115.917,100.518,0.0830579,1.64625,0.0627636,1410.88,101411,7
2025-12-22,117.368,99.3446,0.761454,1.64274,0.0640078,1410.88,101411,7
2025-12-23,118.629,98.812,1.22647,1.63925,0.0772732,1410.88,101411,8
2025-12-24,118.431,99.2756,0.987208,1.63578,0.0919909,1410.88,101411,8
2025-12-26,118.321,99.1572,0.826765,1.63233,0.103068,1410.88,101411,8
2025-12-29,119.732,98.309,1.38653,1.6289,0.108256,1410.88,101411,8
2025-12-30,120.189,98.2696,1.43729,1.6255,0.124251,1410.88,101411,9
2025-12-31,119.543,97.8258,1.04779,1.62212,0.135293,1410.88,101411,9
2026-01-02,121.838,99.6306,1.75383,1.61875,0.151809,1410.88,101411,10
2026-01-05,124.53,100.597,2.50317,1.61541,0.17518,1410.88,101411,13
2026-01-06,120.249,103.773,0.368097,1.61209,0.190884,1410.88,101411,7
2026-01-07,117.705,103.96,-0.829645,1.60879,0.198129,1410.88,101411,6
2026-01-08,122.096,105.499,0.749902,1.60551,0.216611,1410.88,101411,5
2026-01-09,123.785,106.574,1.16719,1.60225,0.237624,1410.88,101411,5
2026-01-12,123.209,106.544,0.722761,1.59901,0.256296,1410.88,101411,5
2026-01-13,125.702,105.114,1.84924,1.59579,0.277364,1410.88,101411,4
2026-01-14,129.338,105.923,3.0001,1.59259,0.305434,1410.88,101411,5
2026-01-15,128.275,107.126,2.03608,1.58941,0.330156,1410.88,101411,5
2026-01-16,129.03,105.44,2.32773,1.58624,0.352479,1410.88,101411,5
2026-01-20,129.596,105.075,2.30967,1.5831,0.373778,1410.88,101411,6
2026-01-21,132.725,106.988,2.8462,1.57997,0.399301,1410.88,101411,8
2026-01-22,132.755,107.797,2.35793,1.57686,0.423301,1410.88,101411,8
2026-01-23,134.076,106.495,2.65711,1.57378,0.447901,1410.88,101411,10
2026-01-26,133.947,105.499,2.43784,1.5707,0.468689,1410.88,101411,11
2026-01-27,135.924,105.726,2.69169,1.56765,0.490246,1410.88,101411,15
2026-01-28,136.669,102.274,3.05125,1.56462,0.507484,1410.88,101411,25
2026-01-29,139.58,104.532,3.10248,1.5616,0.532694,1410.88,101411,42
2026-01-30,140.464,104.759,2.9152,1.5586,0.557545,1410.88,101411,42
2026-02-02,137.484,108.753,1.36359,1.55561,0.584282,1410.88,101411,13
2026-02-03,142.778,110.312,2.18616,1.55265,0.61738,1410.88,101411,15
2026-02-04,146.613,115.134,2.0294,1.5497,0.656984,1410.88,101411,16
2026-02-05,145.113,114.947,1.41417,1.54677,0.690181,1410.88,101411,15
2026-02-06,148.063,115.726,1.68156,1.54385,0.726404,1410.88,101411,17
2026-02-09,150.209,116.298,1.76592,1.54095,0.762764,1410.88,101411,20
2026-02-10,150.586,117.067,1.44117,1.53807,0.794977,1410.88,101411,18
2026-02-11,154.53,118.35,1.78155,1.5352,0.829214,1410.88,101411,22
2026-02-12,149.93,116.446,0.924581,1.53235,0.853749,1410.88,101411,16
2026-02-13,148.45,117.6,0.241678,1.52951,0.872111,1410.88,101411,15
2026-02-17,146.19,115.51,0.0318195,1.52669,0.888154,1410.88,101411,15
2026-02-18,150.68,116.12,0.742053,1.52389,0.907955,1410.88,101411,15
2026-02-19,150.97,115.54,0.762684,1.5211,0.927801,1410.88,101411,14
2026-02-20,147.28,116.73,-0.391808,1.51833,0.940337,1410.88,101411,12
2026-02-23,150.76,115.02,0.593317,1.51557,0.956808,1410.88,101411,11
2026-02-24,149.26,115.37,0.0640908,1.51283,0.970767,1410.88,101411,10
2026-02-25,149.06,113.85,0.229749,1.5101,0.984476,1410.88,101411,10
2026-02-26,148.54,116.63,-0.611005,1.50738,0.993981,1410.88,101411,10
2026-02-27,152.5,115.96,0.327432,1.50469,1.00849,1410.88,101411,9
2026-03-02,154.22,114.42,0.940782,1.502,1.025,1410.88,101411,9
2026-03-03,151.83,113.23,0.533,1.49933,1.04096,1410.88,101411,9
2026-03-04,149.82,110.5,0.619726,1.49667,1.05374,1410.88,101411,9
2026-03-05,150.76,104.07,2.24953,1.49403,1.06491,1410.88,101411,9
2026-03-06,151.21,102.36,2.53753,1.4914,1.07427,1410.88,101411,11
2026-03-09,150.44,99.94,2.667,1.48879,1.08171,1410.88,101411,15
2026-03-10,148.13,100.92,1.82912,1.48619,1.08852,1410.88,101411,12
2026-03-11,151.58,100.8,2.34875,1.4836,1.09596,1410.88,101411,15
2026-03-12,153.53,97.89,2.99841,1.48103,1.10059,1410.88,101411,28
