Date,KO,INTC,VIX,AvgVIX,zscore
2020-01-30,48.630104064941406,58.632652282714844,15.489999771118164,13.696000051498412,1.26707202483707
2020-01-31,48.25005340576172,56.392127990722656,18.84000015258789,14.014500045776368,0.9804464994732083
2020-02-03,48.398765563964844,56.82435989379883,17.969999313354492,14.211999988555908,1.0517656250265626
2020-02-04,48.61356735229492,57.74173355102539,16.049999237060547,14.32199993133545,1.1817040820786398
2020-02-05,48.62184143066406,59.400054931640625,15.149999618530273,14.389999914169312,1.3358209839774509
2020-02-06,48.737518310546875,59.470985412597656,14.960000038146973,14.465499925613404,1.3669241002914003
2020-02-07,48.902740478515625,58.522499084472656,15.470000267028809,14.611999940872192,1.3148988157801955
2020-02-10,49.36541748046875,58.85047912597656,15.039999961853027,14.735999917984008,1.443371009892782
2020-02-11,49.23322677612305,59.75464630126953,15.180000305175781,14.878999948501587,1.498345096935816
2020-02-12,49.084510803222656,59.7989501953125,13.739999771118164,14.946499919891357,1.4708068935260443
2020-02-13,49.249755859375,59.78123092651367,14.149999618530273,15.032999897003174,1.504300710164422
2020-02-14,49.53065872192383,59.63053894042969,13.680000305175781,15.100999927520752,1.5501599800189634
2020-02-18,49.183650970458984,58.628868103027344,14.829999923706055,15.237499904632568,1.3843771905602174
2020-02-19,49.38195037841797,59.488712310791016,14.380000114440918,15.313999891281128,1.505522653757501
2020-02-20,49.340633392333984,58.01721954345703,15.5600004196167,15.446499919891357,1.3615475756030406
2020-02-21,49.679378509521484,57.03327560424805,17.079999923706055,15.651499938964843,1.343145810259781
2020-02-24,48.456600189208984,54.74627685546875,25.030000686645508,16.174999952316284,0.8731340951273663
2020-02-25,47.77085876464844,52.946807861328125,27.850000381469727,16.655999994277956,0.5620579237401009
2020-02-26,47.589080810546875,52.87590026855469,27.559999465942383,17.219999933242796,0.51690755176536
2020-02-27,45.38313674926758,49.48970031738281,39.15999984741211,18.35849995613098,-0.2630588487222762
2020-02-28,44.193416595458984,49.21492385864258,40.11000061035156,19.589499998092652,-0.541171312368391
2020-03-02,46.20106506347656,51.57284164428711,33.41999816894531,20.318499898910524,0.10217519601861928
2020-03-03,46.31674575805664,49.61381530761719,36.81999969482422,21.26099991798401,-0.05322318749582214
2020-03-04,48.67966842651367,52.01605224609375,31.989999771118164,22.05799994468689,0.6697063917292151
2020-03-05,46.8785514831543,50.491390228271484,39.619998931884766,23.281499910354615,0.14681221675216471
2020-03-06,45.65578079223633,49.436527252197266,41.939998626708984,24.630499839782715,-0.2099953856898906
2020-03-09,42.846702575683594,45.07526397705078,54.459999084472656,26.57999978065491,-1.207738031053341
2020-03-10,44.3338623046875,47.84981155395508,47.29999923706055,28.192999744415282,-0.6367401912968137
2020-03-11,43.1358757019043,45.79327392578125,53.900001525878906,30.12899980545044,-1.0803089675632025
2020-03-12,38.96356964111328,40.368282318115234,75.47000122070312,33.21549987792969,-2.465526985375695
2020-03-13,40.397090911865234,48.24870681762695,57.83000183105469,35.39949998855591,-1.436827142514306
2020-03-16,37.721736907958984,39.54389953613281,82.69000244140625,38.850000095367434,-2.8052107313778296
2020-03-17,39.32195281982422,44.39271926879883,75.91000366210938,41.9040002822876,-2.019609743612929
2020-03-18,37.3800163269043,42.203208923339844,76.44999694824219,45.007500123977664,-2.633517158114711
2020-03-19,34.86301803588867,40.72285461425781,72.0,47.829500102996825,-3.30449654142499
2020-03-20,31.920949935913086,40.6253547668457,66.04000091552734,50.27750015258789,-3.938772008091675
2020-03-23,31.30420684814453,43.949485778808594,61.59000015258789,52.10550012588501,-3.764452205197554
2020-03-24,32.8794059753418,46.44923400878906,61.66999816894531,53.796500015258786,-3.1999893509472366
2020-03-25,34.679664611816406,45.4387092590332,63.95000076293945,55.61600008010864,-2.910197922820414
2020-03-26,36.91328048706055,49.2326545715332,61.0,56.708000087738036,-2.086888445417312
2020-03-27,35.67979431152344,46.422645568847656,65.54000091552734,57.97950010299682,-2.6072276206527616
2020-03-30,37.505043029785156,49.188331604003906,57.08000183105469,59.16250028610229,-1.965185293298597
2020-03-31,36.87995910644531,47.973899841308594,53.540000915527344,59.99850034713745,-2.209618798921175
2020-04-01,35.104732513427734,45.98829650878906,57.060001373291016,61.252000427246095,-2.7693591359681387
2020-04-02,36.629920959472656,48.177791595458984,50.90999984741211,61.81650047302246,-2.244030242413612
2020-04-03,36.529903411865234,47.98277282714844,46.79999923706055,62.059500503540036,-2.2832056814024613
2020-04-06,38.89689636230469,51.794437408447266,45.2400016784668,61.598500633239745,-1.4299198057766578
2020-04-07,38.7635498046875,51.76785659790039,46.70000076293945,61.568500709533694,-1.4607038719545813
2020-04-08,39.85535430908203,52.281986236572266,43.349998474121094,61.041000556945804,-1.1814121736087473
2020-04-09,40.83881759643555,50.65095520019531,41.66999816894531,59.35100040435791,-1.1222343712751215
2020-04-13,39.11358642578125,52.033782958984375,41.16999816894531,58.51800022125244,-1.3618738496314193
2020-04-14,40.77214050292969,53.77119827270508,37.7599983215332,56.27150001525879,-0.8497337836626903
2020-04-15,39.680328369140625,52.18446731567383,40.84000015258789,54.51799983978272,-1.2275723645054852
2020-04-16,39.25527572631836,53.88643264770508,40.11000061035156,52.70100002288818,-1.1615464836938418
2020-04-17,40.05537796020508,53.50526809692383,38.150001525878906,51.00850009918213,-1.026509394263901
2020-04-20,38.78021240234375,52.45927810668945,43.83000183105469,49.898000144958495,-1.3936379832519055
2020-04-21,37.82175064086914,49.95952606201172,45.40999984741211,49.089000129699706,-1.8270176244834213
2020-04-22,38.07176971435547,53.274784088134766,41.97999954223633,48.104500198364256,-1.4692883003372137
2020-04-23,37.56338119506836,52.335174560546875,41.380001068115234,46.976000213623045,-1.6636696511545244
2020-04-24,37.8634147644043,52.530189514160156,35.93000030517578,45.722500228881835,-1.5819824426669582
2020-04-27,38.98857498168945,52.716339111328125,33.290000915527344,44.11000022888184,-1.3257343727504616
2020-04-28,38.955238342285156,52.07810592651367,33.56999969482422,42.93450012207031,-1.391457543868739
2020-04-29,39.271949768066406,54.78173828125,31.229999542236328,41.81900005340576,-1.0757463058489733
2020-04-30,38.246803283691406,53.168418884277344,34.150001525878906,40.673500061035156,-1.4418583446357291
2020-05-01,38.00511169433594,50.943477630615234,37.189998626708984,39.9875,-1.6976448470401118
2020-05-04,37.6217155456543,51.4044189453125,35.970001220703125,39.44600009918213,-1.7367842448224102
2020-05-05,37.838417053222656,52.07810592651367,33.61000061035156,38.86450004577637,-1.6288307313760684
2020-05-06,37.29667663574219,52.75560760498047,34.119998931884766,38.235499954223634,-1.6817286994511291
2020-05-07,37.17165756225586,52.746681213378906,31.440000534057617,37.64000005722046,-1.7091208124112378
2020-05-08,38.43016052246094,53.19241714477539,27.979999542236328,36.95550012588501,-1.4006821014042121
2020-05-11,37.9550895690918,53.602474212646484,27.56999969482422,36.275500202178954,-1.4639813806347313
2020-05-12,37.355018615722656,52.051361083984375,33.040000915527344,36.03950033187866,-1.7340311453829558
2020-05-13,36.62158966064453,51.471927642822266,35.279998779296875,35.76150026321411,-1.9431522116506426
2020-05-14,36.42156219482422,52.66646194458008,32.61000061035156,35.38650026321411,-1.8759189085432009
2020-05-15,36.054840087890625,51.95329666137695,31.889999389648438,35.07350015640259,-2.0193854057871636
2020-05-18,37.48003387451172,53.41526794433594,29.299999237060547,34.34700002670288,-1.5821509939571774
2020-05-19,37.12166213989258,53.7451057434082,30.530000686645508,33.60300006866455,-1.6280167506613619
2020-05-20,38.246803283691406,56.25005340576172,27.989999771118164,32.90350008010864,-1.1587331304707207
2020-05-21,37.6467170715332,55.251651763916016,29.530000686645508,32.31100006103516,-1.3780057629019318
2020-05-22,37.53004455566406,55.501251220703125,28.15999984741211,31.92250003814697,-1.3798718027949426
2020-05-26,38.413490295410156,55.572566986083984,28.010000228881836,31.658500003814698,-1.1855489515306075
2020-05-27,38.946895599365234,56.660125732421875,27.6200008392334,31.361000061035156,-0.9722576073944021
2020-05-28,39.246944427490234,55.002037048339844,28.59000015258789,31.229000091552734,-1.0608210780215843
