Date,WFC,AMAT,VIX,AvgVIX,zscore
2020-01-30,40.615787506103516,56.85921096801758,15.489999771118164,13.696000051498412,2.9126355063103686
2020-01-31,39.7934684753418,54.72639083862305,18.84000015258789,14.014500045776368,2.776943298852717
2020-02-03,39.9460563659668,56.359031677246094,17.969999313354492,14.211999988555908,2.7940584287046852
2020-02-04,40.06474304199219,59.46387481689453,16.049999237060547,14.32199993133545,2.7954084249581546
2020-02-05,40.95489501953125,60.209407806396484,15.149999618530273,14.389999914169312,2.9524850569594316
2020-02-06,41.1091194152832,59.63374328613281,14.960000038146973,14.465499925613404,2.984294617421193
2020-02-07,40.98916244506836,58.23703384399414,15.470000267028809,14.611999940872192,2.971577606234996
2020-02-10,40.929176330566406,59.37894058227539,15.039999961853027,14.735999917984008,2.9532204033205094
2020-02-11,41.117679595947266,60.822837829589844,15.180000305175781,14.878999948501587,2.9780997669683935
2020-02-12,40.946327209472656,61.69107437133789,13.739999771118164,14.946499919891357,2.9412668918283513
2020-02-13,41.229068756103516,63.57850646972656,14.149999618530273,15.032999897003174,2.9803985853516695
2020-02-14,41.31473922729492,63.0877685546875,13.680000305175781,15.100999927520752,2.9991831052661886
2020-02-18,40.26089859008789,61.68665313720703,14.829999923706055,15.237499904632568,2.8166020981458693
2020-02-19,40.3465690612793,63.81672668457031,14.380000114440918,15.313999891281128,2.8183006296680984
2020-02-20,40.560768127441406,62.860565185546875,15.5600004196167,15.446499919891357,2.8635014140678012
2020-02-21,40.86921310424805,60.84409713745117,17.079999923706055,15.651499938964843,2.932759985399256
2020-02-24,39.746795654296875,57.82414245605469,25.030000686645508,16.174999952316284,2.748257220687808
2020-02-25,38.6586799621582,55.722476959228516,27.850000381469727,16.655999994277956,2.5640080049075498
2020-02-26,37.81901168823242,56.62183380126953,27.559999465942383,17.219999933242796,2.40539178761549
2020-02-27,36.38816833496094,53.96161651611328,39.15999984741211,18.35849995613098,2.162434729157729
2020-02-28,35.000144958496094,55.02192306518555,40.11000061035156,19.589499998092652,1.9030121098035886
2020-03-02,36.20823287963867,56.95317840576172,33.41999816894531,20.318499898910524,2.110197714521063
2020-03-03,34.72597885131836,54.94618606567383,36.81999969482422,21.26099991798401,1.8536293905037782
2020-03-04,35.47139358520508,57.29398727416992,31.989999771118164,22.05799994468689,1.973929581594946
2020-03-05,33.329383850097656,55.978084564208984,39.619998931884766,23.281499910354615,1.5928326176734966
2020-03-06,31.778594970703125,54.70951461791992,41.939998626708984,24.630499839782715,1.3189823549052357
2020-03-09,27.82875633239746,49.294403076171875,54.459999084472656,26.57999978065491,0.6357281679232692
2020-03-10,30.05643081665039,53.175872802734375,47.29999923706055,28.192999744415282,1.0156834878630954
2020-03-11,27.700244903564453,49.69203567504883,53.900001525878906,30.12899980545044,0.6097569795023553
2020-03-12,23.30487060546875,42.70541763305664,75.47000122070312,33.21549987792969,-0.1443041409325031
2020-03-13,26.466453552246094,48.17732238769531,57.83000183105469,35.39949998855591,0.3951798065386943
2020-03-16,22.705120086669922,38.369544982910156,82.69000244140625,38.850000095367434,-0.22514406945709295
2020-03-17,25.386890411376953,42.46875,75.91000366210938,41.9040002822876,0.23600116648041633
2020-03-18,24.09312629699707,37.091514587402344,76.44999694824219,45.007500123977664,0.03569484507888136
2020-03-19,24.23878288269043,38.04767990112305,72.0,47.829500102996825,0.05595920847884879
2020-03-20,22.705120086669922,35.96494674682617,66.04000091552734,50.27750015258789,-0.20946765085955207
2020-03-23,21.634117126464844,38.02873992919922,61.59000015258789,52.10550012588501,-0.41775979231428656
2020-03-24,24.778562545776367,42.733821868896484,61.66999816894531,53.796500015258786,0.1236056717539614
2020-03-25,24.821401596069336,42.34566116333008,63.95000076293945,55.61600008010864,0.13392953513059852
2020-03-26,26.475021362304688,46.57740783691406,61.0,56.708000087738036,0.40716887172971944
2020-03-27,25.943809509277344,42.64860534667969,65.54000091552734,57.97950010299682,0.33614370853038
2020-03-30,25.635356903076172,44.7786750793457,57.08000183105469,59.16250028610229,0.2661431400608793
2020-03-31,24.590068817138672,43.377567291259766,53.540000915527344,59.99850034713745,0.08511796885416162
2020-04-01,22.765090942382812,40.99190139770508,57.060001373291016,61.252000427246095,-0.2313301931202141
2020-04-02,23.322010040283203,40.93509292602539,50.90999984741211,61.81650047302246,-0.12964475669903275
2020-04-03,22.473777770996094,40.02627182006836,46.79999923706055,62.059500503540036,-0.2780307958372
2020-04-06,24.53009033203125,43.689979553222656,45.2400016784668,61.598500633239745,0.07216991907326076
2020-04-07,24.650043487548828,45.024810791015625,46.70000076293945,61.568500709533694,0.08528964198674314
2020-04-08,25.943809509277344,48.7169303894043,43.349998474121094,61.041000556945804,0.296582170919584
2020-04-09,28.445653915405273,46.94661331176758,41.66999816894531,59.35100040435791,0.7632606390305655
