Date,CL,XLU,VIX,AvgVIX,zscore
2022-01-31,74.4527816772461,30.44284439086914,24.829999923706055,23.18100004196167,1.7888194211335755
2022-02-01,73.97419738769531,30.038406372070312,21.959999084472656,23.448999977111818,1.7011131399704633
2022-02-02,74.76883697509766,30.482404708862305,22.09000015258789,23.707999992370606,1.9110287246370896
2022-02-03,74.70563507080078,30.34613037109375,24.350000381469727,23.939000034332274,1.9228595246742664
2022-02-04,73.25179290771484,30.104347229003906,23.219999313354492,24.119499969482423,1.377599991986446
2022-02-07,73.25179290771484,30.060386657714844,22.860000610351562,24.324499988555907,1.390021063837812
2022-02-08,73.0711898803711,30.082368850708008,21.440000534057617,24.426500034332275,1.3075887989664767
2022-02-09,73.02605438232422,30.214248657226562,19.959999084472656,24.503999996185303,1.2512772646044388
2022-02-10,71.98758697509766,29.449329376220703,23.90999984741211,24.818499946594237,1.0291335811629498
2022-02-11,71.8160171508789,29.46691131591797,27.360000610351562,25.171000003814697,0.951756956561332
2022-02-14,71.57221221923828,29.216341018676758,28.329999923706055,25.62799997329712,0.9196609222507985
2022-02-15,70.95816040039062,29.08005714416504,25.700000762939453,25.773499965667725,0.6990152794817212
2022-02-16,70.74143981933594,29.1460018157959,24.290000915527344,25.795499992370605,0.5889184537875938
2022-02-17,71.4728775024414,29.163585662841797,28.110000610351562,25.92150001525879,0.8926440204948033
2022-02-18,71.8340835571289,29.11082649230957,27.75,25.866499996185304,1.059993519098403
2022-02-22,71.20198059082031,29.08005714416504,28.809999465942383,25.811999988555907,0.8019164619242348
2022-02-23,71.01234436035156,28.587697982788086,31.020000457763672,25.805000019073486,0.8609991447481504
2022-02-24,68.2491455078125,28.81629753112793,30.31999969482422,25.723000049591064,-0.36976433805798065
2022-02-25,70.56083679199219,29.708698272705078,27.59000015258789,25.57800006866455,0.35370722071319344
2022-02-28,69.48625183105469,29.862560272216797,30.149999618530273,25.70250005722046,-0.14328132345271843
2022-03-01,68.6645278930664,29.60318946838379,33.31999969482422,26.127000045776366,-0.4167940723693841
2022-03-02,69.260498046875,29.963674545288086,30.739999771118164,26.566000080108644,-0.2671276774374886
2022-03-03,69.89261627197266,30.491201400756836,30.479999542236328,26.985500049591064,-0.14940315468270382
2022-03-04,69.85649108886719,31.163801193237305,31.979999542236328,27.367000007629393,-0.35469258622124716
2022-03-07,69.24244689941406,31.568248748779297,36.45000076293945,28.028500080108643,-0.7281188276023954
2022-03-08,67.60801696777344,31.08027458190918,35.130001068115234,28.642000102996825,-1.2800317668544519
2022-03-09,68.21302032470703,30.860464096069336,32.45000076293945,29.192500114440918,-0.9625903490841671
2022-03-10,66.67791748046875,31.06708526611328,30.229999542236328,29.706000137329102,-1.6688416746577996
2022-03-11,66.61468505859375,30.961580276489258,30.75,30.048000144958497,-1.665717642193766
2022-03-14,66.78627014160156,30.926406860351562,31.770000457763672,30.268500137329102,-1.5833641011722877
2022-03-15,68.16787719726562,31.322053909301758,29.829999923706055,30.3435001373291,-1.112064758985207
2022-03-16,67.8608627319336,31.264917373657227,26.670000076293945,30.392000102996825,-1.2254923298756693
2022-03-17,67.84278869628906,31.39678955078125,25.670000076293945,30.461000061035158,-1.2703807656211672
2022-03-18,65.19699096679688,31.128631591796875,23.8700008392334,30.249000072479248,-2.3112376368506995
2022-03-21,66.95787048339844,31.33662223815918,23.530000686645508,30.038000106811523,-1.6268488500760463
2022-03-22,67.2739028930664,31.380884170532227,22.940000534057617,29.744500160217285,-1.5059776487095222
2022-03-23,66.48827362060547,31.425125122070312,23.56999969482422,29.37200012207031,-1.8500426945933315
2022-03-24,66.50634002685547,31.748197555541992,21.670000076293945,28.9395001411438,-1.933702207134533
2022-03-25,67.5267333984375,32.20843505859375,20.809999465942383,28.600500106811523,-1.6330985159579352
2022-03-28,68.07756805419922,32.41644287109375,19.6299991607666,28.07450008392334,-1.4593984845723378
2022-03-29,68.80899810791016,32.71736145019531,18.899999618530273,27.353500080108642,-1.2357324464328439
2022-03-30,68.95347595214844,32.98731994628906,19.329999923706055,26.78300008773804,-1.2510342757720108
2022-03-31,68.47488403320312,32.9519157409668,20.559999465942383,26.28700008392334,-1.443014385197121
2022-04-01,69.0076675415039,33.41216278076172,19.6299991607666,25.669500064849853,-1.3482028739628131
2022-04-04,69.16117095947266,33.15549087524414,18.56999969482422,24.77550001144409,-1.210896006808175
2022-04-05,69.9377670288086,33.363487243652344,21.030000686645508,24.070499992370607,-0.941913034473452
2022-04-06,71.16584014892578,34.02730178833008,22.100000381469727,23.55299997329712,-0.6111815212584227
2022-04-07,72.61969757080078,33.94321823120117,21.549999237060547,23.11899995803833,0.02615817923668404
2022-04-08,72.46617889404297,34.05827331542969,21.15999984741211,22.639499950408936,-0.07114125478447074
2022-04-11,72.63774871826172,33.59360885620117,24.3700008392334,22.26949996948242,0.13255866216184745
2022-04-12,73.14344024658203,33.72194290161133,24.260000228881836,21.99099998474121,0.3097184613554276
