Date,CVX,XLU,VIX,AvgVIX,zscore
2022-01-31,110.67057800292969,30.442838668823242,24.829999923706055,23.18100004196167,-2.3591988937287063
2022-02-01,113.58629608154297,30.038408279418945,21.959999084472656,23.448999977111818,-2.0614451639081715
2022-02-02,114.1087646484375,30.48240852355957,22.09000015258789,23.707999992370606,-2.0759219124504025
2022-02-03,113.08910369873047,30.346126556396484,24.350000381469727,23.939000034332274,-2.1435756737791505
2022-02-04,114.50482177734375,30.104352951049805,23.219999313354492,24.119499969482423,-1.9930390998233862
2022-02-07,116.75479125976562,30.06038475036621,22.860000610351562,24.324499988555907,-1.798485436032617
2022-02-08,114.97674560546875,30.08236312866211,21.440000534057617,24.426500034332275,-1.9505552424106019
2022-02-09,116.11436462402344,30.214248657226562,19.959999084472656,24.503999996185303,-1.8724270407233077
2022-02-10,114.63965606689453,29.44932746887207,23.90999984741211,24.818499946594237,-1.8956974187195077
2022-02-11,116.97391510009766,29.466909408569336,27.360000610351562,25.171000003814697,-1.7021553882603888
2022-02-14,115.17053985595703,29.216337203979492,28.329999923706055,25.62799997329712,-1.8205546091371325
2022-02-15,114.3275375366211,29.080059051513672,25.700000762939453,25.773499965667725,-1.8733866942574244
2022-02-16,114.3615951538086,29.145999908447266,24.290000915527344,25.795499992370605,-1.8791895950503106
2022-02-17,113.7740249633789,29.1635799407959,28.110000610351562,25.92150001525879,-1.9307973554955746
2022-02-18,113.61225128173828,29.110837936401367,27.75,25.866499996185304,-1.9374436968705495
2022-02-22,112.74365997314453,29.080059051513672,28.809999465942383,25.811999988555907,-2.006278667248849
2022-02-23,115.42603302001953,28.58770179748535,31.020000457763672,25.805000019073486,-1.7165552721131516
2022-02-24,114.82994842529297,28.816295623779297,30.31999969482422,25.723000049591064,-1.7965912081022568
2022-02-25,119.5389404296875,29.70869255065918,27.59000015258789,25.57800006866455,-1.5186971675131824
2022-02-28,122.62151336669922,29.862558364868164,30.149999618530273,25.70250005722046,-1.2802684392247388
2022-03-01,127.4923095703125,29.603191375732422,33.31999969482422,26.127000045776366,-0.8375300253582566
2022-03-02,131.25611877441406,29.96367645263672,30.739999771118164,26.566000080108644,-0.5690802063737531
2022-03-03,133.02732849121094,30.491201400756836,30.479999542236328,26.985500049591064,-0.48975374389129095
2022-03-04,135.09654235839844,31.163801193237305,31.979999542236328,27.367000007629393,-0.4044774669547536
2022-03-07,137.98326110839844,31.568239212036133,36.45000076293945,28.028500080108643,-0.21539073068054146
2022-03-08,145.21282958984375,31.080276489257812,35.130001068115234,28.642000102996825,0.4552785361467518
2022-03-09,141.5852508544922,30.860471725463867,32.45000076293945,29.192500114440918,0.17978240716853658
2022-03-10,145.4597930908203,31.067079544067383,30.229999542236328,29.706000137329102,0.4777327374800432
2022-03-11,145.5279083251953,30.961584091186523,30.75,30.048000144958497,0.4973031984216459
2022-03-14,141.9684600830078,30.926408767700195,31.770000457763672,30.268500137329102,0.20327485161494543
2022-03-15,134.78147888183594,31.32206153869629,29.829999923706055,30.3435001373291,-0.45169756073852946
2022-03-16,134.2960968017578,31.264904022216797,26.670000076293945,30.392000102996825,-0.48491567840451466
2022-03-17,136.62081909179688,31.396787643432617,25.670000076293945,30.461000061035158,-0.3071857800342971
2022-03-18,137.71929931640625,31.128625869750977,23.8700008392334,30.249000072479248,-0.17980066543642156
2022-03-21,140.19725036621094,31.336620330810547,23.530000686645508,30.038000106811523,0.0007894515811918424
2022-03-22,139.72891235351562,31.38088607788086,22.940000534057617,29.744500160217285,-0.04431918515497048
2022-03-23,141.2361297607422,31.425134658813477,23.56999969482422,29.37200012207031,0.07632932656190825
2022-03-24,141.61080932617188,31.74819564819336,21.670000076293945,28.9395001411438,0.06533637368194382
2022-03-25,144.17396545410156,32.20845031738281,20.809999465942383,28.600500106811523,0.21994449905171562
2022-03-28,141.65341186523438,32.416439056396484,19.6299991607666,28.07450008392334,-0.018853831909836763
2022-03-29,139.9247589111328,32.71736526489258,18.899999618530273,27.353500080108642,-0.2034154496872531
2022-03-30,140.91261291503906,32.98732376098633,19.329999923706055,26.78300008773804,-0.15598697847578813
2022-03-31,138.656005859375,32.9519157409668,20.559999465942383,26.28700008392334,-0.34067256705491866
2022-04-01,139.83961486816406,33.412166595458984,19.6299991607666,25.669500064849853,-0.301811990099521
2022-04-04,139.96731567382812,33.155479431152344,18.56999969482422,24.77550001144409,-0.2573851498745822
