Date,XOM,V,VIX,AvgVIX,zscore
2020-01-30,48.712581634521484,199.15611267089844,15.489999771118164,13.696000051498412,2.923899309620608
2020-01-31,46.70513153076172,190.31788635253906,18.84000015258789,14.014500045776368,2.66182550733275
2020-02-03,45.660064697265625,192.07789611816406,17.969999313354492,14.211999988555908,2.4201814650284907
2020-02-04,45.08865737915039,194.70834350585938,16.049999237060547,14.32199993133545,2.2604685848205603
2020-02-05,47.16376876831055,193.9909210205078,15.149999618530273,14.389999914169312,2.694348095672739
2020-02-06,46.524688720703125,194.21092224121094,14.960000038146973,14.465499925613404,2.560740200219933
2020-02-07,46.216426849365234,193.9239501953125,15.470000267028809,14.611999940872192,2.5027956035585253
2020-02-10,45.728336334228516,197.0326385498047,15.039999961853027,14.735999917984008,2.3521169355579783
2020-02-11,46.16304397583008,195.0718231201172,15.180000305175781,14.878999948501587,2.4729539476454896
2020-02-12,46.7274055480957,198.41958618164062,13.739999771118164,14.946499919891357,2.5323574319831033
2020-02-13,46.468101501464844,198.66864013671875,14.149999618530273,15.032999897003174,2.475503755513404
2020-02-14,46.25456237792969,201.43699645996094,13.680000305175781,15.100999927520752,2.386289296279175
2020-02-18,45.66732406616211,202.30868530273438,14.829999923706055,15.237499904632568,2.252445836297092
2020-02-19,46.018150329589844,204.32980346679688,14.380000114440918,15.313999891281128,2.2903648390183164
2020-02-20,45.652069091796875,202.548095703125,15.5600004196167,15.446499919891357,2.245383720403727
2020-02-21,45.095333099365234,200.019287109375,17.079999923706055,15.651499938964843,2.1739859607819607
2020-02-24,42.982810974121094,190.42112731933594,25.030000686645508,16.174999952316284,1.9031126535177842
2020-02-25,41.33549118041992,180.46856689453125,27.850000381469727,16.655999994277956,1.7327087689101355
2020-02-26,40.42793655395508,179.3286590576172,27.559999465942383,17.219999933242796,1.5669936092189611
2020-02-27,37.995086669921875,172.43174743652344,39.15999984741211,18.35849995613098,1.1862982590517164
2020-02-28,39.2305793762207,174.10806274414062,40.11000061035156,19.589499998092652,1.4098340170176102
2020-03-02,41.09144973754883,184.2331085205078,33.41999816894531,20.318499898910524,1.620814688245854
2020-03-03,39.12381362915039,177.91094970703125,36.81999969482422,21.26099991798401,1.3252233708294485
2020-03-04,39.977970123291016,186.11056518554688,31.989999771118164,22.05799994468689,1.3633150834457128
2020-03-05,38.21625518798828,179.08917236328125,39.619998931884766,23.281499910354615,1.121166756169879
2020-03-06,36.37065124511719,176.5985870361328,41.939998626708984,24.630499839782715,0.787020777550585
2020-03-09,31.924423217773438,163.9255828857422,54.459999084472656,26.57999978065491,0.09239993570339237
2020-03-10,33.10652160644531,174.91275024414062,47.29999923706055,28.192999744415282,0.1510802583866035
2020-03-11,32.01593017578125,165.66896057128906,53.900001525878906,30.12899980545044,0.08217506620567178
2020-03-12,28.355234146118164,153.34075927734375,75.47000122070312,33.21549987792969,-0.4583956335744404
2020-03-13,29.072124481201172,168.42776489257812,57.83000183105469,35.39949998855591,-0.5621334979711365
2020-03-16,26.30370330810547,145.61050415039062,82.69000244140625,38.850000095367434,-0.7477593692524129
