Date,ADI,GILD,VIX,AvgVIX,zscore
2023-01-31,162.26641845703125,75.10706329345703,19.399999618530273,20.202999973297118,-1.7243997524276302
2023-02-01,167.111572265625,75.16072845458984,17.8700008392334,19.951500034332277,-1.1434177311310898
2023-02-02,169.67611694335938,72.82538604736328,18.729999542236328,19.7875,-0.6907052027847701
2023-02-03,169.22189331054688,75.60811614990234,18.329999923706055,19.58100004196167,-0.9164152312375345
2023-02-06,168.0200653076172,77.27240753173828,19.43000030517578,19.49600009918213,-1.1635766315864748
2023-02-07,171.30380249023438,76.99502563476562,18.65999984741211,19.33050012588501,-0.7505510346099898
2023-02-08,168.21878051757812,76.6550064086914,19.6299991607666,19.28300008773804,-1.1016883396402029
2023-02-09,168.93798828125,76.52973937988281,20.709999084472656,19.264000034332277,-1.007264073214206
2023-02-10,168.88121032714844,77.57660675048828,20.530000686645508,19.34900007247925,-1.0784169802385217
2023-02-13,170.764404296875,78.28348541259766,20.34000015258789,19.448500061035155,-0.8947435809801927
2023-02-14,172.74224853515625,76.66394805908203,18.90999984741211,19.426000022888182,-0.5567512661073398
2023-02-15,185.6501007080078,76.1002426147461,18.229999542236328,19.320499992370607,1.0344372046566561
2023-02-16,183.42620849609375,74.61492156982422,20.170000076293945,19.30299997329712,0.8574963702867566
2023-02-17,182.36636352539062,75.84077453613281,20.020000457763672,19.311499977111815,0.6543887500701262
2023-02-21,175.98809814453125,75.73338317871094,22.8700008392334,19.46450004577637,-0.10817139985350284
2023-02-22,173.896728515625,74.71334075927734,22.290000915527344,19.619000053405763,-0.2977120183292535
2023-02-23,175.68527221679688,73.85437774658203,21.139999389648438,19.72200002670288,-0.02926739421257198
2023-02-24,173.9264373779297,72.17221069335938,21.670000076293945,19.869000053405763,-0.13803514237696937
2023-02-27,174.14512634277344,72.37800598144531,20.950000762939453,19.99100008010864,-0.12430478580225798
2023-02-28,174.43032836914062,72.05587005615234,20.700000762939453,20.029000091552735,-0.07012431105045737
2023-03-01,174.08807373046875,71.21479797363281,20.579999923706055,20.088000106811524,-0.05973227103009344
2023-03-02,175.49513244628906,71.24163055419922,19.59000015258789,20.17400007247925,0.10829710379991109
2023-03-03,177.07337951660156,72.53905487060547,18.489999771118164,20.16200008392334,0.2189213543902929
2023-03-06,176.3793182373047,72.57483673095703,18.610000610351562,20.176000118255615,0.13302632514829482
2023-03-07,175.82789611816406,71.83218383789062,19.59000015258789,20.184000110626222,0.11214919107293311
2023-03-08,177.37759399414062,71.76060485839844,19.110000610351562,20.206500148773195,0.30342460171276386
2023-03-09,174.51589965820312,70.64214324951172,22.610000610351562,20.35550022125244,0.027035907525126846
2023-03-10,172.8045654296875,71.13426971435547,24.799999237060547,20.560000228881837,-0.2095642947683145
2023-03-13,173.55567932128906,71.1432113647461,26.520000457763672,20.859500217437745,-0.11953651030086253
2023-03-14,177.38711547851562,72.05553436279297,23.729999542236328,21.029000186920165,0.2864561332564802
2023-03-15,173.91693115234375,71.94715881347656,26.139999389648438,21.390500164031984,-0.1253572143714469
2023-03-16,177.43463134765625,72.12779235839844,22.989999771118164,21.628500175476074,0.2877474860055877
2023-03-17,176.69305419921875,69.83345031738281,25.510000228881836,21.89550018310547,0.33925528089409307
2023-03-20,177.8434295654297,71.77552795410156,24.149999618530273,22.102000141143797,0.358683167070905
2023-03-21,179.11741638183594,71.48646545410156,21.3799991607666,22.027500057220458,0.530069884365997
