Date,KDP,HD,VIX,AvgVIX,zscore
2020-01-30,24.535133361816406,200.00868225097656,15.489999771118164,13.696000051498412,-0.29776696267566116
2020-01-31,24.423845291137695,195.9791259765625,18.84000015258789,14.014500045776368,-0.23682306805616576
2020-02-03,24.5522518157959,198.93467712402344,17.969999313354492,14.211999988555908,-0.2625967016984919
2020-02-04,24.54369354248047,201.90748596191406,16.049999237060547,14.32199993133545,-0.34423859758985476
2020-02-05,24.560813903808594,204.57955932617188,15.149999618530273,14.389999914169312,-0.40758242590203586
2020-02-06,24.449522018432617,205.2067413330078,14.960000038146973,14.465499925613404,-0.46910358563619015
2020-02-07,24.458087921142578,203.8836212158203,15.470000267028809,14.611999940872192,-0.430842332219659
2020-02-10,24.57793426513672,206.7274932861328,15.039999961853027,14.735999917984008,-0.4571423677659745
2020-02-11,24.54369354248047,207.6124267578125,15.180000305175781,14.878999948501587,-0.4942678750682385
2020-02-12,24.51801109313965,207.5695037841797,13.739999771118164,14.946499919891357,-0.5035299113414552
2020-02-13,24.46664810180664,208.23106384277344,14.149999618530273,15.032999897003174,-0.541708592865884
2020-02-14,24.71491050720215,210.52505493164062,13.680000305175781,15.100999927520752,-0.5015920920517253
2020-02-18,24.71491050720215,209.58859252929688,14.829999923706055,15.237499904632568,-0.47696488159753164
2020-02-19,24.69778823852539,209.3307647705078,14.380000114440918,15.313999891281128,-0.4771119709405075
2020-02-20,25.083023071289062,212.2348175048828,15.5600004196167,15.446499919891357,-0.39762144686436546
2020-02-21,25.254234313964844,210.7913818359375,17.079999923706055,15.651499938964843,-0.290391643570801
2020-02-24,24.9460506439209,205.9456329345703,25.030000686645508,16.174999952316284,-0.2876451543909179
2020-02-25,24.757713317871094,203.9523162841797,27.850000381469727,16.655999994277956,-0.31142381750545733
2020-02-26,24.595060348510742,202.14804077148438,27.559999465942383,17.219999933242796,-0.3297823072001897
2020-02-27,24.17557716369629,193.0836639404297,39.15999984741211,18.35849995613098,-0.26112432248966405
2020-02-28,23.867389678955078,187.16390991210938,40.11000061035156,19.589499998092652,-0.23013504971972035
2020-03-02,24.192705154418945,197.5600128173828,33.41999816894531,20.318499898910524,-0.37191413690424996
2020-03-03,23.584890365600586,195.84165954589844,36.81999969482422,21.26099991798401,-0.5726396877487157
2020-03-04,23.77322769165039,207.1313018798828,31.989999771118164,22.05799994468689,-0.7933370105227667
2020-03-05,23.114042282104492,201.74424743652344,39.619998931884766,23.281499910354615,-0.9183665547717481
2020-03-06,22.797304153442383,196.3313751220703,41.939998626708984,24.630499839782715,-0.9041668178437943
2020-03-09,20.93105697631836,180.82318115234375,54.459999084472656,26.57999978065491,-1.2513929333293163
2020-03-10,21.61591148376465,193.91709899902344,47.29999923706055,28.192999744415282,-1.3186540601240329
2020-03-11,20.9824161529541,184.13475036621094,53.900001525878906,30.12899980545044,-1.3177016672424469
2020-03-12,19.681182861328125,164.84683227539062,75.47000122070312,33.21549987792969,-1.3369298394171278
2020-03-13,20.092100143432617,177.88995361328125,57.83000183105469,35.39949998855591,-1.513687034270989
2020-03-16,16.779085159301758,142.67869567871094,82.69000244140625,38.850000095367434,-1.9281053901253526
2020-03-17,17.395458221435547,150.18629455566406,75.91000366210938,41.9040002822876,-1.8761635944863013
2020-03-18,17.044466018676758,134.6089324951172,76.44999694824219,45.007500123977664,-1.608515593102179
2020-03-19,20.81976318359375,139.36602783203125,72.0,47.829500102996825,-0.20617552280988488
2020-03-20,20.14346694946289,131.5989532470703,66.04000091552734,50.27750015258789,-0.2755378340465639
2020-03-23,19.84383773803711,140.455810546875,61.59000015258789,52.10550012588501,-0.6296832330022398
2020-03-24,20.451650619506836,159.76971435546875,61.66999816894531,53.796500015258786,-0.89168853788741
2020-03-25,21.401893615722656,157.2095489501953,63.95000076293945,55.61600008010864,-0.4399033420692011
2020-03-26,21.222124099731445,168.8428192138672,61.0,56.708000087738036,-0.8185693263445952
2020-03-27,20.871126174926758,164.81224060058594,65.54000091552734,57.97950010299682,-0.8545824578518758
2020-03-30,21.21355628967285,169.61260986328125,57.08000183105469,59.16250028610229,-0.8422798209064282
