Date,AMD,ADI,VIX,AvgVIX,zscore
2020-01-30,48.779998779296875,100.57748413085938,15.489999771118164,13.696000051498412,-0.6946916249257945
2020-01-31,47.0,98.23245239257812,18.84000015258789,14.014500045776368,-0.7067771433627965
2020-02-03,48.02000045776367,98.45620727539062,17.969999313354492,14.211999988555908,-0.6559321654092183
2020-02-04,49.45000076293945,100.65803527832031,16.049999237060547,14.32199993133545,-0.6586886351566286
2020-02-05,49.84000015258789,104.43518829345703,15.149999618530273,14.389999914169312,-0.7840062186822652
2020-02-06,49.31999969482422,103.63859558105469,14.960000038146973,14.465499925613404,-0.7831635617992909
2020-02-07,49.72999954223633,100.48798370361328,15.470000267028809,14.611999940872192,-0.6356544871858788
2020-02-10,52.2599983215332,101.0518798828125,15.039999961853027,14.735999917984008,-0.5098879908315048
2020-02-11,53.79999923706055,104.61419677734375,15.180000305175781,14.878999948501587,-0.5595636132758657
2020-02-12,53.88999938964844,106.34166717529297,13.739999771118164,14.946499919891357,-0.6220421959189575
2020-02-13,54.529998779296875,106.40431213378906,14.149999618530273,15.032999897003174,-0.5870907052236283
2020-02-14,55.310001373291016,105.30339050292969,13.680000305175781,15.100999927520752,-0.4983292238069993
2020-02-18,56.88999938964844,106.12686157226562,14.829999923706055,15.237499904632568,-0.4382689751262877
2020-02-19,58.900001525878906,110.88856506347656,14.380000114440918,15.313999891281128,-0.5075044203574707
2020-02-20,57.27000045776367,111.47930908203125,15.5600004196167,15.446499919891357,-0.6259427987512491
2020-02-21,53.279998779296875,109.87713623046875,17.079999923706055,15.651499938964843,-0.7963326793531095
2020-02-24,49.119998931884766,105.04383850097656,25.030000686645508,16.174999952316284,-0.8499572368580982
2020-02-25,47.56999969482422,102.6271743774414,27.850000381469727,16.655999994277956,-0.8457903640766283
2020-02-26,47.4900016784668,102.78828430175781,27.559999465942383,17.219999933242796,-0.8567838346395011
2020-02-27,44.0099983215332,96.93885803222656,39.15999984741211,18.35849995613098,-0.8308172514515776
2020-02-28,45.47999954223633,98.13572692871094,40.11000061035156,19.589499998092652,-0.7918283233178911
2020-03-02,47.459999084472656,100.13352966308594,33.41999816894531,20.318499898910524,-0.7544369052200819
2020-03-03,46.75,96.47087860107422,36.81999969482422,21.26099991798401,-0.6523132633779558
2020-03-04,50.11000061035156,101.20442962646484,31.989999771118164,22.05799994468689,-0.6415373251998114
2020-03-05,48.11000061035156,97.97373962402344,39.619998931884766,23.281499910354615,-0.6317527069380556
2020-03-06,48.59000015258789,96.29090118408203,41.939998626708984,24.630499839782715,-0.5377077758147388
2020-03-09,43.27000045776367,87.75069427490234,54.459999084472656,26.57999978065491,-0.5137757587895884
2020-03-10,45.380001068115234,92.18727111816406,47.29999923706055,28.192999744415282,-0.5644171376929638
2020-03-11,45.70000076293945,84.96099090576172,53.900001525878906,30.12899980545044,-0.2623498705881603
2020-03-12,39.0099983215332,81.0013427734375,75.47000122070312,33.21549987792969,-0.4981114610689414
2020-03-13,43.900001525878906,89.80252838134766,57.83000183105469,35.39949998855591,-0.5574105106117507
2020-03-16,38.709999084472656,74.8819351196289,82.69000244140625,38.850000095367434,-0.27568681041838017
2020-03-17,41.880001068115234,85.88789367675781,75.91000366210938,41.9040002822876,-0.5219754763404661
2020-03-18,39.119998931884766,74.00000762939453,76.44999694824219,45.007500123977664,-0.21713939016567116
2020-03-19,39.81999969482422,81.28032684326172,72.0,47.829500102996825,-0.4617066303990701
2020-03-20,39.61000061035156,76.56478118896484,66.04000091552734,50.27750015258789,-0.28907094427973107
2020-03-23,41.63999938964844,76.63677215576172,61.59000015258789,52.10550012588501,-0.1732404389374969
2020-03-24,46.220001220703125,84.34905242919922,61.66999816894531,53.796500015258786,-0.20795995942616965
2020-03-25,44.630001068115234,84.91598510742188,63.95000076293945,55.61600008010864,-0.32312657203062156
2020-03-26,47.5,83.35011291503906,61.0,56.708000087738036,-0.0939727014211566
2020-03-27,46.58000183105469,79.79547882080078,65.54000091552734,57.97950010299682,-0.008359167908474525
2020-03-30,47.86000061035156,81.86527252197266,57.08000183105469,59.16250028610229,-0.014705784975289182
2020-03-31,45.47999954223633,80.67738342285156,53.540000915527344,59.99850034713745,-0.10723635035036207
2020-04-01,43.65999984741211,75.67386627197266,57.060001373291016,61.252000427246095,-0.017413047108227296
2020-04-02,44.4900016784668,78.92253875732422,50.90999984741211,61.81650047302246,-0.09628923216171277
2020-04-03,42.59000015258789,77.89664459228516,46.79999923706055,62.059500503540036,-0.1671161007863164
2020-04-06,47.52000045776367,86.21186065673828,45.2400016784668,61.598500633239745,-0.20502105218207606
2020-04-07,47.560001373291016,86.61681365966797,46.70000076293945,61.568500709533694,-0.21856237221576233
2020-04-08,48.790000915527344,91.25137329101562,43.349998474121094,61.041000556945804,-0.328403311043481
2020-04-09,48.380001068115234,88.902587890625,41.66999816894531,59.35100040435791,-0.2602651662457434
2020-04-13,50.939998626708984,89.69452667236328,41.16999816894531,58.51800022125244,-0.14168744828628616
2020-04-14,54.93000030517578,92.70923614501953,37.7599983215332,56.27150001525879,-0.026687200268921477
2020-04-15,54.9900016784668,90.39645385742188,40.84000015258789,54.51799983978272,0.06751074162658102
2020-04-16,56.95000076293945,91.63833618164062,40.11000061035156,52.70100002288818,0.1333749507166458
2020-04-17,56.599998474121094,92.51126098632812,38.150001525878906,51.00850009918213,0.0786874104927469
2020-04-20,56.970001220703125,90.8104248046875,43.83000183105469,49.898000144958495,0.16700876953086907
2020-04-21,52.91999816894531,86.81478881835938,45.40999984741211,49.089000129699706,0.08696639591207633
2020-04-22,55.91999816894531,91.89932250976562,41.97999954223633,48.104500198364256,0.06293724749468568
2020-04-23,55.900001525878906,91.6203384399414,41.380001068115234,46.976000213623045,0.07270821277098884
2020-04-24,56.18000030517578,95.31898498535156,35.93000030517578,45.722500228881835,-0.05596044416514834
2020-04-27,56.4900016784668,97.21781921386719,33.290000915527344,44.11000022888184,-0.11229961979458548
2020-04-28,55.5099983215332,96.83985900878906,33.56999969482422,42.93450012207031,-0.1547599310325228
