Date,MS,KLAC,VIX,AvgVIX,zscore
2020-01-30,44.35104751586914,160.73170471191406,15.489999771118164,13.696000051498412,1.0933345729612747
2020-01-31,43.06549835205078,154.05775451660156,18.84000015258789,14.014500045776368,1.1458037627321418
2020-02-03,43.3456916809082,157.95245361328125,17.969999313354492,14.211999988555908,1.0418365003562502
2020-02-04,44.5158576965332,166.197265625,16.049999237060547,14.32199993133545,0.9117915756997688
2020-02-05,45.31520462036133,159.20729064941406,15.149999618530273,14.389999914169312,1.3016050295136605
2020-02-06,45.331668853759766,159.63487243652344,14.960000038146973,14.465499925613404,1.287959801322744
2020-02-07,45.348167419433594,153.46286010742188,15.470000267028809,14.611999940872192,1.524586816539573
2020-02-10,45.611854553222656,157.0135955810547,15.039999961853027,14.735999917984008,1.4310873030029543
2020-02-11,45.96620559692383,160.84320068359375,15.180000305175781,14.878999948501587,1.341161247244618
2020-02-12,46.29583740234375,163.5666961669922,13.739999771118164,14.946499919891357,1.289323010326141
2020-02-13,46.08982467651367,166.1228790283203,14.149999618530273,15.032999897003174,1.1602390964859133
2020-02-14,46.01565170288086,163.85482788085938,13.680000305175781,15.100999927520752,1.2346720055475748
2020-02-18,45.751956939697266,157.30174255371094,14.829999923706055,15.237499904632568,1.442024110124078
2020-02-19,46.40296936035156,160.7874298095703,14.380000114440918,15.313999891281128,1.4114356810855764
2020-02-20,44.293365478515625,156.27574157714844,15.5600004196167,15.446499919891357,1.2533100176974288
2020-02-21,43.197357177734375,150.5029296875,17.079999923706055,15.651499938964843,1.3011855893669197
2020-02-24,40.93943405151367,143.59994506835938,25.030000686645508,16.174999952316284,1.21059553134867
2020-02-25,39.57971954345703,137.6963653564453,27.850000381469727,16.655999994277956,1.2222771411741085
2020-02-26,38.92871856689453,137.56561279296875,27.559999465942383,17.219999933242796,1.1256430083496491
2020-02-27,37.42067337036133,138.23817443847656,39.15999984741211,18.35849995613098,0.8647992344358099
2020-02-28,37.1075439453125,143.58119201660156,40.11000061035156,19.589499998092652,0.61331802708576
2020-03-02,38.30242156982422,148.27978515625,33.41999816894531,20.318499898910524,0.6216076338880965
2020-03-03,36.58838653564453,143.6746063232422,36.81999969482422,21.26099991798401,0.5287580898606224
2020-03-04,37.28059768676758,150.11996459960938,31.989999771118164,22.05799994468689,0.3923636275310282
2020-03-05,35.09681701660156,146.36488342285156,39.619998931884766,23.281499910354615,0.19397052889248342
2020-03-06,34.47878646850586,145.42144775390625,41.939998626708984,24.630499839782715,0.13329983128279901
2020-03-09,30.9023494720459,135.37042236328125,54.459999084472656,26.57999978065491,-0.043673346200895455
2020-03-10,32.55046081542969,144.38458251953125,47.29999923706055,28.192999744415282,-0.12830701338227088
2020-03-11,30.383182525634766,135.37042236328125,53.900001525878906,30.12899980545044,-0.1246923557191413
2020-03-12,25.8013973236084,117.09937286376953,75.47000122070312,33.21549987792969,-0.1468398303728663
2020-03-13,30.9023494720459,135.790771484375,57.83000183105469,35.39949998855591,-0.05961363943294427
2020-03-16,26.081581115722656,120.96654510498047,82.69000244140625,38.850000095367434,-0.24976471978906986
