Date,KO,KDP,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,24.535133361816406,15.489999771118164,13.696000051498412,1.5960120865843286
2020-01-31,48.25005340576172,24.423845291137695,18.84000015258789,14.014500045776368,1.5373886922413178
2020-02-03,48.39876174926758,24.5522518157959,17.969999313354492,14.211999988555908,1.530091481413513
2020-02-04,48.61357116699219,24.54369354248047,16.049999237060547,14.32199993133545,1.588687869599549
2020-02-05,48.62184524536133,24.560813903808594,15.149999618530273,14.389999914169312,1.584727444755445
2020-02-06,48.73751449584961,24.449522018432617,14.960000038146973,14.465499925613404,1.6542914823052202
2020-02-07,48.90275192260742,24.458087921142578,15.470000267028809,14.611999940872192,1.6939678058600773
2020-02-10,49.36542892456055,24.57793426513672,15.039999961853027,14.735999917984008,1.7709090203723785
2020-02-11,49.23322296142578,24.54369354248047,15.180000305175781,14.878999948501587,1.7489221867495877
2020-02-12,49.084510803222656,24.51801109313965,13.739999771118164,14.946499919891357,1.7196177343341763
2020-02-13,49.249752044677734,24.46664810180664,14.149999618530273,15.032999897003174,1.7806477610606684
2020-02-14,49.53066635131836,24.71491050720215,13.680000305175781,15.100999927520752,1.7648326290429295
2020-02-18,49.183650970458984,24.71491050720215,14.829999923706055,15.237499904632568,1.6750987283392473
2020-02-19,49.3819465637207,24.69778823852539,14.380000114440918,15.313999891281128,1.7324762039918227
2020-02-20,49.340641021728516,25.083023071289062,15.5600004196167,15.446499919891357,1.584535596069407
2020-02-21,49.67937469482422,25.254234313964844,17.079999923706055,15.651499938964843,1.6111252354874162
2020-02-24,48.45659255981445,24.9460506439209,25.030000686645508,16.174999952316284,1.4047349535047806
2020-02-25,47.77085876464844,24.757713317871094,27.850000381469727,16.655999994277956,1.2945173974243747
2020-02-26,47.58909225463867,24.595060348510742,27.559999465942383,17.219999933242796,1.3054682116622975
2020-02-27,45.38313293457031,24.17557716369629,39.15999984741211,18.35849995613098,0.8844965400754963
2020-02-28,44.19340515136719,23.867389678955078,40.11000061035156,19.589499998092652,0.686655065272062
2020-03-02,46.20106887817383,24.192705154418945,33.41999816894531,20.318499898910524,1.089901976554
2020-03-03,46.31674575805664,23.584890365600586,36.81999969482422,21.26099991798401,1.3363795265617728
2020-03-04,48.6796760559082,23.77322769165039,31.989999771118164,22.05799994468689,1.880299427650158
