Date,INTC,UPS,VIX,AvgVIX,zscore
2015-01-30,25.349252700805664,65.71102905273438,20.969999313354492,19.119499969482423,0.23735380295390918
2015-02-02,25.817270278930664,66.56867218017578,19.43000030517578,19.201499938964844,0.1956388494449866
2015-02-03,25.855634689331055,66.86117553710938,17.329999923706055,19.071999931335448,0.1587234047971737
2015-02-04,25.96381378173828,66.83460235595703,18.329999923706055,18.932499885559082,0.1829708673547533
2015-02-05,26.226533889770508,67.45288848876953,16.850000381469727,18.80949993133545,0.1389244848916185
2015-02-06,25.73198890686035,66.92766571044922,17.290000915527344,18.823499965667725,0.1255645807897268
2015-02-09,25.44607925415039,66.78804779052734,18.549999237060547,18.873499965667726,0.09311428566152308
2015-02-10,26.041093826293945,67.20024108886719,17.229999542236328,18.754999923706055,0.1423121060450318
2015-02-11,25.925168991088867,67.08724975585938,16.959999084472656,18.57499990463257,0.13765420162833036
2015-02-12,26.373367309570312,67.41964721679688,15.34000015258789,18.267999935150147,0.1714098419652568
2015-02-13,26.55108070373535,67.67229461669922,14.6899995803833,17.88299994468689,0.16657646552763478
2015-02-17,26.844728469848633,68.15097045898438,15.800000190734863,17.62549991607666,0.1493628129185556
2015-02-18,26.481536865234375,68.22406768798828,15.449999809265137,17.403499937057497,0.07038601473916305
2015-02-19,26.43517303466797,68.09686279296875,15.289999961853027,17.22549991607666,0.08088648044453005
2015-02-20,26.5897216796875,68.27092742919922,14.300000190734863,17.12049994468689,0.08356478126272453
2015-02-23,26.087448120117188,68.14373016357422,14.5600004196167,17.015499973297118,0.008757754212783454
2015-02-24,26.5897216796875,68.51200866699219,13.6899995803833,16.9239999294281,0.04722259342507334
2015-02-25,26.234272003173828,68.27092742919922,13.84000015258789,16.754999971389772,0.017055755527209983
2015-02-26,26.00244903564453,68.2039794921875,13.90999984741211,16.428499937057495,-0.016229008747917793
2015-02-27,25.693355560302734,68.11695861816406,13.34000015258789,16.157499933242796,-0.060946111726651216
2015-03-02,26.319271087646484,68.25086212158203,13.039999961853027,15.760999965667725,0.03598491212882066
2015-03-03,26.350173950195312,67.96294403076172,13.859999656677246,15.482499933242797,0.08516990579574366
2015-03-04,26.36563491821289,67.23977661132812,14.229999542236328,15.327499914169312,0.19707790637477318
2015-03-05,26.064266204833984,67.440673828125,14.039999961853027,15.11299991607666,0.11040351548468076
