Date,CVX,AVGO,VIX,AvgVIX,zscore
2020-01-30,84.41715240478516,27.060224533081055,15.489999771118164,13.696000051498412,0.2239498161385513
2020-01-31,81.18899536132812,26.198284149169922,18.84000015258789,14.014500045776368,0.13309990284067022
2020-02-03,80.53730773925781,26.204296112060547,17.969999313354492,14.211999988555908,0.10502498847529634
2020-02-04,80.96924591064453,26.751161575317383,16.049999237060547,14.32199993133545,0.09384559398520373
2020-02-05,83.56842803955078,27.24738121032715,15.149999618530273,14.389999914169312,0.17768931955529946
2020-02-06,82.96978759765625,27.445697784423828,14.960000038146973,14.465499925613404,0.14147428777177143
2020-02-07,82.55301666259766,27.06279945373535,15.470000267028809,14.611999940872192,0.1444329410679674
2020-02-10,83.19711303710938,26.97437858581543,15.039999961853027,14.735999917984008,0.17664090151211576
2020-02-11,84.27316284179688,27.48604965209961,15.180000305175781,14.878999948501587,0.19479187576930296
2020-02-12,84.90213012695312,27.875812530517578,13.739999771118164,14.946499919891357,0.2004976514288165
2020-02-13,84.61418151855469,27.813138961791992,14.149999618530273,15.032999897003174,0.19162547396239674
2020-02-14,84.39185333251953,27.280864715576172,13.680000305175781,15.100999927520752,0.21094134365263623
2020-02-18,84.51451110839844,26.678190231323242,14.829999923706055,15.237499904632568,0.24875414117515837
2020-02-19,84.89783477783203,27.102291107177734,14.380000114440918,15.313999891281128,0.2421432111004683
2020-02-20,84.18484497070312,26.54855728149414,15.5600004196167,15.446499919891357,0.2417264238175455
2020-02-21,83.57154083251953,26.14162254333496,17.079999923706055,15.651499938964843,0.2376161827146491
2020-02-24,80.2750015258789,25.03414535522461,25.030000686645508,16.174999952316284,0.15713194735858554
2020-02-25,77.20840454101562,24.268348693847656,27.850000381469727,16.655999994277956,0.06796249046090551
2020-02-26,75.16149139404297,24.543075561523438,27.559999465942383,17.219999933242796,-0.034054033616047266
2020-02-27,72.1639404296875,23.51887321472168,39.15999984741211,18.35849995613098,-0.1063100250019269
2020-02-28,71.55827331542969,23.40468978881836,40.11000061035156,19.589499998092652,-0.12592570775328843
2020-03-02,74.04985046386719,24.464950561523438,33.41999816894531,20.318499898910524,-0.07716469684154409
2020-03-03,72.3632583618164,23.544626235961914,36.81999969482422,21.26099991798401,-0.09921537929095844
2020-03-04,75.53714752197266,24.506160736083984,31.989999771118164,22.05799994468689,-0.01606186139284246
2020-03-05,74.5098648071289,23.52659797668457,39.619998931884766,23.281499910354615,-0.00683484209496238
2020-03-06,73.07623291015625,23.132545471191406,41.939998626708984,24.630499839782715,-0.046572454463614965
2020-03-09,61.844940185546875,21.267004013061523,54.459999084472656,26.57999978065491,-0.42393752296671117
2020-03-10,65.14916229248047,22.570220947265625,47.29999923706055,28.192999744415282,-0.353710843101495
2020-03-11,63.65420150756836,21.116764068603516,53.900001525878906,30.12899980545044,-0.33877223951868907
2020-03-12,58.46405029296875,18.782474517822266,75.47000122070312,33.21549987792969,-0.433548908535833
