Date,KDP,XLF,VIX,AvgVIX,zscore
2022-01-31,33.8814697265625,36.270992279052734,24.829999923706055,23.18100004196167,1.3515113187936911
2022-02-01,34.05109786987305,36.772438049316406,21.959999084472656,23.448999977111818,1.4772530531567978
2022-02-02,34.613555908203125,37.023162841796875,22.09000015258789,23.707999992370606,1.758797065797211
2022-02-03,34.5956916809082,36.61457061767578,24.350000381469727,23.939000034332274,1.7114389147476439
2022-02-04,34.140384674072266,37.23673629760742,23.219999313354492,24.119499969482423,1.562651201620461
2022-02-07,34.43500518798828,37.34817123413086,22.860000610351562,24.324499988555907,1.7082185515817514
2022-02-08,34.684974670410156,37.8681755065918,21.440000534057617,24.426500034332275,1.872521383618907
2022-02-09,34.533203125,38.10961151123047,19.959999084472656,24.503999996185303,1.8261891008334872
2022-02-10,34.17608642578125,37.77531814575195,23.90999984741211,24.818499946594237,1.6306402684467556
2022-02-11,33.952884674072266,37.24602508544922,27.360000610351562,25.171000003814697,1.4777014314701336
2022-02-14,34.015380859375,36.828155517578125,28.329999923706055,25.62799997329712,1.466243950258698
2022-02-15,33.863616943359375,37.32958984375,25.700000762939453,25.773499965667725,1.4448462192222957
2022-02-16,33.85468292236328,37.35746383666992,24.290000915527344,25.795499992370605,1.4434289009724002
2022-02-17,33.85468292236328,36.428855895996094,28.110000610351562,25.92150001525879,1.3543853290002363
2022-02-18,34.35464859008789,36.41957473754883,27.75,25.866499996185304,1.58238755550258
2022-02-22,34.43500518798828,36.233848571777344,28.809999465942383,25.811999988555907,1.601366923634776
2022-02-23,33.979671478271484,35.6024055480957,31.020000457763672,25.805000019073486,1.3323593155783078
2022-02-24,32.72084426879883,35.17525100708008,30.31999969482422,25.723000049591064,0.7150887559830467
2022-02-25,34.19394302368164,36.308143615722656,27.59000015258789,25.57800006866455,1.4981289523558927
2022-02-28,34.52427291870117,35.76955032348633,30.149999618530273,25.70250005722046,1.5977138653485934
2022-03-01,34.0689582824707,34.45094299316406,33.31999969482422,26.127000045776366,1.2628232802279098
2022-03-02,34.470706939697266,35.342403411865234,30.739999771118164,26.566000080108644,1.5322316915652119
2022-03-03,34.470706939697266,35.23096466064453,30.479999542236328,26.985500049591064,1.5215459069297628
2022-03-04,34.711753845214844,34.57166290283203,31.979999542236328,27.367000007629393,1.5686810040688677
2022-03-07,34.05109786987305,33.30876922607422,36.45000076293945,28.028500080108643,1.1451242497714822
2022-03-08,33.22079849243164,33.113765716552734,35.130001068115234,28.642000102996825,0.7463013110050516
2022-03-09,33.59577178955078,34.33022689819336,32.45000076293945,29.192500114440918,1.0346156369505783
2022-03-10,33.21187210083008,34.0423583984375,30.229999542236328,29.706000137329102,0.8312567765636893
2022-03-11,32.86368942260742,33.800926208496094,30.75,30.048000144958497,0.6487024740693459
2022-03-14,33.06902313232422,34.22808074951172,31.770000457763672,30.268500137329102,0.783667046973634
2022-03-15,33.33686447143555,34.71095275878906,29.829999923706055,30.3435001373291,0.9525913106854665
2022-03-16,33.444000244140625,35.685977935791016,26.670000076293945,30.392000102996825,1.0951342505347794
2022-03-17,33.7475471496582,36.13169860839844,25.670000076293945,30.461000061035158,1.2768426713518142
