Date,KO,XOM,VIX,AvgVIX,zscore
2022-01-31,53.774879455566406,65.46407318115234,24.829999923706055,23.18100004196167,-0.7014829706452946
2022-02-01,53.37824249267578,69.66114807128906,21.959999084472656,23.448999977111818,-0.8720414328889173
2022-02-02,53.92470932006836,69.48017120361328,22.09000015258789,23.707999992370606,-0.6205877338928961
2022-02-03,54.3037223815918,68.67005920410156,24.350000381469727,23.939000034332274,-0.4481994332939077
2022-02-04,53.73080062866211,70.1610107421875,23.219999313354492,24.119499969482423,-0.7080010885762956
2022-02-07,54.29491424560547,71.0055923461914,22.860000610351562,24.324499988555907,-0.4453953380221671
2022-02-08,54.64748001098633,69.16991424560547,21.440000534057617,24.426500034332275,-0.28821718372811606
2022-02-09,53.80132293701172,68.83881378173828,19.959999084472656,24.503999996185303,-0.6793687966994243
2022-02-10,54.10100173950195,68.17655944824219,23.90999984741211,24.818499946594237,-0.5431283018010873
2022-02-11,53.14026641845703,69.89315032958984,27.360000610351562,25.171000003814697,-0.9810944839646105
2022-02-14,53.4840087890625,68.82138061523438,28.329999923706055,25.62799997329712,-0.82573932119873
2022-02-15,53.68674087524414,67.95870971679688,25.700000762939453,25.773499965667725,-0.7347918633739159
2022-02-16,53.67793273925781,68.27239990234375,24.290000915527344,25.795499992370605,-0.7379313096033487
2022-02-17,54.75324249267578,68.16783142089844,28.110000610351562,25.92150001525879,-0.24239398391408346
2022-02-18,55.12343978881836,67.40974426269531,27.75,25.866499996185304,-0.07391785611824232
2022-02-22,54.89427947998047,66.62549591064453,28.809999465942383,25.811999988555907,-0.18189323538715174
2022-02-23,54.28609085083008,66.89561462402344,31.020000457763672,25.805000019073486,-0.4615459232259604
2022-02-24,53.334171295166016,66.05039978027344,30.31999969482422,25.723000049591064,-0.9029778482614321
2022-02-25,55.39667510986328,67.82798767089844,27.59000015258789,25.57800006866455,0.05330537421549287
2022-02-28,54.8590202331543,68.33338928222656,30.149999618530273,25.70250005722046,-0.19313127523592336
2022-03-01,54.62103271484375,68.98692321777344,33.31999969482422,26.127000045776366,-0.3009504413610279
2022-03-02,55.02648162841797,70.17201232910156,30.739999771118164,26.566000080108644,-0.11050686918084482
2022-03-03,55.06174087524414,70.61640930175781,30.479999542236328,26.985500049591064,-0.0929418161769866
2022-03-04,55.149871826171875,73.27409362792969,31.979999542236328,27.367000007629393,-0.04449034285227724
2022-03-07,53.836570739746094,75.91439819335938,36.45000076293945,28.028500080108643,-0.6423155494236998
2022-03-08,51.70356369018555,76.4894790649414,35.130001068115234,28.642000102996825,-1.6241930264915607
2022-03-09,51.967994689941406,72.14132690429688,32.45000076293945,29.192500114440918,-1.5150412349731965
2022-03-10,51.01607131958008,74.3807601928711,30.229999542236328,29.706000137329102,-1.9474070860794694
2022-03-11,51.05131149291992,73.99734497070312,30.75,30.048000144958497,-1.9322843189553711
2022-03-14,51.992767333984375,71.3483657836914,31.770000457763672,30.268500137329102,-1.5059491622546108
2022-03-15,52.95197296142578,67.28772735595703,29.829999923706055,30.3435001373291,-1.075579064542496
2022-03-16,52.80986785888672,67.0350570678711,26.670000076293945,30.392000102996825,-1.141849056456411
2022-03-17,53.369407653808594,68.82138061523438,25.670000076293945,30.461000061035158,-0.8785839716566094
2022-03-18,53.37828826904297,68.55125427246094,23.8700008392334,30.249000072479248,-0.8752830408234293
2022-03-21,53.80460739135742,71.627197265625,23.530000686645508,30.038000106811523,-0.6696573615008413
2022-03-22,54.000003814697266,71.3134994506836,22.940000534057617,29.744500160217285,-0.5804787130189514
2022-03-23,53.644737243652344,72.4375991821289,23.56999969482422,29.37200012207031,-0.7409940597292781
2022-03-24,54.15985870361328,72.65542602539062,21.670000076293945,28.9395001411438,-0.5028219255989465
2022-03-25,54.64835739135742,74.24132537841797,20.809999465942383,28.600500106811523,-0.2729043566862814
2022-03-28,54.9947395324707,72.15875244140625,19.6299991607666,28.07450008392334,-0.11930337124594388
2022-03-29,55.20790481567383,71.77535247802734,18.899999618530273,27.353500080108642,-0.022136081979102114
2022-03-30,55.25230407714844,73.00398254394531,19.329999923706055,26.78300008773804,0.0019489794123960763
2022-03-31,55.065792083740234,71.967041015625,20.559999465942383,26.28700008392334,-0.0871033257414626
2022-04-01,55.83848190307617,72.42888641357422,19.6299991607666,25.669500064849853,0.27055555737159775
2022-04-04,55.545406341552734,72.46373748779297,18.56999969482422,24.77550001144409,0.13551558041625777
2022-04-05,55.48322296142578,72.08904266357422,21.030000686645508,24.070499992370607,0.10574022491721494
2022-04-06,56.042762756347656,72.89069366455078,22.100000381469727,23.55299997329712,0.3661107020396131
2022-04-07,56.34474182128906,74.11063385009766,21.549999237060547,23.11899995803833,0.5089449112834443
2022-04-08,56.69112777709961,75.6703872680664,21.15999984741211,22.639499950408936,0.6732548760019815
2022-04-11,56.67335510253906,73.06497955322266,24.3700008392334,22.26949996948242,0.657400548658686
2022-04-12,57.339473724365234,74.58987426757812,24.260000228881836,21.99099998474121,0.9690425395843347
2022-04-13,57.49047088623047,75.64424133300781,21.81999969482422,21.748499965667726,1.0417695405999872
2022-04-14,57.74803161621094,76.5330581665039,22.700000762939453,21.6,1.1631482626314196
2022-04-18,57.2328987121582,77.16045379638672,22.170000076293945,21.51499996185303,0.9274555225654968
2022-04-19,57.79243850708008,76.47206115722656,21.3700008392334,21.40699996948242,1.1834457701626222
2022-04-20,58.58290100097656,76.64633178710938,20.31999969482422,21.27599992752075,1.5484545805152476
2022-04-21,58.8049430847168,75.83595275878906,22.68000030517578,21.23149995803833,1.6484599470912127
2022-04-22,57.952301025390625,74.1803207397461,28.209999084472656,21.558499908447267,1.2504243110095374
2022-04-25,58.56513977050781,71.67947387695312,27.020000457763672,21.86899995803833,1.5256636571459496
2022-04-26,57.77467346191406,71.70561218261719,33.52000045776367,22.563500022888185,1.1612422229532944
2022-04-27,58.22763442993164,73.75336456298828,31.600000381469727,23.198500061035155,1.3761304016272524
2022-04-28,58.78718948364258,75.98407745361328,29.989999771118164,23.73150005340576,1.6407088784443504
2022-04-29,57.383888244628906,74.28490447998047,33.400001525878906,24.37350015640259,0.9886263668660684
2022-05-02,56.34474182128906,75.29570007324219,32.34000015258789,25.00900020599365,0.5124286092908026
2022-05-03,56.02500534057617,76.84675598144531,29.25,25.54300022125244,0.3695519363081094
2022-05-04,57.75690460205078,79.90528106689453,25.420000076293945,25.762500190734862,1.177152962949262
2022-05-05,57.29507064819336,78.6940689086914,31.200000762939453,26.21750020980835,0.9606324386977709
2022-05-06,57.49934387207031,79.89657592773438,30.190000534057617,26.6495002746582,1.0583614746908738
2022-05-09,57.383888244628906,73.59651947021484,34.75,27.3290002822876,0.9866027453671344
2022-05-10,56.850990295410156,74.08447265625,32.9900016784668,27.76000032424927,0.7423083084496467
2022-05-11,57.117435455322266,75.62682342529297,32.560001373291016,28.175000381469726,0.8697049723724923
2022-05-12,57.29507064819336,75.97015380859375,31.770000457763672,28.6725004196167,0.9526250401059472
2022-05-13,58.3697395324707,78.22372436523438,28.8700008392334,28.981000423431396,1.4547989888847697
2022-05-16,58.58290100097656,80.06355285644531,27.469999313354492,29.246000385284425,1.558500066579613
2022-05-17,58.423030853271484,81.08468627929688,26.100000381469727,29.48250036239624,1.4877828484396418
2022-05-18,54.35527038574219,79.7994613647461,30.959999084472656,30.01450033187866,-0.39171300193977093
2022-05-19,53.28947830200195,80.23079681396484,29.350000381469727,30.34800033569336,-0.8819009729727192
2022-05-20,54.15985870361328,80.8646469116211,29.43000030517578,30.409000396728516,-0.478689564145389
2022-05-23,55.829612731933594,82.65165710449219,28.479999542236328,30.48200035095215,0.2965173464541341
2022-05-24,56.859867095947266,83.10060119628906,29.450000762939453,30.278500366210938,0.7729059611346133
2022-05-25,56.90427780151367,84.773193359375,28.3700008392334,30.117000389099122,0.7983013995571939
2022-05-26,57.10856246948242,85.07247924804688,27.5,29.992500400543214,0.8933805448480915
2022-05-27,57.4460563659668,85.90875244140625,25.719999313354492,29.608500289916993,1.051463430947752
2022-05-31,56.29146194458008,84.50907897949219,26.190000534057617,29.301000308990478,0.514944547063826
2022-06-01,56.01611328125,86.12884521484375,25.690000534057617,29.12300033569336,0.39273788263466913
2022-06-02,56.6023063659668,85.97917175292969,24.719999313354492,29.088000297546387,0.6626020969361404
2022-06-03,55.92729568481445,87.22921752929688,24.790000915527344,28.76750030517578,0.3550172132344613
2022-06-06,55.83848190307617,87.00914001464844,25.06999969482422,28.51150026321411,0.3134166223693558
2022-06-07,56.175987243652344,90.99691009521484,24.020000457763672,27.975000286102294,0.4807691314634876
2022-06-08,55.85625457763672,92.07087707519531,23.959999084472656,27.523500156402587,0.3364917357581267
2022-06-09,54.888160705566406,90.0813980102539,26.09000015258789,27.200000095367432,-0.11576221207842932
2022-06-10,54.541778564453125,88.43524169921875,27.75,26.999000072479248,-0.28032441335439123
2022-06-13,54.47960662841797,84.37703704833984,34.02000045776367,27.256500053405762,-0.32092277764978433
2022-06-14,52.98566818237305,84.59710693359375,32.689998626708984,27.517500019073488,-1.0091578086010142
