Date,PEP,QCOM,VIX,AvgVIX,zscore
2022-01-31,151.7125701904297,159.69772338867188,24.829999923706055,23.18100004196167,0.06415716440217424
2022-02-01,150.68084716796875,160.94252014160156,21.959999084472656,23.448999977111818,-0.04740016327557101
2022-02-02,153.41751098632812,171.00083923339844,22.09000015258789,23.707999992370606,0.5191121976902304
2022-02-03,153.33004760742188,162.73248291015625,24.350000381469727,23.939000034332274,0.34004553334173204
2022-02-04,150.81201171875,163.0686798095703,23.219999313354492,24.119499969482423,0.013052114905993098
2022-02-07,150.21749877929688,159.08897399902344,22.860000610351562,24.324499988555907,-0.14636665548535646
2022-02-08,150.40106201171875,162.2690887451172,21.440000534057617,24.426500034332275,-0.05762073690958036
2022-02-09,150.3311309814453,167.13926696777344,19.959999084472656,24.503999996185303,0.03175229189300894
2022-02-10,147.2097930908203,158.16217041015625,23.90999984741211,24.818499946594237,-0.5638546037910994
2022-02-11,147.3934326171875,149.59396362304688,27.360000610351562,25.171000003814697,-0.7130559090557413
2022-02-14,145.74966430664062,150.03916931152344,28.329999923706055,25.62799997329712,-0.9219442857902623
2022-02-15,145.10269165039062,157.18995666503906,25.700000762939453,25.773499965667725,-0.8628738859205248
2022-02-16,145.39996337890625,156.82647705078125,24.290000915527344,25.795499992370605,-0.8308282436104328
2022-02-17,145.79339599609375,151.55654907226562,28.110000610351562,25.92150001525879,-0.885413110485525
2022-02-18,146.63275146484375,152.31980895996094,27.75,25.866499996185304,-0.7586846035901593
2022-02-22,147.1923065185547,150.72972106933594,28.809999465942383,25.811999988555907,-0.716713859924554
2022-02-23,145.74090576171875,146.8499298095703,31.020000457763672,25.805000019073486,-0.9877020725131289
2022-02-24,143.2053680419922,152.6287078857422,30.31999969482422,25.723000049591064,-1.2067784130094337
2022-02-25,147.2185516357422,155.30914306640625,27.59000015258789,25.57800006866455,-0.6204804042394255
2022-02-28,143.1616668701172,156.2722930908203,30.149999618530273,25.70250005722046,-1.1387723564695476
2022-03-01,141.87643432617188,148.7307586669922,33.31999969482422,26.127000045776366,-1.4618995875915086
2022-03-02,143.8436737060547,154.4241943359375,30.739999771118164,26.566000080108644,-1.085794717829504
2022-03-03,143.6896514892578,150.8657684326172,30.479999542236328,26.985500049591064,-1.178287071541698
2022-03-04,145.8722381591797,148.04647827148438,31.979999542236328,27.367000007629393,-0.9460564298434149
2022-03-07,142.96795654296875,136.95167541503906,36.45000076293945,28.028500080108643,-1.5557825571619268
2022-03-08,138.93722534179688,137.55384826660156,35.130001068115234,28.642000102996825,-2.077918908743359
2022-03-09,138.5235595703125,143.3475799560547,32.45000076293945,29.192500114440918,-2.0154068210666427
2022-03-10,135.98016357421875,141.15785217285156,30.229999542236328,29.706000137329102,-2.396923645015656
2022-03-11,135.2937469482422,138.9954376220703,30.75,30.048000144958497,-2.5317171358326926
2022-03-14,137.19467163085938,128.91334533691406,31.770000457763672,30.268500137329102,-2.4839299802324892
2022-03-15,139.93173217773438,131.57760620117188,29.829999923706055,30.3435001373291,-2.067128583113864
2022-03-16,140.54779052734375,137.27099609375,26.670000076293945,30.392000102996825,-1.870143695385847
2022-03-17,141.63905334472656,139.44248962402344,25.670000076293945,30.461000061035158,-1.681497955704056
2022-03-18,143.26719665527344,140.5009307861328,23.8700008392334,30.249000072479248,-1.4442251661996983
2022-03-21,143.0647430419922,141.96072387695312,23.530000686645508,30.038000106811523,-1.4414958923746437
2022-03-22,144.63131713867188,143.80380249023438,22.940000534057617,29.744500160217285,-1.196492510611327
2022-03-23,143.87442016601562,139.47898864746094,23.56999969482422,29.37200012207031,-1.3844277081233092
2022-03-24,144.7457275390625,144.579345703125,21.670000076293945,28.9395001411438,-1.1656174144377462
2022-03-25,145.4233856201172,144.1322479248047,20.809999465942383,28.600500106811523,-1.0848395789869234
2022-03-28,145.8546142578125,144.57017517089844,19.6299991607666,28.07450008392334,-1.0188038039448335
2022-03-29,148.01962280273438,146.96070861816406,18.899999618530273,27.353500080108642,-0.6833806053721301
2022-03-30,147.81716918945312,139.3512725830078,19.329999923706055,26.78300008773804,-0.8643447733724418
2022-03-31,147.30674743652344,139.43341064453125,20.559999465942383,26.28700008392334,-0.930345063353258
2022-04-01,149.40133666992188,134.11410522460938,19.6299991607666,25.669500064849853,-0.7604165481802391
2022-04-04,149.0140838623047,140.33665466308594,18.56999969482422,24.77550001144409,-0.685717506890058
2022-04-05,149.1724853515625,132.7180938720703,21.030000686645508,24.070499992370607,-0.8190298053516014
2022-04-06,151.7158966064453,127.07945251464844,22.100000381469727,23.55299997329712,-0.5960713005612537
2022-04-07,151.85670471191406,127.02467346191406,21.549999237060547,23.11899995803833,-0.5785146277868523
2022-04-08,152.36717224121094,124.71633911132812,21.15999984741211,22.639499950408936,-0.5575989439741378
2022-04-11,151.90072631835938,123.5028076171875,24.3700008392334,22.26949996948242,-0.6440128312567068
2022-04-12,152.5167694091797,124.16887664794922,24.260000228881836,21.99099998474121,-0.5488562471784054
2022-04-13,152.25277709960938,128.1925811767578,21.81999969482422,21.748499965667726,-0.5023538852956134
2022-04-14,151.28466796875,124.91703796386719,22.700000762939453,21.6,-0.6970358445187558
2022-04-18,149.98216247558594,127.11595153808594,22.170000076293945,21.51499996185303,-0.825164161576251
2022-04-19,152.1647491455078,128.6943817138672,21.3700008392334,21.40699996948242,-0.5038595342445737
2022-04-20,154.4265594482422,128.0465545654297,20.31999969482422,21.27599992752075,-0.21714455192635376
2022-04-21,153.8720703125,124.1871109008789,22.68000030517578,21.23149995803833,-0.3688217149783123
2022-04-22,151.5046844482422,121.17620086669922,28.209999084472656,21.558499908447267,-0.7436384924150896
2022-04-25,152.90402221679688,124.59770965576172,27.020000457763672,21.86899995803833,-0.48883431963165846
2022-04-26,152.5167694091797,121.80577087402344,33.52000045776367,22.563500022888185,-0.5967199660215555
2022-04-27,153.8809051513672,123.265625,31.600000381469727,23.198500061035155,-0.3863148376713596
