Date,XOM,HD,VIX,AvgVIX,zscore
2022-01-31,65.46409606933594,329.4833679199219,24.829999923706055,23.18100004196167,-2.9700519158677654
2022-02-01,69.66114807128906,331.0276184082031,21.959999084472656,23.448999977111818,-2.599398543169293
2022-02-02,69.48017883300781,335.5436706542969,22.09000015258789,23.707999992370606,-2.6706965898089203
2022-02-03,68.6700668334961,327.5351257324219,24.350000381469727,23.939000034332274,-2.6491681620532685
2022-02-04,70.16102600097656,322.9203186035156,23.219999313354492,24.119499969482423,-2.4551711438041486
2022-02-07,71.00560760498047,320.8373107910156,22.860000610351562,24.324499988555907,-2.351689155810374
2022-02-08,69.169921875,324.5093994140625,21.440000534057617,24.426500034332275,-2.566281595420379
2022-02-09,68.83879852294922,327.1400451660156,19.959999084472656,24.503999996185303,-2.6287486656287182
2022-02-10,68.17655181884766,318.8082275390625,23.90999984741211,24.818499946594237,-2.589602963856224
2022-02-11,69.89315795898438,314.4986877441406,27.360000610351562,25.171000003814697,-2.378361090714741
2022-02-14,68.82138061523438,315.6389465332031,28.329999923706055,25.62799997329712,-2.4915366675128303
2022-02-15,67.95869445800781,317.16522216796875,25.700000762939453,25.773499965667725,-2.5899777182901507
2022-02-16,68.27239227294922,314.3191833496094,24.290000915527344,25.795499992370605,-2.526526969018513
2022-02-17,68.16783905029297,312.38885498046875,28.110000610351562,25.92150001525879,-2.5129240801225827
2022-02-18,67.40973663330078,311.4281005859375,27.75,25.866499996185304,-2.5716440937539984
2022-02-22,66.6255111694336,283.864990234375,28.809999465942383,25.811999988555907,-2.311675133517312
2022-02-23,66.89562225341797,276.9337158203125,31.020000457763672,25.805000019073486,-2.2029551276386563
2022-02-24,66.05038452148438,281.23431396484375,30.31999969482422,25.723000049591064,-2.3332660864795693
2022-02-25,67.8279800415039,284.29583740234375,27.59000015258789,25.57800006866455,-2.205341905326969
2022-02-28,68.33340454101562,283.55963134765625,30.149999618530273,25.70250005722046,-2.1495751135624626
2022-03-01,68.98693084716797,287.52801513671875,33.31999969482422,26.127000045776366,-2.1368594856179834
2022-03-02,70.17200469970703,293.9206237792969,30.739999771118164,26.566000080108644,-2.104103008612282
2022-03-03,70.61639404296875,291.2180480957031,30.479999542236328,26.985500049591064,-2.030261802213899
2022-03-04,73.27410888671875,291.1282958984375,31.979999542236328,27.367000007629393,-1.7826645060422812
2022-03-07,75.91437530517578,289.79058837890625,36.45000076293945,28.028500080108643,-1.5216217906298066
2022-03-08,76.489501953125,284.3766784667969,35.130001068115234,28.642000102996825,-1.4029261636408983
2022-03-09,72.14131927490234,286.50836181640625,32.45000076293945,29.192500114440918,-1.8319690244308324
2022-03-10,74.38076782226562,287.1767883300781,30.229999542236328,29.706000137329102,-1.6323194682153492
2022-03-11,73.99734497070312,286.1380615234375,30.75,30.048000144958497,-1.6553452305576306
2022-03-14,71.34835815429688,287.55615234375,31.770000457763672,30.268500137329102,-1.9181670900999515
2022-03-15,67.28775024414062,296.7511291503906,29.829999923706055,30.3435001373291,-2.405795891434809
2022-03-16,67.03504943847656,298.89178466796875,26.670000076293945,30.392000102996825,-2.4550743707502174
2022-03-17,68.82138061523438,303.81451416015625,25.670000076293945,30.461000061035158,-2.348806187012125
2022-03-18,68.5512466430664,307.7705993652344,23.8700008392334,30.249000072479248,-2.4216153712093034
2022-03-21,71.627197265625,297.5008239746094,23.530000686645508,30.038000106811523,-2.012343867953197
2022-03-22,71.31351470947266,297.82598876953125,22.940000534057617,29.744500160217285,-2.0453642096930285
2022-03-23,72.43757629394531,286.3728332519531,23.56999969482422,29.37200012207031,-1.8028540354506257
2022-03-24,72.65542602539062,285.2257995605469,21.670000076293945,28.9395001411438,-1.7688019563219832
