Date,LRCX,INTC,VIX,AvgVIX,zscore
2020-01-30,28.930837631225586,58.63264846801758,15.489999771118164,13.696000051498412,-1.3214356796918687
2020-01-31,27.745498657226562,56.39212417602539,18.84000015258789,14.014500045776368,-1.3549951791290489
2020-02-03,28.69729995727539,56.82435607910156,17.969999313354492,14.211999988555908,-1.2973654316147731
2020-02-04,30.275264739990234,57.74173355102539,16.049999237060547,14.32199993133545,-1.2063299105694234
2020-02-05,30.295724868774414,59.40007019042969,15.149999618530273,14.389999914169312,-1.2421075616828663
2020-02-06,30.100351333618164,59.47097396850586,14.960000038146973,14.465499925613404,-1.2575202320714154
2020-02-07,29.34486198425293,58.52249526977539,15.470000267028809,14.611999940872192,-1.2896742138845374
2020-02-10,29.75703239440918,58.85047149658203,15.039999961853027,14.735999917984008,-1.2678786843975174
2020-02-11,30.30038833618164,59.754634857177734,15.180000305175781,14.878999948501587,-1.2497366485567463
2020-02-12,31.13309669494629,59.79896926879883,13.739999771118164,14.946499919891357,-1.1918245335601916
2020-02-13,31.780654907226562,59.78125,14.149999618530273,15.032999897003174,-1.1456173433551664
2020-02-14,31.568517684936523,59.630531311035156,13.680000305175781,15.100999927520752,-1.1572411003811212
2020-02-18,30.269676208496094,58.628875732421875,14.829999923706055,15.237499904632568,-1.226639123968818
2020-02-19,31.06144905090332,59.488704681396484,14.380000114440918,15.313999891281128,-1.1899284421553036
2020-02-20,30.56275177001953,58.01722717285156,15.5600004196167,15.446499919891357,-1.1921766211736362
2020-02-21,29.475116729736328,57.03328323364258,17.079999923706055,15.651499938964843,-1.2470310955057218
2020-02-24,27.954835891723633,54.74627685546875,25.030000686645508,16.174999952316284,-1.3032415963211905
2020-02-25,27.188188552856445,52.946815490722656,27.850000381469727,16.655999994277956,-1.3170827243784435
2020-02-26,27.5957088470459,52.87590408325195,27.559999465942383,17.219999933242796,-1.2866622363674491
2020-02-27,26.581567764282227,49.48971939086914,39.15999984741211,18.35849995613098,-1.2823940022115103
2020-02-28,27.300765991210938,49.21491622924805,40.11000061035156,19.589499998092652,-1.2253480502812373
2020-03-02,27.9427490234375,51.57284164428711,33.41999816894531,20.318499898910524,-1.2328618634425015
2020-03-03,27.117481231689453,49.613807678222656,36.81999969482422,21.26099991798401,-1.2472679482593376
2020-03-04,28.492612838745117,52.01604080200195,31.989999771118164,22.05799994468689,-1.2039120866398685
2020-03-05,27.831098556518555,50.49138641357422,39.619998931884766,23.281499910354615,-1.2164845627144534
2020-03-06,27.391952514648438,49.4365234375,41.939998626708984,24.630499839782715,-1.2238718147550944
2020-03-09,24.897546768188477,45.075260162353516,54.459999084472656,26.57999978065491,-1.3024323888981217
2020-03-10,26.755552291870117,47.849815368652344,47.29999923706055,28.192999744415282,-1.2332747444768888
2020-03-11,25.737693786621094,45.79326629638672,53.900001525878906,30.12899980545044,-1.259116103066572
2020-03-12,22.129594802856445,40.368289947509766,75.47000122070312,33.21549987792969,-1.3925839607963024
2020-03-13,24.35604476928711,48.24870681762695,57.83000183105469,35.39949998855591,-1.4119742588063673
2020-03-16,19.867795944213867,39.54390335083008,82.69000244140625,38.850000095367434,-1.5340825302817156
2020-03-17,21.334104537963867,44.39270782470703,75.91000366210938,41.9040002822876,-1.5391953544058208
2020-03-18,18.062814712524414,42.20320510864258,76.44999694824219,45.007500123977664,-1.7214640912209778
2020-03-19,18.143754959106445,40.72285842895508,72.0,47.829500102996825,-1.6825085724582873
2020-03-20,17.481319427490234,40.625362396240234,66.04000091552734,50.27750015258789,-1.7271819486569682
2020-03-23,17.942790985107422,43.94948959350586,61.59000015258789,52.10550012588501,-1.7691540091476563
2020-03-24,21.587507247924805,46.449249267578125,61.66999816894531,53.796500015258786,-1.5674328135023001
2020-03-25,21.859882354736328,45.43870162963867,63.95000076293945,55.61600008010864,-1.5254805253578418
2020-03-26,24.36737823486328,49.23265075683594,61.0,56.708000087738036,-1.4332593092429244
2020-03-27,22.57777976989746,46.42264175415039,65.54000091552734,57.97950010299682,-1.4967818753453155
2020-03-30,23.895647048950195,49.18832778930664,57.08000183105469,59.16250028610229,-1.465635501455207
2020-03-31,22.463594436645508,47.97390365600586,53.540000915527344,59.99850034713745,-1.5396810609938432
2020-04-01,20.903308868408203,45.9882926940918,57.060001373291016,61.252000427246095,-1.6054870564155101
2020-04-02,20.644973754882812,48.17778396606445,50.90999984741211,61.81650047302246,-1.6729101302330258
2020-04-03,20.418468475341797,47.98277282714844,46.79999923706055,62.059500503540036,-1.6845560675683449
2020-04-06,23.469772338867188,51.7944450378418,45.2400016784668,61.598500633239745,-1.5542627226152608
