Date,KDP,GILD,VIX,AvgVIX,zscore
2022-01-31,33.881465911865234,58.771060943603516,24.829999923706055,23.18100004196167,0.6371729970692561
2022-02-01,34.051090240478516,58.59135055541992,21.959999084472656,23.448999977111818,0.7166280236075331
2022-02-02,34.61355972290039,56.32368850708008,22.09000015258789,23.707999992370606,0.8861042004602137
2022-02-03,34.59569549560547,55.95573043823242,24.350000381469727,23.939000034332274,0.8559835960715516
2022-02-04,34.14037322998047,54.680702209472656,23.219999313354492,24.119499969482423,0.543890958670646
2022-02-07,34.435001373291016,54.56089782714844,22.860000610351562,24.324499988555907,0.6927144953072562
2022-02-08,34.68497085571289,54.50956344604492,21.440000534057617,24.426500034332275,0.8218086229456302
2022-02-09,34.53321075439453,54.2357292175293,19.959999084472656,24.503999996185303,0.7262849936620336
2022-02-10,34.17609405517578,52.87512969970703,23.90999984741211,24.818499946594237,0.46123226362470493
2022-02-11,33.952884674072266,53.114715576171875,27.360000610351562,25.171000003814697,0.35685158845290454
2022-02-14,34.015384674072266,52.29322814941406,28.329999923706055,25.62799997329712,0.34366237168238667
2022-02-15,33.863616943359375,52.48149108886719,25.700000762939453,25.773499965667725,0.27411625043842724
2022-02-16,33.85468292236328,52.969261169433594,24.290000915527344,25.795499992370605,0.29682421396371933
2022-02-17,33.85468292236328,52.447261810302734,28.110000610351562,25.92150001525879,0.2674746610688861
2022-02-18,34.35465621948242,52.24188995361328,27.75,25.866499996185304,0.5199065344892537
2022-02-22,34.435001373291016,52.18199157714844,28.809999465942383,25.811999988555907,0.5589598582661877
2022-02-23,33.97967529296875,52.49860763549805,31.020000457763672,25.805000019073486,0.3363558304095205
2022-02-24,32.72084045410156,51.8653678894043,30.31999969482422,25.723000049591064,-0.36389556381319715
2022-02-25,34.193946838378906,52.30179214477539,27.59000015258789,25.57800006866455,0.4384222287233213
2022-02-28,34.52427673339844,51.68567657470703,30.149999618530273,25.70250005722046,0.5781905660624245
2022-03-01,34.06896209716797,51.56586837768555,33.31999969482422,26.127000045776366,0.33105451061684604
2022-03-02,34.470703125,52.404483795166016,30.739999771118164,26.566000080108644,0.5903195717638199
2022-03-03,34.470703125,52.80666732788086,30.479999542236328,26.985500049591064,0.612932447929984
2022-03-04,34.71176528930664,52.93502426147461,31.979999542236328,27.367000007629393,0.7474268272393602
2022-03-07,34.051090240478516,51.56586837768555,36.45000076293945,28.028500080108643,0.3216184183650611
2022-03-08,33.220794677734375,50.94975662231445,35.130001068115234,28.642000102996825,-0.15140716080552774
2022-03-09,33.595767974853516,50.4876594543457,32.45000076293945,29.192500114440918,0.020591998793935026
2022-03-10,33.21186828613281,49.563472747802734,30.229999542236328,29.706000137329102,-0.23406435146082485
2022-03-11,32.863685607910156,49.63194274902344,30.75,30.048000144958497,-0.4140502283774718
2022-03-14,33.069026947021484,50.39457321166992,31.770000457763672,30.268500137329102,-0.2627537509485088
2022-03-15,33.33686828613281,50.54190444946289,29.829999923706055,30.3435001373291,-0.11305350376196299
2022-03-16,33.444000244140625,50.238582611083984,26.670000076293945,30.392000102996825,-0.07354366812911325
2022-03-17,33.7475471496582,51.304534912109375,25.670000076293945,30.461000061035158,0.14665833625592165
2022-03-18,33.75647735595703,51.49519348144531,23.8700008392334,30.249000072479248,0.16209319002480826
2022-03-21,33.72969436645508,51.703189849853516,23.530000686645508,30.038000106811523,0.15964679451497468
2022-03-22,33.77433395385742,51.980506896972656,22.940000534057617,29.744500160217285,0.1988081017997069
2022-03-23,32.91725158691406,51.00120544433594,23.56999969482422,29.37200012207031,-0.3087809755489395
2022-03-24,33.265438079833984,51.252532958984375,21.670000076293945,28.9395001411438,-0.11081238408272596
2022-03-25,33.55113220214844,51.05320358276367,20.809999465942383,28.600500106811523,0.02882279953455754
2022-03-28,33.926109313964844,51.287200927734375,19.6299991607666,28.07450008392334,0.23996207249355414
2022-03-29,34.18501663208008,52.4571533203125,18.899999618530273,27.353500080108642,0.44244242720146154
2022-03-30,34.06001281738281,51.703189849853516,19.329999923706055,26.78300008773804,0.334050351435852
2022-03-31,34.00440216064453,51.52119445800781,20.559999465942383,26.28700008392334,0.29445595726893964
2022-04-01,34.3094482421875,51.711849212646484,19.6299991607666,25.669500064849853,0.4662356682832751
2022-04-04,34.41712188720703,52.57847213745117,18.56999969482422,24.77550001144409,0.5718119628244694
2022-04-05,33.15205001831055,51.781185150146484,21.030000686645508,24.070499992370607,-0.14095609647464505
2022-04-06,33.941593170166016,52.708473205566406,22.100000381469727,23.55299997329712,0.3280487457215959
2022-04-07,33.74421310424805,52.85580825805664,21.549999237060547,23.11899995803833,0.23211876329948924
2022-04-08,33.78009796142578,53.9910774230957,21.15999984741211,22.639499950408936,0.31489628072053966
2022-04-11,33.72626495361328,53.635765075683594,24.3700008392334,22.26949996948242,0.26649566855657164
2022-04-12,33.76214599609375,53.41044616699219,24.260000228881836,21.99099998474121,0.27277174531073856
2022-04-13,33.78907012939453,53.78310012817383,21.81999969482422,21.748499965667726,0.3079398821057016
2022-04-14,33.412235260009766,53.575111389160156,22.700000762939453,21.6,0.09728207973024895
2022-04-18,32.99951934814453,53.36711502075195,22.170000076293945,21.51499996185303,-0.1323208439728624
2022-04-19,33.699344635009766,54.407066345214844,21.3700008392334,21.40699996948242,0.2956487331740028
2022-04-20,34.103084564208984,55.11770248413086,20.31999969482422,21.27599992752075,0.5487735174976112
2022-04-21,33.65447998046875,55.24769973754883,22.68000030517578,21.23149995803833,0.31922565455977553
2022-04-22,33.1969108581543,53.94775390625,28.209999084472656,21.558499908447267,0.004545709181123136
2022-04-25,33.46607208251953,54.29440689086914,27.020000457763672,21.86899995803833,0.16614975572418217
2022-04-26,33.24176788330078,53.531768798828125,33.52000045776367,22.563500022888185,0.004840722418285843
2022-04-27,33.968509674072266,53.37578201293945,31.600000381469727,23.198500061035155,0.3797799014502769
2022-04-28,34.08515548706055,53.34978485107422,29.989999771118164,23.73150005340576,0.4399055741961099
2022-04-29,33.5557861328125,51.42585372924805,33.400001525878906,24.37350015640259,0.05223236398889435
2022-05-02,32.77521514892578,52.26649856567383,32.34000015258789,25.00900020599365,-0.3126328006918875
2022-05-03,33.36737060546875,52.28382873535156,29.25,25.54300022125244,0.0009914540221304317
2022-05-04,33.3942985534668,53.800437927246094,25.420000076293945,25.762500190734862,0.10048079222948401
2022-05-05,33.2507438659668,53.16779327392578,31.200000762939453,26.21750020980835,-0.010884704088201488
2022-05-06,33.161014556884766,53.02046585083008,30.190000534057617,26.6495002746582,-0.06654405732000089
2022-05-09,33.322509765625,53.45378112792969,34.75,27.3290002822876,0.04308643795055292
2022-05-10,33.1969108581543,53.54043960571289,32.9900016784668,27.76000032424927,-0.018355645771380727
2022-05-11,33.573726654052734,52.483154296875,32.560001373291016,28.175000381469726,0.12115171598080003
2022-05-12,33.07129669189453,54.14707946777344,31.770000457763672,28.6725004196167,-0.05056969420051311
2022-05-13,33.385318756103516,54.0517578125,28.8700008392334,28.981000423431396,0.10987011130675801
2022-05-16,33.17896270751953,53.939090728759766,27.469999313354492,29.246000385284425,-0.005417754674801638
2022-05-17,32.27277374267578,54.753719329833984,26.100000381469727,29.48250036239624,-0.43807023934738554
2022-05-18,30.971813201904297,54.78839111328125,30.959999084472656,30.01450033187866,-1.123009915916351
2022-05-19,30.801349639892578,54.83171463012695,29.350000381469727,30.34800033569336,-1.2105764341792593
2022-05-20,31.025651931762695,55.32570266723633,29.43000030517578,30.409000396728516,-1.0643733287654593
2022-05-23,31.36659049987793,55.169700622558594,28.479999542236328,30.48200035095215,-0.893133753869247
2022-05-24,31.66266441345215,55.767677307128906,29.450000762939453,30.278500366210938,-0.7031894390820073
2022-05-25,31.70752716064453,56.33966064453125,28.3700008392334,30.117000389099122,-0.6473426159305926
2022-05-26,31.877992630004883,55.871681213378906,27.5,29.992500400543214,-0.5836514824161666
2022-05-27,31.563980102539062,56.15767288208008,25.719999313354492,29.608500289916993,-0.7333657804045177
