Date,KBE,XOM,VIX,AvgVIX,zscore
2020-01-30,37.8828010559082,48.712581634521484,15.489999771118164,13.696000051498412,0.24329667472662603
2020-01-31,37.1184196472168,46.70513153076172,18.84000015258789,14.014500045776368,0.32873579596649843
2020-02-03,37.53000259399414,45.660064697265625,17.969999313354492,14.211999988555908,0.5897310925757377
2020-02-04,38.075992584228516,45.08865737915039,16.049999237060547,14.32199993133545,0.8182771549689516
2020-02-05,38.94956588745117,47.16376876831055,15.149999618530273,14.389999914169312,0.7522723752920547
2020-02-06,38.57156753540039,46.524688720703125,14.960000038146973,14.465499925613404,0.7434570864094234
2020-02-07,38.260772705078125,46.216426849365234,15.470000267028809,14.611999940872192,0.7048448883341184
2020-02-10,38.243980407714844,45.728336334228516,15.039999961853027,14.735999917984008,0.7708357174076826
2020-02-11,38.56317138671875,46.16304397583008,15.180000305175781,14.878999948501587,0.7934343229072
2020-02-12,38.56317138671875,46.7274055480957,13.739999771118164,14.946499919891357,0.7119383235495614
2020-02-13,38.731178283691406,46.468101501464844,14.149999618530273,15.032999897003174,0.7943186187280267
2020-02-14,38.48757553100586,46.25456237792969,13.680000305175781,15.100999927520752,0.7599995459132642
2020-02-18,37.99198913574219,45.66732406616211,14.829999923706055,15.237499904632568,0.7122475488792737
2020-02-19,38.218780517578125,46.018150329589844,14.380000114440918,15.313999891281128,0.7222453909982284
2020-02-20,38.621971130371094,45.652069091796875,15.5600004196167,15.446499919891357,0.8829478881564972
2020-02-21,38.10118865966797,45.095333099365234,17.079999923706055,15.651499938964843,0.8240521965108927
2020-02-24,36.91682815551758,42.982810974121094,25.030000686645508,16.174999952316284,0.8123348645393769
2020-02-25,35.42167663574219,41.33549118041992,27.850000381469727,16.655999994277956,0.650315124768674
2020-02-26,34.86729049682617,40.42793655395508,27.559999465942383,17.219999933242796,0.6330912349291342
2020-02-27,33.48133850097656,37.995086669921875,39.15999984741211,18.35849995613098,0.613712020230446
2020-02-28,32.5489616394043,39.2305793762207,40.11000061035156,19.589499998092652,0.18592490061994546
2020-03-02,33.99372482299805,41.09144973754883,33.41999816894531,20.318499898910524,0.3036300478205671
2020-03-03,32.67496109008789,39.12381362915039,36.81999969482422,21.26099991798401,0.23504259708370048
2020-03-04,33.34694290161133,39.977970123291016,31.989999771118164,22.05799994468689,0.2914299853497667
2020-03-05,31.742582321166992,38.21625518798828,39.619998931884766,23.281499910354615,0.11671986274023516
2020-03-06,30.47422218322754,36.37065124511719,41.939998626708984,24.630499839782715,0.04399163785341708
2020-03-09,25.988771438598633,31.924423217773438,54.459999084472656,26.57999978065491,-0.5136520908552036
2020-03-10,27.685516357421875,33.10652160644531,47.29999923706055,28.192999744415282,-0.23053361297351396
2020-03-11,25.795578002929688,32.01593017578125,53.900001525878906,30.12899980545044,-0.5785383264915339
2020-03-12,23.510854721069336,28.355234146118164,75.47000122070312,33.21549987792969,-0.6610006995389807
2020-03-13,26.23236656188965,29.072124481201172,57.83000183105469,35.39949998855591,-0.036616183785528486
