Date,PEP,FDX,VIX,AvgVIX,zscore
2022-01-31,151.71258544921875,224.87991333007812,24.829999923706055,23.18100004196167,-0.7282461061338553
2022-02-01,150.6808624267578,230.49600219726562,21.959999084472656,23.448999977111818,-0.8880264869472319
2022-02-02,153.41748046875,230.33139038085938,22.09000015258789,23.707999992370606,-0.5613513173381813
2022-02-03,153.33004760742188,226.21536254882812,24.350000381469727,23.939000034332274,-0.5446137437241099
2022-02-04,150.81198120117188,223.2792510986328,23.219999313354492,24.119499969482423,-0.8248413931918372
2022-02-07,150.21746826171875,222.93167114257812,22.860000610351562,24.324499988555907,-0.893281864486821
2022-02-08,150.40109252929688,223.05056762695312,21.440000534057617,24.426500034332275,-0.8722190943287642
2022-02-09,150.33111572265625,223.398193359375,19.959999084472656,24.503999996185303,-0.8828367464762501
2022-02-10,147.2097930908203,219.89498901367188,23.90999984741211,24.818499946594237,-1.2310976957532456
2022-02-11,147.39340209960938,212.3947296142578,27.360000610351562,25.171000003814697,-1.1597981909747275
2022-02-14,145.74969482421875,208.9647216796875,28.329999923706055,25.62799997329712,-1.3327421469746705
2022-02-15,145.10267639160156,210.7391815185547,25.700000762939453,25.773499965667725,-1.4214215992355765
2022-02-16,145.39990234375,209.46778869628906,24.290000915527344,25.795499992370605,-1.377675869474409
2022-02-17,145.79339599609375,205.2237548828125,28.110000610351562,25.92150001525879,-1.3028759173038607
2022-02-18,146.6327667236328,203.266357421875,27.75,25.866499996185304,-1.1901050674317868
2022-02-22,147.19232177734375,199.20521545410156,28.809999465942383,25.811999988555907,-1.0967538584204068
2022-02-23,145.74090576171875,196.5069580078125,31.020000457763672,25.805000019073486,-1.251644872107001
2022-02-24,143.2053680419922,197.4947967529297,30.31999969482422,25.723000049591064,-1.5598245883226467
2022-02-25,147.2185516357422,201.8852081298828,27.59000015258789,25.57800006866455,-1.1113042655154521
2022-02-28,143.1616973876953,203.30294799804688,30.149999618530273,25.70250005722046,-1.6033176143236938
2022-03-01,141.87643432617188,196.5709991455078,33.31999969482422,26.127000045776366,-1.711843526218438
2022-03-02,143.84365844726562,200.5406036376953,30.739999771118164,26.566000080108644,-1.5039670249464525
2022-03-03,143.68960571289062,202.4248504638672,30.479999542236328,26.985500049591064,-1.534719673177439
2022-03-04,145.87220764160156,196.8998260498047,31.979999542236328,27.367000007629393,-1.2386136607984723
2022-03-07,142.96800231933594,184.5557403564453,36.45000076293945,28.028500080108643,-1.5027487670557365
2022-03-08,138.937255859375,187.21725463867188,35.130001068115234,28.642000102996825,-1.9998570309745491
2022-03-09,138.52359008789062,198.90060424804688,32.45000076293945,29.192500114440918,-2.126109701270751
2022-03-10,135.98019409179688,201.25010681152344,30.229999542236328,29.706000137329102,-2.444202782241494
2022-03-11,135.29373168945312,195.65167236328125,30.75,30.048000144958497,-2.488960318937029
2022-03-14,137.19468688964844,193.77023315429688,31.770000457763672,30.268500137329102,-2.2503880574391264
2022-03-15,139.9317169189453,198.4508514404297,29.829999923706055,30.3435001373291,-1.9556119427836842
2022-03-16,140.54776000976562,207.35330200195312,26.670000076293945,30.392000102996825,-1.9410183039058093
2022-03-17,141.6390838623047,209.2347412109375,25.670000076293945,30.461000061035158,-1.8235834713327996
2022-03-18,143.26719665527344,200.91050720214844,23.8700008392334,30.249000072479248,-1.574990739354158
2022-03-21,143.06478881835938,203.89332580566406,23.530000686645508,30.038000106811523,-1.6187401174237315
2022-03-22,144.6313018798828,207.940673828125,22.940000534057617,29.744500160217285,-1.4590509261298508
2022-03-23,143.8744354248047,203.26002502441406,23.56999969482422,29.37200012207031,-1.5182364192095419
