Date,KO,UPS,VIX,AvgVIX,zscore
2022-01-31,53.774879455566406,165.7238311767578,24.829999923706055,23.18100004196167,-1.1504230589328153
2022-02-01,53.37824249267578,189.06492614746094,21.959999084472656,23.448999977111818,-2.1340145729215054
2022-02-02,53.92470932006836,190.22872924804688,22.09000015258789,23.707999992370606,-1.8977115030452436
2022-02-03,54.3037223815918,187.4258270263672,24.350000381469727,23.939000034332274,-1.6126044015421919
2022-02-04,53.73080062866211,184.22952270507812,23.219999313354492,24.119499969482423,-1.7939942993966649
2022-02-07,54.29491424560547,184.45079040527344,22.860000610351562,24.324499988555907,-1.5171513673822796
2022-02-08,54.64748001098633,184.56553649902344,21.440000534057617,24.426500034332275,-1.3433365754617268
2022-02-09,53.80132293701172,184.45901489257812,19.959999084472656,24.503999996185303,-1.7661617437106518
2022-02-10,54.10100173950195,180.8611297607422,23.90999984741211,24.818499946594237,-1.4943405107617045
2022-02-11,53.14026641845703,174.96847534179688,27.360000610351562,25.171000003814697,-1.7806259814650114
2022-02-14,53.4840087890625,175.37823486328125,28.329999923706055,25.62799997329712,-1.6211630965895234
2022-02-15,53.68674087524414,178.0582275390625,25.700000762939453,25.773499965667725,-1.6089859420275865
2022-02-16,53.67793273925781,176.46006774902344,24.290000915527344,25.795499992370605,-1.5597637881209347
2022-02-17,54.75324249267578,172.6901092529297,28.110000610351562,25.92150001525879,-0.8913031590867689
2022-02-18,55.12343978881836,172.8303985595703,27.75,25.866499996185304,-0.7094610091879385
2022-02-22,54.89427947998047,172.5084686279297,28.809999465942383,25.811999988555907,-0.8141318654848364
2022-02-23,54.28609085083008,168.80189514160156,31.020000457763672,25.805000019073486,-0.9961605939083557
2022-02-24,53.334171295166016,171.03904724121094,30.31999969482422,25.723000049591064,-1.5509750419949224
2022-02-25,55.39667510986328,173.3174591064453,27.59000015258789,25.57800006866455,-0.5881240720558257
2022-02-28,54.8590202331543,173.70547485351562,30.149999618530273,25.70250005722046,-0.8720914009548465
2022-03-01,54.62103271484375,169.7099609375,33.31999969482422,26.127000045776366,-0.857863970247604
2022-03-02,55.02648162841797,174.56396484375,30.739999771118164,26.566000080108644,-0.81652820001526
2022-03-03,55.06174087524414,175.36473083496094,30.479999542236328,26.985500049591064,-0.8256471177844408
2022-03-04,55.149871826171875,173.68067932128906,31.979999542236328,27.367000007629393,-0.724690739406117
2022-03-07,53.836570739746094,166.07769775390625,36.45000076293945,28.028500080108643,-1.1312167715615036
2022-03-08,51.70356369018555,167.91859436035156,35.130001068115234,28.642000102996825,-2.267908744654062
2022-03-09,51.967994689941406,170.7006072998047,32.45000076293945,29.192500114440918,-2.2280653082439654
2022-03-10,51.01607131958008,171.03077697753906,30.229999542236328,29.706000137329102,-2.7188516405327547
2022-03-11,51.05131149291992,168.32308959960938,30.75,30.048000144958497,-2.6101781386306646
2022-03-14,51.992767333984375,168.65330505371094,31.770000457763672,30.268500137329102,-2.1468401875083263
2022-03-15,52.95197296142578,173.79629516601562,29.829999923706055,30.3435001373291,-1.8361543723961686
2022-03-16,52.80986785888672,179.8803253173828,26.670000076293945,30.392000102996825,-2.1120462521786196
2022-03-17,53.369407653808594,183.5291290283203,25.670000076293945,30.461000061035158,-1.9525932941200503
2022-03-18,53.37828826904297,181.43228149414062,23.8700008392334,30.249000072479248,-1.877713039787451
2022-03-21,53.80460739135742,180.4251708984375,23.530000686645508,30.038000106811523,-1.6290637403488535
2022-03-22,54.000003814697266,180.3096160888672,22.940000534057617,29.744500160217285,-1.5267181717643534
2022-03-23,53.644737243652344,177.13961791992188,23.56999969482422,29.37200012207031,-1.599308913518184
2022-03-24,54.15985870361328,177.2056884765625,21.670000076293945,28.9395001411438,-1.341943479206151
2022-03-25,54.64835739135742,177.77528381347656,20.809999465942383,28.600500106811523,-1.1149006553936076
2022-03-28,54.9947395324707,181.242431640625,19.6299991607666,28.07450008392334,-1.0567643053918714
2022-03-29,55.20790481567383,183.636474609375,18.899999618530273,27.353500080108642,-1.0297283493632121
2022-03-30,55.25230407714844,181.77899169921875,19.329999923706055,26.78300008773804,-0.94498632981017
