Date,WFC,NEE,VIX,AvgVIX,zscore
2020-01-30,40.615787506103516,57.78909683227539,15.489999771118164,13.696000051498412,2.8984520888655707
2020-01-31,39.7934684753418,57.41872787475586,18.84000015258789,14.014500045776368,2.7442399305588214
2020-02-03,39.9460563659668,57.12114334106445,17.969999313354492,14.211999988555908,2.7683638075491714
2020-02-04,40.06474304199219,56.635162353515625,16.049999237060547,14.32199993133545,2.7840073137054313
2020-02-05,40.95489501953125,57.0997428894043,15.149999618530273,14.389999914169312,2.951720957277069
2020-02-06,41.1091194152832,57.44655990600586,14.960000038146973,14.465499925613404,2.9840438886008878
2020-02-07,40.98916244506836,57.70561981201172,15.470000267028809,14.611999940872192,2.9653868305325752
2020-02-10,40.929176330566406,58.17660140991211,15.039999961853027,14.735999917984008,2.9602435496652504
2020-02-11,41.117679595947266,58.26436996459961,15.180000305175781,14.878999948501587,2.9956293383526407
2020-02-12,40.946327209472656,57.85974884033203,13.739999771118164,14.946499919891357,2.9594801746712425
2020-02-13,41.229068756103516,58.97515106201172,14.149999618530273,15.032999897003174,3.024618461729721
2020-02-14,41.31473922729492,59.628135681152344,13.680000305175781,15.100999927520752,3.0482178462960396
2020-02-18,40.26089859008789,60.3817253112793,14.829999923706055,15.237499904632568,2.865647430842617
2020-02-19,40.3465690612793,58.80388259887695,14.380000114440918,15.313999891281128,2.861894000044379
2020-02-20,40.560768127441406,59.309139251708984,15.5600004196167,15.446499919891357,2.9070756440226124
2020-02-21,40.86921310424805,59.42902755737305,17.079999923706055,15.651499938964843,2.964685951013778
2020-02-24,39.746795654296875,58.64759826660156,25.030000686645508,16.174999952316284,2.7508125055268917
2020-02-25,38.6586799621582,57.87474060058594,27.850000381469727,16.655999994277956,2.5432874501347453
2020-02-26,37.81901168823242,57.690616607666016,27.559999465942383,17.219999933242796,2.3882011449819203
2020-02-27,36.38816833496094,55.060794830322266,39.15999984741211,18.35849995613098,2.095527177308152
2020-02-28,35.000144958496094,54.39579391479492,40.11000061035156,19.589499998092652,1.83473814211728
2020-03-02,36.20823287963867,57.75088119506836,33.41999816894531,20.318499898910524,2.0957609006352644
