Date,AMAT,CL,VIX,AvgVIX,zscore
2015-01-30,19.89118003845215,51.85340118408203,20.969999313354492,19.119499969482423,-0.334392957026596
2015-02-02,19.90859031677246,52.982330322265625,19.43000030517578,19.201499938964844,-0.5762688913718824
2015-02-03,20.422420501708984,53.13591766357422,17.329999923706055,19.071999931335448,-0.558156212825033
2015-02-04,20.570478439331055,53.14361572265625,18.329999923706055,18.932499885559082,-0.5450483543355253
2015-02-05,20.866573333740234,53.59670639038086,16.850000381469727,18.80949993133545,-0.6132852326645883
2015-02-06,21.110422134399414,53.22039031982422,17.290000915527344,18.823499965667725,-0.5077553175191157
2015-02-09,20.47467041015625,53.04377365112305,18.549999237060547,18.873499965667726,-0.5330603563867132
2015-02-10,21.145259857177734,53.32791519165039,17.229999542236328,18.754999923706055,-0.5274830850393061
2015-02-11,21.127840042114258,53.3509521484375,16.959999084472656,18.57499990463257,-0.5341919067712563
2015-02-12,21.02333641052246,53.642784118652344,15.34000015258789,18.267999935150147,-0.6075910053266965
2015-02-13,21.093297958374023,53.81941604614258,14.6899995803833,17.88299994468689,-0.6387277859080925
2015-02-17,21.10203742980957,53.90387725830078,15.800000190734863,17.62549991607666,-0.656081970162526
2015-02-18,21.0758056640625,54.172691345214844,15.449999809265137,17.403499937057497,-0.7167062679159306
2015-02-19,21.801651000976562,53.91923904418945,15.289999961853027,17.22549991607666,-0.5896092671828469
2015-02-20,21.97655487060547,53.94228744506836,14.300000190734863,17.12049994468689,-0.577135945714032
2015-02-23,21.784164428710938,54.28020095825195,14.5600004196167,17.015499973297118,-0.6692458800027716
2015-02-24,22.17769432067871,54.53363037109375,13.6899995803833,16.9239999294281,-0.6846783699375688
2015-02-25,21.950326919555664,54.53363037109375,13.84000015258789,16.754999971389772,-0.7073586526356164
2015-02-26,21.784164428710938,54.61043167114258,13.90999984741211,16.428499937057495,-0.740506663997177
2015-02-27,21.906597137451172,54.38771057128906,13.34000015258789,16.157499933242796,-0.6802326068585356
2015-03-02,22.413808822631836,54.53363037109375,13.039999961853027,15.760999965667725,-0.6611255491419988
2015-03-03,21.416873931884766,54.28020095825195,13.859999656677246,15.482499933242797,-0.705883728081159
2015-03-04,21.224472045898438,54.28020095825195,14.229999542236328,15.327499914169312,-0.7250761415241305
2015-03-05,21.145761489868164,54.87921905517578,14.039999961853027,15.11299991607666,-0.8621903090957772
2015-03-06,20.909648895263672,53.18199157714844,15.199999809265137,15.03049988746643,-0.5194966882066773
2015-03-09,21.067066192626953,53.4431037902832,15.0600004196167,14.918999862670898,-0.5601396870946627
2015-03-10,20.559843063354492,52.52921676635742,16.690000534057617,14.825999927520751,-0.41352754500330613
2015-03-11,20.5161190032959,52.137569427490234,16.8700008392334,14.807999992370606,-0.333375160701695
2015-03-12,20.787220001220703,52.629066467285156,15.420000076293945,14.73100004196167,-0.41239296820551774
2015-03-13,21.19823455810547,52.5753173828125,16.0,14.764000034332275,-0.3597950076907005
2015-03-16,21.4868221282959,53.005367279052734,15.609999656677246,14.810000038146972,-0.4238087654014067
