Date,META,KBE,VIX,AvgVIX,zscore
2015-01-30,75.31893157958984,23.246278762817383,20.969999313354492,19.119499969482423,-0.7495125190250135
2015-02-02,74.4061050415039,23.867090225219727,19.43000030517578,19.201499938964844,-0.9862455157269043
2015-02-03,74.81291198730469,24.40360450744629,17.329999923706055,19.071999931335448,-1.1279064334068707
2015-02-04,75.04109954833984,24.273305892944336,18.329999923706055,18.932499885559082,-1.0762936989709362
2015-02-05,75.0212631225586,24.725509643554688,16.850000381469727,18.80949993133545,-1.214782518591836
2015-02-06,73.8901596069336,25.14706039428711,17.290000915527344,18.823499965667725,-1.4024389150224656
2015-02-09,73.86038970947266,24.924789428710938,18.549999237060547,18.873499965667726,-1.3364476174347932
2015-02-10,74.60453033447266,25.078073501586914,17.229999542236328,18.754999923706055,-1.343874422409645
2015-02-11,75.91425323486328,24.955448150634766,16.959999084472656,18.57499990463257,-1.2376742852367073
2015-02-12,75.63644409179688,25.415307998657227,15.34000015258789,18.267999935150147,-1.3920668668406597
2015-02-13,75.15025329589844,25.491962432861328,14.6899995803833,17.88299994468689,-1.4409530851742511
2015-02-17,75.01136016845703,25.660572052001953,15.800000190734863,17.62549991607666,-1.499510802362543
2015-02-18,76.11270141601562,25.23136329650879,15.449999809265137,17.403499937057497,-1.311093142621964
2015-02-19,78.80160522460938,25.20836639404297,15.289999961853027,17.22549991607666,-1.1625902201496283
2015-02-20,79.27787780761719,25.422977447509766,14.300000190734863,17.12049994468689,-1.2027545352496087
2015-02-23,78.22611999511719,25.361661911010742,14.5600004196167,17.015499973297118,-1.2394705140668036
2015-02-24,77.83915710449219,25.50728416442871,13.6899995803833,16.9239999294281,-1.304096901966019
2015-02-25,78.94050598144531,25.45363426208496,13.84000015258789,16.754999971389772,-1.2298279003251535
2015-02-26,79.78389739990234,25.53028106689453,13.90999984741211,16.428499937057495,-1.2087378002744091
2015-02-27,78.35509490966797,25.361661911010742,13.34000015258789,16.157499933242796,-1.2326827498314046
2015-03-02,79.12903594970703,25.583921432495117,13.039999961853027,15.760999965667725,-1.2595059122312173
2015-03-03,78.98020935058594,25.537935256958008,13.859999656677246,15.482499933242797,-1.2533611954976067
2015-03-04,80.27008819580078,25.407649993896484,14.229999542236328,15.327499914169312,-1.1458772340084498
2015-03-05,80.57766723632812,25.514955520629883,14.039999961853027,15.11299991607666,-1.1623047195637282
2015-03-06,79.38701629638672,25.675905227661133,15.199999809265137,15.03049988746643,-1.273886749179896
2015-03-09,78.82144927978516,25.85218620300293,15.0600004196167,14.918999862670898,-1.3572313661928919
2015-03-10,76.94615936279297,25.32334327697754,16.690000534057617,14.825999927520751,-1.295186261787626
2015-03-11,76.96601104736328,25.56093406677246,16.8700008392334,14.807999992370606,-1.3663559174462798
2015-03-12,78.3154067993164,26.174095153808594,15.420000076293945,14.73100004196167,-1.4817061192465362
2015-03-13,77.44227600097656,26.005474090576172,16.0,14.764000034332275,-1.4764062872086308
2015-03-16,77.46212005615234,26.051462173461914,15.609999656677246,14.810000038146972,-1.4893397494298861
2015-03-17,78.7420654296875,26.166423797607422,15.65999984741211,14.803000020980836,-1.456920022469954
2015-03-18,80.28002166748047,25.9978084564209,13.970000267028809,14.729000043869018,-1.3247298870104998
2015-03-19,82.10566711425781,25.7832088470459,14.069999694824219,14.668000030517579,-1.1634224154490005
2015-03-20,83.14749908447266,26.157766342163086,13.020000457763672,14.604000043869018,-1.2224369997527542
2015-03-23,83.77259826660156,25.96548843383789,13.40999984741211,14.54650001525879,-1.1310971102000138
2015-03-24,84.64574432373047,25.842426300048828,13.619999885559082,14.543000030517579,-1.0477406265614988
2015-03-25,82.27435302734375,25.40403175354004,15.4399995803833,14.623000001907348,-1.0392959144876526
2015-03-26,82.36366271972656,25.480937957763672,15.800000190734863,14.717500019073487,-1.0579708940430201
2015-03-27,82.65140533447266,25.427104949951172,15.069999694824219,14.803999996185302,-1.0264651657856565
2015-03-30,82.55217742919922,25.842426300048828,14.510000228881836,14.877500009536742,-1.15792204083582
2015-03-31,81.57979583740234,25.77320671081543,15.289999961853027,14.949000024795533,-1.188058169727796
2015-04-01,81.03408813476562,25.71937370300293,15.109999656677246,14.993000030517578,-1.200415732840055
2015-04-02,80.9249496459961,25.865503311157227,14.670000076293945,15.024500036239624,-1.250574829789577
2015-04-06,81.798095703125,25.796283721923828,14.739999771118164,15.001500034332276,-1.1835834931240057
2015-04-07,81.67903137207031,25.819351196289062,14.779999732971191,14.9875,-1.196860910291298
2015-04-08,81.63934326171875,25.83473777770996,13.979999542236328,14.851999950408935,-1.2036263057311765
2015-04-09,81.53018188476562,25.850122451782227,13.09000015258789,14.66299991607666,-1.2140473995338186
2015-04-10,81.40120697021484,25.88088607788086,12.579999923706055,14.520999908447266,-1.230185599687126
2015-04-13,82.36366271972656,26.10392951965332,13.9399995803833,14.417999887466431,-1.2473257723713898
2015-04-14,82.86966705322266,25.988555908203125,13.670000076293945,14.320999908447266,-1.1856283138705674
2015-04-15,82.06598663330078,26.296207427978516,12.84000015258789,14.179999923706054,-1.3214338553623786
2015-04-16,81.66909790039062,26.273130416870117,12.600000381469727,14.111499929428101,-1.3353074071641708
2015-04-17,80.15101623535156,25.896268844604492,13.890000343322754,14.102499961853027,-1.300656847612726
2015-04-20,82.44302368164062,26.080852508544922,13.300000190734863,14.116499948501588,-1.2361349877717436
2015-04-21,82.96890258789062,26.08854866027832,13.25,14.10849995613098,-1.2107979405915714
2015-04-22,83.9710464477539,26.257753372192383,12.710000038146973,14.062999963760376,-1.2094853975988058
