Date,KO,NEE,VIX,AvgVIX,zscore
2022-01-31,53.774879455566406,69.62189483642578,24.829999923706055,23.18100004196167,-0.8245630117726277
2022-02-01,53.37824249267578,68.8287124633789,21.959999084472656,23.448999977111818,-0.9764137270299776
2022-02-02,53.92470932006836,69.27433776855469,22.09000015258789,23.707999992370606,-0.7204652509906554
2022-02-03,54.3037223815918,67.52753448486328,24.350000381469727,23.939000034332274,-0.39448263122218175
2022-02-04,53.73080062866211,67.74142456054688,23.219999313354492,24.119499969482423,-0.7120063785648542
2022-02-07,54.29491424560547,67.44733428955078,22.860000610351562,24.324499988555907,-0.39333516246368716
2022-02-08,54.64748001098633,67.25125122070312,21.440000534057617,24.426500034332275,-0.19328186366110017
2022-02-09,53.80132293701172,68.32073974609375,19.959999084472656,24.503999996185303,-0.716657967861842
2022-02-10,54.10100173950195,67.24235534667969,23.90999984741211,24.818499946594237,-0.4807746500174361
2022-02-11,53.14026641845703,66.8056640625,27.360000610351562,25.171000003814697,-0.955794791176871
2022-02-14,53.4840087890625,66.77000427246094,28.329999923706055,25.62799997329712,-0.7719786162372826
2022-02-15,53.68674087524414,66.9215087890625,25.700000762939453,25.773499965667725,-0.676027293364578
2022-02-16,53.67793273925781,67.04627227783203,24.290000915527344,25.795499992370605,-0.6896812115610647
2022-02-17,54.75324249267578,67.17994689941406,28.110000610351562,25.92150001525879,-0.13236849961940117
2022-02-18,55.12343978881836,66.08377075195312,27.75,25.866499996185304,0.14198110401620362
2022-02-22,54.89427947998047,65.7540283203125,28.809999465942383,25.811999988555907,0.04496667573572752
2022-02-23,54.28609085083008,64.45282745361328,31.020000457763672,25.805000019073486,-0.18174001616900473
2022-02-24,53.334171295166016,67.23342895507812,30.31999969482422,25.723000049591064,-0.8844477424570704
2022-02-25,55.39667510986328,68.76632690429688,27.59000015258789,25.57800006866455,0.09232675681565437
2022-02-28,54.8590202331543,70.14191436767578,30.149999618530273,25.70250005722046,-0.2904938433312366
2022-03-01,54.62103271484375,69.39813232421875,33.31999969482422,26.127000045776366,-0.362262752714176
2022-03-02,55.02648162841797,69.49668884277344,30.739999771118164,26.566000080108644,-0.15560367927413069
2022-03-03,55.06174087524414,70.6079330444336,30.479999542236328,26.985500049591064,-0.21726109403138363
2022-03-04,55.149871826171875,71.88045501708984,31.979999542236328,27.367000007629393,-0.2626880871840977
