Date,BAC,LRCX,VIX,AvgVIX,zscore
2022-01-31,41.44382095336914,56.300331115722656,24.829999923706055,23.18100004196167,1.4012298143554112
2022-02-01,42.162391662597656,56.25737762451172,21.959999084472656,23.448999977111818,1.5316353223466546
2022-02-02,42.11748123168945,58.38563919067383,22.09000015258789,23.707999992370606,1.4738866636821464
2022-02-03,41.704307556152344,56.18962860107422,24.350000381469727,23.939000034332274,1.4507224747300238
2022-02-04,43.366004943847656,55.26484298706055,23.219999313354492,24.119499969482423,1.7715469227740754
2022-02-07,43.57260513305664,54.52997970581055,22.860000610351562,24.324499988555907,1.8258997013843024
2022-02-08,44.35404968261719,54.99952697753906,21.440000534057617,24.426500034332275,1.955669066763955
2022-02-09,44.26422882080078,57.97240447998047,19.959999084472656,24.503999996185303,1.870124423683945
2022-02-10,44.05763626098633,56.77275085449219,23.90999984741211,24.818499946594237,1.8609131678050295
2022-02-11,43.04263687133789,53.44389343261719,27.360000610351562,25.171000003814697,1.7558036039735538
2022-02-14,42.59354019165039,53.27783966064453,28.329999923706055,25.62799997329712,1.678803099551391
2022-02-15,42.92588424682617,56.67253875732422,25.700000762939453,25.773499965667725,1.6594408723427452
2022-02-16,42.82707977294922,56.44826126098633,24.290000915527344,25.795499992370605,1.6468810544423935
2022-02-17,41.38093185424805,55.41181564331055,28.110000610351562,25.92150001525879,1.410637161851282
2022-02-18,41.282127380371094,54.39826583862305,27.75,25.866499996185304,1.4164942775620515
2022-02-22,40.9228515625,53.41813659667969,28.809999465942383,25.811999988555907,1.3746647830758425
2022-02-23,40.22224044799805,51.764198303222656,31.020000457763672,25.805000019073486,1.287088902330079
2022-02-24,39.16234588623047,53.719703674316406,30.31999969482422,25.723000049591064,1.0505887474692401
2022-02-25,40.43781661987305,54.70462417602539,27.59000015258789,25.57800006866455,1.257298666997044
2022-02-28,39.70127868652344,53.573692321777344,30.149999618530273,25.70250005722046,1.1510490662216195
2022-03-01,38.147361755371094,51.59049987792969,33.31999969482422,26.127000045776366,0.9174891323866143
2022-03-02,38.76712417602539,52.874141693115234,30.739999771118164,26.566000080108644,0.9991459642737237
2022-03-03,38.351924896240234,51.871097564697266,30.479999542236328,26.985500049591064,0.947780235637423
2022-03-04,36.96189498901367,50.17898178100586,31.979999542236328,27.367000007629393,0.7369417621680907
2022-03-07,34.60609436035156,46.68312454223633,36.45000076293945,28.028500080108643,0.3942718705145432
2022-03-08,34.831748962402344,46.799556732177734,35.130001068115234,28.642000102996825,0.4321918614358326
2022-03-09,37.04314041137695,49.370635986328125,32.45000076293945,29.192500114440918,0.7704347743541562
2022-03-10,36.709171295166016,47.43898010253906,30.229999542236328,29.706000137329102,0.7553656041264601
2022-03-11,36.40228271484375,46.13340759277344,30.75,30.048000144958497,0.7305641384847985
2022-03-14,37.18754959106445,44.76006317138672,31.770000457763672,30.268500137329102,0.9040240043318398
2022-03-15,37.458335876464844,46.40877151489258,29.829999923706055,30.3435001373291,0.9143172623919958
2022-03-16,38.631736755371094,49.25904846191406,26.670000076293945,30.392000102996825,1.0591196603149384
2022-03-17,38.83933639526367,50.39169692993164,25.670000076293945,30.461000061035158,1.070075778291927
2022-03-18,38.72199249267578,52.145713806152344,23.8700008392334,30.249000072479248,1.0080156471246118
2022-03-21,38.6678352355957,51.40082931518555,23.530000686645508,30.038000106811523,1.0156439663031633
2022-03-22,39.87733459472656,52.34868621826172,22.940000534057617,29.744500160217285,1.211338328430821
2022-03-23,38.893489837646484,50.838809967041016,23.56999969482422,29.37200012207031,1.0693949914608099
2022-03-24,38.87544631958008,53.254425048828125,21.670000076293945,28.9395001411438,1.0097795127532723
2022-03-25,39.471160888671875,53.12037658691406,20.809999465942383,28.600500106811523,1.120186187775325
2022-03-28,39.308692932128906,53.35877990722656,19.6299991607666,28.07450008392334,1.0853653572179163
