Date,KO,XLU,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,28.52054786682129,15.489999771118164,13.696000051498412,-0.2011440166987874
2020-01-31,48.25005340576172,28.392946243286133,18.84000015258789,14.014500045776368,-0.24309434668680963
2020-02-03,48.39876174926758,28.48349952697754,17.969999313354492,14.211999988555908,-0.25992560946064763
2020-02-04,48.61357116699219,28.19949722290039,16.049999237060547,14.32199993133545,0.055231384418347275
2020-02-05,48.62184524536133,28.31474494934082,15.149999618530273,14.389999914169312,-0.03589833075428904
2020-02-06,48.73751449584961,28.322975158691406,14.960000038146973,14.465499925613404,0.0019168447265198976
2020-02-07,48.90275192260742,28.2324161529541,15.470000267028809,14.611999940872192,0.1396706552951713
2020-02-10,49.36542892456055,28.339441299438477,15.039999961853027,14.735999917984008,0.23028581769857032
2020-02-11,49.23322296142578,28.442346572875977,15.180000305175781,14.878999948501587,0.09515030137929159
2020-02-12,49.084510803222656,28.462926864624023,13.739999771118164,14.946499919891357,0.021030516871336592
2020-02-13,49.249752044677734,28.779865264892578,14.149999618530273,15.032999897003174,-0.17470223317278455
2020-02-14,49.53066635131836,28.97332191467285,13.680000305175781,15.100999927520752,-0.22482780694149668
2020-02-18,49.183650970458984,29.21617317199707,14.829999923706055,15.237499904632568,-0.5572273988005563
2020-02-19,49.3819465637207,28.899232864379883,14.380000114440918,15.313999891281128,-0.22147496347997858
2020-02-20,49.340641021728516,29.002140045166016,15.5600004196167,15.446499919891357,-0.32160126533632405
2020-02-21,49.67937469482422,28.948633193969727,17.079999923706055,15.651499938964843,-0.1473472325437875
2020-02-24,48.45659255981445,28.611103057861328,25.030000686645508,16.174999952316284,-0.3420800409530189
2020-02-25,47.77085876464844,28.010160446166992,27.850000381469727,16.655999994277956,-0.11439415857309014
2020-02-26,47.58909225463867,27.726139068603516,27.559999465942383,17.219999933242796,0.048035139857211695
2020-02-27,45.38313293457031,26.478958129882812,39.15999984741211,18.35849995613098,0.21906716608655352
