Date,JPM,MS,VIX,AvgVIX,zscore
2020-01-30,114.79776000976562,44.35104751586914,15.489999771118164,13.696000051498412,2.689523702348353
2020-01-31,111.81565856933594,43.06549835205078,18.84000015258789,14.014500045776368,2.502907570835073
2020-02-03,112.66889953613281,43.3456916809082,17.969999313354492,14.211999988555908,2.571310595292613
2020-02-04,114.29087829589844,44.5158576965332,16.049999237060547,14.32199993133545,2.5921519401669637
2020-02-05,116.23389434814453,45.31520462036133,15.149999618530273,14.389999914169312,2.720297045691816
2020-02-06,116.25077056884766,45.331668853759766,14.960000038146973,14.465499925613404,2.7197793138342106
2020-02-07,115.87910461425781,45.348167419433594,15.470000267028809,14.611999940872192,2.666254025916393
2020-02-10,116.36062622070312,45.611854553222656,15.039999961853027,14.735999917984008,2.6867772338780593
2020-02-11,116.58024597167969,45.96620559692383,15.180000305175781,14.878999948501587,2.65604588620878
2020-02-12,116.58024597167969,46.29583740234375,13.739999771118164,14.946499919891357,2.599589535115249
2020-02-13,116.47889709472656,46.08982467651367,14.149999618530273,15.032999897003174,2.6210483628501065
2020-02-14,116.12405395507812,46.01565170288086,13.680000305175781,15.100999927520752,2.5853473030316594
2020-02-18,114.5865249633789,45.751956939697266,14.829999923706055,15.237499904632568,2.4207737008635837
2020-02-19,116.1494140625,46.40296936035156,14.380000114440918,15.313999891281128,2.5224704553787802
2020-02-20,116.1494140625,44.293365478515625,15.5600004196167,15.446499919891357,2.8837843075705623
2020-02-21,114.73016357421875,43.197357177734375,17.079999923706055,15.651499938964843,2.877896397033111
2020-02-24,111.64669799804688,40.93943405151367,25.030000686645508,16.174999952316284,2.8439924256217965
2020-02-25,106.66248321533203,39.57971954345703,27.850000381469727,16.655999994277956,2.39696709519613
2020-02-26,106.9834976196289,38.92871856689453,27.559999465942383,17.219999933242796,2.552254750043244
2020-02-27,102.531494140625,37.42067337036133,39.15999984741211,18.35849995613098,2.203233974515136
2020-02-28,98.0879135131836,37.1075439453125,40.11000061035156,19.589499998092652,1.650707819612712
2020-03-02,102.658203125,38.30242156982422,33.41999816894531,20.318499898910524,2.0695007069559326
2020-03-03,98.8060073852539,36.58838653564453,36.81999969482422,21.26099991798401,1.8375807640752502
2020-03-04,101.24742126464844,37.28059768676758,31.989999771118164,22.05799994468689,2.0520623804656015
2020-03-05,96.28009796142578,35.09681701660156,39.619998931884766,23.281499910354615,1.7484798355054851
2020-03-06,91.3042984008789,34.47878646850586,41.939998626708984,24.630499839782715,1.1755735260120959
2020-03-09,78.93663787841797,30.9023494720459,54.459999084472656,26.57999978065491,0.10102039926762861
2020-03-10,85.0698013305664,32.55046081542969,47.29999923706055,28.192999744415282,0.6553817049710203
2020-03-11,81.06551361083984,30.383182525634766,53.900001525878906,30.12899980545044,0.4803420465215032
2020-03-12,74.3832778930664,25.8013973236084,75.47000122070312,33.21549987792969,0.35353398829913146
2020-03-13,87.78156280517578,30.9023494720459,57.83000183105469,35.39949998855591,1.3075711278178481
2020-03-16,74.6451644897461,26.081581115722656,82.69000244140625,38.850000095367434,0.3412710257646139
2020-03-17,79.20698547363281,27.845077514648438,75.91000366210938,41.9040002822876,0.6615208183535434
2020-03-18,70.86897277832031,25.339929580688477,76.44999694824219,45.007500123977664,-0.04682212446808534
2020-03-19,72.06011199951172,25.480012893676758,72.0,47.829500102996825,0.09167093048434827
2020-03-20,70.53950500488281,24.44993782043457,66.04000091552734,50.27750015258789,0.06066436629237159
2020-03-23,66.76331329345703,22.91717529296875,61.59000015258789,52.10550012588501,-0.19193445600138795
2020-03-24,74.70428466796875,27.375354766845703,61.66999816894531,53.796500015258786,0.12774986939211436
2020-03-25,77.49209594726562,28.009885787963867,63.95000076293945,55.61600008010864,0.3993630541502284
2020-03-26,82.8902587890625,29.427268981933594,61.0,56.708000087738036,0.8929787484455113
2020-03-27,76.98519897460938,28.02635955810547,65.54000091552734,57.97950010299682,0.327394927825209
2020-03-30,78.98735046386719,28.710344314575195,57.08000183105469,59.16250028610229,0.4833649829037036
2020-03-31,76.05594635009766,28.018125534057617,53.540000915527344,59.99850034713745,0.2020443009976871
2020-04-01,71.2660140991211,26.056861877441406,57.060001373291016,61.252000427246095,-0.11545073870754906
2020-04-02,73.92707824707031,27.935720443725586,50.90999984741211,61.81650047302246,-0.07424449379348771
2020-04-03,71.7419662475586,27.894514083862305,46.79999923706055,62.059500503540036,-0.36526175636548647
2020-04-06,76.3597183227539,30.498552322387695,45.2400016784668,61.598500633239745,-0.18134270768518998
2020-04-07,77.36695098876953,30.440876007080078,46.70000076293945,61.568500709533694,-0.03406616922671451
2020-04-08,80.4909896850586,32.44334411621094,43.349998474121094,61.041000556945804,0.04912447049894689
2020-04-09,87.7121353149414,33.85248947143555,41.66999816894531,59.35100040435791,0.7928271418483428
2020-04-13,83.81135559082031,32.616397857666016,41.16999816894531,58.51800022125244,0.47242195623444366
2020-04-14,81.5152587890625,32.84714126586914,37.7599983215332,56.27150001525879,0.11968798060418849
2020-04-15,77.4949722290039,31.644001007080078,40.84000015258789,54.51799983978272,-0.22266293840934995
2020-04-16,74.54163360595703,31.61103630065918,40.11000061035156,52.70100002288818,-0.619886811552284
2020-04-17,81.24213409423828,32.21259307861328,38.150001525878906,51.00850009918213,0.191110260851289
2020-04-20,78.28023529052734,31.61103630065918,43.83000183105469,49.898000144958495,-0.10989801869874556
2020-04-21,76.00978088378906,30.44911003112793,45.40999984741211,49.089000129699706,-0.22061022018181137
2020-04-22,76.25731658935547,31.157806396484375,41.97999954223633,48.104500198364256,-0.30822256505457046
2020-04-23,76.29998779296875,30.877634048461914,41.380001068115234,46.976000213623045,-0.25441633307894196
2020-04-24,77.42669677734375,31.289653778076172,35.93000030517578,45.722500228881835,-0.1712871197795245
2020-04-27,80.76412963867188,32.39390563964844,33.290000915527344,44.11000022888184,0.0948513145830765
2020-04-28,81.33601379394531,33.06963348388672,33.56999969482422,42.93450012207031,0.057130423960440914
2020-04-29,83.5296630859375,33.90925598144531,31.229999542236328,41.81900005340576,0.21256678553624667
2020-04-30,81.73719024658203,32.7786750793457,34.150001525878906,40.673500061035156,0.16168828355761186
2020-05-01,79.5947265625,31.922426223754883,37.189998626708984,39.9875,0.01608184684608288
2020-05-04,78.64730072021484,31.664716720581055,35.970001220703125,39.44600009918213,-0.06901991717593274
2020-05-05,78.5278091430664,31.57327651977539,33.61000061035156,38.86450004577637,-0.06965890968498938
2020-05-06,77.0511245727539,31.007980346679688,34.119998931884766,38.235499954223634,-0.17427706571058765
2020-05-07,77.85346221923828,32.263267517089844,31.440000534057617,37.64000005722046,-0.2798230912630958
2020-05-08,79.12528991699219,33.319026947021484,27.979999542236328,36.95550012588501,-0.28715190340232993
2020-05-11,76.79505157470703,33.11119842529297,27.56999969482422,36.275500202178954,-0.5694285533619152
2020-05-12,74.28557586669922,31.939048767089844,33.040000915527344,36.03950033187866,-0.7109950734664672
2020-05-13,71.72488403320312,30.750274658203125,35.279998779296875,35.76150026321411,-0.8567007839294889
2020-05-14,74.70384216308594,31.431941986083984,32.61000061035156,35.38650026321411,-0.5670860233505903
2020-05-15,73.32106018066406,30.999662399291992,31.889999389648438,35.07350015640259,-0.6816766497660193
2020-05-18,77.20475006103516,33.48529052734375,29.299999237060547,34.34700002670288,-0.5776120184556276
2020-05-19,75.68543243408203,32.695552825927734,30.530000686645508,33.60300006866455,-0.6496055068800001
2020-05-20,77.95590209960938,34.13371658325195,27.989999771118164,32.90350008010864,-0.5862026797315001
2020-05-21,76.96576690673828,33.50191116333008,29.530000686645508,32.31100006103516,-0.6130587348793425
2020-05-22,76.3682861328125,33.360595703125,28.15999984741211,31.92250003814697,-0.6703588355074106
2020-05-26,81.78839874267578,36.32005310058594,28.010000228881836,31.658500003814698,-0.43786144470765376
2020-05-27,86.52567291259766,38.9553337097168,27.6200008392334,31.361000061035156,-0.24298910124941125
2020-05-28,85.23678588867188,36.91029739379883,28.59000015258789,31.229000091552734,-0.06855299183536712
2020-05-29,83.0602035522461,36.74404525756836,27.510000228881836,30.89700002670288,-0.33699000067221335
2020-06-01,84.16130065917969,37.15969467163086,28.229999542236328,30.449000072479247,-0.2579762051060344
2020-06-02,84.44297790527344,37.8912467956543,26.84000015258789,29.992500019073486,-0.34484577379558873
2020-06-03,89.00101470947266,38.99689483642578,25.65999984741211,29.594999980926513,0.08755812315129254
2020-06-04,90.85324096679688,40.47662353515625,25.809999465942383,29.179500007629393,0.08678881359537323
2020-06-05,94.94178771972656,41.17493438720703,24.520000457763672,28.8335000038147,0.5249138275506321
2020-06-08,96.83670806884766,41.69034194946289,25.809999465942383,28.725,0.6951286822791767
2020-06-09,94.35285186767578,41.89817810058594,27.56999969482422,28.725,0.32070548634715784
2020-06-10,90.52887725830078,40.47662353515625,27.56999969482422,28.451499938964844,0.04254182766367127
2020-06-11,82.97484588623047,37.05162048339844,40.790000915527344,28.727000045776368,-0.40131247985652296
2020-06-12,85.2453384399414,38.47316360473633,36.09000015258789,28.901000022888184,-0.3350598984474701
