Date,KO,PG,VIX,AvgVIX,zscore
2022-01-31,53.774879455566406,143.8155059814453,24.829999923706055,23.18100004196167,-1.3533226742503763
2022-02-01,53.37824249267578,143.1790771484375,21.959999084472656,23.448999977111818,-1.5145205757927016
2022-02-02,53.92470932006836,145.74258422851562,22.09000015258789,23.707999992370606,-1.4158511789865644
2022-02-03,54.3037223815918,147.1228790283203,24.350000381469727,23.939000034332274,-1.3183171843377688
2022-02-04,53.73080062866211,144.78350830078125,23.219999313354492,24.119499969482423,-1.4472454092989193
2022-02-07,54.29491424560547,143.69894409179688,22.860000610351562,24.324499988555907,-1.0723861529826402
2022-02-08,54.64748001098633,143.37628173828125,21.440000534057617,24.426500034332275,-0.8640927596302749
2022-02-09,53.80132293701172,143.05360412597656,19.959999084472656,24.503999996185303,-1.2837190836594798
2022-02-10,54.10100173950195,140.87550354003906,23.90999984741211,24.818499946594237,-0.9673583098227054
2022-02-11,53.14026641845703,140.0867462158203,27.360000610351562,25.171000003814697,-1.4128983885698059
2022-02-14,53.4840087890625,140.4901123046875,28.329999923706055,25.62799997329712,-1.262353724798491
2022-02-15,53.68674087524414,140.56182861328125,25.700000762939453,25.773499965667725,-1.1614054261088282
2022-02-16,53.67793273925781,141.62843322753906,24.290000915527344,25.795499992370605,-1.24406767622804
2022-02-17,54.75324249267578,143.2507781982422,28.110000610351562,25.92150001525879,-0.7995080745069659
2022-02-18,55.12343978881836,143.3224334716797,27.75,25.866499996185304,-0.6108328679761181
2022-02-22,54.89427947998047,141.55673217773438,28.809999465942383,25.811999988555907,-0.6016683112904129
2022-02-23,54.28609085083008,139.7909698486328,31.020000457763672,25.805000019073486,-0.7910437485061261
2022-02-24,53.334171295166016,136.02639770507812,30.31999969482422,25.723000049591064,-1.0142119530437252
2022-02-25,55.39667510986328,141.8345947265625,27.59000015258789,25.57800006866455,-0.35883345777021297
2022-02-28,54.8590202331543,139.7281951904297,30.149999618530273,25.70250005722046,-0.4863355816817719
2022-03-01,54.62103271484375,137.41571044921875,33.31999969482422,26.127000045776366,-0.44178429554285753
2022-03-02,55.02648162841797,137.84591674804688,30.739999771118164,26.566000080108644,-0.2608802307105223
2022-03-03,55.06174087524414,138.35682678222656,30.479999542236328,26.985500049591064,-0.27979618024402997
2022-03-04,55.149871826171875,139.0559844970703,31.979999542236328,27.367000007629393,-0.28479155859871
2022-03-07,53.836570739746094,136.9944305419922,36.45000076293945,28.028500080108643,-0.8218780123933687
2022-03-08,51.70356369018555,131.5716552734375,35.130001068115234,28.642000102996825,-1.542390924801741
2022-03-09,51.967994689941406,133.34640502929688,32.45000076293945,29.192500114440918,-1.5337419337192635
2022-03-10,51.01607131958008,129.91348266601562,30.229999542236328,29.706000137329102,-1.7811804651326133
2022-03-11,51.05131149291992,128.3717803955078,30.75,30.048000144958497,-1.6499073918467275
2022-03-14,51.992767333984375,130.0120391845703,31.770000457763672,30.268500137329102,-1.2767746340684596
2022-03-15,52.95197296142578,134.69088745117188,29.829999923706055,30.3435001373291,-1.1166915621903284
2022-03-16,52.80986785888672,134.23373413085938,26.670000076293945,30.392000102996825,-1.1576777531888376
2022-03-17,53.369407653808594,134.65499877929688,25.670000076293945,30.461000061035158,-0.8954027512820644
2022-03-18,53.37828826904297,134.58331298828125,23.8700008392334,30.249000072479248,-0.8855052875470959
2022-03-21,53.80460739135742,135.09420776367188,23.530000686645508,30.038000106811523,-0.6995732325926189
2022-03-22,54.000003814697266,136.1339569091797,22.940000534057617,29.744500160217285,-0.6733029189712448
2022-03-23,53.644737243652344,135.18385314941406,23.56999969482422,29.37200012207031,-0.7898769538942215
2022-03-24,54.15985870361328,135.41688537597656,21.670000076293945,28.9395001411438,-0.5370955547413576
2022-03-25,54.64835739135742,136.98545837402344,20.809999465942383,28.600500106811523,-0.3959874417034284
2022-03-28,54.9947395324707,137.92660522460938,19.6299991607666,28.07450008392334,-0.2834118741834874
2022-03-29,55.20790481567383,139.34280395507812,18.899999618530273,27.353500080108642,-0.2753803247720033
2022-03-30,55.25230407714844,138.38369750976562,19.329999923706055,26.78300008773804,-0.18194068984510123
2022-03-31,55.065792083740234,136.95858764648438,20.559999465942383,26.28700008392334,-0.17535851495562935
2022-04-01,55.83848190307617,139.01113891601562,19.6299991607666,25.669500064849853,0.07920108044145648
2022-04-04,55.545406341552734,138.1058349609375,18.56999969482422,24.77550001144409,-0.008073963336730532
2022-04-05,55.48322296142578,138.5898895263672,21.030000686645508,24.070499992370607,-0.07606764687707712
2022-04-06,56.042762756347656,140.57078552246094,22.100000381469727,23.55299997329712,0.0720820084825409
2022-04-07,56.34474182128906,142.3903045654297,21.549999237060547,23.11899995803833,0.09712363673909948
2022-04-08,56.69112777709961,143.50173950195312,21.15999984741211,22.639499950408936,0.197240445756662
2022-04-11,56.67335510253906,142.9550018310547,24.3700008392334,22.26949996948242,0.22793796846892678
2022-04-12,57.339473724365234,142.52471923828125,24.260000228881836,21.99099998474121,0.6083532099505644
2022-04-13,57.49047088623047,142.92811584472656,21.81999969482422,21.748499965667726,0.6579309069498434
2022-04-14,57.74803161621094,142.13037109375,22.700000762939453,21.6,0.8512222482226126
2022-04-18,57.2328987121582,140.77691650390625,22.170000076293945,21.51499996185303,0.6804212742253062
2022-04-19,57.79243850708008,142.88328552246094,21.3700008392334,21.40699996948242,0.8193894956568379
2022-04-20,58.58290100097656,146.68368530273438,20.31999969482422,21.27599992752075,0.9553608042551961
