Date,PEP,XLU,VIX,AvgVIX,zscore
2022-01-31,151.7125701904297,30.442842483520508,24.829999923706055,23.18100004196167,-0.6296577256207236
2022-02-01,150.68084716796875,30.038408279418945,21.959999084472656,23.448999977111818,-0.7445799129248117
2022-02-02,153.41751098632812,30.48240852355957,22.09000015258789,23.707999992370606,-0.41833944021133446
2022-02-03,153.33004760742188,30.346128463745117,24.350000381469727,23.939000034332274,-0.42460931800576973
2022-02-04,150.81201171875,30.10434913635254,23.219999313354492,24.119499969482423,-0.730464183879228
2022-02-07,150.21749877929688,30.060386657714844,22.860000610351562,24.324499988555907,-0.8031238436462972
2022-02-08,150.40106201171875,30.082366943359375,21.440000534057617,24.426500034332275,-0.7809754789975926
2022-02-09,150.3311309814453,30.214248657226562,19.959999084472656,24.503999996185303,-0.7941884058889345
2022-02-10,147.2097930908203,29.449329376220703,23.90999984741211,24.818499946594237,-1.1574849664383335
2022-02-11,147.3934326171875,29.466915130615234,27.360000610351562,25.171000003814697,-1.1351774673270947
2022-02-14,145.74966430664062,29.21633529663086,28.329999923706055,25.62799997329712,-1.331681158543989
2022-02-15,145.10269165039062,29.080060958862305,25.700000762939453,25.773499965667725,-1.4077414818326264
2022-02-16,145.39996337890625,29.145999908447266,24.290000915527344,25.795499992370605,-1.372906350309334
2022-02-17,145.79339599609375,29.163583755493164,28.110000610351562,25.92150001525879,-1.3244302972069537
2022-02-18,146.63275146484375,29.11083221435547,27.75,25.866499996185304,-1.2179375014608216
2022-02-22,147.1923065185547,29.080060958862305,28.809999465942383,25.811999988555907,-1.1470938904925687
2022-02-23,145.74090576171875,28.587697982788086,31.020000457763672,25.805000019073486,-1.3113708178183663
2022-02-24,143.2053680419922,28.816295623779297,30.31999969482422,25.723000049591064,-1.6354234113150332
2022-02-25,147.2185516357422,29.70870590209961,27.59000015258789,25.57800006866455,-1.1652233077252088
2022-02-28,143.1616668701172,29.86256217956543,30.149999618530273,25.70250005722046,-1.676496072812243
2022-03-01,141.87643432617188,29.60318946838379,33.31999969482422,26.127000045776366,-1.827978528484128
2022-03-02,143.8436737060547,29.963668823242188,30.739999771118164,26.566000080108644,-1.5948684365459147
2022-03-03,143.6896514892578,30.49119758605957,30.479999542236328,26.985500049591064,-1.6320408132523392
2022-03-04,145.8722381591797,31.163795471191406,31.979999542236328,27.367000007629393,-1.3826959420413312
2022-03-07,142.96795654296875,31.568235397338867,36.45000076293945,28.028500080108643,-1.7587305101143227
2022-03-08,138.93722534179688,31.080278396606445,35.130001068115234,28.642000102996825,-2.244889587072748
2022-03-09,138.5235595703125,30.8604679107666,32.45000076293945,29.192500114440918,-2.2890043291901065
2022-03-10,135.98016357421875,31.067087173461914,30.229999542236328,29.706000137329102,-2.6132888382405977
2022-03-11,135.2937469482422,30.961578369140625,30.75,30.048000144958497,-2.69531665086206
2022-03-14,137.19467163085938,30.92640495300293,31.770000457763672,30.268500137329102,-2.457007754834361
2022-03-15,139.93173217773438,31.322065353393555,29.829999923706055,30.3435001373291,-2.1290719987696143
2022-03-16,140.54779052734375,31.26490592956543,26.670000076293945,30.392000102996825,-2.050282041168576
2022-03-17,141.63905334472656,31.396787643432617,25.670000076293945,30.461000061035158,-1.9186537420131222
2022-03-18,143.26719665527344,31.128629684448242,23.8700008392334,30.249000072479248,-1.7064378783727696
2022-03-21,143.0647430419922,31.336626052856445,23.530000686645508,30.038000106811523,-1.7387724064829615
2022-03-22,144.63131713867188,31.38088607788086,22.940000534057617,29.744500160217285,-1.544873070195438
2022-03-23,143.87442016601562,31.425140380859375,23.56999969482422,29.37200012207031,-1.6407911255760672
2022-03-24,144.7457275390625,31.748188018798828,21.670000076293945,28.9395001411438,-1.5431074250863832
2022-03-25,145.4233856201172,32.208438873291016,20.809999465942383,28.600500106811523,-1.474249796115116
