Date,CL,XOM,VIX,AvgVIX,zscore
2015-01-30,51.853389739990234,54.180458068847656,20.969999313354492,19.119499969482423,-1.136780825931251
2015-02-02,52.98234558105469,55.51915740966797,19.43000030517578,19.201499938964844,-0.953595121047073
2015-02-03,53.13593673706055,57.1739501953125,17.329999923706055,19.071999931335448,-1.0881886677138704
2015-02-04,53.143592834472656,56.68434143066406,18.329999923706055,18.932499885559082,-1.0329298711501047
2015-02-05,53.596702575683594,57.24213409423828,16.850000381469727,18.80949993133545,-0.9616284473766584
2015-02-06,53.22039031982422,57.13597106933594,17.290000915527344,18.823499965667725,-1.0595240103060712
2015-02-09,53.043766021728516,57.17345428466797,18.549999237060547,18.873499965667726,-1.1149291977576257
2015-02-10,53.327919006347656,56.83000564575195,17.229999542236328,18.754999923706055,-0.9951237851047804
2015-02-11,53.350955963134766,56.57398223876953,16.959999084472656,18.57499990463257,-0.960695095995992
2015-02-12,53.64277648925781,57.679237365722656,15.34000015258789,18.267999935150147,-0.9955805434003069
2015-02-13,53.81942367553711,58.303680419921875,14.6899995803833,17.88299994468689,-1.0118668381372011
2015-02-17,53.903900146484375,58.1038703918457,15.800000190734863,17.62549991607666,-0.9656664237107608
2015-02-18,54.17268753051758,56.83000564575195,15.449999809265137,17.403499937057497,-0.7495475693035066
2015-02-19,53.91925811767578,55.84963607788086,15.289999961853027,17.22549991607666,-0.7170290137978367
2015-02-20,53.942283630371094,56.14936828613281,14.300000190734863,17.12049994468689,-0.7428016575875427
2015-02-23,54.280189514160156,55.58114242553711,14.5600004196167,17.015499973297118,-0.5830228641521711
2015-02-24,54.53361892700195,55.83714294433594,13.6899995803833,16.9239999294281,-0.5370796439772448
2015-02-25,54.53361892700195,55.94955062866211,13.84000015258789,16.754999971389772,-0.54925535264905
2015-02-26,54.61042404174805,55.35633850097656,13.90999984741211,16.428499937057495,-0.4626727251216125
2015-02-27,54.3877067565918,55.287628173828125,13.34000015258789,16.157499933242796,-0.5199746444026395
2015-03-02,54.53361892700195,54.975425720214844,13.039999961853027,15.760999965667725,-0.4437406703895574
2015-03-03,54.280189514160156,54.713157653808594,13.859999656677246,15.482499933242797,-0.48900500607173514
2015-03-04,54.280189514160156,54.43840026855469,14.229999542236328,15.327499914169312,-0.45924399908780944
2015-03-05,54.879215240478516,54.16364288330078,14.039999961853027,15.11299991607666,-0.2553447911317036
2015-03-06,53.18199157714844,53.47053146362305,15.199999809265137,15.03049988746643,-0.6736557095859247
2015-03-09,53.44309616088867,53.17704772949219,15.0600004196167,14.918999862670898,-0.5659625906238553
2015-03-10,52.52920150756836,52.61505889892578,16.690000534057617,14.825999927520751,-0.7707607645191712
2015-03-11,52.13754653930664,52.465179443359375,16.8700008392334,14.807999992370606,-0.8683812400470353
2015-03-12,52.62905502319336,52.59008026123047,15.420000076293945,14.73100004196167,-0.7390274892176286
2015-03-13,52.575294494628906,52.371524810791016,16.0,14.764000034332275,-0.7309824432736607
2015-03-16,53.00537109375,52.927284240722656,15.609999656677246,14.810000038146972,-0.6661565740038209
2015-03-17,52.53689193725586,52.50265121459961,15.65999984741211,14.803000020980836,-0.7563494296769925
2015-03-18,52.475467681884766,53.745296478271484,13.970000267028809,14.729000043869018,-0.9088057168951525
2015-03-19,52.444740295410156,52.70872116088867,14.069999694824219,14.668000030517579,-0.8054590926041262
2015-03-20,53.42008590698242,52.789886474609375,13.020000457763672,14.604000043869018,-0.5307154236125093
2015-03-23,53.8885498046875,53.34564971923828,13.40999984741211,14.54650001525879,-0.45473068869530825
2015-03-24,53.22807693481445,52.77740478515625,13.619999885559082,14.543000030517579,-0.5851809035173933
2015-03-25,52.90552520751953,52.989723205566406,15.4399995803833,14.623000001907348,-0.7019452368506057
2015-03-26,52.79033279418945,52.65250778198242,15.800000190734863,14.717500019073487,-0.6989056453002445
2015-03-27,52.79802703857422,52.19043731689453,15.069999694824219,14.803999996185302,-0.6466186364683292
2015-03-30,53.21270751953125,53.47053146362305,14.510000228881836,14.877500009536742,-0.6647265122030641
2015-03-31,53.25111770629883,53.0771369934082,15.289999961853027,14.949000024795533,-0.6109491115408883
2015-04-01,53.05913543701172,52.73994445800781,15.109999656677246,14.993000030517578,-0.6302349926363314
2015-04-02,53.243438720703125,52.64002227783203,14.670000076293945,15.024500036239624,-0.5658342791943396
2015-04-06,53.71958923339844,53.158294677734375,14.739999771118164,15.001500034332276,-0.4835541160350974
2015-04-07,53.53527069091797,53.54545974731445,14.779999732971191,14.9875,-0.5790726696373062
2015-04-08,53.681182861328125,52.490169525146484,13.979999542236328,14.851999950408935,-0.4223493568237784
2015-04-09,53.72725296020508,52.85858154296875,13.09000015258789,14.66299991607666,-0.44886210344394434
2015-04-10,53.45847702026367,53.426822662353516,12.579999923706055,14.520999908447266,-0.588546310852549
2015-04-13,53.22807693481445,53.28943634033203,13.9399995803833,14.417999887466431,-0.6406428328682439
2015-04-14,53.47381591796875,54.0949592590332,13.670000076293945,14.320999908447266,-0.6564580792277621
2015-04-15,53.66579818725586,55.000389099121094,12.84000015258789,14.179999923706054,-0.6987221884181265
2015-04-16,53.81942367553711,54.781864166259766,12.600000381469727,14.111499929428101,-0.6303928405429836
2015-04-17,53.20503234863281,54.28229904174805,13.890000343322754,14.102499961853027,-0.7548862601583811
2015-04-20,52.575294494628906,54.47587203979492,13.300000190734863,14.116499948501588,-0.9589198744044615
2015-04-21,53.29350280761719,54.25107192993164,13.25,14.10849995613098,-0.7257852479480837
2015-04-22,53.50201416015625,54.61323547363281,12.710000038146973,14.062999963760376,-0.7043991179246724
2015-04-23,53.4556770324707,54.663204193115234,12.479999542236328,13.914999961853027,-0.723281912993183
2015-04-24,53.41703796386719,54.307281494140625,12.289999961853027,13.739499950408936,-0.6959617588364229
2015-04-27,53.27033996582031,54.33224868774414,13.119999885559082,13.641999959945679,-0.7413115968115861
2015-04-28,53.108150482177734,54.825557708740234,12.40999984741211,13.536999940872192,-0.841894417843375
2015-04-29,52.907379150390625,54.8692741394043,13.390000343322754,13.44199995994568,-0.9049943710336966
2015-04-30,51.957489013671875,54.557044982910156,14.550000190734863,13.413999986648559,-1.1473098371979056
2015-05-01,52.26639175415039,55.481224060058594,12.699999809265137,13.315499973297118,-1.157615756500753
2015-05-04,52.40541076660156,55.64356994628906,12.850000381469727,13.221000003814698,-1.1347874846073662
2015-05-05,52.03472137451172,55.33136749267578,14.3100004196167,13.197500038146973,-1.2087308114358755
2015-05-06,52.35133743286133,55.06908416748047,15.149999618530273,13.25600004196167,-1.0882799223297934
2015-05-07,52.420841217041016,54.700687408447266,15.130000114440918,13.358000040054321,-1.0281712262779537
2015-05-08,52.667972564697266,55.568641662597656,12.859999656677246,13.372000026702882,-1.0503441092192192
2015-05-11,52.382232666015625,54.63683319091797,13.850000381469727,13.367500066757202,-1.0324783005903972
2015-05-12,52.420841217041016,54.787933349609375,13.859999656677246,13.377000045776366,-1.0376214802241592
