Date,LRCX,V,VIX,AvgVIX,zscore
2020-01-30,28.930835723876953,198.74412536621094,15.489999771118164,13.696000051498412,-2.1447044536723396
2020-01-31,27.745498657226562,189.92422485351562,18.84000015258789,14.014500045776368,-1.643714184688774
2020-02-03,28.697298049926758,191.68052673339844,17.969999313354492,14.211999988555908,-1.6401805971131491
2020-02-04,30.275264739990234,194.30551147460938,16.049999237060547,14.32199993133545,-1.6124728976463352
2020-02-05,30.295738220214844,193.58956909179688,15.149999618530273,14.389999914169312,-1.5549654188005169
2020-02-06,30.10034942626953,193.80914306640625,14.960000038146973,14.465499925613404,-1.5998938976235395
2020-02-07,29.34486198425293,193.52276611328125,15.470000267028809,14.611999940872192,-1.687100967126908
2020-02-10,29.757030487060547,196.62501525878906,15.039999961853027,14.735999917984008,-1.8640017318240967
2020-02-11,30.30038833618164,194.66822814941406,15.180000305175781,14.878999948501587,-1.6364852011721998
2020-02-12,31.133092880249023,198.0090789794922,13.739999771118164,14.946499919891357,-1.7708770802179927
2020-02-13,31.780656814575195,198.2576141357422,14.149999618530273,15.032999897003174,-1.6963615559846854
2020-02-14,31.568531036376953,201.02023315429688,13.680000305175781,15.100999927520752,-1.9374784965971037
2020-02-18,30.269678115844727,201.89013671875,14.829999923706055,15.237499904632568,-2.191206789305994
2020-02-19,31.06145477294922,203.9071044921875,14.380000114440918,15.313999891281128,-2.23062891765919
2020-02-20,30.56275749206543,202.12911987304688,15.5600004196167,15.446499919891357,-2.167120885681034
2020-02-21,29.475116729736328,199.60549926757812,17.079999923706055,15.651499938964843,-2.131790843373557
2020-02-24,27.954843521118164,190.0271759033203,25.030000686645508,16.174999952316284,-1.621347157894656
2020-02-25,27.18819236755371,180.0951690673828,27.850000381469727,16.655999994277956,-0.9751947560610202
2020-02-26,27.595705032348633,178.9576416015625,27.559999465942383,17.219999933242796,-0.829708069707627
2020-02-27,26.58156967163086,172.07501220703125,39.15999984741211,18.35849995613098,-0.4516255679054748
2020-02-28,27.3007755279541,173.7478790283203,40.11000061035156,19.589499998092652,-0.4753012055188001
2020-03-02,27.942752838134766,183.8519287109375,33.41999816894531,20.318499898910524,-1.1525551128112967
2020-03-03,27.117483139038086,177.54287719726562,36.81999969482422,21.26099991798401,-0.790921516088799
2020-03-04,28.492612838745117,185.72552490234375,31.989999771118164,22.05799994468689,-1.2159649340778342
2020-03-05,27.83110237121582,178.71865844726562,39.619998931884766,23.281499910354615,-0.7775268293945361
2020-03-06,27.391948699951172,176.23326110839844,41.939998626708984,24.630499839782715,-0.6515228478170167
2020-03-09,24.89754867553711,163.58645629882812,54.459999084472656,26.57999978065491,-0.04785044629139166
2020-03-10,26.755558013916016,174.55088806152344,47.29999923706055,28.192999744415282,-0.6151713863662835
2020-03-11,25.73769760131836,165.32627868652344,53.900001525878906,30.12899980545044,-0.059174009369050345
2020-03-12,22.12959861755371,153.02352905273438,75.47000122070312,33.21549987792969,0.35755880885882124
2020-03-13,24.356050491333008,168.0792694091797,57.83000183105469,35.39949998855591,-0.4683368305263317
2020-03-16,19.8677921295166,145.3092803955078,82.69000244140625,38.850000095367434,0.6189506973900083
2020-03-17,21.334104537963867,150.93002319335938,75.91000366210938,41.9040002822876,0.40227644959106656
2020-03-18,18.062814712524414,141.93487548828125,76.44999694824219,45.007500123977664,0.6155856961964653
2020-03-19,18.143760681152344,145.53866577148438,72.0,47.829500102996825,0.35266847447815736
2020-03-20,17.481313705444336,140.3576202392578,66.04000091552734,50.27750015258789,0.6518488763313272
2020-03-23,17.942787170410156,129.7564697265625,61.59000015258789,52.10550012588501,1.526225059129715
2020-03-24,21.587512969970703,147.71820068359375,61.66999816894531,53.796500015258786,0.6835791734561665
2020-03-25,21.85988426208496,154.64857482910156,63.95000076293945,55.61600008010864,0.19481093329860888
2020-03-26,24.367374420166016,161.43565368652344,61.0,56.708000087738036,0.039522693877684714
2020-03-27,22.577775955200195,154.4383087158203,65.54000091552734,57.97950010299682,0.31443521098780386
2020-03-30,23.89564323425293,158.27154541015625,57.08000183105469,59.16250028610229,0.21254116318666205
2020-03-31,22.46358871459961,154.01771545410156,53.540000915527344,59.99850034713745,0.3300043274645039
2020-04-01,20.903305053710938,146.36077880859375,57.060001373291016,61.252000427246095,0.6882695001435862
2020-04-02,20.644975662231445,150.4521484375,50.90999984741211,61.81650047302246,0.3392375277091222
2020-04-03,20.418466567993164,145.1563262939453,46.79999923706055,62.059500503540036,0.7100759902683935
2020-04-06,23.469772338867188,161.97096252441406,45.2400016784668,61.598500633239745,-0.13080386242170375
2020-04-07,23.981754302978516,161.1583709716797,46.70000076293945,61.568500709533694,0.00500009007976007
2020-04-08,24.967342376708984,167.2285614013672,43.349998474121094,61.041000556945804,-0.3152965922836741
2020-04-09,24.17456817626953,166.0335693359375,41.66999816894531,59.35100040435791,-0.33865072074880637
2020-04-13,24.221364974975586,161.54078674316406,41.16999816894531,58.51800022125244,0.010440482594837267
2020-04-14,25.506465911865234,166.92257690429688,37.7599983215332,56.27150001525879,-0.2141777718503777
2020-04-15,24.59856605529785,158.64439392089844,40.84000015258789,54.51799983978272,0.28557347103628367
2020-04-16,25.337993621826172,155.26036071777344,40.11000061035156,52.70100002288818,0.650138053832349
2020-04-17,26.115798950195312,162.06651306152344,38.150001525878906,51.00850009918213,0.24377691310892305
2020-04-20,24.965473175048828,156.98101806640625,43.83000183105469,49.898000144958495,0.4652683722111392
2020-04-21,22.80335235595703,153.45372009277344,45.40999984741211,49.089000129699706,0.4220122354842816
2020-04-22,25.438140869140625,159.24659729003906,41.97999954223633,48.104500198364256,0.3608505065002726
2020-04-23,24.70620346069336,159.04583740234375,41.380001068115234,46.976000213623045,0.2705182755361014
2020-04-24,24.95985984802246,159.94444274902344,35.93000030517578,45.722500228881835,0.238653445174586
2020-04-27,24.748319625854492,164.18865966796875,33.290000915527344,44.11000022888184,-0.11527269053634936
2020-04-28,24.508708953857422,163.70115661621094,33.56999969482422,42.93450012207031,-0.11270572028940441
2020-04-29,26.206584930419922,173.77655029296875,31.229999542236328,41.81900005340576,-0.6353940488823616
2020-04-30,23.893770217895508,170.84188842773438,34.150001525878906,40.673500061035156,-0.7455548298050528
2020-05-01,21.997467041015625,167.83074951171875,37.189998626708984,39.9875,-0.7897793856571422
2020-05-04,21.950674057006836,168.38516235351562,35.970001220703125,39.44600009918213,-0.838777056677405
2020-05-05,22.726600646972656,170.5742645263672,33.61000061035156,38.86450004577637,-0.8936027577694251
2020-05-06,22.89039421081543,170.89923095703125,34.119998931884766,38.235499954223634,-0.8947264327335941
2020-05-07,23.17774200439453,174.66558837890625,31.440000534057617,37.64000005722046,-1.140243935063739
2020-05-08,24.840988159179688,176.9310760498047,27.979999542236328,36.95550012588501,-1.0728364337755008
2020-05-11,24.544281005859375,175.46849060058594,27.56999969482422,36.275500202178954,-1.0042107386819434
2020-05-12,23.95928955078125,171.558837890625,33.040000915527344,36.03950033187866,-0.7907289882079976
2020-05-13,23.23015594482422,169.56716918945312,35.279998779296875,35.76150026321411,-0.7441942447254782
2020-05-14,25.17793846130371,173.21530151367188,32.61000061035156,35.38650026321411,-0.7410775973741746
2020-05-15,23.571794509887695,175.69529724121094,31.889999389648438,35.07350015640259,-1.1618372211101797
2020-05-18,24.098751068115234,183.2501678466797,29.299999237060547,34.34700002670288,-1.661449894475985
2020-05-19,24.49093246459961,181.31597900390625,30.530000686645508,33.60300006866455,-1.457472327236644
2020-05-20,25.381046295166016,185.62474060058594,27.989999771118164,32.90350008010864,-1.6573313300168253
2020-05-21,24.401073455810547,182.5224151611328,29.530000686645508,32.31100006103516,-1.56236746355352
2020-05-22,24.4422607421875,182.7522735595703,28.15999984741211,31.92250003814697,-1.5739380982585092
2020-05-26,24.930835723876953,185.01197814941406,28.010000228881836,31.658500003814698,-1.6756126719579099
2020-05-27,25.843425750732422,184.62899780273438,27.6200008392334,31.361000061035156,-1.5147301431049645
2020-05-28,24.973901748657227,186.00782775878906,28.59000015258789,31.229000091552734,-1.7452786074867253
2020-05-29,25.615041732788086,186.9461669921875,27.510000228881836,30.89700002670288,-1.7242513362017762
2020-06-01,25.362329483032227,186.09397888183594,28.229999542236328,30.449000072479247,-1.6957871187788878
2020-06-02,25.408191680908203,188.0186004638672,26.84000015258789,29.992500019073486,-1.835819403434829
2020-06-03,26.852415084838867,188.5069122314453,25.65999984741211,29.594999980926513,-1.664604248113585
2020-06-04,27.315719604492188,185.4141387939453,25.809999465942383,29.179500007629393,-1.3620815727646411
2020-06-05,28.539987564086914,191.1305389404297,24.520000457763672,28.8335000038147,-1.6209753052883253
2020-06-08,27.853914260864258,191.12095642089844,25.809999465942383,28.725,-1.7192558471079913
2020-06-09,28.29756736755371,190.62301635742188,27.56999969482422,28.725,-1.6172883583001576
2020-06-10,28.201162338256836,191.963623046875,27.56999969482422,28.451499938964844,-1.7333516107559181
2020-06-11,26.43496322631836,180.8563232421875,40.790000915527344,28.727000045776368,-1.1418949199306971
2020-06-12,26.630586624145508,184.09274291992188,36.09000015258789,28.901000022888184,-1.360269829291926
2020-06-15,27.25020980834961,183.61395263671875,34.400001525878906,29.026500129699706,-1.2343663706000554
2020-06-16,28.705793380737305,184.68646240234375,33.66999816894531,29.245000076293945,-1.1060260584310473
2020-06-17,29.485740661621094,185.33755493164062,33.470001220703125,29.392000102996825,-1.0430793934315787
2020-06-18,29.58159065246582,185.67262268066406,32.939998626708984,29.639500045776366,-1.0547780413545427
2020-06-19,29.623876571655273,184.03529357910156,35.119998931884766,29.91899995803833,-0.9239155563922746
2020-06-22,29.34666633605957,186.67807006835938,31.770000457763672,30.09949998855591,-1.1652934914741624
2020-06-23,29.69247055053711,189.56019592285156,31.3700008392334,30.267500019073488,-1.334998830286202
2020-06-24,28.733983993530273,183.2788543701172,33.84000015258789,30.57849998474121,-0.9947018542521747
2020-06-25,29.374853134155273,185.73971557617188,32.220001220703125,30.760000038146973,-1.0897256715612367
2020-06-26,28.427640914916992,181.22975158691406,34.72999954223633,31.121000003814697,-0.882775754724492
2020-06-29,28.98581886291504,183.2501678466797,31.780000686645508,31.298500061035156,-0.9561724578361804
2020-06-30,30.395368576049805,184.964111328125,30.43000030517578,31.47800006866455,-0.8833510156770906
2020-07-01,29.833423614501953,185.54818725585938,28.6200008392334,31.626000118255615,-1.0089531163161896
2020-07-02,30.41791534423828,187.35789489746094,27.68000030517578,31.719500160217287,-1.0624969254310148
2020-07-06,31.476015090942383,189.35910034179688,27.940000534057617,31.890500164031984,-1.062283577322443
2020-07-07,30.811649322509766,185.95033264160156,29.43000030517578,32.07150020599365,-0.8984227999593845
