Date,KRE,ADI,VIX,AvgVIX,zscore
2022-01-31,63.50882339477539,152.28564453125,24.829999923706055,23.18100004196167,1.4698940254576445
2022-02-01,64.46678924560547,153.58587646484375,21.959999084472656,23.448999977111818,1.6699626294463346
2022-02-02,64.29824829101562,156.8736572265625,22.09000015258789,23.707999992370606,1.8103261938595134
2022-02-03,63.925724029541016,150.47462463378906,24.350000381469727,23.939000034332274,1.4382974512047282
2022-02-04,65.14977264404297,149.55514526367188,23.219999313354492,24.119499969482423,1.5650874545810003
2022-02-07,65.4602279663086,149.3601531982422,22.860000610351562,24.324499988555907,1.5991530899879352
2022-02-08,67.08342742919922,151.50552368164062,21.440000534057617,24.426500034332275,1.9352696645774086
2022-02-09,66.5157470703125,156.22354125976562,19.959999084472656,24.503999996185303,2.0907250846094723
2022-02-10,66.35606384277344,150.14955139160156,23.90999984741211,24.818499946594237,1.7649527547088237
2022-02-11,65.80615997314453,142.93324279785156,27.360000610351562,25.171000003814697,1.3270959718529456
2022-02-14,65.29168701171875,143.0075225830078,28.329999923706055,25.62799997329712,1.2582199522941793
2022-02-15,67.03907775878906,150.49319458007812,25.700000762939453,25.773499965667725,1.8784721475328054
2022-02-16,67.16324615478516,156.34423828125,24.290000915527344,25.795499992370605,2.18810329842818
2022-02-17,65.11429595947266,148.99789428710938,28.110000610351562,25.92150001525879,1.5322615189110147
2022-02-18,65.22960662841797,148.93289184570312,27.75,25.866499996185304,1.545284886442903
2022-02-22,64.90139770507812,149.4158935546875,28.809999465942383,25.811999988555907,1.523093340240212
2022-02-23,63.75718688964844,145.33868408203125,31.020000457763672,25.805000019073486,1.1581079976316284
2022-02-24,62.612953186035156,149.12779235839844,30.31999969482422,25.723000049591064,1.1858446574012567
2022-02-25,65.49568939208984,151.30230712890625,27.59000015258789,25.57800006866455,1.701118032774531
2022-02-28,65.885986328125,149.59437561035156,30.149999618530273,25.70250005722046,1.6709147533598943
2022-03-01,62.28478240966797,146.47726440429688,33.31999969482422,26.127000045776366,1.0072172964334007
2022-03-02,65.06106567382812,149.15577697753906,30.739999771118164,26.566000080108644,1.5326338022809114
2022-03-03,64.6530532836914,148.65179443359375,30.479999542236328,26.985500049591064,1.4499080786015857
2022-03-04,62.116241455078125,146.38392639160156,31.979999542236328,27.367000007629393,0.9787787991993264
2022-03-07,59.43751907348633,136.51925659179688,36.45000076293945,28.028500080108643,0.10835839660479303
2022-03-08,59.916507720947266,138.60977172851562,35.130001068115234,28.642000102996825,0.2803053095603456
2022-03-09,62.045291900634766,143.3694610595703,32.45000076293945,29.192500114440918,0.8182719591035231
2022-03-10,62.08965301513672,140.51364135742188,30.229999542236328,29.706000137329102,0.6819540971069439
2022-03-11,62.10737228393555,137.75115966796875,30.75,30.048000144958497,0.5465373617943391
2022-03-14,62.43556594848633,135.91262817382812,31.770000457763672,30.268500137329102,0.5010520482198465
2022-03-15,62.62183380126953,140.84962463378906,29.829999923706055,30.3435001373291,0.7738107733576527
2022-03-16,64.5909652709961,147.98915100097656,26.670000076293945,30.392000102996825,1.4080659737677934
2022-03-17,63.8902473449707,149.30508422851562,25.670000076293945,30.461000061035158,1.3749030188958957
2022-03-18,63.76605987548828,152.54354858398438,23.8700008392334,30.249000072479248,1.5190620786244924
2022-03-21,63.42203903198242,153.26214599609375,23.530000686645508,30.038000106811523,1.5064018022971006
2022-03-22,64.48262023925781,153.7754669189453,22.940000534057617,29.744500160217285,1.6816614325874422
2022-03-23,62.19210433959961,148.5211639404297,23.56999969482422,29.37200012207031,1.0961833155844016
2022-03-24,62.798152923583984,153.95278930664062,21.670000076293945,28.9395001411438,1.4528611215614626
2022-03-25,63.98351287841797,154.5780792236328,20.809999465942383,28.600500106811523,1.6513152070807595
2022-03-28,63.3507194519043,156.09933471679688,19.6299991607666,28.07450008392334,1.6379860783304532
2022-03-29,64.54501342773438,158.82447814941406,18.899999618530273,27.353500080108642,1.942535625135049
2022-03-30,62.55751037597656,155.3713836669922,19.329999923706055,26.78300008773804,1.4897332617962176
2022-03-31,61.40778732299805,154.1581268310547,20.559999465942383,26.28700008392334,1.2669528120715694
2022-04-01,60.81956481933594,154.3261260986328,19.6299991607666,25.669500064849853,1.192350773426436
2022-04-04,60.49870681762695,153.5234832763672,18.56999969482422,24.77550001144409,1.1070106404480071
2022-04-05,59.65199661254883,149.30508422851562,21.030000686645508,24.070499992370607,0.7769493020326836
2022-04-06,58.760746002197266,149.58505249023438,22.100000381469727,23.55299997329712,0.6651845772514876
2022-04-07,58.01207733154297,150.4903106689453,21.549999237060547,23.11899995803833,0.6047535740988109
2022-04-08,57.9229621887207,148.14784240722656,21.15999984741211,22.639499950408936,0.4752332369540877
2022-04-11,58.12794494628906,144.55470275878906,24.3700008392334,22.26949996948242,0.32476604933674863
2022-04-12,57.593196868896484,145.1240234375,24.260000228881836,21.99099998474121,0.2777443881920777
2022-04-13,58.404239654541016,147.56919860839844,21.81999969482422,21.748499965667726,0.5142455394850698
2022-04-14,57.655582427978516,146.05731201171875,22.700000762939453,21.6,0.33314040759345853
2022-04-18,57.85165786743164,149.6410675048828,22.170000076293945,21.51499996185303,0.5397223984240235
2022-04-19,59.937198638916016,151.48899841308594,21.3700008392334,21.40699996948242,0.9262187637831165
2022-04-20,60.3115348815918,150.6116485595703,20.31999969482422,21.27599992752075,0.9352303871331891
2022-04-21,59.07268524169922,148.11984252929688,22.68000030517578,21.23149995803833,0.6360440528640859
2022-04-22,57.833839416503906,144.89071655273438,28.209999084472656,21.558499908447267,0.3000476224036853
2022-04-25,57.89622116088867,148.31582641601562,27.020000457763672,21.86899995803833,0.47984706540745414
2022-04-26,56.11370849609375,142.613525390625,33.52000045776367,22.563500022888185,-0.056325665392750586
2022-04-27,56.07804870605469,141.5962677001953,31.600000381469727,23.198500061035155,-0.11214322980684069
2022-04-28,56.906925201416016,149.7437286376953,29.989999771118164,23.73150005340576,0.4115601133656742
2022-04-29,55.11549758911133,144.07876586914062,33.400001525878906,24.37350015640259,-0.12400627380505908
2022-05-02,55.890892028808594,147.59719848632812,32.34000015258789,25.00900020599365,0.16104771460303038
2022-05-03,56.666290283203125,148.2691650390625,29.25,25.54300022125244,0.30399266974740274
2022-05-04,58.217079162597656,153.7754669189453,25.420000076293945,25.762500190734862,0.7976874038005239
2022-05-05,56.532588958740234,147.6811981201172,31.200000762939453,26.21750020980835,0.2557752173958261
2022-05-06,55.81959533691406,145.7119903564453,30.190000534057617,26.6495002746582,0.05686996651392015
2022-05-09,55.0531005859375,142.09088134765625,34.75,27.3290002822876,-0.23205451902322322
2022-05-10,54.40248489379883,144.86273193359375,32.9900016784668,27.76000032424927,-0.18546225101953254
2022-05-11,53.49340057373047,141.84823608398438,32.560001373291016,28.175000381469726,-0.464218880314794
2022-05-12,53.49340057373047,142.68817138671875,31.770000457763672,28.6725004196167,-0.42228518315372854
2022-05-13,53.98358917236328,148.14784240722656,28.8700008392334,28.981000423431396,-0.0805533094203213
2022-05-16,53.36863327026367,146.93455505371094,27.469999313354492,29.246000385284425,-0.22788764508364479
2022-05-17,55.32048416137695,152.9075164794922,26.100000381469727,29.48250036239624,0.3456888708842377
2022-05-18,53.965763092041016,149.24908447265625,30.959999084472656,30.01450033187866,-0.028088887803232817
2022-05-19,53.31513977050781,150.20101928710938,29.350000381469727,30.34800033569336,-0.07235683328549146
2022-05-20,53.45774841308594,151.6009521484375,29.43000030517578,30.409000396728516,0.01765463754898773
2022-05-23,54.76789855957031,150.77032470703125,28.479999542236328,30.48200035095215,0.16102820268284043
2022-05-24,54.3579216003418,151.05029296875,29.450000762939453,30.278500366210938,0.1171639837202088
2022-05-25,55.21353530883789,151.48899841308594,28.3700008392334,30.117000389099122,0.25978059772005246
2022-05-26,56.42564392089844,153.05686950683594,27.5,29.992500400543214,0.5090668017743908
2022-05-27,57.3079948425293,157.0979766845703,25.719999313354492,29.608500289916993,0.8353052303855254
2022-05-31,57.28125,157.89495849609375,26.190000534057617,29.301000308990478,0.8713211814054678
2022-06-01,56.541507720947266,154.49142456054688,25.690000534057617,29.12300033569336,0.5970334857448393
2022-06-02,57.700138092041016,158.68260192871094,24.719999313354492,29.088000297546387,0.9697430490477479
2022-06-03,56.99604415893555,154.9320831298828,24.790000915527344,28.76750030517578,0.6831616120060504
2022-06-06,57.26342010498047,154.960205078125,25.06999969482422,28.51150026321411,0.7222883402647357
2022-06-07,57.73578643798828,156.53541564941406,24.020000457763672,27.975000286102294,0.8675744080614711
2022-06-08,56.755409240722656,154.71644592285156,23.959999084472656,27.523500156402587,0.6384459593312382
2022-06-09,54.928321838378906,151.52853393554688,26.09000015258789,27.200000095367432,0.22151505521535877
2022-06-10,53.25275802612305,147.13107299804688,27.75,26.999000072479248,-0.23442476564141856
2022-06-13,51.75543975830078,138.5518798828125,34.02000045776367,27.256500053405762,-0.8739894255292547
2022-06-14,52.13869094848633,137.9893341064453,32.689998626708984,27.517500019073488,-0.8480034703175506
2022-06-15,52.557579040527344,140.71780395507812,29.6200008392334,27.69350004196167,-0.6526860121381823
2022-06-16,50.6681022644043,134.51075744628906,32.95000076293945,27.79300012588501,-1.2291491519126951
2022-06-17,51.443504333496094,135.60775756835938,31.1299991607666,27.882000064849855,-1.0649838944757848
2022-06-21,52.27301788330078,139.09568786621094,30.190000534057617,27.920000076293945,-0.7738173356325663
2022-06-22,52.3178596496582,138.4393768310547,28.950000762939453,27.943500137329103,-0.8002571053617482
2022-06-23,51.600433349609375,136.4609832763672,29.049999237060547,27.923500061035156,-1.0002463405881143
2022-06-24,53.4029541015625,140.35211181640625,27.229999542236328,27.866499996185304,-0.5516733975716794
2022-06-27,53.32224655151367,141.19595336914062,26.950000762939453,27.839000034332276,-0.5209313080548
2022-06-28,53.00837326049805,139.2269744873047,28.360000610351562,27.971000099182127,-0.6635152295850135
2022-06-29,52.55998611450195,138.08311462402344,28.15999984741211,28.069500064849855,-0.7838830464506147
2022-06-30,52.09366226196289,136.9766845703125,28.709999084472656,28.220499992370605,-0.904912784036623
2022-07-01,52.96353530883789,133.9950714111328,26.700000762939453,28.319500064849855,-0.9310435006200972
2022-07-05,53.142887115478516,134.1450958251953,27.540000915527344,28.457000064849854,-0.8982496903648679
2022-07-06,52.74830627441406,135.67340087890625,26.729999542236328,28.54000005722046,-0.8776186414872991
2022-07-07,53.31327438354492,139.30203247070312,26.079999923706055,28.643000030517577,-0.6167509832493805
2022-07-08,53.15186309814453,140.58651733398438,24.639999389648438,28.677000045776367,-0.5753959033002136
2022-07-11,52.622764587402344,138.35501098632812,26.170000076293945,28.68100004196167,-0.7614515416254919
2022-07-12,52.60482406616211,138.81442260742188,27.290000915527344,28.65800008773804,-0.741046595190871
2022-07-13,51.717018127441406,139.88331604003906,26.81999969482422,28.298000049591064,-0.812938307631701
2022-07-14,50.96372604370117,143.74632263183594,26.399999618530273,27.98350009918213,-0.7263562720751293
2022-07-15,52.667598724365234,148.11557006835938,24.229999542236328,27.714000034332276,-0.2678310503589813
2022-07-18,52.98147201538086,145.5653076171875,25.299999237060547,27.33149995803833,-0.3508698605310592
2022-07-19,54.62256622314453,151.37847900390625,24.5,27.0,0.17088603668855687
2022-07-20,55.375858306884766,152.9443359375,23.8799991607666,26.68449993133545,0.3553395419187262
2022-07-21,55.46553421020508,154.8852081298828,23.110000610351562,26.392499923706055,0.4648893450326114
2022-07-22,54.8916015625,153.08497619628906,23.030000686645508,26.091499996185302,0.2940396190339036
2022-07-25,55.815284729003906,152.8693084716797,23.360000610351562,25.898000049591065,0.41359029059896046
2022-07-26,55.38481903076172,151.6879119873047,24.690000534057617,25.785000038146972,0.29387690911106
2022-07-27,56.398193359375,157.82931518554688,23.239999771118164,25.528999996185302,0.7434578752816656
2022-07-28,56.40715408325195,159.08572387695312,22.329999923706055,25.2375,0.8074481942267406
2022-07-29,57.196319580078125,161.23291015625,21.329999923706055,24.86850004196167,1.0259857180716243
2022-08-01,57.24115753173828,160.76406860351562,22.84000015258789,24.675500011444093,1.008904807800842
2022-08-02,56.577545166015625,160.1171417236328,23.93000030517578,24.494999980926515,0.8829812712171766
2022-08-03,57.196319580078125,165.3583984375,21.950000762939453,24.25600004196167,1.231950362805901
2022-08-04,56.7479248046875,165.92098999023438,21.440000534057617,24.024000072479247,1.196775908530923
2022-08-05,57.429481506347656,166.19287109375,21.149999618530273,23.84950008392334,1.3065069943595284
2022-08-08,57.40257263183594,164.88961791992188,21.290000915527344,23.60550012588501,1.2376457533834782
2022-08-09,57.59987258911133,159.74208068847656,21.770000457763672,23.329500102996825,1.0084914731281647
2022-08-10,58.873287200927734,164.15826416015625,19.739999771118164,22.975500106811523,1.4086287842827836
2022-08-11,59.6893424987793,163.66128540039062,20.200000762939453,22.665500164031982,1.4989503461091058
2022-08-12,60.60405731201172,168.07748413085938,19.530000686645508,22.43050022125244,1.8484812484715736
2022-08-15,60.91793441772461,168.66818237304688,19.950000762939453,22.163000297546386,1.9222551667700518
2022-08-16,61.464962005615234,167.8712158203125,19.690000534057617,21.922500324249267,1.959644082456431
2022-08-17,60.74754333496094,159.51707458496094,19.899999618530273,21.723500347137453,1.4413472734857526
2022-08-18,60.93586730957031,159.51707458496094,19.559999465942383,21.546000289916993,1.4679169664325833
2022-08-19,59.9404411315918,157.5198974609375,20.600000381469727,21.424500274658204,1.2277683429933175
2022-08-22,58.5235481262207,153.61941528320312,23.799999237060547,21.44650020599365,0.8331347212685192
2022-08-23,58.191734313964844,154.15386962890625,24.110000610351562,21.41750020980835,0.8130033476445118
2022-08-24,58.066184997558594,153.44125366210938,22.81999969482422,21.396500205993654,0.7597129286594767
2022-08-25,58.93606185913086,156.64794921875,21.780000686645508,21.369000244140626,1.042533526342684
2022-08-26,57.501216888427734,148.7719268798828,25.559999465942383,21.580500221252443,0.4468886532745133
2022-08-29,56.604434967041016,146.2093505859375,26.209999084472656,21.74900016784668,0.19242975285528016
2022-08-30,56.55961608886719,143.8916778564453,26.209999084472656,21.863000106811523,0.07039687017844792
2022-08-31,56.129154205322266,142.76112365722656,25.8700008392334,22.059000110626222,-0.04677767643472296
2022-09-01,55.80630874633789,141.96975708007812,25.559999465942383,22.26500005722046,-0.13183524431575233
2022-09-02,55.393795013427734,140.02896118164062,25.469999313354492,22.48100004196167,-0.28692882220131627
2022-09-06,54.49702453613281,139.65211486816406,26.90999984741211,22.761999988555907,-0.43226372827290593
2022-09-07,55.546241760253906,141.97915649414062,24.639999389648438,22.905499935150146,-0.16805753700501194
2022-09-08,56.73896408081055,143.32644653320312,23.610000610351562,23.098999977111816,0.06748106156948262
2022-09-09,57.438446044921875,145.25778198242188,22.790000915527344,23.228499984741212,0.26258924784944554
2022-09-12,58.01238250732422,146.64271545410156,23.8700008392334,23.445499992370607,0.41270577234288164
2022-09-13,56.173988342285156,139.6709442138672,27.270000457763672,23.811499977111815,-0.1947291918042842
2022-09-14,56.317474365234375,141.55520629882812,26.15999984741211,24.13499994277954,-0.08041384124158463
2022-09-15,56.97212600708008,139.31289672851562,26.270000457763672,24.45349998474121,-0.09999940788357128
2022-09-16,56.451988220214844,140.66958618164062,26.299999237060547,24.79049997329712,-0.10565045800959662
2022-09-19,57.41537857055664,140.95220947265625,25.760000228881836,25.048499965667723,0.04437943838909969
2022-09-20,57.225948333740234,141.1124267578125,27.15999984741211,25.216499996185302,0.025652502479011335
