Date,MS,CVX,VIX,AvgVIX,zscore
2020-01-30,44.351051330566406,84.41715240478516,15.489999771118164,13.696000051498412,-1.2458270679796948
2020-01-31,43.06550979614258,81.18899536132812,18.84000015258789,14.014500045776368,-1.2615064413574077
2020-02-03,43.34568786621094,80.53730773925781,17.969999313354492,14.211999988555908,-1.223487732085286
2020-02-04,44.51586151123047,80.96922302246094,16.049999237060547,14.32199993133545,-1.145219982603351
2020-02-05,45.31520080566406,83.56843566894531,15.149999618530273,14.389999914169312,-1.1505845301686657
2020-02-06,45.33168029785156,82.96977996826172,14.960000038146973,14.465499925613404,-1.1340424613542817
2020-02-07,45.34815979003906,82.5530014038086,15.470000267028809,14.611999940872192,-1.1221439740253594
2020-02-10,45.61186218261719,83.19712829589844,15.039999961853027,14.735999917984008,-1.1184664966834348
2020-02-11,45.966217041015625,84.27318572998047,15.180000305175781,14.878999948501587,-1.1188991908722061
2020-02-12,46.29583740234375,84.90213775634766,13.739999771118164,14.946499919891357,-1.1098041220306352
2020-02-13,46.08981704711914,84.61418151855469,14.149999618530273,15.032999897003174,-1.1181734645281591
2020-02-14,46.015655517578125,84.391845703125,13.680000305175781,15.100999927520752,-1.1181561317130244
2020-02-18,45.751953125,84.51451873779297,14.829999923706055,15.237499904632568,-1.141411099754132
2020-02-19,46.40296936035156,84.89783477783203,14.380000114440918,15.313999891281128,-1.1015190935855723
2020-02-20,44.29336929321289,84.18485260009766,15.5600004196167,15.446499919891357,-1.2442978014648922
2020-02-21,43.19736099243164,83.5715560913086,17.079999923706055,15.651499938964843,-1.3122751234806849
2020-02-24,40.93943405151367,80.27499389648438,25.030000686645508,16.174999952316284,-1.4004100892764426
2020-02-25,39.5797233581543,77.20842742919922,27.850000381469727,16.655999994277956,-1.4258748978424072
2020-02-26,38.928707122802734,75.16150665283203,27.559999465942383,17.219999933242796,-1.4232927133960958
2020-02-27,37.420677185058594,72.16392517089844,39.15999984741211,18.35849995613098,-1.4618369478469362
2020-02-28,37.10753631591797,71.55827331542969,40.11000061035156,19.589499998092652,-1.4702693642202924
2020-03-02,38.30242156982422,74.04984283447266,33.41999816894531,20.318499898910524,-1.4427017851486719
2020-03-03,36.588375091552734,72.36325073242188,36.81999969482422,21.26099991798401,-1.5304384225239829
2020-03-04,37.280582427978516,75.53714752197266,31.989999771118164,22.05799994468689,-1.5586506393932305
2020-03-05,35.09682846069336,74.50983428955078,39.619998931884766,23.281499910354615,-1.699062663206398
2020-03-06,34.47877883911133,73.07623291015625,41.939998626708984,24.630499839782715,-1.7096237336374187
2020-03-09,30.90235137939453,61.844932556152344,54.459999084472656,26.57999978065491,-1.6957874531594723
2020-03-10,32.550472259521484,65.14916229248047,47.29999923706055,28.192999744415282,-1.6543821388566402
