Date,CVX,LOW,VIX,AvgVIX,zscore
2022-01-31,110.67057800292969,218.27606201171875,24.829999923706055,23.18100004196167,-2.961700281150132
2022-02-01,113.5863037109375,219.19569396972656,21.959999084472656,23.448999977111818,-2.685763666303226
2022-02-02,114.1087646484375,219.89459228515625,22.09000015258789,23.707999992370606,-2.6380697218405986
2022-02-03,113.089111328125,215.2964324951172,24.350000381469727,23.939000034332274,-2.720551953080019
2022-02-04,114.50482177734375,210.66146850585938,23.219999313354492,24.119499969482423,-2.569919860463253
2022-02-07,116.75479888916016,208.7761993408203,22.860000610351562,24.324499988555907,-2.348483899299428
2022-02-08,114.97675323486328,213.1352996826172,21.440000534057617,24.426500034332275,-2.532876909807948
2022-02-09,116.11439514160156,214.88255310058594,19.959999084472656,24.503999996185303,-2.4297636372240503
2022-02-10,114.63966369628906,209.12567138671875,23.90999984741211,24.818499946594237,-2.5519863031535586
2022-02-11,116.97389221191406,207.75538635253906,27.360000610351562,25.171000003814697,-2.324177624623369
2022-02-14,115.1705551147461,207.79217529296875,28.329999923706055,25.62799997329712,-2.496825268887049
2022-02-15,114.3275375366211,209.76939392089844,25.700000762939453,25.773499965667725,-2.583957327172096
2022-02-16,114.36158752441406,208.76699829101562,24.290000915527344,25.795499992370605,-2.577414692230937
2022-02-17,113.77404022216797,205.80575561523438,28.110000610351562,25.92150001525879,-2.6239213886476107
2022-02-18,113.61225128173828,204.7941436767578,27.75,25.866499996185304,-2.6360846580406068
2022-02-22,112.74366760253906,197.3450469970703,28.809999465942383,25.811999988555907,-2.6947708500363623
2022-02-23,115.42601776123047,197.80487060546875,31.020000457763672,25.805000019073486,-2.439654631423276
2022-02-24,114.82997131347656,196.25991821289062,30.31999969482422,25.723000049591064,-2.491615898222561
2022-02-25,119.5389404296875,201.5662078857422,27.59000015258789,25.57800006866455,-2.058493775801743
2022-02-28,122.62149047851562,203.295166015625,30.149999618530273,25.70250005722046,-1.7692492213758495
2022-03-01,127.4923095703125,203.6997833251953,33.31999969482422,26.127000045776366,-1.3045790499463499
2022-03-02,131.25613403320312,210.2843780517578,30.739999771118164,26.566000080108644,-0.9660691154594861
2022-03-03,133.02731323242188,208.09567260742188,30.479999542236328,26.985500049591064,-0.789445816270653
2022-03-04,135.09654235839844,206.06324768066406,31.979999542236328,27.367000007629393,-0.5848199403270185
2022-03-07,137.98324584960938,204.39871215820312,36.45000076293945,28.028500080108643,-0.3031911093560549
2022-03-08,145.2128143310547,205.318359375,35.130001068115234,28.642000102996825,0.38545514715176343
2022-03-09,141.5852813720703,207.727783203125,32.45000076293945,29.192500114440918,0.030509274844932797
2022-03-10,145.45980834960938,206.1552276611328,30.229999542236328,29.706000137329102,0.40634274003931986
2022-03-11,145.5279083251953,204.35272216796875,30.75,30.048000144958497,0.418765081572745
2022-03-14,141.9684600830078,208.3071746826172,31.770000457763672,30.268500137329102,0.06526959441577435
2022-03-15,134.78147888183594,212.50070190429688,29.829999923706055,30.3435001373291,-0.6360591244330229
2022-03-16,134.296142578125,212.7398223876953,26.670000076293945,30.392000102996825,-0.6832753810263004
2022-03-17,136.6208038330078,215.54476928710938,25.670000076293945,30.461000061035158,-0.47006502912854514
2022-03-18,137.71926879882812,216.7310333251953,23.8700008392334,30.249000072479248,-0.3688613867384437
2022-03-21,140.19725036621094,209.30958557128906,23.530000686645508,30.038000106811523,-0.10746891494747433
2022-03-22,139.72891235351562,210.10963439941406,22.940000534057617,29.744500160217285,-0.1548971951421754
2022-03-23,141.2361297607422,203.1663818359375,23.56999969482422,29.37200012207031,0.012054154537478295
2022-03-24,141.61082458496094,201.55697631835938,21.670000076293945,28.9395001411438,0.053175909864188776
