Date,MS,XLF,VIX,AvgVIX,zscore
2020-01-30,44.35105514526367,27.21605682373047,15.489999771118164,13.696000051498412,-2.134890598963756
2020-01-31,43.06550598144531,26.64682960510254,18.84000015258789,14.014500045776368,-2.1063035708427917
2020-02-03,43.34568786621094,26.833606719970703,17.969999313354492,14.211999988555908,-2.1525225447924687
2020-02-04,44.515869140625,27.091535568237305,16.049999237060547,14.32199993133545,-2.012626921110197
2020-02-05,45.31520462036133,27.634077072143555,15.149999618530273,14.389999914169312,-2.150659202478124
2020-02-06,45.33168411254883,27.598499298095703,14.960000038146973,14.465499925613404,-2.123688036427501
2020-02-07,45.34816360473633,27.500667572021484,15.470000267028809,14.611999940872192,-2.057022725268846
2020-02-10,45.61186599731445,27.580713272094727,15.039999961853027,14.735999917984008,-2.039474182691384
2020-02-11,45.966209411621094,27.678552627563477,15.180000305175781,14.878999948501587,-2.0096961231558352
2020-02-12,46.295833587646484,27.696338653564453,13.739999771118164,14.946499919891357,-1.93530402935789
2020-02-13,46.08982849121094,27.68744468688965,14.149999618530273,15.032999897003174,-1.9832134583349048
2020-02-14,46.015647888183594,27.7230167388916,13.680000305175781,15.100999927520752,-2.0251885987427234
2020-02-18,45.751949310302734,27.48287582397461,14.829999923706055,15.237499904632568,-1.9406568034620157
2020-02-19,46.4029655456543,27.68744468688965,14.380000114440918,15.313999891281128,-1.901768877145288
2020-02-20,44.29336166381836,27.634077072143555,15.5600004196167,15.446499919891357,-2.4164328324470916
2020-02-21,43.19736099243164,27.36725425720215,17.079999923706055,15.651499938964843,-2.5313637023028144
2020-02-24,40.93943405151367,26.47784423828125,25.030000686645508,16.174999952316284,-2.5515309580915817
2020-02-25,39.57973861694336,25.57953453063965,27.850000381469727,16.655999994277956,-2.33240039975685
2020-02-26,38.9287223815918,25.392759323120117,27.559999465942383,17.219999933242796,-2.382633853807663
2020-02-27,37.42068862915039,24.30767250061035,39.15999984741211,18.35849995613098,-2.0829928062397665
2020-02-28,37.1075325012207,23.649503707885742,40.11000061035156,19.589499998092652,-1.7447830862986642
2020-03-02,38.30241775512695,24.859111785888672,33.41999816894531,20.318499898910524,-2.205268494892343
2020-03-03,36.58837890625,23.925220489501953,36.81999969482422,21.26099991798401,-2.055612573514999
2020-03-04,37.280601501464844,24.7168025970459,31.989999771118164,22.05799994468689,-2.380296497066054
2020-03-05,35.0968132019043,23.524988174438477,39.619998931884766,23.281499910354615,-2.188362824311162
2020-03-06,34.4787712097168,22.724515914916992,41.939998626708984,24.630499839782715,-1.8387165792473597
2020-03-09,30.902345657348633,20.28752326965332,54.459999084472656,26.57999978065491,-1.2150511881592119
2020-03-10,32.55046081542969,21.479331970214844,47.29999923706055,28.192999744415282,-1.5463057479566982
2020-03-11,30.38318634033203,20.3142032623291,53.900001525878906,30.12899980545044,-1.367092205478381
2020-03-12,25.8013973236084,18.117353439331055,75.47000122070312,33.21549987792969,-1.1580332715186106
2020-03-13,30.902345657348633,20.500980377197266,57.83000183105469,35.39949998855591,-1.351154955476701
2020-03-16,26.081581115722656,17.690433502197266,82.69000244140625,38.850000095367434,-0.8129484016963295
2020-03-17,27.845069885253906,18.6510009765625,75.91000366210938,41.9040002822876,-0.9667519428753977
2020-03-18,25.339927673339844,17.067846298217773,76.44999694824219,45.007500123977664,-0.6088750016849195
2020-03-19,25.480016708374023,17.4414005279541,72.0,47.829500102996825,-0.8106232316156975
2020-03-20,24.449935913085938,16.818811416625977,66.04000091552734,50.27750015258789,-0.6815663900213895
2020-03-23,22.91718101501465,15.840230941772461,61.59000015258789,52.10550012588501,-0.456265326970606
2020-03-24,27.3753604888916,17.804563522338867,61.66999816894531,53.796500015258786,-0.5492173455571064
2020-03-25,28.0098876953125,18.28891944885254,63.95000076293945,55.61600008010864,-0.6930149307661785
2020-03-26,29.42727279663086,19.43701934814453,61.0,56.708000087738036,-1.0564111829289362
2020-03-27,28.026369094848633,18.84503173828125,65.54000091552734,57.97950010299682,-1.043314597984095
2020-03-30,28.71034812927246,19.203815460205078,57.08000183105469,59.16250028610229,-1.0941832307164527
2020-03-31,28.01813316345215,18.67460823059082,53.540000915527344,59.99850034713745,-0.9367918661877814
2020-04-01,26.05686378479004,17.535478591918945,57.060001373291016,61.252000427246095,-0.7205753898250931
2020-04-02,27.935720443725586,17.974987030029297,50.90999984741211,61.81650047302246,-0.512136791777622
2020-04-03,27.894519805908203,17.6162052154541,46.79999923706055,62.059500503540036,-0.2940875723254484
2020-04-06,30.498558044433594,18.88091278076172,45.2400016784668,61.598500633239745,-0.4231952804840496
