Date,AVGO,CVX,VIX,AvgVIX,zscore
2022-01-31,54.15768051147461,110.67057800292969,24.829999923706055,23.18100004196167,0.38673280514163894
2022-02-01,54.78995895385742,113.58629608154297,21.959999084472656,23.448999977111818,0.2681903225750677
2022-02-02,55.77996063232422,114.1087646484375,22.09000015258789,23.707999992370606,0.2567326789940199
2022-02-03,53.69271469116211,113.08910369873047,24.350000381469727,23.939000034332274,0.277362329282988
2022-02-04,54.55331039428711,114.50482177734375,23.219999313354492,24.119499969482423,0.22598251405284764
2022-02-07,54.3194465637207,116.75479125976562,22.860000610351562,24.324499988555907,0.12645194015461567
2022-02-08,55.483245849609375,114.97674560546875,21.440000534057617,24.426500034332275,0.21603181718113454
2022-02-09,56.51115417480469,116.11436462402344,19.959999084472656,24.503999996185303,0.17849872803557448
2022-02-10,54.664241790771484,114.63965606689453,23.90999984741211,24.818499946594237,0.22141233077553651
2022-02-11,53.00590896606445,116.97391510009766,27.360000610351562,25.171000003814697,0.10235376488673004
2022-02-14,53.48288345336914,115.17053985595703,28.329999923706055,25.62799997329712,0.18535977326861464
2022-02-15,55.71896743774414,114.3275375366211,25.700000762939453,25.773499965667725,0.24662803919969434
2022-02-16,55.20500183105469,114.3615951538086,24.290000915527344,25.795499992370605,0.2394250934220796
2022-02-17,53.52170944213867,113.7740249633789,28.110000610351562,25.92150001525879,0.2459499458309918
2022-02-18,53.61321258544922,113.61225128173828,27.75,25.866499996185304,0.2539397549511902
2022-02-22,53.37934875488281,112.74365997314453,28.809999465942383,25.811999988555907,0.28874564181398715
2022-02-23,52.24513244628906,115.42603302001953,31.020000457763672,25.805000019073486,0.1605407171217711
2022-02-24,53.6141471862793,114.82994842529297,30.31999969482422,25.723000049591064,0.20149614124275433
2022-02-25,54.35457229614258,119.5389404296875,27.59000015258789,25.57800006866455,0.006912741455877772
2022-02-28,54.30189514160156,122.62151336669922,30.149999618530273,25.70250005722046,-0.12646136906438254
2022-03-01,52.70085144042969,127.4923095703125,33.31999969482422,26.127000045776366,-0.3541455492360794
2022-03-02,54.1484375,131.25611877441406,30.739999771118164,26.566000080108644,-0.5001219210445398
2022-03-03,53.48473358154297,133.02732849121094,30.479999542236328,26.985500049591064,-0.5838262571462366
2022-03-04,55.09223175048828,135.09654235839844,31.979999542236328,27.367000007629393,-0.6550208922122732
2022-03-07,52.75447463989258,137.98326110839844,36.45000076293945,28.028500080108643,-0.8054598366159943
2022-03-08,53.23977279663086,145.21282958984375,35.130001068115234,28.642000102996825,-1.1114678899656698
2022-03-09,55.18743896484375,141.5852508544922,32.45000076293945,29.192500114440918,-0.9334687652378951
2022-03-10,54.32868957519531,145.4597930908203,30.229999542236328,29.706000137329102,-1.1099538650209748
2022-03-11,53.415409088134766,145.5279083251953,30.75,30.048000144958497,-1.123080252441167
