Date,INTC,CL,VIX,AvgVIX,zscore
2022-01-31,45.278907775878906,74.45279693603516,24.829999923706055,23.18100004196167,1.142079858345016
2022-02-01,45.39948272705078,73.97419738769531,21.959999084472656,23.448999977111818,1.1412710699363433
2022-02-02,45.918861389160156,74.76884460449219,22.09000015258789,23.707999992370606,1.2168284967830194
2022-02-03,44.778072357177734,74.70563507080078,24.350000381469727,23.939000034332274,1.0974223587886187
2022-02-04,44.86685562133789,73.25179290771484,23.219999313354492,24.119499969482423,1.066346445341804
2022-02-07,45.02572250366211,73.25179290771484,22.860000610351562,24.324499988555907,1.0827314097433158
2022-02-08,45.61448287963867,73.07119750976562,21.440000534057617,24.426500034332275,1.138456375765866
2022-02-09,46.64247131347656,73.02605438232422,19.959999084472656,24.503999996185303,1.2432301792227853
2022-02-10,45.66120529174805,71.98758697509766,23.90999984741211,24.818499946594237,1.1132880103923384
2022-02-11,44.51174545288086,71.81603240966797,27.360000610351562,25.171000003814697,0.9899893247794902
2022-02-14,44.46500778198242,71.57221221923828,28.329999923706055,25.62799997329712,0.9784216430380519
2022-02-15,45.268699645996094,70.95816802978516,25.700000762939453,25.773499965667725,1.0443188911112882
2022-02-16,45.07244873046875,70.74144744873047,24.290000915527344,25.795499992370605,1.0180808831942048
2022-02-17,44.455665588378906,71.47286987304688,28.110000610351562,25.92150001525879,0.9747089855770674
2022-02-18,42.09130096435547,71.8340835571289,27.75,25.866499996185304,0.7408528371805806
2022-02-22,41.76421356201172,71.20198059082031,28.809999465942383,25.811999988555907,0.689625792153731
2022-02-23,41.726829528808594,71.01233673095703,31.020000457763672,25.805000019073486,0.6805220525942587
2022-02-24,43.66130828857422,68.24915313720703,30.31999969482422,25.723000049591064,0.8035707169377231
2022-02-25,44.58650588989258,70.56084442138672,27.59000015258789,25.57800006866455,0.9629645761363422
2022-02-28,44.577152252197266,69.48625946044922,30.149999618530273,25.70250005722046,0.9322624946992398
2022-03-01,43.75476837158203,68.6645278930664,33.31999969482422,26.127000045776366,0.8247046737524274
