Date,CVX,KDP,VIX,AvgVIX,zscore
2020-01-30,84.41716003417969,24.535131454467773,15.489999771118164,13.696000051498412,2.316850947764238
2020-01-31,81.18895721435547,24.423847198486328,18.84000015258789,14.014500045776368,1.907913955108708
2020-02-03,80.53730773925781,24.552255630493164,17.969999313354492,14.211999988555908,1.7907339895485292
2020-02-04,80.96925354003906,24.54369354248047,16.049999237060547,14.32199993133545,1.8508345829459216
2020-02-05,83.56845092773438,24.56081771850586,15.149999618530273,14.389999914169312,2.196727812324744
2020-02-06,82.96977996826172,24.449522018432617,14.960000038146973,14.465499925613404,2.1417000660682786
2020-02-07,82.5530014038086,24.45808219909668,15.470000267028809,14.611999940872192,2.083641256862216
2020-02-10,83.1971206665039,24.57793617248535,15.039999961853027,14.735999917984008,2.1428213813488903
2020-02-11,84.27317810058594,24.54369354248047,15.180000305175781,14.878999948501587,2.295507184171734
2020-02-12,84.90216827392578,24.51801300048828,13.739999771118164,14.946499919891357,2.3860572082253833
2020-02-13,84.61418914794922,24.466644287109375,14.149999618530273,15.032999897003174,2.3590895412637267
2020-02-14,84.39183807373047,24.714908599853516,13.680000305175781,15.100999927520752,2.2721766919854285
2020-02-18,84.51451110839844,24.714908599853516,14.829999923706055,15.237499904632568,2.2886871589850264
2020-02-19,84.89784240722656,24.697790145874023,14.380000114440918,15.313999891281128,2.344208800147481
2020-02-20,84.18484497070312,25.083019256591797,15.5600004196167,15.446499919891357,2.1598212320505072
2020-02-21,83.57154083251953,25.254236221313477,17.079999923706055,15.651499938964843,2.0379758295116543
2020-02-24,80.27499389648438,24.946046829223633,25.030000686645508,16.174999952316284,1.6650382222484201
2020-02-25,77.20843505859375,24.75771141052246,27.850000381469727,16.655999994277956,1.2955431526066838
2020-02-26,75.16149139404297,24.59505844116211,27.559999465942383,17.219999933242796,1.0573821146646358
2020-02-27,72.1639175415039,24.175582885742188,39.15999984741211,18.35849995613098,0.750227775960455
2020-02-28,71.55827331542969,23.86739158630371,40.11000061035156,19.589499998092652,0.7394570802781243
2020-03-02,74.04985046386719,24.192697525024414,33.41999816894531,20.318499898910524,1.0001254924815477
2020-03-03,72.3632583618164,23.58488655090332,36.81999969482422,21.26099991798401,0.9126458199251839
2020-03-04,75.53714752197266,23.773229598999023,31.989999771118164,22.05799994468689,1.296584641745635
2020-03-05,74.50984191894531,23.114044189453125,39.619998931884766,23.281499910354615,1.309630349153521
2020-03-06,73.07621765136719,22.79730224609375,41.939998626708984,24.630499839782715,1.1893851944098646
2020-03-09,61.844940185546875,20.93105125427246,54.459999084472656,26.57999978065491,0.10615719703397533
2020-03-10,65.149169921875,21.615907669067383,47.29999923706055,28.192999744415282,0.3936683696560769
2020-03-11,63.65421676635742,20.982412338256836,53.900001525878906,30.12899980545044,0.337876840048564
2020-03-12,58.46406173706055,19.681188583374023,75.47000122070312,33.21549987792969,-0.06197806686027073
2020-03-13,63.95321273803711,20.092098236083984,57.83000183105469,35.39949998855591,0.5824818997861033
2020-03-16,53.43488693237305,16.779090881347656,82.69000244140625,38.850000095367434,-0.0727008562236524
2020-03-17,54.1938591003418,17.395462036132812,75.91000366210938,41.9040002822876,-0.11203372997715669
2020-03-18,42.203590393066406,17.044471740722656,76.44999694824219,45.007500123977664,-1.6452279404386567
2020-03-19,43.997535705566406,20.81976318359375,72.0,47.829500102996825,-2.2703657431587745
2020-03-20,45.53081130981445,20.143463134765625,66.04000091552734,50.27750015258789,-1.90876492195479
2020-03-23,41.56727600097656,19.843835830688477,61.59000015258789,52.10550012588501,-2.3734373170360974
