Date,XOM,KDP,VIX,AvgVIX,zscore
2020-01-30,48.712581634521484,24.535131454467773,15.489999771118164,13.696000051498412,3.094012044669891
2020-01-31,46.70513153076172,24.423847198486328,18.84000015258789,14.014500045776368,2.7027417435842707
2020-02-03,45.660064697265625,24.552255630493164,17.969999313354492,14.211999988555908,2.4797605920903854
2020-02-04,45.08865737915039,24.54369354248047,16.049999237060547,14.32199993133545,2.365995572416791
2020-02-05,47.16376876831055,24.56081771850586,15.149999618530273,14.389999914169312,2.7805883356161982
2020-02-06,46.524688720703125,24.449522018432617,14.960000038146973,14.465499925613404,2.663878825936048
2020-02-07,46.216426849365234,24.45808219909668,15.470000267028809,14.611999940872192,2.601140891920665
2020-02-10,45.728336334228516,24.57793617248535,15.039999961853027,14.735999917984008,2.490800937101084
2020-02-11,46.16304397583008,24.54369354248047,15.180000305175781,14.878999948501587,2.581568224164914
2020-02-12,46.7274055480957,24.51801300048828,13.739999771118164,14.946499919891357,2.6974639549753245
2020-02-13,46.468101501464844,24.466644287109375,14.149999618530273,15.032999897003174,2.6507524505621736
2020-02-14,46.25456237792969,24.714908599853516,13.680000305175781,15.100999927520752,2.582208835744672
2020-02-18,45.66732406616211,24.714908599853516,14.829999923706055,15.237499904632568,2.4643811185458047
2020-02-19,46.018150329589844,24.697790145874023,14.380000114440918,15.313999891281128,2.5365453365103607
2020-02-20,45.652069091796875,25.083019256591797,15.5600004196167,15.446499919891357,2.4232174863962705
2020-02-21,45.095333099365234,25.254236221313477,17.079999923706055,15.651499938964843,2.2937874777895244
2020-02-24,42.982810974121094,24.946046829223633,25.030000686645508,16.174999952316284,1.9018162237292493
2020-02-25,41.33549118041992,24.75771141052246,27.850000381469727,16.655999994277956,1.5907805459164706
2020-02-26,40.42793655395508,24.59505844116211,27.559999465942383,17.219999933242796,1.42551830573337
2020-02-27,37.995086669921875,24.175582885742188,39.15999984741211,18.35849995613098,0.9807933059564122
2020-02-28,39.2305793762207,23.86739158630371,40.11000061035156,19.589499998092652,1.2605920178208514
2020-03-02,41.09144973754883,24.192697525024414,33.41999816894531,20.318499898910524,1.6002983360049028
2020-03-03,39.12381362915039,23.58488655090332,36.81999969482422,21.26099991798401,1.2684115831793716
2020-03-04,39.977970123291016,23.773229598999023,31.989999771118164,22.05799994468689,1.4203004839019924
2020-03-05,38.21625518798828,23.114044189453125,39.619998931884766,23.281499910354615,1.135048952067049
2020-03-06,36.37065124511719,22.79730224609375,41.939998626708984,24.630499839782715,0.7975193472903621
2020-03-09,31.924423217773438,20.93105125427246,54.459999084472656,26.57999978065491,0.09856995288031757
2020-03-10,33.10652160644531,21.615907669067383,47.29999923706055,28.192999744415282,0.2648658733015117
