Date,MS,V,VIX,AvgVIX,zscore
2020-01-30,44.351051330566406,198.74412536621094,15.489999771118164,13.696000051498412,-1.5409767273026587
2020-01-31,43.06550979614258,189.92422485351562,18.84000015258789,14.014500045776368,-1.2292913486209331
2020-02-03,43.34568786621094,191.68052673339844,17.969999313354492,14.211999988555908,-1.2894094846018462
2020-02-04,44.51586151123047,194.30551147460938,16.049999237060547,14.32199993133545,-1.3187613061468861
2020-02-05,45.31520080566406,193.58956909179688,15.149999618530273,14.389999914169312,-1.2206988595903787
2020-02-06,45.33168029785156,193.80914306640625,14.960000038146973,14.465499925613404,-1.2297083269483235
2020-02-07,45.34815979003906,193.52276611328125,15.470000267028809,14.611999940872192,-1.2149004084387585
2020-02-10,45.61186218261719,196.62501525878906,15.039999961853027,14.735999917984008,-1.339704896197816
2020-02-11,45.966217041015625,194.66822814941406,15.180000305175781,14.878999948501587,-1.2190587941700433
2020-02-12,46.29583740234375,198.0090789794922,13.739999771118164,14.946499919891357,-1.34978786745583
2020-02-13,46.08981704711914,198.2576141357422,14.149999618530273,15.032999897003174,-1.3780755256676296
2020-02-14,46.015655517578125,201.02023315429688,13.680000305175781,15.100999927520752,-1.5140956384887692
2020-02-18,45.751953125,201.89013671875,14.829999923706055,15.237499904632568,-1.5762782449948782
2020-02-19,46.40296936035156,203.9071044921875,14.380000114440918,15.313999891281128,-1.618808591214292
2020-02-20,44.29336929321289,202.12911987304688,15.5600004196167,15.446499919891357,-1.7049679864771747
2020-02-21,43.19736099243164,199.60549926757812,17.079999923706055,15.651499938964843,-1.674416313848618
2020-02-24,40.93943405151367,190.0271759033203,25.030000686645508,16.174999952316284,-1.4053214061119506
2020-02-25,39.5797233581543,180.0951690673828,27.850000381469727,16.655999994277956,-1.0472560047112338
2020-02-26,38.928707122802734,178.9576416015625,27.559999465942383,17.219999933242796,-1.046124869375286
2020-02-27,37.420677185058594,172.07501220703125,39.15999984741211,18.35849995613098,-0.8435494921447775
2020-02-28,37.10753631591797,173.7478790283203,40.11000061035156,19.589499998092652,-0.9475117924937667
2020-03-02,38.30242156982422,183.8519287109375,33.41999816894531,20.318499898910524,-1.3269471540852849
2020-03-03,36.588375091552734,177.54287719726562,36.81999969482422,21.26099991798401,-1.1679603509670924
2020-03-04,37.280582427978516,185.72552490234375,31.989999771118164,22.05799994468689,-1.4974204301535805
2020-03-05,35.09682846069336,178.71865844726562,39.619998931884766,23.281499910354615,-1.3434034340329526
2020-03-06,34.47877883911133,176.23326110839844,41.939998626708984,24.630499839782715,-1.2761676524632486
2020-03-09,30.90235137939453,163.58645629882812,54.459999084472656,26.57999978065491,-0.9687862651361392
2020-03-10,32.550472259521484,174.55088806152344,47.29999923706055,28.192999744415282,-1.3522308391031095
2020-03-11,30.38319206237793,165.32627868652344,53.900001525878906,30.12899980545044,-1.0924883021098748
2020-03-12,25.801401138305664,153.02352905273438,75.47000122070312,33.21549987792969,-0.8822512554804836
2020-03-13,30.90235137939453,168.0792694091797,57.83000183105469,35.39949998855591,-1.1802831863079721
