Date,XOM,FDX,VIX,AvgVIX,zscore
2022-01-31,65.46409606933594,224.8799285888672,24.829999923706055,23.18100004196167,-2.659076178606831
2022-02-01,69.66114807128906,230.4959716796875,21.959999084472656,23.448999977111818,-2.3289802138525215
2022-02-02,69.48017883300781,230.33135986328125,22.09000015258789,23.707999992370606,-2.3440427794473853
2022-02-03,68.6700668334961,226.21533203125,24.350000381469727,23.939000034332274,-2.3753254898843474
2022-02-04,70.16102600097656,223.27926635742188,23.219999313354492,24.119499969482423,-2.205316509462072
2022-02-07,71.00560760498047,222.93167114257812,22.860000610351562,24.324499988555907,-2.123084066417574
2022-02-08,69.169921875,223.05062866210938,21.440000534057617,24.426500034332275,-2.295006342606164
2022-02-09,68.83879852294922,223.39816284179688,19.959999084472656,24.503999996185303,-2.329505796102594
2022-02-10,68.17655181884766,219.89500427246094,23.90999984741211,24.818499946594237,-2.3535981713995997
2022-02-11,69.89315795898438,212.3947296142578,27.360000610351562,25.171000003814697,-2.1137912197776454
2022-02-14,68.82138061523438,208.96473693847656,28.329999923706055,25.62799997329712,-2.176737188793913
2022-02-15,67.95869445800781,210.73915100097656,25.700000762939453,25.773499965667725,-2.2759147103250896
2022-02-16,68.27239227294922,209.4677734375,24.290000915527344,25.795499992370605,-2.2331532432543115
2022-02-17,68.16783905029297,205.2237091064453,28.110000610351562,25.92150001525879,-2.1974759332833114
2022-02-18,67.40973663330078,203.266357421875,27.75,25.866499996185304,-2.247014086433174
2022-02-22,66.6255111694336,199.2052001953125,28.809999465942383,25.811999988555907,-2.2764772471251415
2022-02-23,66.89562225341797,196.50697326660156,31.020000457763672,25.805000019073486,-2.222505348008912
2022-02-24,66.05038452148438,197.4947967529297,30.31999969482422,25.723000049591064,-2.311647018114953
2022-02-25,67.8279800415039,201.8852081298828,27.59000015258789,25.57800006866455,-2.1933596265015374
2022-02-28,68.33340454101562,203.30296325683594,30.149999618530273,25.70250005722046,-2.1615392114845857
