Date,XOM,MS,VIX,AvgVIX,zscore
2015-01-30,54.180458068847656,24.881681442260742,20.969999313354492,19.119499969482423,-0.02318101542948697
2015-02-02,55.51915740966797,25.330596923828125,19.43000030517578,19.201499938964844,0.3888297405044028
2015-02-03,57.1739501953125,25.786863327026367,17.329999923706055,19.071999931335448,0.900667128861269
2015-02-04,56.68434143066406,25.58817481994629,18.329999923706055,18.932499885559082,0.7508699010066794
2015-02-05,57.24213409423828,25.705923080444336,16.850000381469727,18.80949993133545,0.9243277280410234
2015-02-06,57.13597106933594,26.338815689086914,17.290000915527344,18.823499965667725,0.8744228852709108
2015-02-09,57.17345428466797,26.2210750579834,18.549999237060547,18.873499965667726,0.8893179541089862
2015-02-10,56.83000564575195,26.61111068725586,17.229999542236328,18.754999923706055,0.7705927250923843
2015-02-11,56.57398223876953,26.765661239624023,16.959999084472656,18.57499990463257,0.6855998601441723
2015-02-12,57.679237365722656,27.15570068359375,15.34000015258789,18.267999935150147,1.0252633977405858
2015-02-13,58.303680419921875,27.0673770904541,14.6899995803833,17.88299994468689,1.2251220000473515
2015-02-17,58.1038703918457,27.17041778564453,15.800000190734863,17.62549991607666,1.1592435056938115
2015-02-18,56.83000564575195,26.765661239624023,15.449999809265137,17.403499937057497,0.7666090227417091
2015-02-19,55.84963607788086,26.736215591430664,15.289999961853027,17.22549991607666,0.4571662306252025
2015-02-20,56.14936828613281,27.03795051574707,14.300000190734863,17.12049994468689,0.5442278973080561
2015-02-23,55.58114242553711,26.69207000732422,14.5600004196167,17.015499973297118,0.3733492175673164
2015-02-24,55.83714294433594,27.03795051574707,13.6899995803833,16.9239999294281,0.4454357056924233
2015-02-25,55.94955062866211,26.927555084228516,13.84000015258789,16.754999971389772,0.4838485286152227
2015-02-26,55.35633850097656,26.537521362304688,13.90999984741211,16.428499937057495,0.3062019617019284
2015-02-27,55.287628173828125,26.338815689086914,13.34000015258789,16.157499933242796,0.2895829601914246
2015-03-02,54.975425720214844,26.66997528076172,13.039999961853027,15.760999965667725,0.1822620253927431
2015-03-03,54.713157653808594,26.36089324951172,13.859999656677246,15.482499933242797,0.10724388374435294
2015-03-04,54.43840026855469,25.823673248291016,14.229999542236328,15.327499914169312,0.03415445297843904
2015-03-05,54.16364288330078,26.140121459960938,14.039999961853027,15.11299991607666,-0.06093917003577874
2015-03-06,53.47053146362305,26.147462844848633,15.199999809265137,15.03049988746643,-0.28043794223379703
2015-03-09,53.17704772949219,26.250499725341797,15.0600004196167,14.918999862670898,-0.37595592697657465
2015-03-10,52.61505889892578,25.669116973876953,16.690000534057617,14.825999927520751,-0.538790811684791
2015-03-11,52.465179443359375,25.72063636779785,16.8700008392334,14.807999992370606,-0.587542602775605
2015-03-12,52.59008026123047,27.295516967773438,15.420000076293945,14.73100004196167,-0.5886165433359731
2015-03-13,52.371524810791016,26.750932693481445,16.0,14.764000034332275,-0.6437331232326512
2015-03-16,52.927284240722656,27.030590057373047,15.609999656677246,14.810000038146972,-0.4750920146898827
2015-03-17,52.50265121459961,26.898117065429688,15.65999984741211,14.803000020980836,-0.6060368412534081
2015-03-18,53.745296478271484,27.030590057373047,13.970000267028809,14.729000043869018,-0.21626221807320975
2015-03-19,52.70872116088867,26.574316024780273,14.069999694824219,14.668000030517579,-0.5324872975956124
2015-03-20,52.789886474609375,26.861318588256836,13.020000457763672,14.604000043869018,-0.5142033198621522
2015-03-23,53.34564971923828,26.721500396728516,13.40999984741211,14.54650001525879,-0.3347485825344173
2015-03-24,52.77740478515625,26.66997528076172,13.619999885559082,14.543000030517579,-0.5132206159001949
2015-03-25,52.989723205566406,26.088607788085938,15.4399995803833,14.623000001907348,-0.4310549280544021
