Date,SHEL,AVGO,VIX,AvgVIX,zscore
2020-01-30,42.15347671508789,27.060224533081055,15.489999771118164,13.696000051498412,2.2221056226060916
2020-01-31,40.83031463623047,26.198284149169922,18.84000015258789,14.014500045776368,2.070423745966894
2020-02-03,40.117835998535156,26.204296112060547,17.969999313354492,14.211999988555908,1.9474219184942376
2020-02-04,40.43883514404297,26.751161575317383,16.049999237060547,14.32199993133545,1.9545301941621906
2020-02-05,41.456661224365234,27.24738121032715,15.149999618530273,14.389999914169312,2.085873224446023
2020-02-06,40.822479248046875,27.445697784423828,14.960000038146973,14.465499925613404,1.959426396570145
2020-02-07,40.54845428466797,27.06279945373535,15.470000267028809,14.611999940872192,1.9459797898576734
2020-02-10,40.235267639160156,26.97437858581543,15.039999961853027,14.735999917984008,1.8999161527679114
2020-02-11,40.70503234863281,27.48604965209961,15.180000305175781,14.878999948501587,1.9356905373795168
2020-02-12,41.221778869628906,27.875812530517578,13.739999771118164,14.946499919891357,1.9902569862640815
2020-02-13,40.6478157043457,27.813138961791992,14.149999618530273,15.032999897003174,1.8971032477611829
2020-02-14,40.24922561645508,27.280864715576172,13.680000305175781,15.100999927520752,1.87537467510481
2020-02-18,40.02602005004883,26.678190231323242,14.829999923706055,15.237499904632568,1.8899826187375568
2020-02-19,40.03399658203125,27.102291107177734,14.380000114440918,15.313999891281128,1.8540743442293306
2020-02-20,39.55568313598633,26.54855728149414,15.5600004196167,15.446499919891357,1.820527863569591
2020-02-21,39.19695281982422,26.14162254333496,17.079999923706055,15.651499938964843,1.7946334649509634
2020-02-24,37.69029235839844,25.03414535522461,25.030000686645508,16.174999952316284,1.6329918956614666
2020-02-25,36.590206146240234,24.268348693847656,27.850000381469727,16.655999994277956,1.5112049738957172
2020-02-26,36.47062301635742,24.543075561523438,27.559999465942383,17.219999933242796,1.4664998120221333
2020-02-27,35.02774429321289,23.51887321472168,39.15999984741211,18.35849995613098,1.3085021240710326
2020-02-28,35.09949493408203,23.40468978881836,40.11000061035156,19.589499998092652,1.3308728665173293
2020-03-02,35.73722457885742,24.464950561523438,33.41999816894531,20.318499898910524,1.3472977496646341
2020-03-03,35.04368591308594,23.544626235961914,36.81999969482422,21.26099991798401,1.3089787016376335
2020-03-04,36.11191177368164,24.506160736083984,31.989999771118164,22.05799994468689,1.4080831092723374
2020-03-05,34.86034393310547,23.52659797668457,39.619998931884766,23.281499910354615,1.279047381256784
2020-03-06,33.37759780883789,23.132545471191406,41.939998626708984,24.630499839782715,1.0588049942461024
2020-03-09,27.645931243896484,21.267004013061523,54.459999084472656,26.57999978065491,0.2375306030358295
2020-03-10,29.463483810424805,22.570220947265625,47.29999923706055,28.192999744415282,0.4354078126010013
2020-03-11,27.494476318359375,21.116764068603516,53.900001525878906,30.12899980545044,0.22470229512429074
2020-03-12,23.381057739257812,18.782474517822266,75.47000122070312,33.21549987792969,-0.2771951515651318
2020-03-13,23.978939056396484,20.108013153076172,57.83000183105469,35.39949998855591,-0.2909386209506467
2020-03-16,20.184404373168945,16.103925704956055,82.69000244140625,38.850000095367434,-0.5912417017338433
2020-03-17,20.455442428588867,17.12812614440918,75.91000366210938,41.9040002822876,-0.6346804355023156
2020-03-18,17.23486328125,14.41180419921875,76.44999694824219,45.007500123977664,-0.9495194265473901
2020-03-19,19.164016723632812,16.693723678588867,72.0,47.829500102996825,-0.8184884507750633
2020-03-20,19.993078231811523,16.782779693603516,66.04000091552734,50.27750015258789,-0.6838029977056451
2020-03-23,21.388132095336914,16.891916275024414,61.59000015258789,52.10550012588501,-0.4535899484386044
2020-03-24,25.597204208374023,18.576128005981445,61.66999816894531,53.796500015258786,0.1218934133729344
2020-03-25,27.37489128112793,18.99434471130371,63.95000076293945,55.61600008010864,0.390711351778026
2020-03-26,27.84522247314453,21.23123550415039,61.0,56.708000087738036,0.2749324179237474
2020-03-27,25.222522735595703,20.1416015625,65.54000091552734,57.97950010299682,-0.08012207738888368
2020-03-30,26.657440185546875,20.964069366455078,57.08000183105469,59.16250028610229,0.09424000705715577
2020-03-31,27.81334114074707,20.701263427734375,53.540000915527344,59.99850034713745,0.316037831519157
2020-04-01,28.148160934448242,19.525190353393555,57.060001373291016,61.252000427246095,0.4769720171449728
2020-04-02,31.057828903198242,20.697771072387695,50.90999984741211,61.81650047302246,0.8740644521307962
2020-04-03,28.8895206451416,20.453304290771484,46.79999923706055,62.059500503540036,0.5228266632527707
2020-04-06,29.758438110351562,22.040603637695312,45.2400016784668,61.598500633239745,0.5326642996776824
2020-04-07,29.702634811401367,22.113073348999023,46.70000076293945,61.568500709533694,0.516701596274291
2020-04-08,30.348342895507812,22.796707153320312,43.349998474121094,61.041000556945804,0.5676043118084839
2020-04-09,30.22079849243164,22.2029972076416,41.66999816894531,59.35100040435791,0.5978681759879041
2020-04-13,29.790325164794922,22.693683624267578,41.16999816894531,58.51800022125244,0.48073840741106
2020-04-14,29.503345489501953,23.36684226989746,37.7599983215332,56.27150001525879,0.37223513272250586
2020-04-15,27.39083480834961,22.477153778076172,40.84000015258789,54.51799983978272,0.0873052529517533
2020-04-16,25.98781967163086,22.551366806030273,40.11000061035156,52.70100002288818,-0.160393163182402
2020-04-17,28.283672332763672,23.214048385620117,38.150001525878906,51.00850009918213,0.17600717983732322
2020-04-20,26.689321517944336,22.550491333007812,43.83000183105469,49.898000144958495,-0.03972972873557118
2020-04-21,26.250883102416992,21.62238311767578,45.40999984741211,49.089000129699706,-0.03351343651863091
2020-04-22,27.7894287109375,22.69804573059082,41.97999954223633,48.104500198364256,0.1364056855253397
2020-04-23,28.028575897216797,22.60724639892578,41.380001068115234,46.976000213623045,0.18549597659825073
2020-04-24,27.924945831298828,23.120628356933594,35.93000030517578,45.722500228881835,0.1225547886321019
2020-04-27,28.554710388183594,23.438438415527344,33.290000915527344,44.11000022888184,0.20287358052177526
2020-04-28,28.698204040527344,23.113649368286133,33.56999969482422,42.93450012207031,0.25608948185403946
2020-04-29,30.300518035888672,24.099374771118164,31.229999542236328,41.81900005340576,0.44487591917448177
2020-04-30,26.410314559936523,23.7152099609375,34.150001525878906,40.673500061035156,-0.1900717408990738
2020-05-01,24.943513870239258,22.674474716186523,37.189998626708984,39.9875,-0.3507282783781768
2020-05-04,26.107385635375977,22.89798927307129,35.970001220703125,39.44600009918213,-0.17030895659126793
2020-05-05,26.36248016357422,23.125864028930664,33.61000061035156,38.86450004577637,-0.1464895251008255
2020-05-06,25.557342529296875,23.06562042236328,34.119998931884766,38.235499954223634,-0.2795951973734449
2020-05-07,25.932010650634766,23.377321243286133,31.440000534057617,37.64000005722046,-0.24258985283087836
2020-05-08,27.032108306884766,24.012943267822266,27.979999542236328,36.95550012588501,-0.10935832040152432
2020-05-11,26.1153621673584,24.045244216918945,27.56999969482422,36.275500202178954,-0.26978410066462566
2020-05-12,25.676912307739258,23.438438415527344,33.040000915527344,36.03950033187866,-0.29181298072726813
2020-05-13,24.744224548339844,22.97569465637207,35.279998779296875,35.76150026321411,-0.4114635434325101
2020-05-14,24.301212310791016,23.276918411254883,32.61000061035156,35.38650026321411,-0.5140945262038402
2020-05-15,24.268997192382812,22.736467361450195,31.889999389648438,35.07350015640259,-0.47212536428304447
2020-05-18,26.43572235107422,23.881977081298828,29.299999237060547,34.34700002670288,-0.20036340785685086
2020-05-19,25.904109954833984,23.7440185546875,30.530000686645508,33.60300006866455,-0.2796194339497543
2020-05-20,26.943180084228516,24.331621170043945,27.989999771118164,32.90350008010864,-0.15265737234951002
2020-05-21,26.129650115966797,23.992855072021484,29.530000686645508,32.31100006103516,-0.2627229129952336
2020-05-22,25.968551635742188,24.154386520385742,28.15999984741211,31.92250003814697,-0.3046143316071831
2020-05-26,26.331016540527344,24.62323570251465,28.010000228881836,31.658500003814698,-0.2835203851190797
2020-05-27,26.564599990844727,25.10955810546875,27.6200008392334,31.361000061035156,-0.28611678577303695
2020-05-28,26.26657485961914,24.721025466918945,28.59000015258789,31.229000091552734,-0.3031936952165811
2020-05-29,25.734962463378906,25.43086051940918,27.510000228881836,30.89700002670288,-0.45697268432130905
2020-06-01,26.72570037841797,25.319101333618164,28.229999542236328,30.449000072479247,-0.2768433382205435
2020-06-02,27.386188507080078,26.023696899414062,26.84000015258789,29.992500019073486,-0.22524255460710443
2020-06-03,28.71523094177246,27.025144577026367,25.65999984741211,29.594999980926513,-0.08481286394470117
2020-06-04,28.650781631469727,26.969263076782227,25.809999465942383,29.179500007629393,-0.0909794356167862
2020-06-05,30.422832489013672,27.684335708618164,24.520000457763672,28.8335000038147,0.15077534714183927
2020-06-08,31.647159576416016,27.722755432128906,25.809999465942383,28.725,0.35785704555920544
2020-06-09,30.012041091918945,27.530670166015625,27.56999969482422,28.725,0.09366884194938696
2020-06-10,29.198509216308594,27.506221771240234,27.56999969482422,28.451499938964844,-0.0440262598482301
2020-06-11,26.73375129699707,25.64738655090332,40.790000915527344,28.727000045776368,-0.3043164138927477
2020-06-12,27.74864959716797,26.214906692504883,36.09000015258789,28.901000022888184,-0.17974413691271388
2020-06-15,27.805030822753906,26.550174713134766,34.400001525878906,29.026500129699706,-0.19952315329799133
2020-06-16,28.167495727539062,27.129043579101562,33.66999816894531,29.245000076293945,-0.1881001845470779
2020-06-17,27.539228439331055,27.36652183532715,33.470001220703125,29.392000102996825,-0.3169726917444459
2020-06-18,27.627836227416992,27.826658248901367,32.939998626708984,29.639500045776366,-0.34218825230182476
2020-06-19,27.33785629272461,26.707271575927734,35.119998931884766,29.91899995803833,-0.29363849789330493
2020-06-22,27.716434478759766,27.657289505004883,31.770000457763672,30.09949998855591,-0.3120705325682318
2020-06-23,28.07084846496582,27.459697723388672,31.3700008392334,30.267500019073488,-0.2337788594942225
2020-06-24,26.677370071411133,27.07775115966797,33.84000015258789,30.57849998474121,-0.43974047804068184
2020-06-25,27.297584533691406,27.243579864501953,32.220001220703125,30.760000038146973,-0.34770382148926765
2020-06-26,26.508220672607422,27.116559982299805,34.72999954223633,31.121000003814697,-0.47222823526300894
2020-06-29,26.935117721557617,27.325620651245117,31.780000686645508,31.298500061035156,-0.41722256352992876
2020-06-30,26.331016540527344,27.83988380432129,30.43000030517578,31.47800006866455,-0.5662709902451833
2020-07-01,26.395450592041016,27.585840225219727,28.6200008392334,31.626000118255615,-0.5328639297626222
2020-07-02,26.500167846679688,27.827529907226562,27.68000030517578,31.719500160217287,-0.5361083526285577
2020-07-06,26.943180084228516,28.120389938354492,27.940000534057617,31.890500164031984,-0.48569867124726734
2020-07-07,26.282682418823242,27.6202449798584,29.43000030517578,32.07150020599365,-0.5552727625688464
2020-07-08,26.379343032836914,28.18919563293457,28.079999923706055,32.097000217437746,-0.5886690782057621
2020-07-09,25.19529151916504,28.359439849853516,29.260000228881836,32.18150024414062,-0.807169532295466
2020-07-10,25.944385528564453,28.177724838256836,27.290000915527344,31.506500244140625,-0.6624289172976429
2020-07-13,26.105480194091797,27.46058464050293,32.189998626708984,31.31150016784668,-0.5716988953150034
2020-07-14,26.991504669189453,27.793134689331055,29.520000457763672,31.067500114440918,-0.448625318777447
2020-07-15,27.37007713317871,27.67845916748047,27.760000228881836,30.772000217437743,-0.37346938732065954
2020-07-16,26.967334747314453,27.463224411010742,28.0,30.49850015640259,-0.42378021444148123
2020-07-17,26.508220672607422,27.584074020385742,25.68000030517578,30.13550024032593,-0.5133237710474493
2020-07-20,26.105480194091797,27.973962783813477,24.459999084472656,29.602500247955323,-0.6168259891360665
2020-07-21,26.92706298828125,27.727859497070312,24.84000015258789,29.256000232696532,-0.45396485231231903
2020-07-22,26.379343032836914,27.680219650268555,24.31999969482422,28.903500175476076,-0.5439289442095565
2020-07-23,26.08936882019043,27.315916061401367,26.079999923706055,28.515500164031984,-0.5617517081121253
2020-07-24,26.00882339477539,26.973657608032227,25.84000015258789,28.19650011062622,-0.5455119847329158
2020-07-27,26.1377010345459,27.581430435180664,24.739999771118164,27.697000122070314,-0.5767828276551389
2020-07-28,25.855783462524414,27.111268997192383,25.440000534057617,27.380000114440918,-0.5839155313298997
2020-07-29,26.105480194091797,27.243579864501953,24.100000381469727,27.063500118255615,-0.5526236872762165
