Date,LRCX,TXN,VIX,AvgVIX,zscore
2020-01-30,28.930830001831055,104.39791107177734,15.489999771118164,13.696000051498412,-0.004282976496755757
2020-01-31,27.745500564575195,101.2345962524414,18.84000015258789,14.014500045776368,0.03842769043901398
2020-02-03,28.69729995727539,103.54204559326172,17.969999313354492,14.211999988555908,0.01874762760607267
2020-02-04,30.275257110595703,106.1180419921875,16.049999237060547,14.32199993133545,0.06461918330809586
2020-02-05,30.295730590820312,111.12731170654297,15.149999618530273,14.389999914169312,-0.24740073717864802
2020-02-06,30.10034942626953,111.1944580078125,14.960000038146973,14.465499925613404,-0.277338059581897
2020-02-07,29.344865798950195,107.98915100097656,15.470000267028809,14.611999940872192,-0.17540695552791077
2020-02-10,29.757030487060547,108.7862777709961,15.039999961853027,14.735999917984008,-0.17123286422762973
2020-02-11,30.300390243530273,109.66730499267578,15.180000305175781,14.878999948501587,-0.15506024683665315
2020-02-12,31.133100509643555,111.11053466796875,13.739999771118164,14.946499919891357,-0.13612055432059858
2020-02-13,31.780649185180664,111.4377670288086,14.149999618530273,15.032999897003174,-0.0714401621152188
2020-02-14,31.568525314331055,110.934326171875,13.680000305175781,15.100999927520752,-0.06773339129642776
2020-02-18,30.269681930541992,110.12040710449219,14.829999923706055,15.237499904632568,-0.18756932037993143
2020-02-19,31.061450958251953,111.70628356933594,14.380000114440918,15.313999891281128,-0.18298087608270044
2020-02-20,30.56275177001953,110.31340789794922,15.5600004196167,15.446499919891357,-0.16111700505200494
2020-02-21,29.475114822387695,107.83812713623047,17.079999923706055,15.651499938964843,-0.14877348654264905
2020-02-24,27.954843521118164,101.89747619628906,25.030000686645508,16.174999952316284,0.024337856455876515
2020-02-25,27.188196182250977,99.32988739013672,27.850000381469727,16.655999994277956,0.08473383199314109
2020-02-26,27.5957088470459,99.67391967773438,27.559999465942383,17.219999933242796,0.11676190394235579
2020-02-27,26.581565856933594,94.92472839355469,39.15999984741211,18.35849995613098,0.28164156401975476
2020-02-28,27.30077362060547,95.77222442626953,40.11000061035156,19.589499998092652,0.32306836101344794
2020-03-02,27.9427490234375,99.824951171875,33.41999816894531,20.318499898910524,0.1529553214494914
2020-03-03,27.117483139038086,95.49531555175781,36.81999969482422,21.26099991798401,0.31633836560652767
2020-03-04,28.492610931396484,99.89207458496094,31.989999771118164,22.05799994468689,0.2211185751605768
2020-03-05,27.831096649169922,96.25886535644531,39.619998931884766,23.281499910354615,0.36230281837142864
2020-03-06,27.391942977905273,94.9499282836914,41.939998626708984,24.630499839782715,0.3867313199245315
2020-03-09,24.897544860839844,88.13661193847656,54.459999084472656,26.57999978065491,0.48644121966729453
2020-03-10,26.75555419921875,94.0772705078125,47.29999923706055,28.192999744415282,0.35778712070115853
2020-03-11,25.73769187927246,89.3616714477539,53.900001525878906,30.12899980545044,0.5200667093343037
2020-03-12,22.12959861755371,81.83513641357422,75.47000122070312,33.21549987792969,0.5179857833962361
2020-03-13,24.356048583984375,88.9756851196289,57.83000183105469,35.39949998855591,0.36244599817793594
2020-03-16,19.867788314819336,78.45366668701172,82.69000244140625,38.850000095367434,0.43270115125548936
2020-03-17,21.334108352661133,89.06800842285156,75.91000366210938,41.9040002822876,-0.04114366866744599
2020-03-18,18.06281280517578,83.90766906738281,76.44999694824219,45.007500123977664,-0.14755046008319805
2020-03-19,18.143760681152344,85.22502136230469,72.0,47.829500102996825,-0.21965963171942748
2020-03-20,17.481313705444336,81.89388275146484,66.04000091552734,50.27750015258789,-0.09757620438098005
2020-03-23,17.94279670715332,82.59870910644531,61.59000015258789,52.10550012588501,-0.08111124594136253
2020-03-24,21.58751106262207,88.40513610839844,61.66999816894531,53.796500015258786,0.033858632020519745
2020-03-25,21.859880447387695,83.20285034179688,63.95000076293945,55.61600008010864,0.3965530805943555
2020-03-26,24.36737632751465,90.41890716552734,61.0,56.708000087738036,0.27326451077775243
2020-03-27,22.577777862548828,84.32719421386719,65.54000091552734,57.97950010299682,0.4204140086409776
2020-03-30,23.895647048950195,85.60259246826172,57.08000183105469,59.16250028610229,0.5137612497982768
2020-03-31,22.463590621948242,83.84893035888672,53.540000915527344,59.99850034713745,0.4354307619744571
2020-04-01,20.90330696105957,81.29814910888672,57.060001373291016,61.252000427246095,0.3903014545616986
2020-04-02,20.64497184753418,85.60259246826172,50.90999984741211,61.81650047302246,0.08586269245300757
2020-04-03,20.418468475341797,83.89087677001953,46.79999923706055,62.059500503540036,0.16358832403871065
2020-04-06,23.469772338867188,91.42578125,45.2400016784668,61.598500633239745,0.0918511521012447
2020-04-07,23.981754302978516,89.16026306152344,46.70000076293945,61.568500709533694,0.30157985199816223
2020-04-08,24.967344284057617,92.44107818603516,43.349998474121094,61.041000556945804,0.22519459819615184
2020-04-09,24.174562454223633,90.36016082763672,41.66999816894531,59.35100040435791,0.2515745253844698
2020-04-13,24.22136878967285,90.34339141845703,41.16999816894531,58.51800022125244,0.2587893821193724
2020-04-14,25.506467819213867,93.09556579589844,37.7599983215332,56.27150001525879,0.2550422785286607
2020-04-15,24.598567962646484,90.60350799560547,40.84000015258789,54.51799983978272,0.2920993065666925
2020-04-16,25.337993621826172,93.4647445678711,40.11000061035156,52.70100002288818,0.20967117574251484
2020-04-17,26.115795135498047,95.27716064453125,38.150001525878906,51.00850009918213,0.1981883312027957
2020-04-20,24.965473175048828,93.58221435546875,43.83000183105469,49.898000144958495,0.1532546969698988
2020-04-21,22.80335235595703,89.64695739746094,45.40999984741211,49.089000129699706,0.11588508277057127
2020-04-22,25.438146591186523,93.95980072021484,41.97999954223633,48.104500198364256,0.19175203730130222
2020-04-23,24.706201553344727,92.68441009521484,41.380001068115234,46.976000213623045,0.17553170800306758
2020-04-24,24.959854125976562,95.59600067138672,35.93000030517578,45.722500228881835,0.025995879354235894
2020-04-27,24.74832534790039,97.1482925415039,33.290000915527344,44.11000022888184,-0.09937352318120798
2020-04-28,24.50871467590332,95.85610961914062,33.56999969482422,42.93450012207031,-0.04973103368389568
2020-04-29,26.206584930419922,100.18577575683594,31.229999542236328,41.81900005340576,-0.0982518121853734
2020-04-30,23.893775939941406,97.39164733886719,34.150001525878906,40.673500061035156,-0.22715019583494736
2020-05-01,21.997468948364258,92.77447509765625,37.189998626708984,39.9875,-0.1866873842176255
2020-05-04,21.950668334960938,93.44252014160156,35.970001220703125,39.44600009918213,-0.23481886130677182
2020-05-05,22.726600646972656,94.32199096679688,33.61000061035156,38.86450004577637,-0.18793406400332846
