Date,KRE,GILD,VIX,AvgVIX,zscore
2020-01-30,46.26757049560547,50.49644088745117,15.489999771118164,13.696000051498412,-0.4493241939716426
2020-01-31,45.33887481689453,49.841880798339844,18.84000015258789,14.014500045776368,-0.5464183920533537
2020-02-03,45.94127655029297,52.33396530151367,17.969999313354492,14.211999988555908,-0.4396818089396281
2020-02-04,46.58549880981445,53.15415954589844,16.049999237060547,14.32199993133545,-0.3645802157671491
2020-02-05,47.63134002685547,51.947547912597656,15.149999618530273,14.389999914169312,-0.2963753488950709
2020-02-06,47.1377067565918,53.7929573059082,14.960000038146973,14.465499925613404,-0.3015651189017756
2020-02-07,46.67753219604492,54.313453674316406,15.470000267028809,14.611999940872192,-0.3317960297836807
2020-02-10,46.63570785522461,54.40808868408203,15.039999961853027,14.735999917984008,-0.3335420156190176
2020-02-11,46.99546432495117,53.43805694580078,15.180000305175781,14.878999948501587,-0.3218256761273595
2020-02-12,47.120975494384766,52.79926681518555,13.739999771118164,14.946499919891357,-0.32409499854629914
2020-02-13,47.34687042236328,52.68098068237305,14.149999618530273,15.032999897003174,-0.3063508646474177
2020-02-14,47.03730010986328,53.280338287353516,13.680000305175781,15.100999927520752,-0.3214137510232098
2020-02-18,46.401432037353516,52.84658432006836,14.829999923706055,15.237499904632568,-0.3875880131478281
2020-02-19,46.78630447387695,53.11473083496094,14.380000114440918,15.313999891281128,-0.34741597495806625
2020-02-20,47.20463943481445,52.83869934082031,15.5600004196167,15.446499919891357,-0.3157614559814653
2020-02-21,46.56040954589844,54.968013763427734,17.079999923706055,15.651499938964843,-0.32844107253552374
2020-02-24,45.121337890625,57.491668701171875,25.030000686645508,16.174999952316284,-0.40401856651312024
2020-02-25,43.381072998046875,55.283470153808594,27.850000381469727,16.655999994277956,-0.6067365014553392
2020-02-26,42.66154098510742,58.91119384765625,27.559999465942383,17.219999933242796,-0.5944536731730289
2020-02-27,40.938018798828125,57.30239486694336,39.15999984741211,18.35849995613098,-0.7829853767731676
2020-02-28,39.74994659423828,54.69989013671875,40.11000061035156,19.589499998092652,-0.9445539348453826
2020-03-02,41.54042434692383,59.4632453918457,33.41999816894531,20.318499898910524,-0.6832586044431652
2020-03-03,39.81688690185547,58.5247688293457,36.81999969482422,21.26099991798401,-0.8576051404634452
2020-03-04,40.528053283691406,59.944339752197266,31.989999771118164,22.05799994468689,-0.7638181253131091
2020-03-05,38.40291976928711,60.038936614990234,39.619998931884766,23.281499910354615,-0.9522969874887285
2020-03-06,36.72121810913086,63.26448440551758,41.939998626708984,24.630499839782715,-1.0347673150080974
2020-03-09,31.031904220581055,57.98060989379883,54.459999084472656,26.57999978065491,-1.6565409512118585
2020-03-10,33.223968505859375,57.050018310546875,47.29999923706055,28.192999744415282,-1.4797557034767135
2020-03-11,30.914772033691406,58.12257766723633,53.900001525878906,30.12899980545044,-1.6640352237618776
2020-03-12,28.32110595703125,54.58842849731445,75.47000122070312,33.21549987792969,-1.9713076686584146
2020-03-13,31.492069244384766,56.315696716308594,57.83000183105469,35.39949998855591,-1.650531044981162
2020-03-16,27.19161033630371,54.843143463134766,82.69000244140625,38.850000095367434,-2.0671563851647705
2020-03-17,29.24980926513672,59.3165397644043,75.91000366210938,41.9040002822876,-1.7880011729526955
2020-03-18,26.21271514892578,63.21685791015625,76.44999694824219,45.007500123977664,-1.977677953100851
2020-03-19,27.60994529724121,62.524356842041016,72.0,47.829500102996825,-1.867096734695297
2020-03-20,25.7860164642334,58.313602447509766,66.04000091552734,50.27750015258789,-2.1196952610080677
2020-03-23,23.795574188232422,57.796226501464844,61.59000015258789,52.10550012588501,-2.3090530586286713
2020-03-24,26.553258895874023,58.87078857421875,61.66999816894531,53.796500015258786,-2.039133308284549
2020-03-25,26.840871810913086,55.44807052612305,63.95000076293945,55.61600008010864,-2.085791407996054
2020-03-26,29.141754150390625,58.791194915771484,61.0,56.708000087738036,-1.8088046821387391
2020-03-27,28.194337844848633,57.98725891113281,65.54000091552734,57.97950010299682,-1.910738209892761
2020-03-30,28.15203857421875,60.43889236450195,57.08000183105469,59.16250028610229,-1.8626438419013915
2020-03-31,27.5683536529541,59.50758361816406,53.540000915527344,59.99850034713745,-1.9346709255904861
2020-04-01,25.783475875854492,57.71662139892578,57.060001373291016,61.252000427246095,-2.1325573370646684
2020-04-02,26.26564598083496,61.274654388427734,50.90999984741211,61.81650047302246,-2.014037941297368
2020-04-03,24.971393585205078,62.25370407104492,46.79999923706055,62.059500503540036,-2.1093245703386834
2020-04-06,27.052345275878906,61.87165451049805,45.2400016784668,61.598500633239745,-1.9308894091811317
2020-04-07,27.82213020324707,59.435943603515625,46.70000076293945,61.568500709533694,-1.9134404873332853
2020-04-08,29.302480697631836,59.69065475463867,43.349998474121094,61.041000556945804,-1.7753624286625909
2020-04-09,31.620283126831055,58.512611389160156,41.66999816894531,59.35100040435791,-1.592543972576758
2020-04-13,29.835405349731445,59.92148971557617,41.16999816894531,58.51800022125244,-1.7227097625991084
2020-04-14,29.353235244750977,61.8875617980957,37.7599983215332,56.27150001525879,-1.724318386374795
2020-04-15,27.373790740966797,59.404090881347656,40.84000015258789,54.51799983978272,-1.954300366961062
2020-04-16,26.367156982421875,60.92443084716797,40.11000061035156,52.70100002288818,-2.012351306338204
2020-04-17,28.752635955810547,66.85449981689453,38.150001525878906,51.00850009918213,-1.6730325331902094
2020-04-20,28.684965133666992,64.68145751953125,43.83000183105469,49.898000144958495,-1.725087754867251
2020-04-21,27.88981056213379,62.50843048095703,45.40999984741211,49.089000129699706,-1.8423487917183283
2020-04-22,27.77137565612793,64.72126770019531,41.97999954223633,48.104500198364256,-1.8061324694396896
2020-04-23,28.28738021850586,61.91143798828125,41.380001068115234,46.976000213623045,-1.819348255444753
2020-04-24,29.074079513549805,63.39197540283203,35.93000030517578,45.722500228881835,-1.7175007620306149
2020-04-27,31.002769470214844,63.59894943237305,33.290000915527344,44.11000022888184,-1.5402472431908965
2020-04-28,31.789474487304688,62.619873046875,33.56999969482422,42.93450012207031,-1.4904538854617209
2020-04-29,33.60818099975586,66.17790222167969,31.229999542236328,41.81900005340576,-1.2521375610182632
2020-04-30,32.254722595214844,66.86244201660156,34.150001525878906,40.673500061035156,-1.358963901937683
2020-05-01,30.732078552246094,63.63871765136719,37.189998626708984,39.9875,-1.5636682840445983
2020-05-04,30.42754554748535,63.87751388549805,35.970001220703125,39.44600009918213,-1.5859104945474403
2020-05-05,29.8438663482666,62.99397277832031,33.61000061035156,38.86450004577637,-1.6569261230405306
2020-05-06,29.05716323852539,61.66469955444336,34.119998931884766,38.235499954223634,-1.7555726410440755
2020-05-07,29.44628143310547,61.77610778808594,31.440000534057617,37.64000005722046,-1.7183372148405807
2020-05-08,30.90972137451172,61.68062210083008,27.979999542236328,36.95550012588501,-1.5891863680811487
2020-05-11,29.590087890625,64.31529998779297,27.56999969482422,36.275500202178954,-1.6517086664102394
2020-05-12,28.075895309448242,62.0467529296875,33.040000915527344,36.03950033187866,-1.835440390867347
2020-05-13,26.561717987060547,61.338348388671875,35.279998779296875,35.76150026321411,-1.9861522833457077
