Date,KRE,UPS,VIX,AvgVIX,zscore
2022-01-31,63.50882339477539,165.7238311767578,24.829999923706055,23.18100004196167,1.1152119182919156
2022-02-01,64.46678924560547,189.06492614746094,21.959999084472656,23.448999977111818,0.11303391038426909
2022-02-02,64.29824829101562,190.22872924804688,22.09000015258789,23.707999992370606,0.03463976760754939
2022-02-03,63.925724029541016,187.4258270263672,24.350000381469727,23.939000034332274,0.12114918672686108
2022-02-04,65.14977264404297,184.22952270507812,23.219999313354492,24.119499969482423,0.4364780203107006
2022-02-07,65.4602279663086,184.45079040527344,22.860000610351562,24.324499988555907,0.46658134425156506
2022-02-08,67.08342742919922,184.56553649902344,21.440000534057617,24.426500034332275,0.6743411948415641
2022-02-09,66.5157470703125,184.45901489257812,19.959999084472656,24.503999996185303,0.6048901682312975
2022-02-10,66.35606384277344,180.8611297607422,23.90999984741211,24.818499946594237,0.7577903097541978
2022-02-11,65.80615997314453,174.96847534179688,27.360000610351562,25.171000003814697,0.9703165399509991
2022-02-14,65.29168701171875,175.37823486328125,28.329999923706055,25.62799997329712,0.8829058863585363
2022-02-15,67.03907775878906,178.0582275390625,25.700000762939453,25.773499965667725,0.9830085451430413
2022-02-16,67.16324615478516,176.46006774902344,24.290000915527344,25.795499992370605,1.0765639337636022
2022-02-17,65.11429595947266,172.6901092529297,28.110000610351562,25.92150001525879,0.989510758286141
2022-02-18,65.22960662841797,172.8303985595703,27.75,25.866499996185304,0.9978836726312145
2022-02-22,64.90139770507812,172.5084686279297,28.809999465942383,25.811999988555907,0.9703122999325099
2022-02-23,63.75718688964844,168.80189514160156,31.020000457763672,25.805000019073486,0.9990880234785382
2022-02-24,62.612953186035156,171.03904724121094,30.31999969482422,25.723000049591064,0.7406031110655203
2022-02-25,65.49568939208984,173.3174591064453,27.59000015258789,25.57800006866455,1.009310325063474
2022-02-28,65.885986328125,173.70547485351562,30.149999618530273,25.70250005722046,1.0418468173057143
2022-03-01,62.28478240966797,169.7099609375,33.31999969482422,26.127000045776366,0.7617121732012334
2022-03-02,65.06106567382812,174.56396484375,30.739999771118164,26.566000080108644,0.8919531272405609
2022-03-03,64.6530532836914,175.36473083496094,30.479999542236328,26.985500049591064,0.7996353425150963
2022-03-04,62.116241455078125,173.68067932128906,31.979999542236328,27.367000007629393,0.5476610564972658
2022-03-07,59.43751907348633,166.07769775390625,36.45000076293945,28.028500080108643,0.56309750263342
2022-03-08,59.916507720947266,167.91859436035156,35.130001068115234,28.642000102996825,0.5370719291994922
2022-03-09,62.045291900634766,170.7006072998047,32.45000076293945,29.192500114440918,0.682363101445651
2022-03-10,62.08965301513672,171.03077697753906,30.229999542236328,29.706000137329102,0.6722356639144129
2022-03-11,62.10737228393555,168.32308959960938,30.75,30.048000144958497,0.8054254953268615
2022-03-14,62.43556594848633,168.65330505371094,31.770000457763672,30.268500137329102,0.8325944272249989
2022-03-15,62.62183380126953,173.79629516601562,29.829999923706055,30.3435001373291,0.6085135448259456
2022-03-16,64.5909652709961,179.8803253173828,26.670000076293945,30.392000102996825,0.5732396409985396
2022-03-17,63.8902473449707,183.5291290283203,25.670000076293945,30.461000061035158,0.3048128677540295
2022-03-18,63.76605987548828,181.43228149414062,23.8700008392334,30.249000072479248,0.3898330420763545
2022-03-21,63.42203903198242,180.4251708984375,23.530000686645508,30.038000106811523,0.393298295181207
2022-03-22,64.48262023925781,180.3096160888672,22.940000534057617,29.744500160217285,0.5382545314235538
2022-03-23,62.19210433959961,177.13961791992188,23.56999969482422,29.37200012207031,0.3904612649535232
2022-03-24,62.798152923583984,177.2056884765625,21.670000076293945,28.9395001411438,0.4669092611537723
2022-03-25,63.98351287841797,177.77528381347656,20.809999465942383,28.600500106811523,0.5951497334779948
2022-03-28,63.3507194519043,181.242431640625,19.6299991607666,28.07450008392334,0.34442830224801213
2022-03-29,64.54501342773438,183.636474609375,18.899999618530273,27.353500080108642,0.385668051922731
2022-03-30,62.55751037597656,181.77899169921875,19.329999923706055,26.78300008773804,0.21426057823309116
2022-03-31,61.40778732299805,177.04058837890625,20.559999465942383,26.28700008392334,0.2921798152204835
2022-04-01,60.81956481933594,170.58499145507812,19.6299991607666,25.669500064849853,0.5268773361863058
2022-04-04,60.49870681762695,169.40451049804688,18.56999969482422,24.77550001144409,0.5417653431455243
2022-04-05,59.65199661254883,162.80039978027344,21.030000686645508,24.070499992370607,0.749672467922705
2022-04-06,58.760746002197266,160.472412109375,22.100000381469727,23.55299997329712,0.7450633798680809
2022-04-07,58.01207733154297,159.07728576660156,21.549999237060547,23.11899995803833,0.7141062827284095
2022-04-08,57.9229621887207,157.64915466308594,21.15999984741211,22.639499950408936,0.7714165603143888
2022-04-11,58.12794494628906,157.54180908203125,24.3700008392334,22.26949996948242,0.8035414146461536
2022-04-12,57.593196868896484,155.1065673828125,24.260000228881836,21.99099998474121,0.8509640480464907
