Date,QCOM,ASML,VIX,AvgVIX,zscore
2020-01-30,76.35943603515625,277.9231872558594,15.489999771118164,13.696000051498412,-0.4633201657935354
2020-01-31,74.21076965332031,264.97021484375,18.84000015258789,14.014500045776368,-0.4982664691094548
2020-02-03,75.22856903076172,272.05096435546875,17.969999313354492,14.211999988555908,-0.48828510618668447
2020-02-04,77.35980987548828,282.5020751953125,16.049999237060547,14.32199993133545,-0.43695403014673534
2020-02-05,79.08219146728516,289.1957092285156,15.149999618530273,14.389999914169312,-0.38328274932750267
2020-02-06,78.82124328613281,292.24505615234375,14.960000038146973,14.465499925613404,-0.4196727434565287
2020-02-07,76.04627990722656,287.9212341308594,15.470000267028809,14.611999940872192,-0.5510714124872224
2020-02-10,77.07275390625,292.36785888671875,15.039999961853027,14.735999917984008,-0.5222667777510525
2020-02-11,78.29060363769531,298.3440246582031,15.180000305175781,14.878999948501587,-0.4929633907359618
2020-02-12,79.78681945800781,299.6940612792969,13.739999771118164,14.946499919891357,-0.4152910757894103
2020-02-13,78.3166732788086,299.51470947265625,14.149999618530273,15.032999897003174,-0.4995877707519503
2020-02-14,77.94261932373047,298.6177978515625,13.680000305175781,15.100999927520752,-0.5151155917236584
2020-02-18,76.5769271850586,291.89581298828125,14.829999923706055,15.237499904632568,-0.5478348852854741
2020-02-19,78.77774047851562,299.64691162109375,14.380000114440918,15.313999891281128,-0.47367885035624685
2020-02-20,77.82955932617188,295.94598388671875,15.5600004196167,15.446499919891357,-0.5031136367420916
2020-02-21,75.70701599121094,288.8936462402344,17.079999923706055,15.651499938964843,-0.5775747474192369
2020-02-24,72.47970581054688,274.16571044921875,25.030000686645508,16.174999952316284,-0.6629408692727884
2020-02-25,69.78301239013672,268.68048095703125,27.850000381469727,16.655999994277956,-0.7817084272696129
2020-02-26,69.2958755493164,270.31378173828125,27.559999465942383,17.219999933242796,-0.8214121253557308
2020-02-27,66.05985260009766,261.7319641113281,39.15999984741211,18.35849995613098,-0.9500272270805521
2020-02-28,68.1128158569336,261.24102783203125,40.11000061035156,19.589499998092652,-0.8271565393131675
2020-03-02,70.07879638671875,271.4183654785156,33.41999816894531,20.318499898910524,-0.7835376255126454
2020-03-03,68.33898162841797,268.40667724609375,36.81999969482422,21.26099991798401,-0.86382868660462
2020-03-04,71.7235107421875,284.7490539550781,31.989999771118164,22.05799994468689,-0.7805417275109373
2020-03-05,69.41747283935547,272.13592529296875,39.619998931884766,23.281499910354615,-0.8270084467793006
2020-03-06,67.9268798828125,272.00372314453125,41.939998626708984,24.630499839782715,-0.912822779569381
2020-03-09,63.69186782836914,249.1565399169922,54.459999084472656,26.57999978065491,-1.0003606812384283
2020-03-10,69.17198181152344,264.1205749511719,47.29999923706055,28.192999744415282,-0.7855517025789455
2020-03-11,65.427978515625,249.37374877929688,53.900001525878906,30.12899980545044,-0.9008514765128862
2020-03-12,58.76416015625,227.2913055419922,75.47000122070312,33.21549987792969,-1.1350335060762016
2020-03-13,66.47136688232422,242.58566284179688,57.83000183105469,35.39949998855591,-0.7929329859935277
2020-03-16,56.53705978393555,216.53802490234375,82.69000244140625,38.850000095367434,-1.1898410151836587
2020-03-17,60.37751388549805,225.01602172851562,75.91000366210938,41.9040002822876,-1.0253336428541782
2020-03-18,53.6523323059082,185.9776153564453,76.44999694824219,45.007500123977664,-1.145169225835673
