Date,ASML,AMD,VIX,AvgVIX,zscore
2020-01-30,277.9231872558594,48.779998779296875,15.489999771118164,13.696000051498412,-0.20995911894963612
2020-01-31,264.97021484375,47.0,18.84000015258789,14.014500045776368,-0.23503528753533653
2020-02-03,272.05096435546875,48.02000045776367,17.969999313354492,14.211999988555908,-0.22393016512005012
2020-02-04,282.5020751953125,49.45000076293945,16.049999237060547,14.32199993133545,-0.20335425495220785
2020-02-05,289.1957092285156,49.84000015258789,15.149999618530273,14.389999914169312,-0.1610311063234768
2020-02-06,292.24505615234375,49.31999969482422,14.960000038146973,14.465499925613404,-0.10308441620337074
2020-02-07,287.9212341308594,49.72999954223633,15.470000267028809,14.611999940872192,-0.16710846756387715
2020-02-10,292.36785888671875,52.2599983215332,15.039999961853027,14.735999917984008,-0.26485123396938237
2020-02-11,298.3440246582031,53.79999923706055,15.180000305175781,14.878999948501587,-0.2931164238057842
2020-02-12,299.6940612792969,53.88999938964844,13.739999771118164,14.946499919891357,-0.28520883879392
2020-02-13,299.51470947265625,54.529998779296875,14.149999618530273,15.032999897003174,-0.3223918848397419
2020-02-14,298.6177978515625,55.310001373291016,13.680000305175781,15.100999927520752,-0.37418828292440004
2020-02-18,291.89581298828125,56.88999938964844,14.829999923706055,15.237499904632568,-0.5259629160108177
2020-02-19,299.64691162109375,58.900001525878906,14.380000114440918,15.313999891281128,-0.5633222310651524
2020-02-20,295.94598388671875,57.27000045776367,15.5600004196167,15.446499919891357,-0.5083360028196736
2020-02-21,288.8936462402344,53.279998779296875,17.079999923706055,15.651499938964843,-0.35456710975671574
2020-02-24,274.16571044921875,49.119998931884766,25.030000686645508,16.174999952316284,-0.26469393618747716
2020-02-25,268.68048095703125,47.56999969482422,27.850000381469727,16.655999994277956,-0.23118519868428725
2020-02-26,270.31378173828125,47.4900016784668,27.559999465942383,17.219999933242796,-0.21115028068251318
2020-02-27,261.7319641113281,44.0099983215332,39.15999984741211,18.35849995613098,-0.10025597298501812
2020-02-28,261.24102783203125,45.47999954223633,40.11000061035156,19.589499998092652,-0.18641541675841447
2020-03-02,271.4183654785156,47.459999084472656,33.41999816894531,20.318499898910524,-0.19893650096906665
2020-03-03,268.40667724609375,46.75,36.81999969482422,21.26099991798401,-0.18835476462751574
2020-03-04,284.7490539550781,50.11000061035156,31.989999771118164,22.05799994468689,-0.2184694516061287
2020-03-05,272.13592529296875,48.11000061035156,39.619998931884766,23.281499910354615,-0.22810658299801642
2020-03-06,272.00372314453125,48.59000015258789,41.939998626708984,24.630499839782715,-0.2559717861115572
2020-03-09,249.1565399169922,43.27000045776367,54.459999084472656,26.57999978065491,-0.17936445780598126
2020-03-10,264.1205749511719,45.380001068115234,47.29999923706055,28.192999744415282,-0.15336789367440304
2020-03-11,249.37374877929688,45.70000076293945,53.900001525878906,30.12899980545044,-0.3119645156007715
2020-03-12,227.2913055419922,39.0099983215332,75.47000122070312,33.21549987792969,-0.15212445957625112
2020-03-13,242.58566284179688,43.900001525878906,57.83000183105469,35.39949998855591,-0.2770452286732593
2020-03-16,216.53802490234375,38.709999084472656,82.69000244140625,38.850000095367434,-0.23821331721213754
2020-03-17,225.01602172851562,41.880001068115234,75.91000366210938,41.9040002822876,-0.3329185067406156
2020-03-18,185.9776153564453,39.119998931884766,76.44999694824219,45.007500123977664,-0.5528492517792571
2020-03-19,202.06500244140625,39.81999969482422,72.0,47.829500102996825,-0.43797778875089693
2020-03-20,204.01931762695312,39.61000061035156,66.04000091552734,50.27750015258789,-0.4076716562151636
2020-03-23,220.11611938476562,41.63999938964844,61.59000015258789,52.10550012588501,-0.3664210639672541
2020-03-24,245.6634063720703,46.220001220703125,61.66999816894531,53.796500015258786,-0.3762250345574741
2020-03-25,247.41943359375,44.630001068115234,63.95000076293945,55.61600008010864,-0.27133089294762286
2020-03-26,260.476318359375,47.5,61.0,56.708000087738036,-0.3056718549103056
2020-03-27,238.49771118164062,46.58000183105469,65.54000091552734,57.97950010299682,-0.46462361379186146
2020-03-30,253.04627990722656,47.86000061035156,57.08000183105469,59.16250028610229,-0.3965954409723023
2020-03-31,247.01348876953125,45.47999954223633,53.540000915527344,59.99850034713745,-0.3223168694351726
2020-04-01,235.0895233154297,43.65999984741211,57.060001373291016,61.252000427246095,-0.33534704338646243
2020-04-02,233.45626831054688,44.4900016784668,50.90999984741211,61.81650047302246,-0.3969480379962261
2020-04-03,230.93548583984375,42.59000015258789,46.79999923706055,62.059500503540036,-0.31572516797846445
2020-04-06,255.97288513183594,47.52000045776367,45.2400016784668,61.598500633239745,-0.34979710905984696
2020-04-07,257.35137939453125,47.560001373291016,46.70000076293945,61.568500709533694,-0.33884665210995046
2020-04-08,263.00640869140625,48.790000915527344,43.349998474121094,61.041000556945804,-0.3529985230868944
2020-04-09,261.3353576660156,48.380001068115234,41.66999816894531,59.35100040435791,-0.34623749888126815
2020-04-13,258.7768859863281,50.939998626708984,41.16999816894531,58.51800022125244,-0.5125555306628012
2020-04-14,272.7778625488281,54.93000030517578,37.7599983215332,56.27150001525879,-0.5999510250188964
2020-04-15,266.6978759765625,54.9900016784668,40.84000015258789,54.51799983978272,-0.6613524368715356
2020-04-16,276.0538024902344,56.95000076293945,40.11000061035156,52.70100002288818,-0.680611180094964
2020-04-17,279.1222229003906,56.599998474121094,38.150001525878906,51.00850009918213,-0.6319038937750744
2020-04-20,275.27978515625,56.970001220703125,43.83000183105469,49.898000144958495,-0.6891130537467671
2020-04-21,265.3760986328125,52.91999816894531,45.40999984741211,49.089000129699706,-0.5592548647607238
2020-04-22,278.4801940917969,55.91999816894531,41.97999954223633,48.104500198364256,-0.6003497551361546
2020-04-23,273.2215270996094,55.900001525878906,41.380001068115234,46.976000213623045,-0.6494722933950313
2020-04-24,276.92034912109375,56.18000030517578,35.93000030517578,45.722500228881835,-0.6296591641556261
2020-04-27,276.0284118652344,56.4900016784668,33.290000915527344,44.11000022888184,-0.6553597632503032
2020-04-28,276.5218200683594,55.5099983215332,33.56999969482422,42.93450012207031,-0.59633324019882
2020-04-29,288.1834716796875,53.65999984741211,31.229999542236328,41.81900005340576,-0.3824110162398146
2020-04-30,273.6846923828125,52.38999938964844,34.150001525878906,40.673500061035156,-0.45051772478030694
2020-05-01,264.7937316894531,49.880001068115234,37.189998626708984,39.9875,-0.39633571521175126
2020-05-04,268.7030029296875,52.560001373291016,35.970001220703125,39.44600009918213,-0.5075246274377759
2020-05-05,273.6087951660156,52.189998626708984,33.61000061035156,38.86450004577637,-0.4401583053902099
2020-05-06,276.9771728515625,52.15999984741211,34.119998931884766,38.235499954223634,-0.4063209773996068
2020-05-07,284.2741394042969,51.95000076293945,31.440000534057617,37.64000005722046,-0.32498183917281964
2020-05-08,288.8382568359375,53.189998626708984,27.979999542236328,36.95550012588501,-0.35010822459452434
2020-05-11,288.8287658691406,55.7400016784668,27.56999969482422,36.275500202178954,-0.49152447976156816
2020-05-12,281.4654541015625,53.7599983215332,33.040000915527344,36.03950033187866,-0.4521236090271134
2020-05-13,279.18817138671875,52.18000030517578,35.279998779296875,35.76150026321411,-0.3863099795634218
2020-05-14,287.0827941894531,54.5099983215332,32.61000061035156,35.38650026321411,-0.4400330791312579
2020-05-15,277.5845642089844,54.20000076293945,31.889999389648438,35.07350015640259,-0.5135795685677894
2020-05-18,289.3031921386719,54.59000015258789,29.299999237060547,34.34700002670288,-0.4232576783981532
2020-05-19,290.5935974121094,55.470001220703125,30.530000686645508,33.60300006866455,-0.4597029146678623
2020-05-20,308.992431640625,56.38999938964844,27.989999771118164,32.90350008010864,-0.33494514688446286
2020-05-21,302.6823425292969,54.650001525878906,29.530000686645508,32.31100006103516,-0.29878541459432517
2020-05-22,303.0334777832031,55.16999816894531,28.15999984741211,31.92250003814697,-0.32425048764269837
2020-05-26,303.5078125,53.189998626708984,28.010000228881836,31.658500003814698,-0.20998462935356701
2020-05-27,302.24591064453125,52.7400016784668,27.6200008392334,31.361000061035156,-0.19709870350294564
2020-05-28,303.6123046875,51.7400016784668,28.59000015258789,31.229000091552734,-0.1286251710519562
2020-05-29,312.6646728515625,53.79999923706055,27.510000228881836,30.89700002670288,-0.15632559271399077
2020-06-01,310.0267639160156,53.630001068115234,28.229999542236328,30.449000072479247,-0.17210130504220544
2020-06-02,317.6175842285156,53.540000915527344,26.84000015258789,29.992500019073486,-0.09460582490606585
2020-06-03,328.59619140625,52.72999954223633,25.65999984741211,29.594999980926513,0.055153513262378745
2020-06-04,335.0579833984375,52.630001068115234,25.809999465942383,29.179500007629393,0.12241863926087448
2020-06-05,338.9578552246094,53.099998474121094,24.520000457763672,28.8335000038147,0.13362214238532957
2020-06-08,331.3953857421875,52.970001220703125,25.809999465942383,28.725,0.0685901076645755
2020-06-09,331.47125244140625,56.38999938964844,27.56999969482422,28.725,-0.12022745130360075
2020-06-10,330.1334228515625,57.439998626708984,27.56999969482422,28.451499938964844,-0.19119918064559036
2020-06-11,315.8717041015625,52.83000183105469,40.790000915527344,28.727000045776368,-0.07193308958095647
2020-06-12,325.5313415527344,53.5,36.09000015258789,28.901000022888184,-0.01679669499051375
2020-06-15,332.11651611328125,54.68000030517578,34.400001525878906,29.026500129699706,-0.019292773891818157
2020-06-16,334.0522155761719,54.459999084472656,33.66999816894531,29.245000076293945,0.011389877021248017
2020-06-17,343.88262939453125,54.54999923706055,33.470001220703125,29.392000102996825,0.1003020247542172
2020-06-18,340.53302001953125,54.040000915527344,32.939998626708984,29.639500045776366,0.09657154874995907
