Date,KDP,XOM,VIX,AvgVIX,zscore
2020-01-30,24.535133361816406,48.71258544921875,15.489999771118164,13.696000051498412,-1.364191075228268
2020-01-31,24.423845291137695,46.70513916015625,18.84000015258789,14.014500045776368,-1.343270112652018
2020-02-03,24.5522518157959,45.66006088256836,17.969999313354492,14.211999988555908,-1.2662463243163269
2020-02-04,24.54369354248047,45.088653564453125,16.049999237060547,14.32199993133545,-1.2520864068903688
2020-02-05,24.560813903808594,47.16375732421875,15.149999618530273,14.389999914169312,-1.3084632792075215
2020-02-06,24.449522018432617,46.524688720703125,14.960000038146973,14.465499925613404,-1.3287266849831958
2020-02-07,24.458087921142578,46.216434478759766,15.470000267028809,14.611999940872192,-1.3164093949362303
2020-02-10,24.57793426513672,45.72834014892578,15.039999961853027,14.735999917984008,-1.2591866932601083
2020-02-11,24.54369354248047,46.16304016113281,15.180000305175781,14.878999948501587,-1.2844213969252343
2020-02-12,24.51801109313965,46.72740173339844,13.739999771118164,14.946499919891357,-1.3105211344717462
2020-02-13,24.46664810180664,46.46811294555664,14.149999618530273,15.032999897003174,-1.320946001242005
2020-02-14,24.71491050720215,46.25456237792969,13.680000305175781,15.100999927520752,-1.2264117799131609
2020-02-18,24.71491050720215,45.667320251464844,14.829999923706055,15.237499904632568,-1.208738003670999
2020-02-19,24.69778823852539,46.01813888549805,14.380000114440918,15.313999891281128,-1.225372935422541
2020-02-20,25.083023071289062,45.652069091796875,15.5600004196167,15.446499919891357,-1.0776375931506297
2020-02-21,25.254234313964844,45.0953369140625,17.079999923706055,15.651499938964843,-1.000119991148704
2020-02-24,24.9460506439209,42.98280334472656,25.030000686645508,16.174999952316284,-1.045913614256134
2020-02-25,24.757713317871094,41.33549499511719,27.850000381469727,16.655999994277956,-1.063175863585935
2020-02-26,24.595060348510742,40.42792892456055,27.559999465942383,17.219999933242796,-1.0935863126621492
2020-02-27,24.17557716369629,37.995086669921875,39.15999984741211,18.35849995613098,-1.1692395221553402
2020-02-28,23.867389678955078,39.23058319091797,40.11000061035156,19.589499998092652,-1.3157975949178753
2020-03-02,24.192705154418945,41.0914421081543,33.41999816894531,20.318499898910524,-1.2563495159582703
2020-03-03,23.584890365600586,39.12380599975586,36.81999969482422,21.26099991798401,-1.4128416738921794
2020-03-04,23.77322769165039,39.977970123291016,31.989999771118164,22.05799994468689,-1.3717087706231166
2020-03-05,23.114042282104492,38.21625900268555,39.619998931884766,23.281499910354615,-1.5526296854480246
2020-03-06,22.797304153442383,36.370643615722656,41.939998626708984,24.630499839782715,-1.6094924774417214
2020-03-09,20.93105697631836,31.924415588378906,54.459999084472656,26.57999978065491,-2.1380000569047075
2020-03-10,21.61591148376465,33.10652542114258,47.29999923706055,28.192999744415282,-1.9305254848557416
2020-03-11,20.9824161529541,32.01593780517578,53.900001525878906,30.12899980545044,-2.1225274020330818
2020-03-12,19.681182861328125,28.355228424072266,75.47000122070312,33.21549987792969,-2.4741553783967376
2020-03-13,20.092100143432617,29.07212257385254,57.83000183105469,35.39949998855591,-2.349898592183685
2020-03-16,16.779085159301758,26.30370330810547,82.69000244140625,38.850000095367434,-3.4423529485547064
2020-03-17,17.395458221435547,28.073043823242188,75.91000366210938,41.9040002822876,-3.2768555493914855
2020-03-18,17.044466018676758,25.258874893188477,76.44999694824219,45.007500123977664,-3.316725136554996
2020-03-19,20.81976318359375,26.257953643798828,72.0,47.829500102996825,-2.00695853498947
2020-03-20,20.14346694946289,24.969079971313477,66.04000091552734,50.27750015258789,-2.208182626849272
2020-03-23,19.84383773803711,23.985260009765625,61.59000015258789,52.10550012588501,-2.2849103415044976
2020-03-24,20.451650619506836,27.02821922302246,61.66999816894531,53.796500015258786,-2.1607820358834164
2020-03-25,21.401893615722656,28.43912124633789,63.95000076293945,55.61600008010864,-1.8660081275114004
2020-03-26,21.222124099731445,29.605974197387695,61.0,56.708000087738036,-1.9649253575809478
2020-03-27,20.871126174926758,28.179821014404297,65.54000091552734,57.97950010299682,-2.046571021693263
2020-03-30,21.21355628967285,28.599281311035156,57.08000183105469,59.16250028610229,-1.9376683685376332
2020-03-31,20.77696418762207,28.95772361755371,53.540000915527344,59.99850034713745,-2.103400604155914
2020-04-01,20.254751205444336,28.622159957885742,57.060001373291016,61.252000427246095,-2.2786323194919613
2020-04-02,20.55628776550293,30.81094741821289,50.90999984741211,61.81650047302246,-2.23749267920106
2020-04-03,20.504596710205078,29.903404235839844,46.79999923706055,62.059500503540036,-2.2285239586040273
2020-04-06,21.185211181640625,30.86433982849121,45.2400016784668,61.598500633239745,-2.015897643676715
2020-04-07,22.32244110107422,31.451581954956055,46.70000076293945,61.568500709533694,-1.629973899887485
2020-04-08,22.925521850585938,33.442081451416016,43.349998474121094,61.041000556945804,-1.4758499319834357
