Date,KRE,FDX,VIX,AvgVIX,zscore
2020-01-30,46.26755905151367,132.14723205566406,15.489999771118164,13.696000051498412,0.3650029339815894
2020-01-31,45.338871002197266,128.920654296875,18.84000015258789,14.014500045776368,0.3038548231670191
2020-02-03,45.94126892089844,128.20755004882812,17.969999313354492,14.211999988555908,0.36632026051919214
2020-02-04,46.58549499511719,131.47872924804688,16.049999237060547,14.32199993133545,0.40034505348082333
2020-02-05,47.6313362121582,133.653564453125,15.149999618530273,14.389999914169312,0.48106069465478357
2020-02-06,47.13771057128906,132.4770050048828,14.960000038146973,14.465499925613404,0.44418316421681137
2020-02-07,46.677528381347656,138.74298095703125,15.470000267028809,14.611999940872192,0.34997499411849414
2020-02-10,46.63570022583008,139.7412872314453,15.039999961853027,14.735999917984008,0.3379279142345746
2020-02-11,46.995460510253906,140.82867431640625,15.180000305175781,14.878999948501587,0.36293659879811335
2020-02-12,47.1209716796875,141.2832489013672,13.739999771118164,14.946499919891357,0.37105032081256795
2020-02-13,47.346866607666016,143.92156982421875,14.149999618530273,15.032999897003174,0.37086291978033814
2020-02-14,47.03729248046875,141.38125610351562,13.680000305175781,15.100999927520752,0.3623817701116445
2020-02-18,46.40143585205078,141.33677673339844,14.829999923706055,15.237499904632568,0.30292469182629683
2020-02-19,46.78629684448242,143.62742614746094,14.380000114440918,15.313999891281128,0.32051722072784733
2020-02-20,47.20463180541992,146.98770141601562,15.5600004196167,15.446499919891357,0.33256722091683877
2020-02-21,46.56040573120117,145.5081024169922,17.079999923706055,15.651499938964843,0.2839843348323729
2020-02-24,45.121341705322266,138.0210723876953,25.030000686645508,16.174999952316284,0.20944211594242776
2020-02-25,43.38107681274414,129.77630615234375,27.850000381469727,16.655999994277956,0.11272152704664207
2020-02-26,42.66154479980469,128.82260131835938,27.559999465942383,17.219999933242796,0.0527808678931431
2020-02-27,40.93801498413086,123.6796646118164,39.15999984741211,18.35849995613098,-0.06757032964114904
2020-02-28,39.74994659423828,125.82778930664062,40.11000061035156,19.589499998092652,-0.19679373702567746
2020-03-02,41.54041290283203,124.56204986572266,33.41999816894531,20.318499898910524,-0.018069583874318375
2020-03-03,39.81687545776367,118.62590026855469,36.81999969482422,21.26099991798401,-0.1319759785245715
2020-03-04,40.52804183959961,121.58509826660156,31.989999771118164,22.05799994468689,-0.089118635570217
2020-03-05,38.40291976928711,115.80931091308594,39.619998931884766,23.281499910354615,-0.24210737001638688
2020-03-06,36.721221923828125,114.37600708007812,41.939998626708984,24.630499839782715,-0.38866708659648613
2020-03-09,31.031904220581055,103.6443099975586,54.459999084472656,26.57999978065491,-0.8366882697247129
2020-03-10,33.22396469116211,108.09645080566406,47.29999923706055,28.192999744415282,-0.666646534525495
