Date,SHEL,LOW,VIX,AvgVIX,zscore
2020-01-30,42.153472900390625,106.78424835205078,15.489999771118164,13.696000051498412,3.127164511578908
2020-01-31,40.83029556274414,103.68024444580078,18.84000015258789,14.014500045776368,2.894507236087765
2020-02-03,40.11783218383789,104.5186767578125,17.969999313354492,14.211999988555908,2.7290513221267076
2020-02-04,40.438838958740234,106.4542007446289,16.049999237060547,14.32199993133545,2.7665629787740755
2020-02-05,41.45665740966797,108.933837890625,15.149999618530273,14.389999914169312,2.944055922951249
2020-02-06,40.822471618652344,108.38082122802734,14.960000038146973,14.465499925613404,2.817580915321652
2020-02-07,40.54844284057617,108.35406494140625,15.470000267028809,14.611999940872192,2.7595343022192576
2020-02-10,40.235267639160156,108.11325073242188,15.039999961853027,14.735999917984008,2.6965613279437854
2020-02-11,40.705047607421875,109.73660278320312,15.180000305175781,14.878999948501587,2.7708175955414953
2020-02-12,41.221778869628906,111.52046203613281,13.739999771118164,14.946499919891357,2.8525230583080194
2020-02-13,40.64780044555664,111.28857421875,14.149999618530273,15.032999897003174,2.733754387653814
2020-02-14,40.24922180175781,111.86834716796875,13.680000305175781,15.100999927520752,2.639419484107814
2020-02-18,40.02602005004883,109.91498565673828,14.829999923706055,15.237499904632568,2.6230640162136156
2020-02-19,40.03398895263672,110.10230255126953,14.380000114440918,15.313999891281128,2.6217655350304043
2020-02-20,39.555686950683594,112.89408111572266,15.5600004196167,15.446499919891357,2.4750040070232706
2020-02-21,39.19696807861328,111.7702407836914,17.079999923706055,15.651499938964843,2.4164498204663967
2020-02-24,37.69029235839844,109.62955474853516,25.030000686645508,16.174999952316284,2.129213007405842
2020-02-25,36.5901985168457,105.71387481689453,27.850000381469727,16.655999994277956,1.9571545312275003
2020-02-26,36.47063446044922,101.05792999267578,27.559999465942383,17.219999933242796,2.006182971578916
2020-02-27,35.027740478515625,95.99164581298828,39.15999984741211,18.35849995613098,1.7793956993760234
2020-02-28,35.0994873046875,95.05509948730469,40.11000061035156,19.589499998092652,1.8096999636256705
2020-03-02,35.73722839355469,99.0421142578125,33.41999816894531,20.318499898910524,1.881954935110751
2020-03-03,35.04369354248047,96.830078125,36.81999969482422,21.26099991798401,1.769376525889508
2020-03-04,36.11190414428711,101.04899597167969,31.989999771118164,22.05799994468689,1.929776565909008
2020-03-05,34.86034393310547,95.90243530273438,39.619998931884766,23.281499910354615,1.7451032311572854
2020-03-06,33.377601623535156,93.93123626708984,41.939998626708984,24.630499839782715,1.4602600609680694
2020-03-09,27.645931243896484,84.0395278930664,54.459999084472656,26.57999978065491,0.3955466450139094
2020-03-10,29.463489532470703,92.7806167602539,47.29999923706055,28.192999744415282,0.6434494691296234
2020-03-11,27.494470596313477,88.43683624267578,53.900001525878906,30.12899980545044,0.2928250589764087
2020-03-12,23.381061553955078,80.20413970947266,75.47000122070312,33.21549987792969,-0.4531286371456438
2020-03-13,23.97893714904785,86.06422424316406,57.83000183105469,35.39949998855591,-0.4193686212583512
2020-03-16,20.18440055847168,64.74665832519531,82.69000244140625,38.850000095367434,-0.8877878946879803
2020-03-17,20.45543670654297,65.81697082519531,75.91000366210938,41.9040002822876,-0.8470873325871633
2020-03-18,17.234859466552734,57.994571685791016,76.44999694824219,45.007500123977664,-1.4090886126831637
2020-03-19,19.16402244567871,62.320526123046875,72.0,47.829500102996825,-1.0666836652017369
2020-03-20,19.99307632446289,59.18978500366211,66.04000091552734,50.27750015258789,-0.8396483863928103
2020-03-23,21.38813018798828,60.47419357299805,61.59000015258789,52.10550012588501,-0.5625214547654028
2020-03-24,25.597198486328125,68.94771575927734,61.66999816894531,53.796500015258786,0.19998931803421954
2020-03-25,27.374893188476562,74.67401885986328,63.95000076293945,55.61600008010864,0.48765271745777145
2020-03-26,27.845224380493164,78.58969116210938,61.0,56.708000087738036,0.5253263022730821
2020-03-27,25.222530364990234,77.58182525634766,65.54000091552734,57.97950010299682,-0.01819416632446558
2020-03-30,26.657438278198242,79.12487030029297,57.08000183105469,59.16250028610229,0.26329641911808055
2020-03-31,27.813331604003906,76.75228118896484,53.540000915527344,59.99850034713745,0.547937847639252
2020-04-01,28.148151397705078,71.73060607910156,57.060001373291016,61.252000427246095,0.6997826136878708
2020-04-02,31.057825088500977,73.90696716308594,50.90999984741211,61.81650047302246,1.2858339168269728
2020-04-03,28.889524459838867,73.31826782226562,46.79999923706055,62.059500503540036,0.8325655209718784
2020-04-06,29.758440017700195,79.17839813232422,45.2400016784668,61.598500633239745,0.9241620051569657
2020-04-07,29.70263671875,81.13175964355469,46.70000076293945,61.568500709533694,0.880980602247615
2020-04-08,30.348350524902344,84.15547180175781,43.349998474121094,61.041000556945804,0.970359455959996
2020-04-09,30.220802307128906,85.01174926757812,41.66999816894531,59.35100040435791,0.9294328497391381
2020-04-13,29.790325164794922,84.91363525390625,41.16999816894531,58.51800022125244,0.839144175035706
