Date,KO,MS,VIX,AvgVIX,zscore
2020-01-30,48.63010787963867,44.35105514526367,15.489999771118164,13.696000051498412,2.20460959725345
2020-01-31,48.25005340576172,43.06550598144531,18.84000015258789,14.014500045776368,2.227879572754379
2020-02-03,48.398765563964844,43.34568786621094,17.969999313354492,14.211999988555908,2.247511898994515
2020-02-04,48.61357498168945,44.515869140625,16.049999237060547,14.32199993133545,2.1771557427783566
2020-02-05,48.62184524536133,45.31520462036133,15.149999618530273,14.389999914169312,2.077175129143608
2020-02-06,48.737510681152344,45.33168411254883,14.960000038146973,14.465499925613404,2.1184224224731327
2020-02-07,48.90274429321289,45.34816360473633,15.470000267028809,14.611999940872192,2.178256899161393
2020-02-10,49.36542510986328,45.61186599731445,15.039999961853027,14.735999917984008,2.317747066207833
2020-02-11,49.23323059082031,45.966209411621094,15.180000305175781,14.878999948501587,2.2224805654981425
2020-02-12,49.08450698852539,46.295833587646484,13.739999771118164,14.946499919891357,2.124203730799776
2020-02-13,49.249755859375,46.08982849121094,14.149999618530273,15.032999897003174,2.2127354059165385
2020-02-14,49.53066635131836,46.015647888183594,13.680000305175781,15.100999927520752,2.3276381230150562
2020-02-18,49.18365478515625,45.751949310302734,14.829999923706055,15.237499904632568,2.2315213730474084
2020-02-19,49.38194274902344,46.4029655456543,14.380000114440918,15.313999891281128,2.2219211721889147
2020-02-20,49.34063720703125,44.29336166381836,15.5600004196167,15.446499919891357,2.4784855575848184
2020-02-21,49.679378509521484,43.19736099243164,17.079999923706055,15.651499938964843,2.746847090633511
2020-02-24,48.45660400390625,40.93943405151367,25.030000686645508,16.174999952316284,2.5795093061417904
2020-02-25,47.7708625793457,39.57973861694336,27.850000381469727,16.655999994277956,2.4977139767958376
2020-02-26,47.589080810546875,38.9287223815918,27.559999465942383,17.219999933242796,2.5135037068519033
2020-02-27,45.38313293457031,37.42068862915039,39.15999984741211,18.35849995613098,1.8807876499176925
2020-02-28,44.19341278076172,37.1075325012207,40.11000061035156,19.589499998092652,1.4750482025309448
2020-03-02,46.20107650756836,38.30241775512695,33.41999816894531,20.318499898910524,2.07379467379832
2020-03-03,46.316741943359375,36.58837890625,36.81999969482422,21.26099991798401,2.3382085553839316
2020-03-04,48.6796760559082,37.280601501464844,31.989999771118164,22.05799994468689,3.1349981638548767
2020-03-05,46.87856674194336,35.0968132019043,39.619998931884766,23.281499910354615,2.74123425168939
