Date,INTC,FDX,VIX,AvgVIX,zscore
2020-01-30,58.632652282714844,132.14723205566406,15.489999771118164,13.696000051498412,1.8654318718791356
2020-01-31,56.392127990722656,128.920654296875,18.84000015258789,14.014500045776368,1.6403585413415311
2020-02-03,56.82435989379883,128.20755004882812,17.969999313354492,14.211999988555908,1.6867129266192138
2020-02-04,57.74173355102539,131.47872924804688,16.049999237060547,14.32199993133545,1.774583964384518
2020-02-05,59.400054931640625,133.653564453125,15.149999618530273,14.389999914169312,1.9416403719495445
2020-02-06,59.470985412597656,132.4770050048828,14.960000038146973,14.465499925613404,1.9515750762232815
2020-02-07,58.522499084472656,138.74298095703125,15.470000267028809,14.611999940872192,1.8395268885590568
2020-02-10,58.85047912597656,139.7412872314453,15.039999961853027,14.735999917984008,1.8713187467871455
2020-02-11,59.75464630126953,140.82867431640625,15.180000305175781,14.878999948501587,1.9626191575053258
2020-02-12,59.7989501953125,141.2832489013672,13.739999771118164,14.946499919891357,1.9662112010949122
2020-02-13,59.78123092651367,143.92156982421875,14.149999618530273,15.032999897003174,1.9585787086928788
2020-02-14,59.63053894042969,141.38125610351562,13.680000305175781,15.100999927520752,1.9485451756612937
2020-02-18,58.628868103027344,141.33677673339844,14.829999923706055,15.237499904632568,1.844850193803311
2020-02-19,59.488712310791016,143.62742614746094,14.380000114440918,15.313999891281128,1.9289142927903418
2020-02-20,58.01721954345703,146.98770141601562,15.5600004196167,15.446499919891357,1.7690562681885766
2020-02-21,57.03327560424805,145.5081024169922,17.079999923706055,15.651499938964843,1.6703511185862228
2020-02-24,54.74627685546875,138.0210723876953,25.030000686645508,16.174999952316284,1.449822400173654
2020-02-25,52.946807861328125,129.77630615234375,27.850000381469727,16.655999994277956,1.2814760638218474
2020-02-26,52.87590026855469,128.82260131835938,27.559999465942383,17.219999933242796,1.2762239527496526
2020-02-27,49.48970031738281,123.6796646118164,39.15999984741211,18.35849995613098,0.9366464689161578
2020-02-28,49.21492385864258,125.82778930664062,40.11000061035156,19.589499998092652,0.9034547886812664
2020-03-02,51.57284164428711,124.56204986572266,33.41999816894531,20.318499898910524,1.150562068883206
