Date,PEP,V,VIX,AvgVIX,zscore
2022-01-31,151.71258544921875,218.55075073242188,24.829999923706055,23.18100004196167,-0.7205680294187724
2022-02-01,150.6808624267578,224.5322265625,21.959999084472656,23.448999977111818,-0.9954344274527613
2022-02-02,153.41748046875,227.4891357421875,22.09000015258789,23.707999992370606,-0.7172052526178222
2022-02-03,153.33004760742188,223.7398223876953,24.350000381469727,23.939000034332274,-0.6385522439382472
2022-02-04,150.81198120117188,220.6959686279297,23.219999313354492,24.119499969482423,-0.8868227392953258
2022-02-07,150.21746826171875,219.50738525390625,22.860000610351562,24.324499988555907,-0.9341831435151337
2022-02-08,150.40109252929688,220.26112365722656,21.440000534057617,24.426500034332275,-0.9288158007003581
2022-02-09,150.33111572265625,223.0924072265625,19.959999084472656,24.503999996185303,-1.0055573218260163
2022-02-10,147.2097930908203,218.3449249267578,23.90999984741211,24.818499946594237,-1.2899668590662472
2022-02-11,147.39340209960938,217.47381591796875,27.360000610351562,25.171000003814697,-1.2456824794849641
2022-02-14,145.74969482421875,218.10293579101562,28.329999923706055,25.62799997329712,-1.4704054234731183
2022-02-15,145.10267639160156,220.50331115722656,25.700000762939453,25.773499965667725,-1.610427024871843
2022-02-16,145.39990234375,221.47119140625,24.290000915527344,25.795499992370605,-1.595699055145595
2022-02-17,145.79339599609375,217.3964080810547,28.110000610351562,25.92150001525879,-1.4479083324273074
2022-02-18,146.6327667236328,215.53807067871094,27.75,25.866499996185304,-1.296335400789067
2022-02-22,147.19232177734375,214.2120361328125,28.809999465942383,25.811999988555907,-1.1932027414390647
2022-02-23,145.74090576171875,209.0145263671875,31.020000457763672,25.805000019073486,-1.253837313877426
2022-02-24,143.2053680419922,210.32118225097656,30.31999969482422,25.723000049591064,-1.6085413809759928
2022-02-25,147.2185516357422,212.2279052734375,27.59000015258789,25.57800006866455,-1.1423324553109337
2022-02-28,143.1616973876953,209.17904663085938,30.149999618530273,25.70250005722046,-1.5867546697814041
2022-03-01,141.87643432617188,202.25872802734375,33.31999969482422,26.127000045776366,-1.5849311248136837
2022-03-02,143.84365844726562,201.78443908691406,30.739999771118164,26.566000080108644,-1.322652344770907
2022-03-03,143.68960571289062,200.5745849609375,30.479999542236328,26.985500049591064,-1.3133227909018024
2022-03-04,145.87220764160156,193.85745239257812,31.979999542236328,27.367000007629393,-0.8740416411536106
2022-03-07,142.96800231933594,184.57545471191406,36.45000076293945,28.028500080108643,-1.0221454848536744
2022-03-08,138.937255859375,185.55303955078125,35.130001068115234,28.642000102996825,-1.5596806191474284
2022-03-09,138.52359008789062,193.34449768066406,32.45000076293945,29.192500114440918,-1.799067539120866
2022-03-10,135.98019409179688,191.61195373535156,30.229999542236328,29.706000137329102,-2.081977818043977
2022-03-11,135.29373168945312,190.39248657226562,30.75,30.048000144958497,-2.140326588339875
2022-03-14,137.19468688964844,193.8961944580078,31.770000457763672,30.268500137329102,-1.9817829165506065
2022-03-15,139.9317169189453,199.51959228515625,29.829999923706055,30.3435001373291,-1.767369975709215
2022-03-16,140.54776000976562,205.0655517578125,26.670000076293945,30.392000102996825,-1.8216329944705707
2022-03-17,141.6390838623047,206.59481811523438,25.670000076293945,30.461000061035158,-1.7190647862760562
2022-03-18,143.26719665527344,212.07301330566406,23.8700008392334,30.249000072479248,-1.6426157182112566
2022-03-21,143.06478881835938,210.06954956054688,23.530000686645508,30.038000106811523,-1.6204449836948005
2022-03-22,144.6313018798828,211.4535675048828,22.940000534057617,29.744500160217285,-1.4537875892150747
2022-03-23,143.8744354248047,207.7853240966797,23.56999969482422,29.37200012207031,-1.4624623103952639
2022-03-24,144.74571228027344,210.3308563232422,21.670000076293945,28.9395001411438,-1.4123029825498434
2022-03-25,145.4233856201172,211.41485595703125,20.809999465942383,28.600500106811523,-1.351830481219923
2022-03-28,145.85462951660156,213.67971801757812,19.6299991607666,28.07450008392334,-1.3510744090555835
2022-03-29,148.01959228515625,220.79368591308594,18.899999618530273,27.353500080108642,-1.2453310725569142
2022-03-30,147.8171844482422,216.75758361816406,19.329999923706055,26.78300008773804,-1.1744737816226607
2022-03-31,147.3067626953125,214.64761352539062,20.559999465942383,26.28700008392334,-1.1890389818781064
2022-04-01,149.40133666992188,219.09022521972656,19.6299991607666,25.669500064849853,-1.0282883275361605
2022-04-04,149.01405334472656,220.4258575439453,18.56999969482422,24.77550001144409,-1.109677706243755
2022-04-05,149.17250061035156,218.828857421875,21.030000686645508,24.070499992370607,-1.0512158651859667
2022-04-06,151.71591186523438,211.97625732421875,22.100000381469727,23.55299997329712,-0.5626688999630308
2022-04-07,151.8567352294922,209.2080841064453,21.549999237060547,23.11899995803833,-0.4784025807534579
2022-04-08,152.36715698242188,210.0114288330078,21.15999984741211,22.639499950408936,-0.43254057683605823
2022-04-11,151.90072631835938,207.85304260253906,24.3700008392334,22.26949996948242,-0.44033505399025674
2022-04-12,152.5167999267578,204.6106414794922,24.260000228881836,21.99099998474121,-0.28409191756127217
2022-04-13,152.2527618408203,206.42059326171875,21.81999969482422,21.748499965667726,-0.36112251521297795
2022-04-14,151.28468322753906,205.95599365234375,22.700000762939453,21.6,-0.47347217237200634
2022-04-18,149.98216247558594,206.3238067626953,22.170000076293945,21.51499996185303,-0.6484180285707285
2022-04-19,152.16473388671875,208.77256774902344,21.3700008392334,21.40699996948242,-0.4286858516397147
2022-04-20,154.42654418945312,210.79544067382812,20.31999969482422,21.27599992752075,-0.1886457568030319
2022-04-21,153.87208557128906,209.49847412109375,22.68000030517578,21.23149995803833,-0.22830121649672824
2022-04-22,151.50466918945312,201.48439025878906,28.209999084472656,21.558499908447267,-0.33830747631515534
2022-04-25,152.90399169921875,203.2072296142578,27.020000457763672,21.86899995803833,-0.20109073418592377
2022-04-26,152.5167999267578,194.6414337158203,33.52000045776367,22.563500022888185,-0.045305539986472826
2022-04-27,153.880859375,207.23367309570312,31.600000381469727,23.198500061035155,-0.1729347191806627
2022-04-28,156.21310424804688,213.5732421875,29.989999771118164,23.73150005340576,-0.027305932142811226
2022-04-29,151.11746215820312,206.28512573242188,33.400001525878906,24.37350015640259,-0.5026846345631166
2022-05-02,147.64114379882812,204.73648071289062,32.34000015258789,25.00900020599365,-0.9089935005034498
2022-05-03,147.84356689453125,201.8618621826172,29.25,25.54300022125244,-0.8143205473123777
2022-05-04,153.00962829589844,207.6304931640625,25.420000076293945,25.762500190734862,-0.2935645854053348
2022-05-05,149.9557342529297,198.6484832763672,31.200000762939453,26.21750020980835,-0.46794657383803945
2022-05-06,149.97337341308594,196.3062286376953,30.190000534057617,26.6495002746582,-0.4095941055173974
2022-05-09,151.10865783691406,186.80160522460938,34.75,27.3290002822876,-0.037130690135102014
2022-05-10,150.92388916015625,187.3629913330078,32.9900016784668,27.76000032424927,-0.07414438028366235
2022-05-11,150.19337463378906,190.40216064453125,32.560001373291016,28.175000381469726,-0.24011650883378274
2022-05-12,149.96453857421875,188.09901428222656,31.770000457763672,28.6725004196167,-0.2141385648471964
2022-05-13,152.8863983154297,193.19981384277344,28.8700008392334,28.981000423431396,0.03636678953341611
2022-05-16,154.42654418945312,191.82276916503906,27.469999313354492,29.246000385284425,0.2657951185300471
2022-05-17,153.53765869140625,197.825439453125,26.100000381469727,29.48250036239624,0.00863991531540833
2022-05-18,144.0240478515625,193.93679809570312,30.959999084472656,30.01450033187866,-1.1116739915417797
2022-05-19,141.86788940429688,191.3961181640625,29.350000381469727,30.34800033569336,-1.3258355298530171
2022-05-20,142.75674438476562,193.005859375,29.43000030517578,30.409000396728516,-1.2510196874690127
2022-05-23,145.7401885986328,201.27764892578125,28.479999542236328,30.48200035095215,-1.0686120622224156
2022-05-24,147.69398498535156,196.49688720703125,29.450000762939453,30.278500366210938,-0.7048956563863343
2022-05-25,148.70606994628906,197.67025756835938,28.3700008392334,30.117000389099122,-0.6039097674752578
2022-05-26,149.7093505859375,202.23770141601562,27.5,29.992500400543214,-0.5853430456400442
2022-05-27,151.1702423095703,206.43667602539062,25.719999313354492,29.608500289916993,-0.49958254549923203
2022-05-31,147.63233947753906,205.74813842773438,26.190000534057617,29.301000308990478,-0.9343481098495708
2022-06-01,146.52345275878906,203.575927734375,25.690000534057617,29.12300033569336,-1.0237563974893726
2022-06-02,147.7109375,208.5409698486328,24.719999313354492,29.088000297546387,-0.9912179669622083
2022-06-03,146.08921813964844,206.21363830566406,24.790000915527344,28.76750030517578,-1.1423222788784155
2022-06-06,146.7007293701172,206.49484252929688,25.06999969482422,28.51150026321411,-1.0710598497952226
2022-06-07,147.6046142578125,208.00758361816406,24.020000457763672,27.975000286102294,-0.9920035654729693
2022-06-08,146.8690948486328,207.03787231445312,23.959999084472656,27.523500156402587,-1.062591782147993
2022-06-09,144.25482177734375,199.87156677246094,26.09000015258789,27.200000095367432,-1.2243908048882934
2022-06-10,144.02439880371094,193.47132873535156,27.75,26.999000072479248,-1.1004801229455754
2022-06-13,141.56080627441406,186.4407501220703,34.02000045776367,27.256500053405762,-1.2463109047028211
2022-06-14,138.35276794433594,187.6626434326172,32.689998626708984,27.517500019073488,-1.6847618124495758
2022-06-15,139.8326873779297,190.22276306152344,29.6200008392334,27.69350004196167,-1.5573198398936656
2022-06-16,139.1591796875,183.32791137695312,32.95000076293945,27.79300012588501,-1.478077205524963
2022-06-17,139.18580627441406,184.2588653564453,31.1299991607666,27.882000064849855,-1.4969795731992614
2022-06-21,142.42041015625,188.50631713867188,30.190000534057617,27.920000076293945,-1.1861441435324076
2022-06-22,143.5901641845703,187.95359802246094,28.950000762939453,27.943500137329103,-1.0237036734355005
2022-06-23,145.4246063232422,190.68820190429688,29.049999237060547,27.923500061035156,-0.8552218274464536
2022-06-24,147.22357177734375,199.28973388671875,27.229999542236328,27.866499996185304,-0.8317919791476726
2022-06-27,147.41854858398438,197.3987274169922,26.950000762939453,27.839000034332276,-0.7616286584699781
2022-06-28,145.34483337402344,192.12338256835938,28.360000610351562,27.971000099182127,-0.8997728367208708
2022-06-29,147.75526428222656,193.46160888671875,28.15999984741211,28.069500064849855,-0.6243773358097532
2022-06-30,147.69325256347656,190.93064880371094,28.709999084472656,28.220499992370605,-0.5716643492645489
2022-07-01,150.112548828125,193.1513214111328,26.700000762939453,28.319500064849855,-0.316274776599901
2022-07-05,149.7758331298828,194.4701690673828,27.540000915527344,28.457000064849854,-0.39081224753402133
2022-07-06,151.2734832763672,195.0325927734375,26.729999542236328,28.54000005722046,-0.21325913476444858
2022-07-07,150.97216796875,196.66172790527344,26.079999923706055,28.643000030517577,-0.2907134314885455
2022-07-08,152.31919860839844,197.40843200683594,24.639999389648438,28.677000045776367,-0.1367857157415926
2022-07-11,151.06968688964844,198.85333251953125,26.170000076293945,28.68100004196167,-0.3307691172613461
2022-07-12,150.2100372314453,198.62060546875,27.290000915527344,28.65800008773804,-0.4348426194909986
2022-07-13,150.7417755126953,197.97091674804688,26.81999969482422,28.298000049591064,-0.35145807585751637
2022-07-14,151.52162170410156,199.6776123046875,26.399999618530273,27.98350009918213,-0.29286853701581317
2022-07-15,151.6456756591797,203.6826171875,24.229999542236328,27.714000034332276,-0.3729749678699264
2022-07-18,149.1111297607422,200.9382781982422,25.299999237060547,27.33149995803833,-0.6305215093342709
2022-07-19,150.706298828125,207.1930389404297,24.5,27.0,-0.5768749994509291
2022-07-20,149.1111297607422,206.9117889404297,23.8799991607666,26.68449993133545,-0.7736013834170392
2022-07-21,149.3326873779297,209.646484375,23.110000610351562,26.392499923706055,-0.810844321762368
2022-07-22,150.30752563476562,207.23182678222656,23.030000686645508,26.091499996185302,-0.6286673768410252
2022-07-25,150.52020263671875,207.78457641601562,23.360000610351562,25.898000049591065,-0.6147802107925456
2022-07-26,152.27488708496094,206.05844116210938,24.690000534057617,25.785000038146972,-0.3496260424532228
2022-07-27,152.06216430664062,204.09963989257812,23.239999771118164,25.528999996185302,-0.32984074655618
2022-07-28,154.94232177734375,204.95297241210938,22.329999923706055,25.2375,0.017082502490278404
2022-07-29,155.0487060546875,205.68995666503906,21.329999923706055,24.86850004196167,0.012999226251393147
2022-08-01,156.8121795654297,204.96266174316406,22.84000015258789,24.675500011444093,0.25534981928533673
2022-08-02,155.51837158203125,200.01702880859375,23.93000030517578,24.494999980926515,0.20878501759422385
2022-08-03,156.7058563232422,202.16983032226562,21.950000762939453,24.25600004196167,0.30868333887717536
2022-08-04,155.85511779785156,207.00881958007812,21.440000534057617,24.024000072479247,0.08426670722856953
2022-08-05,154.68533325195312,209.33615112304688,21.149999618530273,23.84950008392334,-0.12068386880515988
2022-08-08,154.06497192382812,206.8633575439453,21.290000915527344,23.60550012588501,-0.14058131478587815
2022-08-09,154.64102172851562,203.89599609375,21.770000457763672,23.329500102996825,0.003968947852959145
2022-08-10,155.91712951660156,205.68028259277344,19.739999771118164,22.975500106811523,0.12399790948227882
2022-08-11,155.11953735351562,205.05369567871094,20.200000762939453,22.665500164031982,0.037273694894431955
2022-08-12,157.1489715576172,205.29653930664062,19.530000686645508,22.43050022125244,0.2903102982648014
2022-08-15,158.87704467773438,210.24122619628906,19.950000762939453,22.163000297546386,0.3922880548999892
2022-08-16,159.7986602783203,210.940673828125,19.690000534057617,21.922500324249267,0.493086206660338
2022-08-17,159.71006774902344,208.39547729492188,19.899999618530273,21.723500347137453,0.542749821530518
2022-08-18,159.8695526123047,209.1045684814453,19.559999465942383,21.546000289916993,0.5461076034009688
2022-08-19,159.66575622558594,206.74404907226562,20.600000381469727,21.424500274658204,0.5766535665246887
2022-08-22,158.14151000976562,202.65420532226562,23.799999237060547,21.44650020599365,0.48019828829903843
2022-08-23,158.07057189941406,200.89588928222656,24.110000610351562,21.41750020980835,0.5132660447814613
2022-08-24,158.85931396484375,200.76959228515625,22.81999969482422,21.396500205993654,0.6168948049331043
2022-08-25,158.86817932128906,203.8296661376953,21.780000686645508,21.369000244140626,0.5447294865007412
2022-08-26,155.11953735351562,197.0975341796875,25.559999465942383,21.580500221252443,0.2278427981560698
2022-08-29,154.63217163085938,196.5535125732422,26.209999084472656,21.74900016784668,0.17871016988014432
2022-08-30,153.30287170410156,195.63059997558594,26.209999084472656,21.863000106811523,0.03126461251155504
2022-08-31,152.66482543945312,193.03684997558594,25.8700008392334,22.059000110626222,0.01200865764269866
2022-09-01,154.20823669433594,194.41632080078125,25.559999465942383,22.26500005722046,0.17582834294608277
2022-09-02,152.25440979003906,192.11395263671875,25.469999313354492,22.48100004196167,-0.018234048092888228
2022-09-06,151.22842407226562,192.9688262939453,26.90999984741211,22.761999988555907,-0.16957426827142194
2022-09-07,154.56509399414062,194.69802856445312,24.639999389648438,22.905499935150146,0.21459773311841662
2022-09-08,154.04763793945312,194.979736328125,23.610000610351562,23.098999977111816,0.14184890446617524
2022-09-09,154.53831481933594,199.341552734375,22.790000915527344,23.228499984741212,0.0999585494975778
2022-09-12,155.14495849609375,200.730712890625,23.8700008392334,23.445499992370607,0.14406192920298416
2022-09-13,149.3549346923828,193.9694366455078,27.270000457763672,23.811499977111815,-0.43250388730454514
2022-09-14,150.48797607421875,193.71685791015625,26.15999984741211,24.13499994277954,-0.28193517660701456
2022-09-15,147.98995971679688,189.79217529296875,26.270000457763672,24.45349998474121,-0.5065503399998209
2022-09-16,148.96238708496094,187.7812957763672,26.299999237060547,24.79049997329712,-0.33435235366471044
2022-09-19,150.5325469970703,187.6161346435547,25.760000228881836,25.048499965667723,-0.13012325991174162
2022-09-20,150.7020721435547,186.58641052246094,27.15999984741211,25.216499996185302,-0.08383605829478583
2022-09-21,150.27386474609375,181.6806182861328,27.989999771118164,25.41049995422363,-0.020948230353665685
2022-09-22,150.4165802001953,180.48568725585938,27.350000381469727,25.636999988555907,0.02587650952189724
2022-09-23,150.34523010253906,178.7079315185547,29.920000076293945,26.04399995803833,0.05935734449501847
2022-09-26,150.28277587890625,175.4341583251953,32.2599983215332,26.37899990081787,0.12980604096597306
2022-09-27,148.10592651367188,172.7918243408203,32.599998474121094,26.698499870300292,-0.08455975552022087
2022-09-28,150.47901916503906,174.0644073486328,30.18000030517578,26.89699993133545,0.18764558427070743
2022-09-29,148.6411895751953,174.9192657470703,31.84000015258789,27.195499897003174,-0.06724453888457793
2022-09-30,145.6525115966797,172.57809448242188,31.6200008392334,27.498499965667726,-0.39237222525981064
2022-10-03,147.42787170410156,176.46389770507812,30.100000381469727,27.730000019073486,-0.25900024047113857
2022-10-04,149.0872802734375,180.34967041015625,29.06999969482422,27.83800001144409,-0.1404170837781525
2022-10-05,148.09698486328125,182.31204223632812,28.549999237060547,28.033500003814698,-0.31373225444032815
2022-10-06,145.2421417236328,180.2914276123047,30.520000457763672,28.378999996185303,-0.6294674744157229
2022-10-07,144.180419921875,178.58168029785156,31.360000610351562,28.807499980926515,-0.7239370055262984
2022-10-10,144.3677978515625,176.97879028320312,32.45000076293945,29.236499977111816,-0.6616439961234633
2022-10-11,145.05477905273438,174.02552795410156,33.630001068115234,29.554500007629393,-0.5032821985828054
2022-10-12,151.12135314941406,173.15127563476562,33.56999969482422,29.925,0.2914466429551056
2022-10-13,155.77842712402344,179.38796997070312,31.940000534057617,30.2085000038147,0.7360702830864647
2022-10-14,151.8350830078125,177.4062042236328,32.02000045776367,30.494500064849852,0.2805667996689443
2022-10-17,154.1011505126953,179.96112060546875,31.3700008392334,30.77500009536743,0.508406184724595
2022-10-18,156.17987060546875,181.82627868652344,30.5,30.942000102996825,0.7288708652646546
2022-10-19,154.6632080078125,181.08804321289062,30.760000228881836,31.08050012588501,0.5531038365921712
2022-10-20,152.96810913085938,181.8748779296875,29.979999542236328,31.21200008392334,0.3180482724030525
2022-10-21,154.3955535888672,184.93495178222656,29.690000534057617,31.200500106811525,0.426821988991951
2022-10-24,158.51730346679688,185.26527404785156,29.850000381469727,31.08000020980835,0.9446370580965033
2022-10-25,159.04368591308594,188.8304443359375,28.459999084472656,30.87300024032593,0.9263825102947493
2022-10-26,159.75741577148438,197.5249481201172,27.280000686645508,30.728000259399415,0.809164219261246
2022-10-27,159.58787536621094,198.45753479003906,27.389999389648438,30.50550022125244,0.7652017457534845
2022-10-28,162.57656860351562,203.36337280273438,25.75,30.212000179290772,1.0289014737199622
2022-10-31,161.9967041015625,201.24560546875,25.8799991607666,30.001000118255615,1.005665649113716
2022-11-01,161.26516723632812,201.0221710205078,25.809999465942383,29.838000106811524,0.917710287692528
2022-11-02,159.01695251464844,195.21287536621094,25.860000610351562,29.703500175476073,0.7700981857326742
2022-11-03,158.60653686523438,189.1898956298828,25.299999237060547,29.442500114440918,0.8620146555195933
2022-11-04,159.49868774414062,191.35621643066406,24.549999237060547,29.102000045776368,0.923919475244195
2022-11-07,160.77444458007812,194.38719177246094,24.350000381469727,28.69700002670288,1.0140424925817717
2022-11-08,161.22052001953125,196.01918029785156,25.540000915527344,28.292500019073486,1.031849155762229
2022-11-09,159.29348754882812,188.81439208984375,26.09000015258789,27.91850004196167,0.9586290701939636
2022-11-10,162.103759765625,200.14732360839844,23.530000686645508,27.498000049591063,1.0456270222490676
2022-11-11,158.847412109375,199.59237670898438,22.520000457763672,27.023000049591065,0.6435738589612083
2022-11-14,157.66976928710938,201.40333557128906,23.729999542236328,26.64099998474121,0.4499893249566464
2022-11-15,158.0801544189453,204.45077514648438,24.540000915527344,26.34300003051758,0.429340268598416
2022-11-16,159.09718322753906,204.59678649902344,24.110000610351562,26.010500049591066,0.5555644489844817
2022-11-17,160.61386108398438,205.4243621826172,23.93000030517578,25.708000087738036,0.7291935121299107
2022-11-18,161.77365112304688,205.2394256591797,23.1200008392334,25.379500102996825,0.8815538074920748
2022-11-21,164.88729858398438,200.87754821777344,22.360000610351562,25.005000114440918,1.3831753408546479
2022-11-22,164.9051055908203,204.78179931640625,21.290000915527344,24.646500205993654,1.2919304605682735
2022-11-23,165.1192169189453,206.14486694335938,20.350000381469727,24.300000190734863,1.2865915195356035
2022-11-25,164.2538299560547,208.15049743652344,20.5,23.955500221252443,1.1281722085265211
2022-11-28,164.05758666992188,205.68724060058594,22.209999084472656,23.778500175476076,1.1621423729197287
2022-11-29,162.8977813720703,203.54530334472656,21.889999389648438,23.579000186920165,1.0655143254377986
2022-11-30,165.50282287597656,211.27581787109375,20.579999923706055,23.31750020980835,1.2126217114419127
2022-12-01,166.88531494140625,211.27581787109375,19.84000015258789,23.016500186920165,1.3889578635591076
2022-12-02,166.69679260253906,211.9184112548828,19.059999465942383,22.704500198364258,1.349520287201998
2022-12-05,164.38967895507812,208.04344177246094,20.75,22.514500236511232,1.1480639177914775
2022-12-06,163.0520782470703,203.56475830078125,22.170000076293945,22.405500221252442,1.0847288197659826
2022-12-07,163.54580688476562,202.3282470703125,22.68000030517578,22.262500190734862,1.1773210560069858
2022-12-08,164.982177734375,203.584228515625,22.290000915527344,22.072500228881836,1.3304456587544367
2022-12-09,164.37173461914062,203.1947784423828,22.829999923706055,22.037500190734864,1.2619122142998573
2022-12-12,165.15274047851562,208.9293975830078,25.0,22.16150016784668,1.2241712614277667
2022-12-13,165.06295776367188,207.42025756835938,22.549999237060547,22.10250015258789,1.2488670363270624
