Date,KBE,MNST,VIX,AvgVIX,zscore
2020-01-30,37.8828010559082,33.505001068115234,15.489999771118164,13.696000051498412,2.6431677736439143
2020-01-31,37.1184196472168,33.29999923706055,18.84000015258789,14.014500045776368,2.478133766979695
2020-02-03,37.53000259399414,33.709999084472656,17.969999313354492,14.211999988555908,2.534335706908111
2020-02-04,38.075992584228516,34.439998626708984,16.049999237060547,14.32199993133545,2.588603305335076
2020-02-05,38.94956588745117,34.474998474121094,15.149999618530273,14.389999914169312,2.79893654333063
2020-02-06,38.57156753540039,34.724998474121094,14.960000038146973,14.465499925613404,2.6790213089339985
2020-02-07,38.260772705078125,34.45500183105469,15.470000267028809,14.611999940872192,2.6322649803795484
2020-02-10,38.243980407714844,34.584999084472656,15.039999961853027,14.735999917984008,2.613977565899423
2020-02-11,38.56317138671875,34.57500076293945,15.180000305175781,14.878999948501587,2.693314244724931
2020-02-12,38.56317138671875,34.625,13.739999771118164,14.946499919891357,2.6878638529540435
2020-02-13,38.731178283691406,34.845001220703125,14.149999618530273,15.032999897003174,2.7050669936347194
2020-02-14,38.48757553100586,34.93000030517578,13.680000305175781,15.100999927520752,2.6360842857594817
2020-02-18,37.99198913574219,34.79999923706055,14.829999923706055,15.237499904632568,2.528767137504266
2020-02-19,38.218780517578125,35.040000915527344,14.380000114440918,15.313999891281128,2.55820052037613
2020-02-20,38.621971130371094,35.20000076293945,15.5600004196167,15.446499919891357,2.6395975306138495
2020-02-21,38.10118865966797,34.869998931884766,17.079999923706055,15.651499938964843,2.547905776438518
2020-02-24,36.91682815551758,34.095001220703125,25.030000686645508,16.174999952316284,2.3420526776556985
2020-02-25,35.42167663574219,33.310001373291016,27.850000381469727,16.655999994277956,2.0611023145834606
2020-02-26,34.86729049682617,32.939998626708984,27.559999465942383,17.219999933242796,1.9655334063814258
2020-02-27,33.48133850097656,31.8700008392334,39.15999984741211,18.35849995613098,1.7424197964873354
2020-02-28,32.5489616394043,31.204999923706055,40.11000061035156,19.589499998092652,1.5863475013930686
2020-03-02,33.99372482299805,32.3849983215332,33.41999816894531,20.318499898910524,1.8118870279239443
2020-03-03,32.67496109008789,31.889999389648438,36.81999969482422,21.26099991798401,1.5425636728537997
2020-03-04,33.34694290161133,34.025001525878906,31.989999771118164,22.05799994468689,1.4745583923625143
2020-03-05,31.742582321166992,33.564998626708984,39.619998931884766,23.281499910354615,1.1314086664333518
2020-03-06,30.47422218322754,33.095001220703125,41.939998626708984,24.630499839782715,0.8717158906575271
2020-03-09,25.988771438598633,30.93000030517578,54.459999084472656,26.57999978065491,0.008154081514500021
2020-03-10,27.685516357421875,33.064998626708984,47.29999923706055,28.192999744415282,0.19136057671614184
2020-03-11,25.795578002929688,30.905000686645508,53.900001525878906,30.12899980545044,-0.03648033707454216
2020-03-12,23.510854721069336,28.69499969482422,75.47000122070312,33.21549987792969,-0.3556483792959828
2020-03-13,26.23236656188965,31.19499969482422,57.83000183105469,35.39949998855591,0.03898176087856999
