Date,PEP,CL,VIX,AvgVIX,zscore
2015-01-30,66.813232421875,51.853389739990234,20.969999313354492,19.119499969482423,-0.9538314983215033
2015-02-02,67.91752624511719,52.98234558105469,19.43000030517578,19.201499938964844,-1.1241175969952826
2015-02-03,68.53736877441406,53.13593673706055,17.329999923706055,19.071999931335448,-1.0952897661169474
2015-02-04,68.82233428955078,53.143592834472656,18.329999923706055,18.932499885559082,-1.0657224050200562
2015-02-05,68.82946014404297,53.596702575683594,16.850000381469727,18.80949993133545,-1.1823505661935114
2015-02-06,68.90071105957031,53.22039031982422,17.290000915527344,18.823499965667725,-1.0769455506522474
2015-02-09,68.37348937988281,53.043766021728516,18.549999237060547,18.873499965667726,-1.0895496961014428
2015-02-10,69.8126449584961,53.327919006347656,17.229999542236328,18.754999923706055,-1.0038409602250538
2015-02-11,71.52965545654297,53.350955963134766,16.959999084472656,18.57499990463257,-0.8197035611501751
2015-02-12,71.43701171875,53.64277648925781,15.34000015258789,18.267999935150147,-0.9055823209002495
2015-02-13,70.62483978271484,53.81942367553711,14.6899995803833,17.88299994468689,-1.0412815384561467
2015-02-17,70.07624053955078,53.903900146484375,15.800000190734863,17.62549991607666,-1.12391326405288
2015-02-18,70.76734161376953,54.17268753051758,15.449999809265137,17.403499937057497,-1.1170472115669128
2015-02-19,70.33272552490234,53.91925811767578,15.289999961853027,17.22549991607666,-1.0994950966091286
2015-02-20,70.57496643066406,53.942283630371094,14.300000190734863,17.12049994468689,-1.0786409687547276
2015-02-23,70.85281372070312,54.280189514160156,14.5600004196167,17.015499973297118,-1.1354414095879968
2015-02-24,70.94542694091797,54.53361892700195,13.6899995803833,16.9239999294281,-1.1908600236170934
2015-02-25,70.88843536376953,54.53361892700195,13.84000015258789,16.754999971389772,-1.1971701212828463
2015-02-26,70.58208465576172,54.61042404174805,13.90999984741211,16.428499937057495,-1.2509922044747983
2015-02-27,70.51798248291016,54.3877067565918,13.34000015258789,16.157499933242796,-1.2003754760919854
2015-03-02,70.53221893310547,54.53361892700195,13.039999961853027,15.760999965667725,-1.2366103435069429
2015-03-03,70.10474395751953,54.280189514160156,13.859999656677246,15.482499933242797,-1.2182675657091124
2015-03-04,69.82860565185547,54.280189514160156,14.229999542236328,15.327499914169312,-1.2488415516414095
2015-03-05,69.73538970947266,54.879215240478516,14.039999961853027,15.11299991607666,-1.4143916526574707
2015-03-06,68.97509002685547,53.18199157714844,15.199999809265137,15.03049988746643,-1.0587598200311232
2015-03-09,68.88189697265625,53.44309616088867,15.0600004196167,14.918999862670898,-1.1367397875438523
2015-03-10,67.7271499633789,52.52920150756836,16.690000534057617,14.825999927520751,-1.0277699950214962
2015-03-11,67.15339660644531,52.13754653930664,16.8700008392334,14.807999992370606,-0.9898038899884793
2015-03-12,68.64521789550781,52.62905502319336,15.420000076293945,14.73100004196167,-0.9519973309002926
2015-03-13,67.64824676513672,52.575294494628906,16.0,14.764000034332275,-1.0484505049382011
2015-03-16,68.45874786376953,53.00537109375,15.609999656677246,14.810000038146972,-1.0701603757907445
2015-03-17,67.51199340820312,52.53689193725586,15.65999984741211,14.803000020980836,-1.0535849606712748
2015-03-18,67.8777847290039,52.475467681884766,13.970000267028809,14.729000043869018,-0.9971673603909752
2015-03-19,67.49047088623047,52.444740295410156,14.069999694824219,14.668000030517579,-1.0320881047261783
2015-03-20,68.37982940673828,53.42008590698242,13.020000457763672,14.604000043869018,-1.1863658328367876
2015-03-23,68.74560546875,53.8885498046875,13.40999984741211,14.54650001525879,-1.2672631221311028
2015-03-24,68.75279998779297,53.22807693481445,13.619999885559082,14.543000030517579,-1.0953141193654559
2015-03-25,68.32245635986328,52.90552520751953,15.4399995803833,14.623000001907348,-1.0593768646600688
2015-03-26,68.58782958984375,52.79033279418945,15.800000190734863,14.717500019073487,-1.0001442623030716
2015-03-27,68.8173599243164,52.79802703857422,15.069999694824219,14.803999996185302,-0.9767245601809875
2015-03-30,69.22613525390625,53.21270751953125,14.510000228881836,14.877500009536742,-1.0389237479231321
2015-03-31,68.5806655883789,53.25111770629883,15.289999961853027,14.949000024795533,-1.120343508469692
2015-04-01,68.20050048828125,53.05913543701172,15.109999656677246,14.993000030517578,-1.1126857683727231
2015-04-02,68.63084411621094,53.243438720703125,14.670000076293945,15.024500036239624,-1.1127978473440037
2015-04-06,69.19745635986328,53.71958923339844,14.739999771118164,15.001500034332276,-1.173450469153506
2015-04-07,69.00382232666016,53.53527069091797,14.779999732971191,14.9875,-1.1471259902707636
2015-04-08,68.87470245361328,53.681182861328125,13.979999542236328,14.851999950408935,-1.1992332452545962
2015-04-09,69.10423278808594,53.72725296020508,13.09000015258789,14.66299991607666,-1.1857581160715898
2015-04-10,68.99663543701172,53.45847702026367,12.579999923706055,14.520999908447266,-1.128021701796684
2015-04-13,68.51609802246094,53.22807693481445,13.9399995803833,14.417999887466431,-1.1215217204471135
2015-04-14,69.20464324951172,53.47381591796875,13.670000076293945,14.320999908447266,-1.1089659760017916
2015-04-15,69.30506134033203,53.66579818725586,12.84000015258789,14.179999923706054,-1.1475972570773612
2015-04-16,69.17595672607422,53.81942367553711,12.600000381469727,14.111499929428101,-1.2017016224598676
2015-04-17,68.71690368652344,53.20503234863281,13.890000343322754,14.102499961853027,-1.0933168653029666
2015-04-20,69.21180725097656,52.575294494628906,13.300000190734863,14.116499948501588,-0.8753333556046368
2015-04-21,69.41262817382812,53.29350280761719,13.25,14.10849995613098,-1.0392122673377004
2015-04-22,69.77123260498047,53.50201416015625,12.710000038146973,14.062999963760376,-1.0535404847614125
2015-04-23,68.65953826904297,53.4556770324707,12.479999542236328,13.914999961853027,-1.164619464343473
2015-04-24,68.25790405273438,53.41703796386719,12.289999961853027,13.739499950408936,-1.1990755547767369
2015-04-27,67.77018737792969,53.27033996582031,13.119999885559082,13.641999959945679,-1.2150607003934186
2015-04-28,67.7199935913086,53.108150482177734,12.40999984741211,13.536999940872192,-1.1785889820852116
2015-04-29,67.69129943847656,52.907379150390625,13.390000343322754,13.44199995994568,-1.1297388746538208
2015-04-30,68.22203826904297,51.957489013671875,14.550000190734863,13.413999986648559,-0.8248246458448831
2015-05-01,68.53762817382812,52.26639175415039,12.699999809265137,13.315499973297118,-0.8699304666141877
2015-05-04,68.8173599243164,52.40541076660156,12.850000381469727,13.221000003814698,-0.8749834730998977
2015-05-05,68.43721008300781,52.03472137451172,14.3100004196167,13.197500038146973,-0.8210145596083835
2015-05-06,68.48025512695312,52.35133743286133,15.149999618530273,13.25600004196167,-0.8982953005633781
2015-05-07,68.24356842041016,52.420841217041016,15.130000114440918,13.358000040054321,-0.9425121584122174
2015-05-08,69.24767303466797,52.667972564697266,12.859999656677246,13.372000026702882,-0.8953785446745071
2015-05-11,69.10423278808594,52.382232666015625,13.850000381469727,13.367500066757202,-0.8372146739228309
2015-05-12,68.99663543701172,52.420841217041016,13.859999656677246,13.377000045776366,-0.8591327072481206
2015-05-13,69.1472396850586,52.20462417602539,13.760000228881836,13.423000049591064,-0.7864281692356165
2015-05-14,70.28763580322266,53.00003433227539,12.739999771118164,13.430000019073486,-0.8662832681475037
2015-05-15,70.4454116821289,53.00003433227539,12.380000114440918,13.354500007629394,-0.8488143498439201
2015-05-18,70.32350158691406,52.9846076965332,12.729999542236328,13.325999975204468,-0.8583146150185151
2015-05-19,70.25179290771484,53.39389419555664,12.850000381469727,13.305999994277954,-0.9723151340041314
2015-05-20,70.06529998779297,53.20082473754883,12.880000114440918,13.314499998092652,-0.9429323133228684
2015-05-21,69.71387481689453,53.14677047729492,12.109999656677246,13.296000003814697,-0.9678346327234102
2015-05-22,69.03968811035156,52.899654388427734,12.130000114440918,13.288000011444092,-0.9784437463005878
2015-05-26,68.70254516601562,51.85709762573242,14.0600004196167,13.335000038146973,-0.745607962118132
2015-05-27,69.12572479248047,52.15827941894531,13.270000457763672,13.378000068664551,-0.7768006904193823
2015-05-28,69.61347198486328,51.99610137939453,13.3100004196167,13.374000072479248,-0.6807712045818807
2015-05-29,69.16161346435547,51.57908630371094,13.84000015258789,13.3385000705719,-0.6227372023670665
2015-06-01,68.83167266845703,51.66403579711914,13.970000267028809,13.402000093460083,-0.6812816793546683
2015-06-02,68.8890609741211,51.53276443481445,14.239999771118164,13.471500062942505,-0.6409104945462016
2015-06-03,68.8551025390625,51.4091911315918,13.65999984741211,13.439000034332276,-0.6126480509779626
2015-06-04,68.01696014404297,50.907222747802734,14.710000038146973,13.41700005531311,-0.5753688561500627
2015-06-05,67.22944641113281,50.567440032958984,14.210000038146973,13.371000051498413,-0.574512241764616
2015-06-08,67.07772064208984,50.45930862426758,15.289999961853027,13.492500066757202,-0.5632905310580082
2015-06-09,67.243896484375,50.992183685302734,14.470000267028809,13.523500061035156,-0.682978786336504
2015-06-10,67.69184112548828,51.79531478881836,13.220000267028809,13.491500091552734,-0.8415027711513784
2015-06-11,67.98086547851562,51.393760681152344,12.850000381469727,13.446000099182129,-0.7054448404406403
2015-06-12,67.72797393798828,51.192955017089844,13.779999732971191,13.49800009727478,-0.6814089326603353
2015-06-15,66.93323516845703,50.45930862426758,15.390000343322754,13.648500108718872,-0.5792879379648392
2015-06-16,67.59070587158203,50.95357131958008,14.8100004196167,13.75250015258789,-0.634574248794044
2015-06-17,67.95197296142578,51.285640716552734,14.5,13.835000133514404,-0.6806260186834443
2015-06-18,68.80451965332031,51.87255096435547,13.1899995803833,13.850500106811523,-0.7383218837216257
2015-06-19,68.53717803955078,51.66403579711914,13.960000038146973,13.94300012588501,-0.7138880742540071
2015-06-22,69.07184600830078,51.92660903930664,12.739999771118164,13.973500108718872,-0.7227319593491749
2015-06-23,69.07184600830078,51.74899673461914,12.109999656677246,13.8760000705719,-0.6767061824064841
2015-06-24,68.84786224365234,51.347415924072266,13.260000228881836,13.875500059127807,-0.597441502982383
2015-06-25,68.5155258178711,51.32423400878906,14.010000228881836,13.910500049591064,-0.6282304618186941
2015-06-26,68.57332611083984,51.35512161254883,14.020000457763672,13.919500064849853,-0.6298349194077373
2015-06-29,67.69184112548828,50.505653381347656,18.850000381469727,14.1635000705719,-0.5073048203040016
2015-06-30,67.43896484375,50.51338195800781,18.229999542236328,14.363000059127808,-0.5373059928830882
2015-07-01,68.29154205322266,51.09256362915039,16.09000015258789,14.484500074386597,-0.592995725066509
2015-07-02,68.39269256591797,51.09256362915039,16.790000915527344,14.588500118255615,-0.5817963576163683
2015-07-06,68.20482635498047,50.93812561035156,17.010000228881836,14.728500127792358,-0.5625763916715313
2015-07-07,69.64984130859375,51.98066329956055,16.09000015258789,14.768500137329102,-0.6727438340075537
2015-07-08,69.07907104492188,51.316524505615234,19.65999984741211,15.028000116348267,-0.5638370194272597
