Date,KLAC,AMAT,VIX,AvgVIX,zscore
2020-01-30,160.73170471191406,56.859195709228516,15.489999771118164,13.696000051498412,-0.7530135429770298
2020-01-31,154.05775451660156,54.72639083862305,18.84000015258789,14.014500045776368,-0.8694088784514097
2020-02-03,157.95245361328125,56.359039306640625,17.969999313354492,14.211999988555908,-0.8454374857950996
2020-02-04,166.197265625,59.4638786315918,16.049999237060547,14.32199993133545,-0.7548898750887488
2020-02-05,159.20729064941406,60.20941162109375,15.149999618530273,14.389999914169312,-1.2142874284865282
2020-02-06,159.63487243652344,59.63373565673828,14.960000038146973,14.465499925613404,-1.1261406894938906
2020-02-07,153.46286010742188,58.237037658691406,15.470000267028809,14.611999940872192,-1.2989960811506955
2020-02-10,157.0135955810547,59.378936767578125,15.039999961853027,14.735999917984008,-1.2378842697235168
2020-02-11,160.84320068359375,60.82283401489258,15.180000305175781,14.878999948501587,-1.1960233104982059
2020-02-12,163.5666961669922,61.69105529785156,13.739999771118164,14.946499919891357,-1.1482835412899781
2020-02-13,166.1228790283203,63.5785026550293,14.149999618530273,15.032999897003174,-1.2249737338507873
2020-02-14,163.85482788085938,63.087772369384766,13.680000305175781,15.100999927520752,-1.291044436239294
2020-02-18,157.30174255371094,61.6866569519043,14.829999923706055,15.237499904632568,-1.4838403693098636
2020-02-19,160.7874298095703,63.816715240478516,14.380000114440918,15.313999891281128,-1.5381538332203477
2020-02-20,156.27574157714844,62.86055374145508,15.5600004196167,15.446499919891357,-1.671851468185356
2020-02-21,150.5029296875,60.84409713745117,17.079999923706055,15.651499938964843,-1.7530889446507563
2020-02-24,143.59994506835938,57.82414245605469,25.030000686645508,16.174999952316284,-1.781275810272287
2020-02-25,137.6963653564453,55.72247314453125,27.850000381469727,16.655999994277956,-1.8598750641517412
2020-02-26,137.56561279296875,56.62184524536133,27.559999465942383,17.219999933242796,-1.9687671860609195
2020-02-27,138.23817443847656,53.961631774902344,39.15999984741211,18.35849995613098,-1.6313487167953005
2020-02-28,143.58119201660156,55.02192306518555,40.11000061035156,19.589499998092652,-1.4648537317255277
2020-03-02,148.27978515625,56.95317840576172,33.41999816894531,20.318499898910524,-1.4315864809196706
2020-03-03,143.6746063232422,54.946189880371094,36.81999969482422,21.26099991798401,-1.4512640894721578
2020-03-04,150.11996459960938,57.29399490356445,31.989999771118164,22.05799994468689,-1.3714851807747577
2020-03-05,146.36488342285156,55.97808837890625,39.619998931884766,23.281499910354615,-1.423847092082085
2020-03-06,145.42144775390625,54.70950698852539,41.939998626708984,24.630499839782715,-1.3307518808223802
2020-03-09,135.37042236328125,49.294403076171875,54.459999084472656,26.57999978065491,-1.2564849653458694
2020-03-10,144.38458251953125,53.175872802734375,47.29999923706055,28.192999744415282,-1.212643795801961
2020-03-11,135.37042236328125,49.69202423095703,53.900001525878906,30.12899980545044,-1.301526438100732
2020-03-12,117.09937286376953,42.70541000366211,75.47000122070312,33.21549987792969,-1.4901689533405524
2020-03-13,135.790771484375,48.17731857299805,57.83000183105469,35.39949998855591,-1.1073968626449118
2020-03-16,120.96654510498047,38.36955261230469,82.69000244140625,38.850000095367434,-0.7915775563858954
