Date,INTC,CVX,VIX,AvgVIX,zscore
2022-01-31,45.278907775878906,110.67057800292969,24.829999923706055,23.18100004196167,2.087070432919057
2022-02-01,45.39948272705078,113.58629608154297,21.959999084472656,23.448999977111818,2.034179970553694
2022-02-02,45.918861389160156,114.1087646484375,22.09000015258789,23.707999992370606,2.076882605094083
2022-02-03,44.778072357177734,113.08910369873047,24.350000381469727,23.939000034332274,1.9802135689668392
2022-02-04,44.86685562133789,114.50482177734375,23.219999313354492,24.119499969482423,1.9577025765308096
2022-02-07,45.02572250366211,116.75479125976562,22.860000610351562,24.324499988555907,1.9237886703477627
2022-02-08,45.61448287963867,114.97674560546875,21.440000534057617,24.426500034332275,2.0254678368755936
2022-02-09,46.64247131347656,116.11436462402344,19.959999084472656,24.503999996185303,2.1076612333091327
2022-02-10,45.66120529174805,114.63965606689453,23.90999984741211,24.818499946594237,2.0379416112388804
2022-02-11,44.51174545288086,116.97391510009766,27.360000610351562,25.171000003814697,1.8649851789707161
2022-02-14,44.46500778198242,115.17053985595703,28.329999923706055,25.62799997329712,1.9006161822301788
2022-02-15,45.268699645996094,114.3275375366211,25.700000762939453,25.773499965667725,2.0038111502435276
2022-02-16,45.07244873046875,114.3615951538086,24.290000915527344,25.795499992370605,1.9824732932815217
2022-02-17,44.455665588378906,113.7740249633789,28.110000610351562,25.92150001525879,1.9310231679307315
2022-02-18,42.09130096435547,113.61225128173828,27.75,25.866499996185304,1.6868094206002273
2022-02-22,41.76421356201172,112.74365997314453,28.809999465942383,25.811999988555907,1.672043144397115
2022-02-23,41.726829528808594,115.42603302001953,31.020000457763672,25.805000019073486,1.6078386619486562
2022-02-24,43.66130828857422,114.82994842529297,30.31999969482422,25.723000049591064,1.824021369437645
2022-02-25,44.58650588989258,119.5389404296875,27.59000015258789,25.57800006866455,1.8151738387162333
2022-02-28,44.577152252197266,122.62151336669922,30.149999618530273,25.70250005722046,1.7449133161237134
2022-03-01,43.75476837158203,127.4923095703125,33.31999969482422,26.127000045776366,1.5492353204235931
2022-03-02,45.670555114746094,131.25611877441406,30.739999771118164,26.566000080108644,1.665471142902628
2022-03-03,44.79209899902344,133.02732849121094,30.479999542236328,26.985500049591064,1.533577638054468
2022-03-04,44.92292785644531,135.09654235839844,31.979999542236328,27.367000007629393,1.500787020487328
2022-03-07,44.55845642089844,137.98326110839844,36.45000076293945,28.028500080108643,1.3977022876329555
2022-03-08,44.39024353027344,145.21282958984375,35.130001068115234,28.642000102996825,1.2175863820212305
2022-03-09,44.51174545288086,141.5852508544922,32.45000076293945,29.192500114440918,1.311851948412055
2022-03-10,43.60523986816406,145.4597930908203,30.229999542236328,29.706000137329102,1.1297462587014833
2022-03-11,42.82958221435547,145.5279083251953,30.75,30.048000144958497,1.0469054179110016
2022-03-14,41.493202209472656,141.9684600830078,31.770000457763672,30.268500137329102,0.986814185055443
2022-03-15,41.8763542175293,134.78147888183594,29.829999923706055,30.3435001373291,1.1885044045770208
