Date,PEP,XLF,VIX,AvgVIX,zscore
2022-01-31,151.71258544921875,36.270992279052734,24.829999923706055,23.18100004196167,-0.37922524520136464
2022-02-01,150.6808624267578,36.77243423461914,21.959999084472656,23.448999977111818,-0.4714678129591262
2022-02-02,153.41748046875,37.02315902709961,22.09000015258789,23.707999992370606,-0.13603283008240433
2022-02-03,153.33004760742188,36.61457061767578,24.350000381469727,23.939000034332274,-0.16974970652225935
2022-02-04,150.81198120117188,37.23672866821289,23.219999313354492,24.119499969482423,-0.4294275661518202
2022-02-07,150.21746826171875,37.34817123413086,22.860000610351562,24.324499988555907,-0.49277258334642027
2022-02-08,150.40109252929688,37.86818313598633,21.440000534057617,24.426500034332275,-0.4413736633452955
2022-02-09,150.33111572265625,38.109615325927734,19.959999084472656,24.503999996185303,-0.43572049520364153
2022-02-10,147.2097930908203,37.77531814575195,23.90999984741211,24.818499946594237,-0.8210845567814233
2022-02-11,147.39340209960938,37.24601364135742,27.360000610351562,25.171000003814697,-0.8299360283435308
2022-02-14,145.74969482421875,36.82815170288086,28.329999923706055,25.62799997329712,-1.0467555851753476
2022-02-15,145.10267639160156,37.32959747314453,25.700000762939453,25.773499965667725,-1.0938673311010474
2022-02-16,145.39990234375,37.357452392578125,24.290000915527344,25.795499992370605,-1.0573997076668593
2022-02-17,145.79339599609375,36.42885208129883,28.110000610351562,25.92150001525879,-1.0645554845416951
2022-02-18,146.6327667236328,36.41956329345703,27.75,25.866499996185304,-0.9666202590879803
2022-02-22,147.19232177734375,36.23386001586914,28.809999465942383,25.811999988555907,-0.9116400613044221
2022-02-23,145.74090576171875,35.6024055480957,31.020000457763672,25.805000019073486,-1.1181653194564813
2022-02-24,143.2053680419922,35.17524337768555,30.31999969482422,25.723000049591064,-1.4401416006252115
2022-02-25,147.2185516357422,36.308135986328125,27.59000015258789,25.57800006866455,-0.9042982712531974
2022-02-28,143.1616973876953,35.769554138183594,30.149999618530273,25.70250005722046,-1.4111411663425626
2022-03-01,141.87643432617188,34.4509391784668,33.31999969482422,26.127000045776366,-1.6376293244550517
2022-03-02,143.84365844726562,35.34239959716797,30.739999771118164,26.566000080108644,-1.3556646388225324
2022-03-03,143.68960571289062,35.2309684753418,30.479999542236328,26.985500049591064,-1.3801349693155505
2022-03-04,145.87220764160156,34.5716667175293,31.979999542236328,27.367000007629393,-1.161943919067702
2022-03-07,142.96800231933594,33.30876541137695,36.45000076293945,28.028500080108643,-1.5751551013229719
2022-03-08,138.937255859375,33.1137580871582,35.130001068115234,28.642000102996825,-2.059208211308286
2022-03-09,138.52359008789062,34.330230712890625,32.45000076293945,29.192500114440918,-2.0378901082392433
2022-03-10,135.98019409179688,34.04236602783203,30.229999542236328,29.706000137329102,-2.3527902184381606
2022-03-11,135.29373168945312,33.800933837890625,30.75,30.048000144958497,-2.4471830543326587
2022-03-14,137.19468688964844,34.22807693481445,31.770000457763672,30.268500137329102,-2.1996522404067234
2022-03-15,139.9317169189453,34.71095657348633,29.829999923706055,30.3435001373291,-1.8508392912094063
2022-03-16,140.54776000976562,35.68598175048828,26.670000076293945,30.392000102996825,-1.7225868013100576
2022-03-17,141.6390838623047,36.13170623779297,25.670000076293945,30.461000061035158,-1.5689688626675449
2022-03-18,143.26719665527344,36.215274810791016,23.8700008392334,30.249000072479248,-1.373172853968374
2022-03-21,143.06478881835938,36.179847717285156,23.530000686645508,30.038000106811523,-1.3989519121941971
2022-03-22,144.6313018798828,36.76716613769531,22.940000534057617,29.744500160217285,-1.1814585076096988
2022-03-23,143.8744354248047,36.086631774902344,23.56999969482422,29.37200012207031,-1.3093225390396113
2022-03-24,144.74571228027344,36.3756217956543,21.670000076293945,28.9395001411438,-1.1905180557073058
2022-03-25,145.4233856201172,36.841739654541016,20.809999465942383,28.600500106811523,-1.0842555081065595
2022-03-28,145.85462951660156,36.73919677734375,19.6299991607666,28.07450008392334,-1.039552973991687
2022-03-29,148.01959228515625,36.82308578491211,18.899999618530273,27.353500080108642,-0.7807594300433656
2022-03-30,147.8171844482422,36.562068939208984,19.329999923706055,26.78300008773804,-0.8194911753766048
2022-03-31,147.3067626953125,35.723052978515625,20.559999465942383,26.28700008392334,-0.927543735651227
2022-04-01,149.40133666992188,35.629844665527344,19.6299991607666,25.669500064849853,-0.6871760642347488
2022-04-04,149.01405334472656,35.47135925292969,18.56999969482422,24.77550001144409,-0.7417089417144105
2022-04-05,149.17250061035156,35.24763107299805,21.030000686645508,24.070499992370607,-0.7359669204783778
2022-04-06,151.71591186523438,35.005245208740234,22.100000381469727,23.55299997329712,-0.45151041674311804
2022-04-07,151.8567352294922,34.967952728271484,21.549999237060547,23.11899995803833,-0.4371313181358807
2022-04-08,152.36715698242188,35.32219696044922,21.15999984741211,22.639499950408936,-0.3569128968539437
2022-04-11,151.90072631835938,35.16372299194336,24.3700008392334,22.26949996948242,-0.42073007824857395
2022-04-12,152.5167999267578,34.78150939941406,24.260000228881836,21.99099998474121,-0.3704025885283745
2022-04-13,152.2527618408203,34.78150939941406,21.81999969482422,21.748499965667726,-0.40137751915320347
2022-04-14,151.28468322753906,34.389984130859375,22.700000762939453,21.6,-0.5374253114742663
2022-04-18,149.98216247558594,34.59506607055664,22.170000076293945,21.51499996185303,-0.6784519030181403
2022-04-19,152.16473388671875,35.07049560546875,21.3700008392334,21.40699996948242,-0.39511156468828024
2022-04-20,154.42654418945312,35.31288146972656,20.31999969482422,21.27599992752075,-0.11585619384436308
2022-04-21,153.87208557128906,34.7535400390625,22.68000030517578,21.23149995803833,-0.21301674977608281
2022-04-22,151.50466918945312,33.71876525878906,28.209999084472656,21.558499908447267,-0.5501576143071746
2022-04-25,152.90399169921875,33.77470016479492,27.020000457763672,21.86899995803833,-0.38278817565327233
2022-04-26,152.5167999267578,32.926368713378906,33.52000045776367,22.563500022888185,-0.476919203810784
2022-04-27,153.880859375,32.89840316772461,31.600000381469727,23.198500061035155,-0.3185038704226839
2022-04-28,156.21310424804688,33.317901611328125,29.989999771118164,23.73150005340576,-0.020816380799411945
2022-04-29,151.11746215820312,32.17127227783203,33.400001525878906,24.37350015640259,-0.6844341909977181
2022-05-02,147.64114379882812,32.18058395385742,32.34000015258789,25.00900020599365,-1.0917146485085916
2022-05-03,147.84356689453125,32.6000862121582,29.25,25.54300022125244,-1.0438813559810707
2022-05-04,153.00962829589844,33.59757614135742,25.420000076293945,25.762500190734862,-0.380565627634573
2022-05-05,149.9557342529297,32.618736267089844,31.200000762939453,26.21750020980835,-0.7950271911539805
2022-05-06,149.97337341308594,32.385677337646484,30.190000534057617,26.6495002746582,-0.8063394445395776
2022-05-09,151.10865783691406,31.611927032470703,34.75,27.3290002822876,-0.717582973404526
2022-05-10,150.92388916015625,31.332260131835938,32.9900016784668,27.76000032424927,-0.7553162574851592
2022-05-11,150.19337463378906,31.04326057434082,32.560001373291016,28.175000381469726,-0.8576081275579827
2022-05-12,149.96453857421875,30.810211181640625,31.770000457763672,28.6725004196167,-0.8978344227380176
2022-05-13,152.8863983154297,31.25767707824707,28.8700008392334,28.981000423431396,-0.5293720149705405
2022-05-16,154.42654418945312,30.996658325195312,27.469999313354492,29.246000385284425,-0.36368078397916903
2022-05-17,153.53765869140625,31.82633399963379,26.100000381469727,29.48250036239624,-0.420320548968574
2022-05-18,144.0240478515625,30.950040817260742,30.959999084472656,30.01450033187866,-1.586698802350076
2022-05-19,141.86788940429688,30.744949340820312,29.350000381469727,30.34800033569336,-1.8514185729213608
2022-05-20,142.75674438476562,30.68901252746582,29.43000030517578,30.409000396728516,-1.7503566227863299
2022-05-23,145.7401885986328,31.686504364013672,28.479999542236328,30.48200035095215,-1.343088755139158
2022-05-24,147.69398498535156,31.621240615844727,29.450000762939453,30.278500366210938,-1.1176315414818168
2022-05-25,148.70606994628906,31.872943878173828,28.3700008392334,30.117000389099122,-0.9844494210440924
2022-05-26,149.7093505859375,32.60940933227539,27.5,29.992500400543214,-0.8244665648812761
2022-05-27,151.1702423095703,33.15943145751953,25.719999313354492,29.608500289916993,-0.621505289994581
2022-05-31,147.63233947753906,33.06620788574219,26.190000534057617,29.301000308990478,-1.041897633708607
2022-06-01,146.52345275878906,32.53483200073242,25.690000534057617,29.12300033569336,-1.2024937600283478
2022-06-02,147.7109375,32.982303619384766,24.719999313354492,29.088000297546387,-1.0374946456865182
2022-06-03,146.08921813964844,32.50686264038086,24.790000915527344,28.76750030517578,-1.2550407641920693
2022-06-06,146.7007293701172,32.6000862121582,25.06999969482422,28.51150026321411,-1.177950321480829
2022-06-07,147.6046142578125,32.8517951965332,24.020000457763672,27.975000286102294,-1.0574610782944596
2022-06-08,146.8690948486328,32.2738037109375,23.959999084472656,27.523500156402587,-1.1769331329017125
2022-06-09,144.25482177734375,31.462766647338867,26.09000015258789,27.200000095367432,-1.5301869891304813
2022-06-10,144.02439880371094,30.325450897216797,27.75,26.999000072479248,-1.6225197116107986
2022-06-13,141.56080627441406,29.421188354492188,34.02000045776367,27.256500053405762,-1.963449605522697
2022-06-14,138.35276794433594,29.169483184814453,32.689998626708984,27.517500019073488,-2.3542443046113717
2022-06-15,139.8326873779297,29.495763778686523,29.6200008392334,27.69350004196167,-2.1618974119999583
2022-06-16,139.1591796875,28.74997901916504,32.95000076293945,27.79300012588501,-2.2837289122552726
2022-06-17,139.18580627441406,28.833877563476562,31.1299991607666,27.882000064849855,-2.275788081710232
2022-06-21,142.42041015625,29.409317016601562,30.190000534057617,27.920000076293945,-1.863289063295899
2022-06-22,143.5901641845703,29.343717575073242,28.950000762939453,27.943500137329103,-1.7298289824603679
2022-06-23,145.4246063232422,29.23125457763672,29.049999237060547,27.923500061035156,-1.5210835365109292
2022-06-24,147.22357177734375,30.309032440185547,27.229999542236328,27.866499996185304,-1.2481598830345184
2022-06-27,147.41854858398438,30.20594024658203,26.950000762939453,27.839000034332276,-1.2312059385925396
2022-06-28,145.34483337402344,29.90603256225586,28.360000610351562,27.971000099182127,-1.4916981608805504
2022-06-29,147.75526428222656,29.73733901977539,28.15999984741211,28.069500064849855,-1.218610703124094
2022-06-30,147.69325256347656,29.474924087524414,28.709999084472656,28.220499992370605,-1.2409525226326952
2022-07-01,150.112548828125,29.87791633605957,26.700000762939453,28.319500064849855,-0.9340005651647442
2022-07-05,149.7758331298828,29.774829864501953,27.540000915527344,28.457000064849854,-0.9794203939843815
2022-07-06,151.2734832763672,29.699848175048828,26.729999542236328,28.54000005722046,-0.8080327466889837
2022-07-07,150.97216796875,30.13096809387207,26.079999923706055,28.643000030517577,-0.8186271431486544
2022-07-08,152.31919860839844,30.06536293029785,24.639999389648438,28.677000045776367,-0.6643706534541285
2022-07-11,151.06968688964844,29.82168960571289,26.170000076293945,28.68100004196167,-0.8249448119022008
2022-07-12,150.2100372314453,29.634252548217773,27.290000915527344,28.65800008773804,-0.936554414670379
2022-07-13,150.7417755126953,29.3718318939209,26.81999969482422,28.298000049591064,-0.8892423497955898
2022-07-14,151.52162170410156,28.809511184692383,26.399999618530273,27.98350009918213,-0.8300435226501306
2022-07-15,151.6456756591797,29.78420066833496,24.229999542236328,27.714000034332276,-0.7595267131824378
2022-07-18,149.1111297607422,29.67173194885254,25.299999237060547,27.33149995803833,-1.0633178871583342
2022-07-19,150.706298828125,30.562074661254883,24.5,27.0,-0.825064032754378
2022-07-20,149.1111297607422,30.67453956604004,23.8799991607666,26.68449993133545,-1.0057396808442265
2022-07-21,149.3326873779297,30.87135124206543,23.110000610351562,26.392499923706055,-0.9684478979345379
2022-07-22,150.30752563476562,30.693279266357422,23.030000686645508,26.091499996185302,-0.8643116816299036
2022-07-25,150.52020263671875,30.89010238647461,23.360000610351562,25.898000049591065,-0.8280610475538532
2022-07-26,152.27488708496094,30.458988189697266,24.690000534057617,25.785000038146972,-0.6469681607302858
2022-07-27,152.06216430664062,30.92758560180664,23.239999771118164,25.528999996185302,-0.6450177133399387
2022-07-28,154.94232177734375,31.152517318725586,22.329999923706055,25.2375,-0.29422474258170994
2022-07-29,155.0487060546875,31.593002319335938,21.329999923706055,24.86850004196167,-0.2564532242106691
2022-08-01,156.8121795654297,31.330575942993164,22.84000015258789,24.675500011444093,-0.06464372292089426
2022-08-02,155.51837158203125,30.98381233215332,23.93000030517578,24.494999980926515,-0.23633351575810163
2022-08-03,156.7058563232422,31.45241928100586,21.950000762939453,24.25600004196167,-0.07012087413354423
2022-08-04,155.85511779785156,31.349321365356445,21.440000534057617,24.024000072479247,-0.1758425902720089
2022-08-05,154.68533325195312,31.57424545288086,21.149999618530273,23.84950008392334,-0.3001583077816866
2022-08-08,154.06497192382812,31.55550765991211,21.290000915527344,23.60550012588501,-0.37401022626020713
2022-08-09,154.64102172851562,31.714828491210938,21.770000457763672,23.329500102996825,-0.29728474060766397
2022-08-10,155.91712951660156,32.42710876464844,19.739999771118164,22.975500106811523,-0.10668452871909508
2022-08-11,155.11953735351562,32.81135940551758,20.200000762939453,22.665500164031982,-0.17818942701430746
2022-08-12,157.1489715576172,33.32681655883789,19.530000686645508,22.43050022125244,0.08948429018775532
2022-08-15,158.87704467773438,33.317447662353516,19.950000762939453,22.163000297546386,0.291670689821243
2022-08-16,159.7986602783203,33.56111145019531,19.690000534057617,21.922500324249267,0.4137780336964467
2022-08-17,159.71006774902344,33.392417907714844,19.899999618530273,21.723500347137453,0.39369915777213965
2022-08-18,159.8695526123047,33.429901123046875,19.559999465942383,21.546000289916993,0.4145608770721177
2022-08-19,159.66575622558594,32.764495849609375,20.600000381469727,21.424500274658204,0.3524474667833725
2022-08-22,158.14151000976562,32.042850494384766,23.799999237060547,21.44650020599365,0.1321998357612592
2022-08-23,158.07057189941406,31.911638259887695,24.110000610351562,21.41750020980835,0.11634410567460168
2022-08-24,158.85931396484375,32.0803337097168,22.81999969482422,21.396500205993654,0.21855928457825938
2022-08-25,158.86817932128906,32.577056884765625,21.780000686645508,21.369000244140626,0.2481196556672631
2022-08-26,155.11953735351562,31.60236358642578,25.559999465942383,21.580500221252443,-0.24760634159638747
2022-08-29,154.63217163085938,31.377437591552734,26.209999084472656,21.74900016784668,-0.31769494018025507
2022-08-30,153.30287170410156,31.208736419677734,26.209999084472656,21.863000106811523,-0.48332456530550355
2022-08-31,152.66482543945312,30.974449157714844,25.8700008392334,22.059000110626222,-0.5716273495526432
2022-09-01,154.20823669433594,31.068172454833984,25.559999465942383,22.26500005722046,-0.38518482425581857
2022-09-02,152.25440979003906,30.824491500854492,25.469999313354492,22.48100004196167,-0.6283842963838735
2022-09-06,151.22842407226562,30.749515533447266,26.90999984741211,22.761999988555907,-0.7530499960606569
2022-09-07,154.56509399414062,31.358701705932617,24.639999389648438,22.905499935150146,-0.32663973432389903
2022-09-08,154.04763793945312,31.911638259887695,23.610000610351562,23.098999977111816,-0.355595765710297
2022-09-09,154.53831481933594,32.20218276977539,22.790000915527344,23.228499984741212,-0.2813511090969848
2022-09-12,155.14495849609375,32.4645881652832,23.8700008392334,23.445499992370607,-0.19511777758999865
2022-09-13,149.3549346923828,31.25560760498047,27.270000457763672,23.811499977111815,-0.9437751648933775
2022-09-14,150.48797607421875,31.161890029907227,26.15999984741211,24.13499994277954,-0.81623639011966
2022-09-15,147.98995971679688,31.264970779418945,26.270000457763672,24.45349998474121,-1.1033659933268378
2022-09-16,148.96238708496094,30.98381233215332,26.299999237060547,24.79049997329712,-1.0054315201356818
2022-09-19,150.5325469970703,31.335227966308594,25.760000228881836,25.048499965667723,-0.8010551255053104
2022-09-20,150.7020721435547,30.87358856201172,27.15999984741211,25.216499996185302,-0.8076736810288074
2022-09-21,150.27386474609375,30.232938766479492,27.989999771118164,25.41049995422363,-0.894691890977897
2022-09-22,150.4165802001953,29.72418785095215,27.350000381469727,25.636999988555907,-0.9071605564526163
2022-09-23,150.34523010253906,29.253124237060547,29.920000076293945,26.04399995803833,-0.9425778648526467
2022-09-26,150.28277587890625,28.79148292541504,32.2599983215332,26.37899990081787,-0.9764105769482473
2022-09-27,148.10592651367188,28.66900062561035,32.599998474121094,26.698499870300292,-1.2388144767015317
2022-09-28,150.47901916503906,29.234285354614258,30.18000030517578,26.89699993133545,-0.927964426513162
2022-09-29,148.6411895751953,28.866851806640625,31.84000015258789,27.195499897003174,-1.1646614829469741
2022-09-30,145.6525115966797,28.603057861328125,31.6200008392334,27.498499965667726,-1.5304166030548025
2022-10-03,147.42787170410156,29.37560272216797,30.100000381469727,27.730000019073486,-1.2777877121457335
2022-10-04,149.0872802734375,30.46847152709961,29.06999969482422,27.83800001144409,-1.0203693293225449
2022-10-05,148.09698486328125,30.232938766479492,28.549999237060547,28.033500003814698,-1.1500668044464941
2022-10-06,145.2421417236328,29.808982849121094,30.520000457763672,28.378999996185303,-1.5093174641081646
2022-10-07,144.180419921875,29.10238265991211,31.360000610351562,28.807499980926515,-1.6744414168832962
2022-10-10,144.3677978515625,28.970483779907227,32.45000076293945,29.236499977111816,-1.6600329081716112
2022-10-11,145.05477905273438,28.603057861328125,33.630001068115234,29.554500007629393,-1.600538017604411
2022-10-12,151.12135314941406,28.537105560302734,33.56999969482422,29.925,-0.8926406849833782
2022-10-13,155.77842712402344,29.714767456054688,31.940000534057617,30.2085000038147,-0.27869053812633776
2022-10-14,151.8350830078125,29.215442657470703,32.02000045776367,30.494500064849852,-0.7699632698558395
2022-10-17,154.1011505126953,29.95029640197754,31.3700008392334,30.77500009536743,-0.4619324476396172
2022-10-18,156.17987060546875,30.4307804107666,30.5,30.942000102996825,-0.190484939678063
2022-10-19,154.6632080078125,29.93145751953125,30.760000228881836,31.08050012588501,-0.397077829350579
2022-10-20,152.96810913085938,29.450971603393555,29.979999542236328,31.21200008392334,-0.6235219371847396
2022-10-21,154.3955535888672,30.3271484375,29.690000534057617,31.200500106811525,-0.4057576145572052
2022-10-24,158.51730346679688,30.732269287109375,29.850000381469727,31.08000020980835,0.10103540960371055
2022-10-25,159.04368591308594,31.09969711303711,28.459999084472656,30.87300024032593,0.18388317988892486
