Date,PEP,LOW,VIX,AvgVIX,zscore
2022-01-31,151.7125701904297,218.2760772705078,24.829999923706055,23.18100004196167,-1.0848551397618085
2022-02-01,150.68084716796875,219.1956787109375,21.959999084472656,23.448999977111818,-1.2381265554071978
2022-02-02,153.41751098632812,219.89462280273438,22.09000015258789,23.707999992370606,-0.8924340767101594
2022-02-03,153.33004760742188,215.29640197753906,24.350000381469727,23.939000034332274,-0.8147371311486533
2022-02-04,150.81201171875,210.66146850585938,23.219999313354492,24.119499969482423,-1.055394781652677
2022-02-07,150.21749877929688,208.77618408203125,22.860000610351562,24.324499988555907,-1.0968743681450992
2022-02-08,150.40106201171875,213.13528442382812,21.440000534057617,24.426500034332275,-1.1573185424780408
2022-02-09,150.3311309814453,214.882568359375,19.959999084472656,24.503999996185303,-1.2003855807209978
2022-02-10,147.2097930908203,209.12564086914062,23.90999984741211,24.818499946594237,-1.4984799245874545
2022-02-11,147.3934326171875,207.75540161132812,27.360000610351562,25.171000003814697,-1.4477985721692122
2022-02-14,145.74966430664062,207.79220581054688,28.329999923706055,25.62799997329712,-1.6642934430953402
2022-02-15,145.10269165039062,209.76937866210938,25.700000762939453,25.773499965667725,-1.7875684999536896
2022-02-16,145.39996337890625,208.76699829101562,24.290000915527344,25.795499992370605,-1.7291046982822569
2022-02-17,145.79339599609375,205.8057403564453,28.110000610351562,25.92150001525879,-1.6200269344506326
2022-02-18,146.63275146484375,204.79415893554688,27.75,25.866499996185304,-1.4902241602172652
2022-02-22,147.1923065185547,197.34507751464844,28.809999465942383,25.811999988555907,-1.2723017418869593
2022-02-23,145.74090576171875,197.80490112304688,31.020000457763672,25.805000019073486,-1.471748190485785
2022-02-24,143.2053680419922,196.25990295410156,30.31999969482422,25.723000049591064,-1.7746299272889605
2022-02-25,147.2185516357422,201.5662078857422,27.59000015258789,25.57800006866455,-1.3507216051784838
2022-02-28,143.1616668701172,203.2951202392578,30.149999618530273,25.70250005722046,-1.916808539049947
2022-03-01,141.87643432617188,203.69976806640625,33.31999969482422,26.127000045776366,-2.093371634595082
2022-03-02,143.8436737060547,210.28440856933594,30.739999771118164,26.566000080108644,-1.9628311108155823
2022-03-03,143.6896514892578,208.0956573486328,30.479999542236328,26.985500049591064,-1.9406010380623528
2022-03-04,145.8722381591797,206.06324768066406,31.979999542236328,27.367000007629393,-1.6146712785629262
2022-03-07,142.96795654296875,204.39869689941406,36.45000076293945,28.028500080108643,-1.9636402206973325
2022-03-08,138.93722534179688,205.318359375,35.130001068115234,28.642000102996825,-2.5105992276676243
