Date,AMAT,LOW,VIX,AvgVIX,zscore
2020-01-30,56.859195709228516,106.78424835205078,15.489999771118164,13.696000051498412,0.11874389859553729
2020-01-31,54.72639083862305,103.68024444580078,18.84000015258789,14.014500045776368,0.14372958850050652
2020-02-03,56.359039306640625,104.5186767578125,17.969999313354492,14.211999988555908,0.20167433970011442
2020-02-04,59.4638786315918,106.4542007446289,16.049999237060547,14.32199993133545,0.2947742525605356
2020-02-05,60.20941162109375,108.933837890625,15.149999618530273,14.389999914169312,0.21613904220691918
2020-02-06,59.63373565673828,108.38082122802734,14.960000038146973,14.465499925613404,0.20860821078820008
2020-02-07,58.237037658691406,108.35406494140625,15.470000267028809,14.611999940872192,0.12442793033409627
2020-02-10,59.378936767578125,108.11325073242188,15.039999961853027,14.735999917984008,0.20641783081601472
2020-02-11,60.82283401489258,109.73660278320312,15.180000305175781,14.878999948501587,0.21346318323955543
2020-02-12,61.69105529785156,111.52046203613281,13.739999771118164,14.946499919891357,0.177214274526119
2020-02-13,63.5785026550293,111.28857421875,14.149999618530273,15.032999897003174,0.30440750943061806
2020-02-14,63.087772369384766,111.86834716796875,13.680000305175781,15.100999927520752,0.24530001892354203
2020-02-18,61.6866569519043,109.91498565673828,14.829999923706055,15.237499904632568,0.2574150658118818
2020-02-19,63.816715240478516,110.10230255126953,14.380000114440918,15.313999891281128,0.3784521486911394
2020-02-20,62.86055374145508,112.89408111572266,15.5600004196167,15.446499919891357,0.17997506542884217
2020-02-21,60.84409713745117,111.7702407836914,17.079999923706055,15.651499938964843,0.11283461218641862
2020-02-24,57.82414245605469,109.62955474853516,25.030000686645508,16.174999952316284,0.03521546594015837
2020-02-25,55.72247314453125,105.71387481689453,27.850000381469727,16.655999994277956,0.10279065860637618
2020-02-26,56.62184524536133,101.05792999267578,27.559999465942383,17.219999933242796,0.39122669279806616
2020-02-27,53.961631774902344,95.99164581298828,39.15999984741211,18.35849995613098,0.48227249468729994
2020-02-28,55.02192306518555,95.05509948730469,40.11000061035156,19.589499998092652,0.5941371250801462
2020-03-02,56.95317840576172,99.0421142578125,33.41999816894531,20.318499898910524,0.5125518326975385
2020-03-03,54.946189880371094,96.830078125,36.81999969482422,21.26099991798401,0.500533954863801
2020-03-04,57.29399490356445,101.04899597167969,31.989999771118164,22.05799994468689,0.43283095448967496
2020-03-05,55.97808837890625,95.90243530273438,39.619998931884766,23.281499910354615,0.6102137994305739
2020-03-06,54.70950698852539,93.93123626708984,41.939998626708984,24.630499839782715,0.6313381087168987
2020-03-09,49.294403076171875,84.0395278930664,54.459999084472656,26.57999978065491,0.795560089461495
